1b#app#app40#app4068/O  0.211 0.986  0.211 1.140  0.116 1.200  -0.038 1.200  -0.192 1.200  -0.309 1.108  -0.418 0.999  -0.527 0.890  -0.636 0.781  -0.646 0.631  -0.646 0.477  -0.661 0.329  -0.770 0.220  -0.860 0.103  -0.860 -0.052  -0.860 -0.206  -0.860 -0.360  -0.860 -0.514  -0.860 -0.669  -0.792 -0.795  -0.683 -0.904  -0.574 -1.013  -0.465 -1.122  -0.324 -1.155  -0.170 -1.155  -0.016 -1.155  0.138 -1.155  0.293 -1.155  0.425 -1.133  0.425 -0.979  0.541 -0.941  0.639 -0.884  0.639 -0.730  0.639 -0.576  0.730 -0.513  0.853 -0.481  0.853 -0.327  0.853 -0.173  0.823 -0.025  0.754 0.113  0.685 0.251  0.639 0.394  0.639 0.548  0.494 0.557  0.425 0.643  0.399 0.772  0.245 0.772  0.211 0.891  0.151 0.986  -0.004 0.986
1b#app#app40#app4068/N  -0.918 -0.512  -0.918 -0.651  -1.012 -0.697  -1.103 -0.649  -1.103 -0.514  -1.103 -0.654  -1.035 -0.629  -0.936 -0.530  -0.918 -0.398  -0.918 -0.258  -0.902 -0.125  -0.803 -0.026  -0.732 0.084  -0.732 0.224  -0.732 0.364  -0.732 0.504  -0.703 0.632  -0.604 0.731  -0.546 0.847  -0.546 0.962  -0.546 0.822  -0.471 0.714  -0.372 0.615  -0.360 0.480  -0.283 0.417  -0.175 0.386  -0.175 0.246  -0.086 0.143  0.013 0.044  0.112 -0.055  0.211 -0.154  0.310 -0.253  0.383 -0.363  0.383 -0.503  0.513 -0.512  0.653 -0.512  0.793 -0.512  0.933 -0.512  1.073 -0.512  1.126 -0.424  1.167 -0.326  1.307 -0.326  1.311 -0.191  1.311 -0.051  1.311 0.089  1.311 0.229  1.311 0.369  1.311 0.509  1.311 0.649  1.311 0.789
1b#app#app40#app4068/T  0.002 0.909  0.181 0.909  0.232 0.783  0.232 0.604  0.232 0.425  0.232 0.247  0.232 0.068  0.134 -0.011  0.002 -0.059  0.002 -0.237  0.002 -0.416  0.002 -0.594  0.002 -0.773  0.002 -0.951  0.002 -1.130  0.002 -1.309  0.002 -1.487  -0.017 -1.584  -0.097 -1.425  -0.177 -1.265  -0.257 -1.105  -0.336 -0.945  -0.416 -0.786  -0.496 -0.626  -0.576 -0.466  -0.656 -0.307  -0.736 -0.147  -0.816 0.013  -0.895 0.173  -0.975 0.332  -1.055 0.492  -1.135 0.652  -1.001 0.679  -0.851 0.611  -0.724 0.485  -0.561 0.449  -0.382 0.449  -0.204 0.449  -0.025 0.449  0.154 0.449  0.332 0.449  0.511 0.449  0.689 0.449  0.817 0.573  0.951 0.679  1.130 0.679  1.308 0.679  1.487 0.679  1.665 0.679  1.844 0.679
1b#app#app40#app4068/H  -0.567 0.946  -0.567 0.690  -0.718 0.496  -0.866 0.301  -0.866 0.044  -0.866 -0.212  -0.866 -0.469  -0.866 -0.725  -0.866 -0.982  -0.866 -1.238  -0.816 -1.445  -0.565 -1.438  -0.498 -1.190  -0.430 -0.943  -0.363 -0.695  -0.295 -0.448  -0.228 -0.200  -0.160 0.047  -0.093 0.295  -0.025 0.542  0.042 0.790  0.110 1.037  0.177 1.285  0.245 1.532  0.312 1.779  0.330 1.653  0.330 1.396  0.330 1.140  0.374 0.902  0.556 0.720  0.629 0.494  0.629 0.238  0.629 -0.019  0.629 -0.275  0.629 -0.532  0.629 -0.789  0.629 -1.045  0.784 -1.146  0.857 -1.058  0.697 -0.858  0.537 -0.657  0.376 -0.457  0.216 -0.257  0.056 -0.056  -0.104 0.144  -0.265 0.344  -0.091 0.171  0.116 0.050  0.372 0.050  0.629 0.050
1b#app#app40#app4068/E  -0.248 0.877  -0.287 0.627  -0.460 0.433  -0.535 0.241  -0.672 0.113  -0.672 -0.153  -0.672 -0.419  -0.672 -0.685  -0.672 -0.951  -0.485 -1.030  -0.248 -1.000  -0.248 -0.734  -0.248 -0.468  -0.248 -0.203  -0.248 0.063  -0.248 0.329  -0.248 0.595  -0.248 0.861  -0.210 1.089  0.056 1.089  0.279 1.192  0.500 1.301  0.766 1.301  0.967 1.457  1.210 1.512  1.075 1.331  0.900 1.130  0.725 0.930  0.550 0.730  0.375 0.530  0.200 0.330  0.025 0.130  -0.150 -0.071  -0.131 -0.182  0.135 -0.182  0.387 -0.169  0.455 0.029  0.505 -0.049  0.301 -0.219  0.097 -0.389  -0.107 -0.559  -0.312 -0.730  -0.516 -0.900  -0.672 -1.093  -0.589 -1.324  -0.377 -1.454  -0.111 -1.454  0.099 -1.318  0.333 -1.242  0.599 -1.242
1b#app#app40#app4068/V  -1.035 0.303  -1.035 0.447  -1.021 0.576  -0.877 0.576  -0.762 0.606  -0.762 0.750  -0.718 0.849  -0.574 0.849  -0.489 0.790  -0.489 0.646  -0.489 0.502  -0.489 0.358  -0.489 0.214  -0.489 0.070  -0.416 -0.043  -0.314 -0.145  -0.216 -0.249  -0.216 -0.393  -0.216 -0.537  -0.216 -0.681  -0.216 -0.825  -0.216 -0.969  -0.216 -1.113  -0.216 -1.257  -0.151 -1.336  -0.007 -1.336  0.137 -1.336  0.281 -1.336  0.330 -1.242  0.330 -1.098  0.330 -0.954  0.330 -0.810  0.418 -0.702  0.520 -0.600  0.604 -0.491  0.604 -0.347  0.604 -0.203  0.604 -0.059  0.604 0.085  0.604 0.229  0.604 0.373  0.604 0.517  0.604 0.661  0.604 0.805  0.604 0.949  0.604 1.093  0.604 1.237  0.604 1.381  0.604 1.525  0.604 1.669
1b#app#app40#app4068/E  -0.331 1.075  -0.331 0.815  -0.331 0.555  -0.331 0.295  -0.549 0.253  -0.605 0.050  -0.605 -0.210  -0.605 -0.470  -0.605 -0.730  -0.458 -0.843  -0.331 -0.710  -0.331 -0.450  -0.331 -0.190  -0.331 0.069  -0.331 0.329  -0.331 0.589  -0.331 0.849  -0.297 1.075  -0.057 1.095  -0.052 1.349  0.208 1.349  0.468 1.349  0.728 1.349  0.988 1.349  0.891 1.201  0.707 1.017  0.523 0.834  0.340 0.650  0.156 0.466  -0.028 0.282  -0.212 0.099  -0.241 -0.021  0.019 -0.021  0.279 -0.021  0.539 -0.021  0.738 -0.042  0.535 -0.205  0.332 -0.367  0.129 -0.529  -0.074 -0.692  -0.277 -0.854  -0.479 -1.016  -0.605 -1.216  -0.520 -1.391  -0.261 -1.391  -0.001 -1.391  0.259 -1.391  0.519 -1.391  0.779 -1.391  1.039 -1.391
1b#app#app40#app4068/L  -0.159 1.722  -0.159 1.610  -0.159 1.498  -0.159 1.386  -0.159 1.274  -0.159 1.162  -0.159 1.050  -0.159 0.938  -0.206 0.845  -0.285 0.766  -0.364 0.687  -0.436 0.605  -0.436 0.493  -0.436 0.381  -0.506 0.338  -0.618 0.338  -0.713 0.321  -0.713 0.209  -0.713 0.097  -0.713 -0.015  -0.713 -0.127  -0.713 -0.239  -0.713 -0.351  -0.713 -0.463  -0.713 -0.575  -0.713 -0.687  -0.683 -0.769  -0.571 -0.769  -0.459 -0.769  -0.347 -0.769  -0.235 -0.769  -0.123 -0.769  -0.011 -0.769  0.101 -0.769  0.185 -0.702  0.264 -0.623  0.343 -0.543  0.434 -0.492  0.546 -0.492  0.658 -0.492  0.770 -0.492  0.882 -0.492  0.994 -0.492  1.106 -0.492  1.218 -0.492  1.225 -0.387  1.225 -0.275  1.278 -0.216  1.390 -0.216  1.502 -0.216
1b#app#app40#app4068/V  -0.515 1.099  -0.378 1.099  -0.241 1.099  -0.327 1.099  -0.464 1.099  -0.515 1.013  -0.515 0.875  -0.515 0.738  -0.515 0.600  -0.550 0.498  -0.688 0.498  -0.816 0.489  -0.816 0.351  -0.816 0.214  -0.816 0.076  -0.816 -0.061  -0.816 -0.198  -0.816 -0.336  -0.816 -0.473  -0.816 -0.611  -0.771 -0.703  -0.634 -0.703  -0.515 -0.722  -0.515 -0.860  -0.515 -0.997  -0.384 -1.004  -0.247 -1.004  -0.141 -0.929  -0.043 -0.832  0.054 -0.735  0.178 -0.703  0.316 -0.703  0.453 -0.703  0.590 -0.703  0.686 -0.662  0.686 -0.524  0.702 -0.403  0.840 -0.403  0.977 -0.403  0.986 -0.275  0.986 -0.138  0.986 -0.000  0.986 0.137  0.986 0.274  0.986 0.412  0.986 0.549  0.986 0.687  0.986 0.824  0.986 0.961  0.986 1.099
1b#app#app40#app4068/E  -0.160 1.117  -0.167 0.830  -0.447 0.817  -0.461 0.530  -0.668 0.322  -0.734 0.056  -0.734 -0.237  -0.734 -0.530  -0.734 -0.824  -0.671 -0.672  -0.591 -0.390  -0.510 -0.108  -0.430 0.174  -0.349 0.456  -0.269 0.738  -0.188 1.020  0.032 1.117  0.325 1.117  0.618 1.117  0.911 1.117  1.205 1.117  1.098 0.977  0.869 0.793  0.640 0.610  0.411 0.427  0.182 0.244  -0.047 0.061  -0.012 -0.030  0.281 -0.030  0.413 0.131  0.581 0.257  0.874 0.257  0.987 0.437  0.834 0.435  0.596 0.264  0.357 0.094  0.119 -0.077  -0.120 -0.247  -0.359 -0.418  -0.597 -0.588  -0.836 -0.758  -0.973 -0.937  -0.766 -1.145  -0.734 -1.425  -0.479 -1.464  -0.186 -1.464  0.107 -1.464  0.400 -1.464  0.413 -1.183  0.700 -1.177
1b#app#app40#app4068/T  0.770 1.078  0.770 0.918  0.770 0.758  0.667 0.640  0.554 0.527  0.441 0.414  0.435 0.256  0.435 0.096  0.435 -0.064  0.435 -0.224  0.435 -0.384  0.435 -0.544  0.435 -0.704  0.435 -0.864  0.435 -1.024  0.435 -1.184  0.435 -1.344  0.435 -1.504  0.398 -1.547  0.305 -1.417  0.212 -1.287  0.119 -1.156  0.026 -1.026  -0.067 -0.896  -0.160 -0.766  -0.253 -0.635  -0.347 -0.505  -0.440 -0.375  -0.533 -0.245  -0.626 -0.114  -0.719 0.016  -0.812 0.146  -0.905 0.276  -0.998 0.407  -1.091 0.537  -1.184 0.667  -1.172 0.743  -1.012 0.743  -0.852 0.743  -0.692 0.743  -0.532 0.743  -0.372 0.743  -0.212 0.743  -0.052 0.743  0.108 0.743  0.268 0.743  0.428 0.743  0.544 0.852  0.657 0.965  0.770 1.078
