3#app#app35#app3507/[  0.859 1.197  0.852 1.110  0.759 1.110  0.665 1.110  0.580 1.090  0.513 1.024  0.420 1.024  0.327 1.024  0.233 1.024  0.139 1.024  0.046 1.024  -0.048 1.024  -0.141 1.024  -0.235 1.024  -0.328 1.024  -0.353 0.955  -0.353 0.861  -0.353 0.768  -0.353 0.674  -0.353 0.580  -0.353 0.487  -0.353 0.393  -0.353 0.300  -0.344 0.207  -0.321 0.117  -0.298 0.026  -0.276 -0.065  -0.267 -0.157  -0.267 -0.251  -0.267 -0.345  -0.267 -0.438  -0.267 -0.532  -0.267 -0.625  -0.267 -0.719  -0.267 -0.812  -0.267 -0.906  -0.267 -1.000  -0.267 -1.093  -0.267 -1.187  -0.214 -1.228  -0.120 -1.228  -0.027 -1.228  0.067 -1.228  0.160 -1.228  0.254 -1.227  0.320 -1.161  0.405 -1.141  0.499 -1.141  0.592 -1.141  0.686 -1.141
3#app#app35#app3507/(  0.513 1.354  0.592 1.354  0.583 1.354  0.513 1.345  0.513 1.266  0.460 1.240  0.386 1.228  0.331 1.172  0.285 1.111  0.285 1.032  0.243 0.971  0.188 0.915  0.115 0.898  0.042 0.883  -0.014 0.828  -0.057 0.767  -0.057 0.687  -0.085 0.615  -0.120 0.544  -0.155 0.473  -0.171 0.398  -0.175 0.320  -0.211 0.249  -0.246 0.178  -0.281 0.108  -0.285 0.030  -0.285 -0.049  -0.285 -0.129  -0.285 -0.208  -0.285 -0.287  -0.285 -0.366  -0.285 -0.445  -0.285 -0.524  -0.285 -0.603  -0.285 -0.682  -0.242 -0.743  -0.186 -0.799  -0.171 -0.872  -0.171 -0.951  -0.171 -1.030  -0.124 -1.089  -0.068 -1.145  -0.057 -1.220  -0.037 -1.291  0.019 -1.347  0.057 -1.410  0.057 -1.489  0.127 -1.498  0.171 -1.533  0.171 -1.612
3#app#app35#app3507/6  -0.088 1.906  -0.192 1.866  -0.249 1.745  -0.352 1.643  -0.400 1.519  -0.482 1.409  -0.508 1.274  -0.573 1.145  -0.608 1.009  -0.608 0.865  -0.608 0.720  -0.608 0.576  -0.608 0.432  -0.608 0.288  -0.608 0.143  -0.608 -0.001  -0.608 -0.145  -0.608 -0.290  -0.608 -0.434  -0.539 -0.550  -0.504 -0.680  -0.409 -0.785  -0.276 -0.813  -0.174 -0.915  -0.066 -1.001  0.079 -1.001  0.223 -1.001  0.355 -0.973  0.469 -0.897  0.590 -0.842  0.714 -0.793  0.824 -0.711  0.850 -0.577  0.915 -0.448  0.950 -0.312  0.948 -0.168  0.846 -0.066  0.805 0.037  0.742 0.119  0.620 0.141  0.476 0.141  0.361 0.071  0.259 -0.031  0.157 -0.133  0.119 -0.262  0.026 -0.367  0.015 -0.507  0.015 -0.652  0.017 -0.795  0.119 -0.897
3#app#app35#app3507/)  -1.189 1.086  -1.112 1.086  -1.053 1.041  -0.995 0.995  -0.917 0.995  -0.840 0.995  -0.763 0.995  -0.691 0.973  -0.622 0.938  -0.552 0.904  -0.475 0.904  -0.405 0.875  -0.335 0.841  -0.266 0.806  -0.197 0.772  -0.128 0.737  -0.079 0.682  -0.045 0.613  -0.010 0.544  0.044 0.489  0.099 0.434  0.153 0.379  0.208 0.325  0.262 0.270  0.297 0.201  0.332 0.132  0.354 0.060  0.354 -0.017  0.355 -0.095  0.389 -0.164  0.424 -0.233  0.445 -0.305  0.445 -0.382  0.445 -0.460  0.445 -0.537  0.445 -0.614  0.445 -0.692  0.445 -0.769  0.445 -0.846  0.445 -0.923  0.445 -1.001  0.445 -1.078  0.401 -1.137  0.354 -1.195  0.354 -1.272  0.354 -1.350  0.327 -1.420  0.292 -1.490  0.250 -1.547  0.173 -1.547
3#app#app35#app3507/(  0.915 1.294  0.837 1.294  0.759 1.294  0.681 1.294  0.612 1.269  0.557 1.214  0.491 1.174  0.421 1.139  0.352 1.102  0.297 1.047  0.242 0.991  0.186 0.936  0.131 0.881  0.075 0.825  0.020 0.770  -0.035 0.715  -0.091 0.659  -0.131 0.593  -0.166 0.523  -0.201 0.453  -0.236 0.383  -0.271 0.313  -0.292 0.240  -0.300 0.164  -0.335 0.094  -0.370 0.024  -0.385 -0.051  -0.385 -0.129  -0.385 -0.208  -0.385 -0.286  -0.385 -0.364  -0.385 -0.442  -0.385 -0.521  -0.385 -0.599  -0.371 -0.671  -0.316 -0.727  -0.292 -0.795  -0.276 -0.868  -0.232 -0.934  -0.189 -0.999  -0.145 -1.064  -0.101 -1.128  -0.045 -1.183  0.010 -1.239  0.065 -1.294  0.079 -1.366  0.123 -1.401  0.172 -1.430  0.187 -1.494  0.265 -1.494
3#app#app35#app3507/7  -1.189 0.972  -1.105 0.972  -1.022 0.972  -0.938 0.972  -0.854 0.972  -0.771 0.972  -0.687 0.972  -0.604 0.972  -0.534 0.940  -0.474 0.881  -0.405 0.847  -0.321 0.847  -0.261 0.792  -0.202 0.733  -0.123 0.723  -0.039 0.723  0.044 0.723  0.058 0.653  0.087 0.598  0.170 0.598  0.254 0.598  0.307 0.568  0.307 0.485  0.307 0.401  0.307 0.318  0.307 0.234  0.307 0.150  0.307 0.067  0.307 -0.017  0.307 -0.100  0.307 -0.184  0.307 -0.267  0.307 -0.351  0.307 -0.434  0.307 -0.518  0.307 -0.601  0.307 -0.685  0.307 -0.768  0.307 -0.852  0.307 -0.935  0.307 -1.019  0.307 -1.102  0.307 -1.186  0.307 -1.269  0.307 -1.353  0.307 -1.436  0.307 -1.520  0.307 -1.603  0.307 -1.687  0.307 -1.770
3#app#app35#app3507/)  -1.178 1.113  -1.178 1.034  -1.114 1.019  -1.049 0.984  -0.993 0.928  -0.915 0.925  -0.836 0.925  -0.756 0.925  -0.686 0.903  -0.630 0.847  -0.563 0.806  -0.493 0.770  -0.421 0.736  -0.342 0.736  -0.263 0.736  -0.199 0.699  -0.143 0.643  -0.072 0.607  -0.001 0.572  0.065 0.529  0.121 0.473  0.163 0.407  0.199 0.337  0.234 0.266  0.290 0.210  0.346 0.154  0.402 0.098  0.422 0.027  0.422 -0.053  0.422 -0.132  0.422 -0.211  0.422 -0.290  0.472 -0.349  0.516 -0.410  0.516 -0.489  0.516 -0.569  0.516 -0.648  0.516 -0.727  0.500 -0.802  0.465 -0.873  0.429 -0.944  0.422 -1.022  0.422 -1.101  0.422 -1.180  0.422 -1.260  0.419 -1.338  0.363 -1.394  0.328 -1.458  0.328 -1.538  0.328 -1.617
3#app#app35#app3507/(  0.539 1.488  0.462 1.488  0.446 1.428  0.402 1.395  0.333 1.376  0.279 1.322  0.225 1.267  0.171 1.213  0.166 1.138  0.128 1.077  0.074 1.023  0.020 0.969  -0.035 0.915  -0.089 0.860  -0.114 0.794  -0.122 0.718  -0.146 0.646  -0.170 0.573  -0.195 0.500  -0.207 0.425  -0.207 0.349  -0.207 0.272  -0.207 0.195  -0.207 0.118  -0.207 0.042  -0.207 -0.035  -0.207 -0.112  -0.207 -0.189  -0.207 -0.265  -0.207 -0.342  -0.207 -0.419  -0.207 -0.495  -0.207 -0.572  -0.207 -0.649  -0.207 -0.726  -0.207 -0.802  -0.183 -0.869  -0.128 -0.923  -0.114 -0.994  -0.078 -1.049  -0.010 -1.083  0.059 -1.117  0.073 -1.186  0.104 -1.249  0.159 -1.304  0.166 -1.377  0.216 -1.404  0.259 -1.437  0.276 -1.498  0.353 -1.498
3#app#app35#app3507/8  0.572 1.218  0.394 1.218  0.258 1.176  0.143 1.114  -0.036 1.114  -0.198 1.076  -0.324 0.950  -0.481 0.898  -0.607 0.772  -0.733 0.646  -0.790 0.492  -0.790 0.313  -0.690 0.176  -0.564 0.050  -0.438 -0.076  -0.302 -0.189  -0.154 -0.288  -0.013 -0.396  0.130 -0.498  0.283 -0.587  0.409 -0.713  0.562 -0.772  0.617 -0.922  0.677 -1.075  0.633 -1.235  0.480 -1.296  0.345 -1.401  0.167 -1.401  0.006 -1.359  -0.146 -1.296  -0.307 -1.255  -0.410 -1.112  -0.498 -0.959  -0.580 -0.815  -0.566 -0.640  -0.487 -0.481  -0.475 -0.305  -0.389 -0.162  -0.303 -0.008  -0.198 0.133  -0.072 0.259  0.055 0.384  0.203 0.483  0.351 0.582  0.479 0.706  0.605 0.832  0.731 0.958  0.783 1.115  0.887 1.250  0.782 1.323
3#app#app35#app3507/)  -1.091 1.280  -1.036 1.224  -0.975 1.175  -0.904 1.140  -0.834 1.105  -0.757 1.095  -0.691 1.065  -0.635 1.009  -0.566 0.971  -0.496 0.936  -0.429 0.896  -0.373 0.840  -0.309 0.796  -0.238 0.761  -0.168 0.726  -0.097 0.690  -0.027 0.655  0.032 0.608  0.067 0.537  0.103 0.467  0.152 0.407  0.208 0.351  0.264 0.295  0.312 0.234  0.347 0.163  0.382 0.093  0.410 0.019  0.434 -0.056  0.459 -0.131  0.483 -0.206  0.483 -0.285  0.483 -0.363  0.483 -0.442  0.483 -0.521  0.464 -0.592  0.408 -0.648  0.391 -0.719  0.391 -0.798  0.371 -0.869  0.316 -0.925  0.298 -0.996  0.270 -1.064  0.214 -1.119  0.205 -1.195  0.205 -1.273  0.178 -1.341  0.122 -1.397  0.113 -1.472  0.076 -1.535  0.020 -1.591
3#app#app35#app3507/(  0.996 1.291  0.915 1.291  0.835 1.291  0.778 1.236  0.709 1.209  0.640 1.180  0.584 1.124  0.527 1.067  0.461 1.023  0.389 0.987  0.319 0.949  0.252 0.904  0.186 0.860  0.119 0.815  0.059 0.762  0.002 0.705  -0.054 0.649  -0.094 0.580  -0.130 0.508  -0.177 0.444  -0.232 0.386  -0.268 0.314  -0.303 0.243  -0.357 0.183  -0.391 0.118  -0.391 0.037  -0.411 -0.035  -0.468 -0.091  -0.473 -0.169  -0.473 -0.250  -0.473 -0.330  -0.473 -0.410  -0.473 -0.490  -0.443 -0.563  -0.407 -0.635  -0.371 -0.707  -0.336 -0.779  -0.294 -0.846  -0.237 -0.903  -0.228 -0.979  -0.181 -1.040  -0.125 -1.097  -0.068 -1.154  -0.065 -1.233  -0.012 -1.291  0.017 -1.359  0.055 -1.401  0.124 -1.427  0.181 -1.483  0.261 -1.483
3#app#app35#app3507/9  0.612 0.820  0.512 0.920  0.380 0.942  0.279 1.041  0.138 1.041  -0.003 1.041  -0.145 1.041  -0.282 1.032  -0.382 0.932  -0.520 0.918  -0.646 0.854  -0.772 0.791  -0.899 0.728  -1.006 0.638  -1.106 0.539  -1.156 0.418  -1.156 0.276  -1.156 0.135  -1.118 0.009  -1.018 -0.091  -0.914 -0.184  -0.787 -0.248  -0.655 -0.284  -0.540 -0.348  -0.418 -0.395  -0.277 -0.395  -0.135 -0.395  -0.011 -0.355  0.102 -0.284  0.243 -0.284  0.280 -0.181  0.376 -0.079  0.476 0.021  0.501 0.152  0.526 0.268  0.612 0.212  0.673 0.096  0.722 -0.025  0.722 -0.166  0.722 -0.307  0.722 -0.449  0.722 -0.590  0.722 -0.731  0.722 -0.873  0.722 -1.014  0.722 -1.155  0.722 -1.297  0.722 -1.438  0.722 -1.579  0.722 -1.721
