1c#apb#apb14#app1415/f  0.903 0.933  0.945 1.081  1.006 1.219  1.093 1.335  1.110 1.349  1.015 1.229  0.910 1.115  0.815 0.994  0.711 0.879  0.606 0.766  0.501 0.653  0.397 0.539  0.297 0.420  0.196 0.304  0.090 0.191  -0.014 0.077  -0.113 -0.041  -0.214 -0.158  -0.320 -0.271  -0.426 -0.384  -0.531 -0.496  -0.637 -0.609  -0.742 -0.722  -0.843 -0.839  -0.949 -0.951  -1.066 -1.051  -1.163 -1.172  -1.151 -1.276  -1.004 -1.233  -0.853 -1.217  -0.731 -1.123  -0.604 -1.034  -0.488 -0.934  -0.393 -0.812  -0.291 -0.696  -0.209 -0.566  -0.138 -0.429  -0.069 -0.291  -0.023 -0.143  0.017 0.006  0.038 0.159  0.062 0.311  0.066 0.466  0.054 0.615  0.067 0.497  0.128 0.361  0.267 0.295  0.408 0.240  0.561 0.227  0.706 0.188
1c#apb#apb14#app1415/e  -0.928 -0.460  -1.040 -0.406  -1.057 -0.344  -0.864 -0.344  -0.672 -0.338  -0.483 -0.297  -0.304 -0.227  -0.128 -0.147  0.060 -0.108  0.245 -0.060  0.412 0.037  0.579 0.133  0.752 0.219  0.887 0.353  1.004 0.506  1.133 0.643  1.201 0.794  1.191 0.984  1.037 1.056  0.845 1.075  0.653 1.086  0.469 1.045  0.293 0.967  0.123 0.874  -0.045 0.780  -0.208 0.677  -0.371 0.573  -0.534 0.469  -0.692 0.360  -0.828 0.223  -0.958 0.081  -1.070 -0.076  -1.166 -0.243  -1.190 -0.430  -1.190 -0.623  -1.097 -0.787  -0.926 -0.839  -0.733 -0.839  -0.540 -0.839  -0.350 -0.807  -0.162 -0.764  0.025 -0.718  0.212 -0.671  0.395 -0.608  0.575 -0.539  0.744 -0.447  0.916 -0.359  1.096 -0.292  1.256 -0.184  1.435 -0.139
1c#apb#apb14#app1415/w  -0.480 0.545  -0.406 0.689  -0.437 0.780  -0.570 0.683  -0.710 0.589  -0.837 0.478  -0.959 0.361  -1.078 0.242  -1.197 0.123  -1.316 0.003  -1.427 -0.124  -1.530 -0.257  -1.485 -0.391  -1.321 -0.414  -1.153 -0.408  -0.985 -0.393  -0.825 -0.342  -0.668 -0.282  -0.506 -0.233  -0.345 -0.185  -0.203 -0.095  -0.059 -0.006  0.089 0.075  0.227 0.170  0.346 0.289  0.473 0.400  0.596 0.515  0.525 0.469  0.378 0.386  0.255 0.272  0.141 0.148  0.039 0.013  -0.054 -0.127  -0.113 -0.284  -0.128 -0.447  0.005 -0.546  0.165 -0.586  0.333 -0.586  0.496 -0.544  0.658 -0.497  0.821 -0.453  0.980 -0.398  1.135 -0.332  1.287 -0.257  1.440 -0.189  1.523 -0.042  1.659 0.053  1.705 0.216  1.757 0.376  1.757 0.545
1c#apb#apb14#app1415/q  0.900 0.996  0.900 0.922  0.870 1.037  0.727 1.168  0.523 1.216  0.317 1.238  0.112 1.206  -0.089 1.148  -0.282 1.070  -0.466 0.973  -0.640 0.858  -0.795 0.721  -0.864 0.530  -0.726 0.384  -0.543 0.296  -0.337 0.262  -0.132 0.224  0.072 0.249  0.276 0.294  0.477 0.349  0.656 0.443  0.788 0.600  0.708 0.650  0.594 0.475  0.476 0.304  0.362 0.129  0.243 -0.042  0.110 -0.203  -0.038 -0.351  -0.176 -0.506  -0.310 -0.666  -0.439 -0.830  -0.570 -0.993  -0.707 -1.150  -0.846 -1.303  -0.959 -1.477  -0.879 -1.525  -0.689 -1.440  -0.498 -1.356  -0.304 -1.278  -0.120 -1.181  0.053 -1.066  0.212 -0.932  0.347 -0.772  0.417 -0.582  0.417 -0.373  0.394 -0.167  0.288 0.006  0.165 0.175  0.008 0.271
1c#apb#apb14#app1415/u  -0.553 0.492  -0.497 0.647  -0.375 0.759  -0.255 0.875  -0.217 0.817  -0.291 0.670  -0.409 0.552  -0.527 0.434  -0.646 0.316  -0.772 0.206  -0.901 0.100  -1.038 0.004  -1.169 -0.099  -1.279 -0.225  -1.386 -0.352  -1.464 -0.495  -1.482 -0.642  -1.340 -0.687  -1.172 -0.687  -1.006 -0.673  -0.842 -0.643  -0.688 -0.583  -0.541 -0.503  -0.393 -0.426  -0.237 -0.364  -0.082 -0.302  0.071 -0.235  0.220 -0.160  0.370 -0.085  0.513 0.001  0.654 0.091  0.786 0.193  0.911 0.303  1.038 0.412  1.143 0.535  1.194 0.691  1.272 0.799  1.182 0.667  1.107 0.524  1.013 0.388  0.916 0.252  0.818 0.116  0.728 -0.024  0.645 -0.169  0.575 -0.315  0.621 -0.476  0.719 -0.609  0.858 -0.702  1.021 -0.702  1.187 -0.687
1c#apb#apb14#app1415/i  -0.173 0.225  -0.146 0.227  -0.167 0.308  -0.116 0.333  -0.092 0.408  -0.085 0.394  -0.203 0.327  -0.274 0.210  -0.358 0.102  -0.457 0.009  -0.560 -0.081  -0.657 -0.178  -0.770 -0.254  -0.858 -0.354  -0.926 -0.473  -1.043 -0.544  -1.113 -0.658  -1.116 -0.794  -1.068 -0.920  -0.944 -0.967  -0.810 -0.995  -0.675 -1.012  -0.544 -0.976  -0.414 -0.933  -0.277 -0.933  -0.141 -0.930  -0.019 -0.869  0.104 -0.808  0.234 -0.766  0.360 -0.715  0.472 -0.638  0.554 -0.535  0.559 -0.398  0.563 -0.262  0.567 -0.125  0.572 0.012  0.576 0.149  0.581 0.285  0.585 0.422  0.589 0.559  0.594 0.696  0.598 0.833  0.602 0.969  0.607 1.106  0.640 1.238  0.714 1.347  0.818 1.436  0.931 1.511  1.042 1.551  1.146 1.464
1c#apb#apb14#app1415/p  0.517 0.727  0.567 0.874  0.515 0.856  0.441 0.702  0.349 0.557  0.248 0.419  0.150 0.279  0.056 0.135  -0.049 -0.000  -0.156 -0.135  -0.266 -0.266  -0.373 -0.401  -0.477 -0.537  -0.581 -0.673  -0.685 -0.810  -0.794 -0.942  -0.905 -1.073  -1.026 -1.194  -1.148 -1.315  -1.219 -1.295  -1.206 -1.126  -1.150 -0.964  -1.108 -0.798  -1.032 -0.645  -0.952 -0.493  -0.864 -0.346  -0.756 -0.213  -0.636 -0.091  -0.511 0.027  -0.374 0.129  -0.233 0.227  -0.094 0.328  0.044 0.429  0.188 0.523  0.332 0.616  0.480 0.703  0.623 0.798  0.769 0.883  0.934 0.929  1.081 0.892  1.135 0.731  1.196 0.572  1.242 0.407  1.231 0.239  1.160 0.089  0.999 0.033  0.831 0.001  0.660 0.009  0.500 0.064  0.347 0.140
1c#apb#apb14#app1415/s  1.311 0.843  1.401 0.862  1.295 0.843  1.158 0.843  1.028 0.877  0.901 0.924  0.765 0.936  0.629 0.947  0.493 0.945  0.357 0.935  0.221 0.924  0.090 0.888  -0.042 0.853  -0.165 0.795  -0.284 0.730  -0.403 0.663  -0.516 0.587  -0.596 0.479  -0.654 0.356  -0.637 0.237  -0.544 0.137  -0.423 0.075  -0.299 0.018  -0.175 -0.037  -0.048 -0.087  0.080 -0.134  0.209 -0.179  0.338 -0.222  0.467 -0.265  0.595 -0.313  0.711 -0.383  0.766 -0.485  0.662 -0.570  0.538 -0.625  0.413 -0.680  0.289 -0.736  0.165 -0.792  0.029 -0.792  -0.108 -0.792  -0.244 -0.796  -0.379 -0.817  -0.513 -0.838  -0.649 -0.840  -0.785 -0.829  -0.920 -0.819  -1.056 -0.804  -1.191 -0.789  -1.327 -0.772  -1.432 -0.703  -1.522 -0.601
1c#apb#apb14#app1415/g  0.492 0.663  0.593 0.786  0.650 0.952  0.657 1.126  0.551 1.272  0.439 1.414  0.275 1.467  0.108 1.420  -0.034 1.307  -0.152 1.170  -0.241 1.011  -0.340 0.858  -0.431 0.701  -0.481 0.527  -0.380 0.397  -0.212 0.335  -0.033 0.368  0.144 0.411  0.321 0.449  0.456 0.545  0.531 0.654  0.498 0.477  0.479 0.296  0.443 0.118  0.406 -0.061  0.362 -0.237  0.312 -0.412  0.237 -0.578  0.159 -0.742  0.080 -0.906  -0.010 -1.063  -0.121 -1.208  -0.222 -1.359  -0.331 -1.503  -0.463 -1.628  -0.610 -1.710  -0.699 -1.562  -0.716 -1.382  -0.697 -1.202  -0.658 -1.025  -0.612 -0.848  -0.546 -0.680  -0.460 -0.520  -0.361 -0.367  -0.249 -0.224  -0.125 -0.092  0.019 0.019  0.159 0.136  0.322 0.216  0.492 0.215
1c#apb#apb14#app1415/a  0.530 0.621  0.669 0.676  0.761 0.516  0.683 0.547  0.585 0.683  0.427 0.776  0.264 0.810  0.093 0.852  -0.086 0.877  -0.254 0.802  -0.430 0.749  -0.605 0.694  -0.770 0.610  -0.930 0.519  -1.080 0.412  -1.215 0.286  -1.329 0.143  -1.408 -0.023  -1.458 -0.200  -1.478 -0.377  -1.402 -0.540  -1.247 -0.635  -1.063 -0.635  -0.883 -0.598  -0.703 -0.558  -0.519 -0.558  -0.337 -0.534  -0.157 -0.492  0.016 -0.431  0.186 -0.359  0.340 -0.261  0.450 -0.117  0.505 0.058  0.482 0.233  0.361 0.365  0.177 0.365  0.053 0.256  0.018 0.080  0.057 -0.098  0.146 -0.259  0.273 -0.392  0.419 -0.503  0.591 -0.558  0.775 -0.558  0.960 -0.558  1.144 -0.567  1.328 -0.584  1.511 -0.563  1.688 -0.514  1.863 -0.456
1c#apb#apb14#app1415/l  0.214 0.609  0.252 0.684  0.278 0.762  0.278 0.846  0.278 0.930  0.278 1.015  0.258 1.096  0.213 1.167  0.187 1.247  0.163 1.326  0.108 1.377  0.126 1.296  0.112 1.213  0.098 1.131  0.085 1.048  0.074 0.964  0.063 0.881  0.052 0.798  0.041 0.714  0.033 0.630  0.025 0.547  0.016 0.463  0.008 0.380  -0.001 0.296  -0.012 0.213  -0.023 0.129  -0.034 0.046  -0.045 -0.038  -0.055 -0.121  -0.065 -0.204  -0.073 -0.288  -0.081 -0.372  -0.088 -0.456  -0.096 -0.539  -0.103 -0.623  -0.116 -0.706  -0.132 -0.789  -0.147 -0.871  -0.163 -0.954  -0.173 -1.037  -0.179 -1.121  -0.185 -1.205  -0.191 -1.289  -0.199 -1.373  -0.208 -1.456  -0.213 -1.540  -0.197 -1.620  -0.191 -1.703  -0.165 -1.721  -0.106 -1.781
