2#apa#apa14#app1492/v  -0.791 0.886  -0.791 1.010  -0.791 0.967  -0.791 0.843  -0.791 0.718  -0.791 0.593  -0.791 0.468  -0.771 0.348  -0.715 0.237  -0.659 0.125  -0.603 0.014  -0.547 -0.098  -0.492 -0.210  -0.447 -0.325  -0.416 -0.446  -0.386 -0.567  -0.356 -0.688  -0.326 -0.809  -0.295 -0.930  -0.228 -1.035  -0.159 -1.139  -0.090 -1.243  -0.020 -1.347  0.047 -1.415  0.102 -1.303  0.158 -1.192  0.214 -1.080  0.270 -0.969  0.326 -0.857  0.381 -0.745  0.437 -0.634  0.493 -0.522  0.534 -0.407  0.534 -0.282  0.534 -0.158  0.534 -0.033  0.534 0.092  0.534 0.217  0.534 0.341  0.534 0.466  0.534 0.591  0.534 0.716  0.534 0.840  0.534 0.965  0.534 1.090  0.534 1.215  0.534 1.340  0.534 1.464  0.534 1.507  0.534 1.383
2#apa#apa14#app1492/e  -0.079 -0.265  -0.079 -0.133  -0.079 -0.001  -0.079 0.131  -0.036 0.252  0.023 0.371  0.082 0.489  0.141 0.607  0.200 0.725  0.259 0.843  0.318 0.961  0.351 1.085  0.351 1.217  0.244 1.242  0.114 1.235  -0.012 1.193  -0.137 1.151  -0.262 1.110  -0.388 1.068  -0.511 1.024  -0.553 0.899  -0.595 0.774  -0.636 0.649  -0.678 0.523  -0.720 0.398  -0.726 0.267  -0.726 0.135  -0.726 0.003  -0.701 -0.125  -0.659 -0.250  -0.617 -0.376  -0.575 -0.501  -0.534 -0.626  -0.462 -0.728  -0.352 -0.802  -0.242 -0.875  -0.132 -0.948  -0.022 -1.021  0.087 -1.095  0.210 -1.127  0.342 -1.127  0.474 -1.127  0.602 -1.110  0.720 -1.051  0.838 -0.991  0.956 -0.932  1.074 -0.873  1.192 -0.814  1.310 -0.755  1.428 -0.696
2#apa#apa14#app1492/x  -1.117 0.814  -1.296 0.814  -1.474 0.814  -1.403 0.710  -1.271 0.592  -1.122 0.493  -0.974 0.394  -0.826 0.295  -0.685 0.187  -0.559 0.061  -0.433 -0.065  -0.307 -0.191  -0.181 -0.317  -0.088 -0.468  -0.008 -0.627  0.094 -0.764  0.253 -0.844  0.413 -0.923  0.572 -1.003  0.732 -1.083  0.877 -1.181  1.003 -1.307  0.986 -1.174  0.946 -1.001  0.906 -0.827  0.866 -0.653  0.826 -0.480  0.786 -0.306  0.745 -0.132  0.705 0.041  0.665 0.215  0.625 0.389  0.585 0.563  0.545 0.736  0.505 0.910  0.465 1.084  0.438 1.146  0.397 1.008  0.226 0.991  0.100 0.865  -0.026 0.739  -0.149 0.610  -0.215 0.445  -0.281 0.279  -0.348 0.114  -0.414 -0.052  -0.480 -0.217  -0.534 -0.385  -0.534 -0.563  -0.534 -0.741
2#apa#apa14#app1492/i  -0.014 0.110  -0.014 0.005  -0.014 -0.101  -0.014 -0.206  -0.014 -0.312  -0.014 -0.417  0.018 -0.517  0.052 -0.617  0.085 -0.717  0.118 -0.818  0.152 -0.918  0.162 -1.021  0.162 -1.127  0.162 -1.232  0.162 -1.338  0.162 -1.443  0.155 -1.410  0.144 -1.305  0.133 -1.200  0.122 -1.095  0.111 -0.990  0.100 -0.885  0.089 -0.780  0.078 -0.676  0.067 -0.571  0.056 -0.466  0.044 -0.361  0.033 -0.256  0.022 -0.151  0.011 -0.046  0.000 0.059  -0.011 0.164  -0.022 0.269  -0.033 0.374  -0.044 0.478  -0.055 0.583  -0.066 0.688  -0.077 0.793  -0.088 0.898  -0.099 1.003  -0.110 1.108  -0.121 1.213  -0.132 1.318  -0.143 1.423  -0.154 1.528  -0.165 1.632  -0.176 1.737  -0.187 1.842  -0.262 1.876  -0.368 1.876
2#apa#apa14#app1492/n  -0.645 0.901  -0.710 0.772  -0.774 0.644  -0.838 0.516  -0.794 0.379  -0.749 0.243  -0.703 0.107  -0.658 -0.029  -0.645 -0.171  -0.645 -0.314  -0.645 -0.458  -0.645 -0.601  -0.645 -0.745  -0.645 -0.888  -0.645 -1.032  -0.645 -1.175  -0.645 -1.136  -0.645 -0.992  -0.645 -0.849  -0.645 -0.705  -0.645 -0.562  -0.645 -0.418  -0.645 -0.275  -0.554 -0.169  -0.453 -0.067  -0.388 0.061  -0.324 0.189  -0.260 0.318  -0.159 0.420  -0.058 0.521  0.044 0.623  0.145 0.724  0.247 0.826  0.359 0.901  0.503 0.901  0.646 0.901  0.766 0.843  0.868 0.742  0.969 0.640  1.071 0.539  1.096 0.406  1.096 0.262  1.099 0.120  1.164 -0.009  1.228 -0.137  1.289 -0.266  1.289 -0.410  1.289 -0.553  1.289 -0.697  1.289 -0.840
2#apa#apa14#app1492/g  -0.103 0.762  0.024 0.779  0.024 0.924  -0.012 1.053  -0.120 1.143  -0.261 1.128  -0.390 1.064  -0.497 0.980  -0.543 0.842  -0.589 0.705  -0.612 0.564  -0.612 0.420  -0.612 0.275  -0.490 0.252  -0.360 0.315  -0.231 0.379  -0.128 0.482  -0.026 0.584  0.024 0.708  0.088 0.826  0.152 0.834  0.079 0.762  0.114 0.762  0.152 0.654  0.152 0.759  0.152 0.620  0.180 0.493  0.310 0.428  0.423 0.347  0.487 0.218  0.534 0.084  0.534 -0.061  0.552 -0.203  0.587 -0.344  0.622 -0.484  0.657 -0.624  0.603 -0.755  0.538 -0.884  0.473 -1.013  0.409 -1.143  0.344 -1.272  0.279 -1.402  0.137 -1.426  -0.005 -1.450  -0.148 -1.474  -0.291 -1.497  -0.434 -1.521  -0.577 -1.530  -0.722 -1.530  -0.867 -1.530
2#apa#apa14#app1492/d  0.325 2.101  0.325 1.933  0.325 1.764  0.325 1.595  0.325 1.427  0.325 1.258  0.325 1.089  0.325 0.920  0.325 0.752  0.338 0.584  0.362 0.417  0.385 0.250  0.409 0.083  0.433 -0.084  0.457 -0.251  0.481 -0.418  0.484 -0.587  0.484 -0.755  0.484 -0.912  0.484 -0.743  0.484 -0.575  0.468 -0.410  0.393 -0.259  0.316 -0.109  0.222 0.031  0.128 0.172  0.035 0.312  -0.106 0.391  -0.266 0.444  -0.426 0.498  -0.592 0.512  -0.722 0.419  -0.841 0.299  -0.946 0.174  -0.946 0.005  -0.946 -0.163  -0.946 -0.332  -0.927 -0.498  -0.874 -0.658  -0.821 -0.818  -0.743 -0.963  -0.621 -1.077  -0.452 -1.077  -0.284 -1.077  -0.116 -1.068  0.048 -1.027  0.211 -0.986  0.375 -0.945  0.524 -0.878  0.643 -0.759
2#apa#apa14#app1492/a  0.283 -0.551  0.407 -0.426  0.517 -0.290  0.596 -0.133  0.675 0.025  0.754 0.183  0.833 0.341  0.910 0.499  0.910 0.675  0.843 0.836  0.764 0.994  0.666 1.121  0.490 1.121  0.313 1.121  0.137 1.121  -0.027 1.070  -0.185 0.992  -0.343 0.913  -0.484 0.807  -0.625 0.701  -0.766 0.595  -0.907 0.490  -1.049 0.384  -1.180 0.273  -1.180 0.097  -1.180 -0.080  -1.180 -0.256  -1.180 -0.433  -1.180 -0.609  -1.162 -0.778  -1.037 -0.903  -0.897 -0.931  -0.739 -0.852  -0.581 -0.773  -0.423 -0.695  -0.265 -0.616  -0.113 -0.529  0.011 -0.404  0.153 -0.302  0.310 -0.223  0.468 -0.144  0.492 0.017  0.544 -0.029  0.623 -0.187  0.701 -0.345  0.701 -0.521  0.701 -0.698  0.803 -0.811  0.961 -0.890  1.118 -0.968
2#apa#apa14#app1492/f  0.400 0.010  0.400 0.198  0.400 0.385  0.400 0.572  0.400 0.760  0.400 0.947  0.400 1.135  0.400 1.322  0.400 1.509  0.279 1.576  0.091 1.576  -0.077 1.494  -0.235 1.401  -0.319 1.233  -0.403 1.066  -0.487 0.898  -0.539 0.723  -0.539 0.536  -0.539 0.348  -0.539 0.161  -0.539 -0.027  -0.539 -0.214  -0.495 -0.391  -0.412 -0.559  -0.328 -0.726  -0.244 -0.894  -0.160 -1.062  -0.076 -1.229  0.052 -1.364  0.185 -1.497  0.290 -1.461  0.374 -1.294  0.458 -1.126  0.542 -0.959  0.625 -0.791  0.709 -0.623  0.793 -0.456  0.853 -0.303  0.713 -0.255  0.635 -0.146  0.447 -0.146  0.260 -0.146  0.072 -0.146  -0.115 -0.146  -0.302 -0.146  -0.479 -0.194  -0.646 -0.278  -0.814 -0.362  -0.981 -0.446  -1.166 -0.459
2#apa#apa14#app1492/t  -0.395 1.732  -0.395 1.568  -0.395 1.404  -0.395 1.240  -0.393 1.076  -0.353 0.917  -0.313 0.757  -0.273 0.598  -0.234 0.439  -0.194 0.279  -0.133 0.128  -0.060 -0.019  0.014 -0.166  0.064 -0.321  0.104 -0.480  0.144 -0.639  0.184 -0.799  0.224 -0.958  0.272 -1.114  0.345 -1.261  0.419 -1.408  0.483 -1.461  0.529 -1.303  0.574 -1.145  0.619 -0.988  0.664 -0.830  0.709 -0.672  0.754 -0.514  0.799 -0.356  0.844 -0.198  0.889 -0.040  0.902 0.122  0.902 0.286  0.887 0.435  0.723 0.435  0.561 0.411  0.400 0.378  0.239 0.346  0.078 0.314  -0.083 0.282  -0.244 0.250  -0.405 0.219  -0.569 0.219  -0.733 0.219  -0.895 0.202  -1.055 0.163  -1.214 0.123  -1.373 0.083  -1.532 0.043  -1.692 0.003
2#apa#apa14#app1492/j  0.423 0.489  0.334 0.578  0.311 0.508  0.311 0.383  0.316 0.259  0.386 0.154  0.455 0.050  0.525 -0.054  0.535 -0.177  0.537 -0.302  0.561 -0.425  0.586 -0.548  0.610 -0.671  0.635 -0.794  0.646 -0.918  0.646 -1.043  0.646 -1.169  0.537 -1.185  0.411 -1.185  0.286 -1.185  0.165 -1.167  0.053 -1.111  -0.060 -1.055  -0.172 -0.999  -0.276 -0.932  -0.365 -0.843  -0.453 -0.755  -0.542 -0.666  -0.631 -0.577  -0.683 -0.479  -0.650 -0.358  -0.617 -0.237  -0.584 -0.116  -0.551 0.005  -0.518 0.126  -0.485 0.247  -0.452 0.368  -0.419 0.488  -0.386 0.609  -0.353 0.730  -0.320 0.851  -0.287 0.972  -0.254 1.093  -0.221 1.214  -0.188 1.335  -0.155 1.456  -0.122 1.577  -0.089 1.698  -0.056 1.819  -0.023 1.940
