3#apb#apb02#app0239/S  0.414 0.978  0.416 1.093  0.470 1.193  0.505 1.290  0.411 1.337  0.299 1.329  0.189 1.295  0.088 1.243  -0.006 1.178  -0.101 1.113  -0.190 1.041  -0.280 0.969  -0.368 0.896  -0.450 0.815  -0.531 0.734  -0.609 0.650  -0.679 0.560  -0.701 0.452  -0.661 0.356  -0.568 0.290  -0.466 0.236  -0.365 0.182  -0.254 0.154  -0.142 0.126  -0.031 0.098  0.077 0.061  0.183 0.016  0.289 -0.028  0.380 -0.096  0.465 -0.174  0.533 -0.264  0.593 -0.362  0.617 -0.469  0.609 -0.583  0.582 -0.694  0.544 -0.802  0.493 -0.904  0.431 -1.001  0.362 -1.091  0.269 -1.158  0.173 -1.220  0.070 -1.272  -0.037 -1.308  -0.151 -1.327  -0.264 -1.316  -0.375 -1.292  -0.465 -1.222  -0.538 -1.136  -0.594 -1.036  -0.637 -0.933
3#apb#apb02#app0239/e  -0.483 -0.102  -0.570 0.029  -0.464 0.035  -0.319 -0.024  -0.162 -0.024  -0.005 -0.024  0.149 -0.010  0.293 0.054  0.429 0.132  0.560 0.219  0.691 0.306  0.802 0.415  0.847 0.557  0.825 0.706  0.725 0.827  0.614 0.939  0.494 1.040  0.357 1.115  0.213 1.173  0.063 1.128  -0.090 1.091  -0.246 1.071  -0.384 0.996  -0.517 0.914  -0.641 0.817  -0.752 0.708  -0.843 0.579  -0.915 0.442  -0.956 0.290  -0.978 0.136  -0.978 -0.021  -0.946 -0.171  -0.880 -0.314  -0.813 -0.456  -0.730 -0.590  -0.648 -0.724  -0.530 -0.819  -0.388 -0.885  -0.246 -0.952  -0.093 -0.985  0.062 -1.013  0.217 -1.040  0.374 -1.032  0.531 -1.024  0.688 -1.015  0.845 -1.002  1.001 -0.989  1.145 -0.926  1.283 -0.851  1.368 -0.728
3#apb#apb02#app0239/p  -0.154 0.411  -0.214 0.580  -0.301 0.654  -0.329 0.470  -0.280 0.290  -0.222 0.113  -0.156 -0.063  -0.099 -0.240  -0.062 -0.424  -0.026 -0.607  0.019 -0.789  0.064 -0.971  0.106 -1.153  0.142 -1.336  0.190 -1.517  0.232 -1.699  0.202 -1.851  0.106 -1.710  0.021 -1.546  -0.044 -1.375  -0.081 -1.192  -0.117 -1.008  -0.154 -0.825  -0.191 -0.641  -0.227 -0.458  -0.264 -0.274  -0.301 -0.091  -0.338 0.093  -0.374 0.276  -0.411 0.460  -0.448 0.643  -0.484 0.827  -0.552 0.984  -0.523 1.132  -0.377 1.239  -0.202 1.305  -0.023 1.358  0.164 1.359  0.347 1.324  0.510 1.245  0.643 1.113  0.758 0.966  0.829 0.796  0.805 0.613  0.703 0.462  0.562 0.342  0.401 0.248  0.230 0.172  0.049 0.125  -0.132 0.168
3#apb#apb02#app0239/t  -0.238 0.933  -0.221 1.121  -0.168 1.301  -0.131 1.485  -0.129 1.674  -0.071 1.583  -0.064 1.395  -0.064 1.206  -0.064 1.018  -0.064 0.829  -0.064 0.640  -0.064 0.451  -0.064 0.262  -0.064 0.073  -0.064 -0.116  -0.064 -0.304  -0.051 -0.493  -0.031 -0.680  -0.009 -0.868  0.018 -1.055  0.078 -1.233  0.165 -1.392  0.337 -1.469  0.522 -1.506  0.706 -1.466  0.872 -1.376  0.936 -1.201  0.917 -1.013  0.916 -0.825  0.818 -0.698  0.647 -0.617  0.477 -0.537  0.306 -0.456  0.135 -0.376  -0.036 -0.295  -0.207 -0.215  -0.378 -0.134  -0.548 -0.054  -0.719 0.027  -0.890 0.107  -1.062 0.180  -0.988 0.262  -0.807 0.318  -0.627 0.373  -0.445 0.423  -0.262 0.473  -0.078 0.514  0.108 0.547  0.294 0.577  0.481 0.606
3#apb#apb02#app0239/.  -1.305 1.089  -1.256 1.040  -1.207 0.990  -1.157 0.941  -1.108 0.892  -1.059 0.842  -1.009 0.793  -0.960 0.743  -0.910 0.694  -0.861 0.645  -0.812 0.595  -0.762 0.546  -0.709 0.501  -0.654 0.457  -0.600 0.414  -0.545 0.370  -0.490 0.327  -0.436 0.283  -0.381 0.239  -0.327 0.196  -0.272 0.152  -0.218 0.108  -0.163 0.065  -0.109 0.021  -0.054 -0.022  0.000 -0.066  0.055 -0.110  0.110 -0.153  0.164 -0.197  0.219 -0.241  0.273 -0.284  0.328 -0.328  0.382 -0.372  0.437 -0.415  0.491 -0.459  0.546 -0.502  0.600 -0.546  0.661 -0.579  0.727 -0.601  0.793 -0.623  0.860 -0.645  0.926 -0.667  0.992 -0.689  1.058 -0.711  1.125 -0.733  1.191 -0.756  1.257 -0.778  1.323 -0.800  1.390 -0.822  1.456 -0.844
3#apb#apb02#app0239/2  -0.508 0.506  -0.588 0.586  -0.659 0.674  -0.685 0.776  -0.739 0.864  -0.710 0.961  -0.636 1.042  -0.526 1.070  -0.415 1.093  -0.303 1.109  -0.190 1.125  -0.078 1.131  0.035 1.122  0.148 1.112  0.258 1.084  0.366 1.051  0.463 0.996  0.534 0.916  0.547 0.803  0.550 0.691  0.530 0.579  0.509 0.468  0.469 0.362  0.427 0.257  0.366 0.163  0.293 0.076  0.219 -0.010  0.146 -0.097  0.075 -0.185  0.004 -0.274  -0.067 -0.362  -0.140 -0.448  -0.213 -0.535  -0.287 -0.621  -0.349 -0.715  -0.406 -0.814  -0.411 -0.926  -0.411 -1.039  -0.377 -1.145  -0.289 -1.216  -0.184 -1.252  -0.073 -1.277  0.040 -1.282  0.153 -1.282  0.264 -1.267  0.372 -1.231  0.482 -1.210  0.595 -1.210  0.694 -1.158  0.701 -1.065
3#apb#apb02#app0239/3  -0.611 1.082  -0.644 1.151  -0.520 1.207  -0.394 1.258  -0.261 1.294  -0.127 1.303  0.010 1.291  0.140 1.253  0.267 1.201  0.368 1.126  0.355 0.992  0.284 0.875  0.207 0.762  0.110 0.666  0.011 0.571  -0.102 0.493  -0.214 0.415  -0.324 0.333  -0.431 0.248  -0.534 0.158  -0.631 0.061  -0.646 -0.032  -0.510 -0.021  -0.373 -0.009  -0.237 0.007  -0.101 0.023  0.036 0.034  0.172 0.026  0.309 0.018  0.446 0.007  0.581 -0.018  0.709 -0.059  0.824 -0.130  0.838 -0.264  0.798 -0.395  0.739 -0.517  0.657 -0.626  0.574 -0.736  0.464 -0.817  0.353 -0.898  0.245 -0.981  0.137 -1.066  0.029 -1.151  -0.084 -1.227  -0.200 -1.301  -0.315 -1.376  -0.436 -1.441  -0.556 -1.506  -0.664 -1.588  -0.748 -1.694
3#apb#apb02#app0239/N  -0.460 0.533  -0.534 0.725  -0.572 0.920  -0.584 0.711  -0.596 0.502  -0.607 0.292  -0.623 0.083  -0.642 -0.126  -0.653 -0.335  -0.662 -0.545  -0.655 -0.754  -0.641 -0.963  -0.616 -1.171  -0.589 -1.064  -0.572 -0.856  -0.572 -0.646  -0.572 -0.436  -0.578 -0.227  -0.597 -0.018  -0.618 0.191  -0.643 0.399  -0.660 0.608  -0.646 0.816  -0.646 1.026  -0.600 0.949  -0.543 0.747  -0.459 0.556  -0.363 0.369  -0.257 0.189  -0.134 0.019  -0.001 -0.143  0.136 -0.302  0.275 -0.459  0.422 -0.609  0.571 -0.755  0.742 -0.877  0.930 -0.962  1.127 -1.032  1.245 -0.910  1.245 -0.701  1.201 -0.496  1.156 -0.292  1.120 -0.085  1.076 0.120  1.018 0.321  0.964 0.523  0.942 0.732  0.909 0.939  0.885 1.143  0.930 1.348
3#apb#apb02#app0239/o  -0.149 0.262  -0.199 0.389  -0.259 0.522  -0.364 0.580  -0.509 0.556  -0.626 0.464  -0.739 0.370  -0.831 0.252  -0.915 0.131  -0.976 -0.004  -1.029 -0.141  -1.041 -0.289  -1.043 -0.435  -0.983 -0.570  -0.899 -0.688  -0.788 -0.787  -0.665 -0.864  -0.525 -0.913  -0.385 -0.963  -0.242 -0.996  -0.094 -1.005  0.054 -1.014  0.200 -0.998  0.343 -0.960  0.487 -0.922  0.624 -0.867  0.761 -0.810  0.872 -0.716  0.970 -0.605  1.048 -0.480  1.114 -0.348  1.130 -0.203  1.130 -0.055  1.101 0.088  1.047 0.227  0.988 0.362  0.903 0.483  0.814 0.602  0.704 0.701  0.595 0.801  0.469 0.877  0.334 0.938  0.191 0.964  0.043 0.964  -0.104 0.953  -0.250 0.924  -0.395 0.893  -0.539 0.859  -0.676 0.809  -0.701 0.663
3#apb#apb02#app0239/v  -0.995 0.182  -1.022 0.308  -1.022 0.437  -0.987 0.561  -0.946 0.684  -0.885 0.797  -0.819 0.734  -0.791 0.607  -0.755 0.483  -0.708 0.362  -0.661 0.241  -0.612 0.121  -0.561 0.001  -0.510 -0.118  -0.459 -0.237  -0.407 -0.356  -0.355 -0.475  -0.303 -0.594  -0.233 -0.702  -0.152 -0.803  -0.071 -0.904  -0.003 -1.015  0.064 -1.126  0.138 -1.232  0.221 -1.332  0.330 -1.369  0.422 -1.278  0.440 -1.151  0.450 -1.022  0.457 -0.893  0.457 -0.763  0.457 -0.633  0.457 -0.503  0.457 -0.374  0.457 -0.244  0.457 -0.114  0.457 0.016  0.457 0.145  0.457 0.275  0.457 0.405  0.457 0.534  0.467 0.663  0.495 0.790  0.524 0.916  0.556 1.042  0.608 1.160  0.671 1.273  0.731 1.388  0.790 1.503  0.868 1.607
3#apb#apb02#app0239/.  -0.350 -1.862  -0.334 -1.778  -0.317 -1.694  -0.300 -1.611  -0.283 -1.527  -0.267 -1.443  -0.250 -1.360  -0.233 -1.276  -0.216 -1.192  -0.200 -1.108  -0.183 -1.025  -0.166 -0.941  -0.149 -0.857  -0.133 -0.774  -0.116 -0.690  -0.099 -0.606  -0.082 -0.523  -0.066 -0.439  -0.049 -0.355  -0.032 -0.272  -0.031 -0.186  -0.031 -0.101  -0.031 -0.016  -0.031 0.070  -0.031 0.155  -0.031 0.240  -0.031 0.325  -0.031 0.411  -0.031 0.496  -0.031 0.582  -0.031 0.667  -0.031 0.752  -0.031 0.838  -0.031 0.923  -0.031 1.008  0.051 1.011  0.136 1.011  0.222 1.011  0.307 1.011  0.392 1.011  0.478 1.011  0.563 1.011  0.566 1.011  0.481 1.011  0.396 1.011  0.310 1.011  0.225 1.011  0.140 1.011  0.054 1.011  -0.031 1.011
