1c#app#app08#app0804/w  -0.794 1.124  -0.830 1.017  -0.866 0.910  -0.866 0.787  -0.910 0.675  -0.939 0.560  -0.939 0.437  -0.939 0.315  -0.939 0.193  -0.939 0.070  -0.939 -0.052  -0.939 -0.174  -0.939 -0.297  -0.939 -0.419  -0.939 -0.541  -0.939 -0.664  -0.866 -0.714  -0.786 -0.755  -0.663 -0.755  -0.552 -0.729  -0.465 -0.643  -0.379 -0.556  -0.274 -0.495  -0.175 -0.425  -0.089 -0.339  -0.002 -0.252  0.073 -0.161  0.139 -0.105  0.146 -0.220  0.160 -0.336  0.259 -0.394  0.309 -0.466  0.431 -0.466  0.554 -0.466  0.648 -0.398  0.764 -0.374  0.872 -0.318  0.959 -0.231  1.045 -0.145  1.132 -0.058  1.158 0.053  1.158 0.176  1.158 0.298  1.158 0.420  1.158 0.543  1.158 0.665  1.158 0.787  1.155 0.907  1.085 0.960  1.013 1.052
1c#app#app08#app0804/a  0.373 1.127  0.349 1.285  0.215 1.333  0.143 1.444  -0.040 1.444  -0.102 1.324  -0.204 1.183  -0.364 1.127  -0.509 1.037  -0.578 0.883  -0.578 0.701  -0.672 0.557  -0.801 0.428  -0.895 0.284  -0.895 0.102  -0.895 -0.081  -0.895 -0.264  -0.895 -0.446  -0.895 -0.629  -0.895 -0.811  -0.853 -0.976  -0.718 -1.092  -0.535 -1.092  -0.353 -1.092  -0.170 -1.092  0.000 -1.041  0.163 -0.959  0.271 -0.822  0.352 -0.659  0.434 -0.495  0.516 -0.332  0.532 -0.153  0.532 0.029  0.532 0.212  0.532 0.395  0.532 0.577  0.532 0.760  0.532 0.677  0.532 0.495  0.516 0.319  0.387 0.190  0.373 0.013  0.373 -0.170  0.373 -0.352  0.427 -0.513  0.532 -0.652  0.532 -0.835  0.591 -0.993  0.720 -1.122  0.849 -1.251
1c#app#app08#app0804/r  -0.509 0.472  -0.384 0.472  -0.339 0.392  -0.339 0.267  -0.339 0.141  -0.339 0.016  -0.289 -0.088  -0.201 -0.176  -0.169 -0.288  -0.169 -0.413  -0.169 -0.538  -0.169 -0.664  -0.169 -0.789  -0.169 -0.914  -0.169 -1.039  -0.169 -1.164  -0.125 -1.271  -0.037 -1.359  0.001 -1.469  0.001 -1.540  0.001 -1.415  0.001 -1.290  0.001 -1.165  0.001 -1.040  0.001 -0.915  0.001 -0.789  0.001 -0.664  0.001 -0.539  0.001 -0.414  0.001 -0.289  0.001 -0.164  0.001 -0.039  0.001 0.086  0.001 0.211  0.001 0.336  0.001 0.461  0.001 0.586  0.050 0.691  0.138 0.779  0.171 0.891  0.171 1.016  0.171 1.141  0.171 1.266  0.220 1.371  0.308 1.459  0.397 1.547  0.485 1.636  0.600 1.661  0.680 1.706  0.680 1.831
1c#app#app08#app0804/m  -0.941 0.571  -0.941 0.382  -0.941 0.193  -0.941 0.004  -0.941 -0.186  -0.941 -0.375  -0.941 -0.564  -0.843 -0.655  -0.805 -0.806  -0.805 -0.995  -0.684 -1.064  -0.668 -1.164  -0.668 -0.974  -0.668 -0.785  -0.668 -0.596  -0.668 -0.407  -0.668 -0.218  -0.668 -0.028  -0.668 0.161  -0.645 0.345  -0.561 0.514  -0.532 0.696  -0.532 0.885  -0.438 0.980  -0.385 0.844  -0.231 0.787  -0.146 0.617  -0.026 0.474  0.013 0.301  0.145 0.167  0.183 -0.007  0.286 -0.154  0.286 -0.343  0.422 -0.370  0.469 -0.200  0.558 -0.048  0.640 0.108  0.694 0.274  0.811 0.415  0.856 0.571  1.022 0.626  1.103 0.633  1.193 0.481  1.240 0.311  1.258 0.126  1.342 -0.043  1.376 -0.224  1.512 -0.277  1.512 -0.466  1.648 -0.519
1c#app#app08#app0804/c  0.462 0.794  0.577 0.794  0.585 0.686  0.585 0.571  0.678 0.550  0.707 0.463  0.786 0.427  0.829 0.499  0.829 0.614  0.829 0.730  0.778 0.794  0.676 0.825  0.595 0.906  0.484 0.916  0.369 0.916  0.254 0.916  0.139 0.916  0.024 0.916  -0.073 0.870  -0.156 0.794  -0.271 0.794  -0.352 0.713  -0.434 0.631  -0.515 0.550  -0.597 0.469  -0.638 0.371  -0.654 0.258  -0.690 0.149  -0.726 0.040  -0.760 -0.070  -0.760 -0.185  -0.760 -0.300  -0.760 -0.415  -0.760 -0.530  -0.760 -0.645  -0.698 -0.735  -0.617 -0.816  -0.536 -0.897  -0.438 -0.956  -0.335 -1.008  -0.240 -1.070  -0.159 -1.152  -0.048 -1.162  0.040 -1.228  0.131 -1.284  0.246 -1.284  0.362 -1.284  0.477 -1.284  0.592 -1.284  0.707 -1.284
1c#app#app08#app0804/u  -0.899 1.396  -0.899 1.247  -0.899 1.097  -0.899 0.948  -0.978 0.831  -1.062 0.716  -1.062 0.567  -1.062 0.417  -1.062 0.268  -1.062 0.119  -1.062 -0.031  -1.062 -0.180  -0.988 -0.299  -0.899 -0.412  -0.892 -0.558  -0.786 -0.663  -0.680 -0.769  -0.574 -0.874  -0.425 -0.874  -0.276 -0.874  -0.126 -0.874  0.023 -0.874  0.073 -0.775  0.134 -0.651  0.235 -0.543  0.235 -0.394  0.337 -0.287  0.398 -0.162  0.433 -0.028  0.539 0.078  0.560 0.219  0.560 0.368  0.560 0.517  0.560 0.667  0.560 0.816  0.560 0.854  0.560 0.704  0.560 0.555  0.577 0.423  0.722 0.418  0.722 0.269  0.722 0.119  0.722 -0.030  0.804 -0.145  0.910 -0.251  1.015 -0.357  1.046 -0.493  1.112 -0.615  1.208 -0.725  1.208 -0.874
1c#app#app08#app0804/p  -0.444 0.785  -0.357 0.689  -0.348 0.517  -0.348 0.335  -0.348 0.153  -0.348 -0.029  -0.348 -0.211  -0.348 -0.393  -0.348 -0.575  -0.348 -0.757  -0.346 -0.938  -0.253 -1.081  -0.253 -1.263  -0.253 -1.445  -0.253 -1.627  -0.240 -1.796  -0.157 -1.696  -0.157 -1.514  -0.157 -1.332  -0.253 -1.190  -0.253 -1.008  -0.253 -0.826  -0.208 -0.655  -0.157 -0.485  -0.157 -0.303  -0.157 -0.121  -0.157 0.061  -0.157 0.243  -0.147 0.422  -0.066 0.585  -0.061 0.766  0.034 0.908  0.034 1.090  0.130 1.177  0.197 1.330  0.328 1.454  0.510 1.454  0.692 1.454  0.779 1.302  0.799 1.124  0.799 0.942  0.781 0.768  0.703 0.618  0.659 0.454  0.531 0.326  0.396 0.212  0.310 0.116  0.156 0.047  -0.000 -0.014  -0.157 -0.075
1c#app#app08#app0804/s  -0.380 1.398  -0.474 1.398  -0.567 1.396  -0.633 1.330  -0.700 1.263  -0.749 1.190  -0.749 1.096  -0.749 1.002  -0.749 0.909  -0.720 0.844  -0.626 0.844  -0.565 0.812  -0.565 0.718  -0.529 0.659  -0.435 0.659  -0.353 0.632  -0.286 0.566  -0.220 0.499  -0.195 0.416  -0.195 0.322  -0.133 0.290  -0.039 0.290  0.035 0.244  0.102 0.178  0.168 0.111  0.235 0.045  0.301 -0.022  0.359 -0.091  0.359 -0.185  0.370 -0.275  0.436 -0.341  0.502 -0.408  0.569 -0.474  0.635 -0.540  0.701 -0.607  0.729 -0.689  0.729 -0.783  0.729 -0.877  0.729 -0.971  0.685 -1.047  0.619 -1.113  0.552 -1.180  0.462 -1.188  0.368 -1.188  0.274 -1.188  0.180 -1.188  0.087 -1.188  -0.007 -1.188  -0.101 -1.188  -0.195 -1.188
1c#app#app08#app0804/o  -0.004 0.975  -0.010 1.128  -0.165 1.119  -0.278 1.007  -0.310 0.862  -0.363 0.715  -0.434 0.573  -0.530 0.449  -0.642 0.337  -0.754 0.225  -0.768 0.072  -0.768 -0.087  -0.768 -0.246  -0.768 -0.404  -0.768 -0.563  -0.768 -0.722  -0.752 -0.874  -0.640 -0.986  -0.528 -1.098  -0.396 -1.164  -0.245 -1.196  -0.103 -1.267  0.044 -1.316  0.187 -1.278  0.299 -1.166  0.456 -1.162  0.568 -1.049  0.607 -0.906  0.685 -0.780  0.797 -0.668  0.909 -0.556  0.912 -0.398  0.912 -0.239  0.912 -0.081  0.904 0.076  0.833 0.218  0.762 0.360  0.759 0.518  0.646 0.630  0.607 0.772  0.498 0.822  0.373 0.903  0.244 0.975  0.085 0.975  -0.053 0.926  -0.169 0.822  -0.326 0.814  -0.468 0.743  -0.610 0.672  -0.615 0.517
1c#app#app08#app0804/f  0.490 1.731  0.398 1.798  0.278 1.798  0.178 1.751  0.093 1.666  0.008 1.581  -0.057 1.484  -0.095 1.370  -0.108 1.252  -0.108 1.132  -0.125 1.015  -0.163 0.901  -0.174 0.783  -0.174 0.663  -0.174 0.543  -0.174 0.423  -0.174 0.303  -0.135 0.192  -0.108 0.079  -0.108 -0.041  -0.100 -0.160  -0.071 -0.277  -0.042 -0.393  0.012 -0.501  0.025 -0.617  0.060 -0.729  0.092 -0.842  0.117 -0.951  0.158 -1.054  0.158 -1.174  0.158 -1.294  0.158 -1.414  0.156 -1.516  0.123 -1.400  0.090 -1.285  0.057 -1.169  0.024 -1.054  -0.009 -0.939  -0.042 -0.823  -0.075 -0.708  -0.108 -0.593  -0.141 -0.477  -0.174 -0.362  -0.207 -0.246  -0.240 -0.131  -0.189 -0.063  -0.069 -0.063  0.051 -0.063  0.171 -0.063  0.291 -0.063
1c#app#app08#app0804/b  -0.452 1.967  -0.452 2.009  -0.452 1.847  -0.452 1.684  -0.452 1.521  -0.452 1.359  -0.452 1.196  -0.452 1.034  -0.452 0.871  -0.452 0.708  -0.452 0.546  -0.452 0.383  -0.452 0.220  -0.452 0.058  -0.452 -0.105  -0.452 -0.267  -0.452 -0.430  -0.380 -0.563  -0.349 -0.713  -0.349 -0.875  -0.349 -0.969  -0.282 -0.834  -0.247 -0.686  -0.197 -0.544  -0.144 -0.403  -0.144 -0.241  -0.069 -0.109  0.046 0.006  0.088 0.151  0.163 0.283  0.280 0.328  0.368 0.403  0.503 0.431  0.638 0.365  0.753 0.250  0.778 0.097  0.838 -0.040  0.880 -0.185  0.880 -0.348  0.880 -0.511  0.824 -0.650  0.734 -0.783  0.644 -0.901  0.573 -0.992  0.436 -1.038  0.301 -1.106  0.139 -1.106  -0.024 -1.106  -0.187 -1.106  -0.349 -1.106
