1c#apa#apa01#app0174/u  -1.059 1.092  -0.915 1.092  -0.972 1.092  -1.059 1.035  -1.059 0.892  -1.059 0.748  -1.059 0.605  -1.059 0.462  -1.059 0.318  -1.059 0.175  -1.059 0.032  -1.059 -0.111  -1.029 -0.243  -0.928 -0.344  -0.872 -0.464  -0.851 -0.586  -0.708 -0.586  -0.564 -0.586  -0.499 -0.664  -0.464 -0.773  -0.321 -0.773  -0.178 -0.773  -0.061 -0.708  0.040 -0.606  0.175 -0.586  0.247 -0.515  0.275 -0.400  0.418 -0.400  0.433 -0.271  0.433 -0.128  0.475 -0.027  0.619 -0.027  0.620 0.116  0.620 0.259  0.620 0.402  0.620 0.545  0.620 0.689  0.733 0.719  0.806 0.649  0.806 0.506  0.806 0.363  0.896 0.256  0.993 0.153  0.993 0.010  0.993 -0.133  1.037 -0.258  1.139 -0.360  1.179 -0.486  1.179 -0.629  1.179 -0.773
1c#apa#apa01#app0174/g  -0.001 0.397  0.111 0.509  0.223 0.621  0.275 0.758  0.275 0.917  0.185 1.039  0.047 1.087  -0.112 1.087  -0.271 1.087  -0.426 1.077  -0.538 0.965  -0.690 0.949  -0.803 0.838  -0.830 0.691  -0.830 0.532  -0.807 0.397  -0.648 0.397  -0.489 0.397  -0.356 0.336  -0.229 0.258  -0.139 0.328  -0.050 0.397  -0.001 0.507  -0.001 0.666  0.137 0.686  0.171 0.811  0.275 0.756  0.275 0.598  0.275 0.439  0.275 0.280  0.275 0.121  0.387 0.009  0.413 -0.139  0.413 -0.298  0.430 -0.449  0.543 -0.562  0.551 -0.717  0.551 -0.876  0.551 -1.034  0.551 -1.193  0.461 -1.261  0.413 -1.372  0.413 -1.531  0.261 -1.537  0.102 -1.537  -0.057 -1.537  -0.216 -1.537  -0.374 -1.537  -0.416 -1.420  -0.554 -1.399
1c#apa#apa01#app0174/g  0.229 0.518  0.229 0.682  0.175 0.824  0.041 0.896  -0.022 0.997  -0.162 1.022  -0.326 1.022  -0.490 1.022  -0.654 1.020  -0.770 0.904  -0.923 0.877  -1.030 0.757  -1.030 0.593  -1.030 0.428  -0.939 0.302  -0.790 0.266  -0.626 0.266  -0.462 0.266  -0.297 0.266  -0.133 0.266  0.031 0.266  0.103 0.358  0.103 0.522  0.103 0.686  0.184 0.770  0.229 0.651  0.355 0.612  0.355 0.448  0.463 0.392  0.501 0.266  0.607 0.208  0.607 0.043  0.607 -0.121  0.607 -0.285  0.607 -0.449  0.695 -0.577  0.733 -0.725  0.733 -0.890  0.733 -1.054  0.733 -1.218  0.607 -1.256  0.557 -1.371  0.393 -1.371  0.229 -1.371  0.065 -1.371  -0.100 -1.371  -0.264 -1.371  -0.383 -1.262  -0.536 -1.235  -0.652 -1.119
1c#apa#apa01#app0174/l  -0.437 1.567  -0.362 1.567  -0.309 1.546  -0.309 1.472  -0.309 1.397  -0.309 1.323  -0.265 1.267  -0.213 1.215  -0.181 1.154  -0.181 1.079  -0.181 1.005  -0.181 0.931  -0.181 0.857  -0.181 0.783  -0.181 0.708  -0.154 0.646  -0.101 0.593  -0.054 0.539  -0.054 0.464  -0.054 0.390  -0.054 0.316  -0.054 0.242  -0.054 0.168  -0.023 0.101  0.010 0.034  0.043 -0.032  0.074 -0.099  0.074 -0.173  0.074 -0.247  0.074 -0.321  0.074 -0.396  0.074 -0.470  0.074 -0.544  0.074 -0.618  0.074 -0.692  0.099 -0.756  0.152 -0.809  0.202 -0.862  0.202 -0.936  0.202 -1.011  0.202 -1.085  0.202 -1.159  0.202 -1.233  0.202 -1.307  0.214 -1.369  0.288 -1.369  0.329 -1.402  0.329 -1.476  0.383 -1.497  0.457 -1.497
1c#apa#apa01#app0174/e  -0.797 -0.132  -0.621 -0.132  -0.446 -0.132  -0.271 -0.132  -0.095 -0.132  -0.021 -0.030  -0.003 0.127  0.172 0.127  0.237 0.237  0.265 0.386  0.440 0.386  0.580 0.470  0.704 0.594  0.754 0.749  0.733 0.903  0.557 0.903  0.496 1.017  0.465 1.161  0.290 1.161  0.114 1.161  -0.021 1.121  -0.021 0.946  -0.153 0.903  -0.329 0.903  -0.504 0.903  -0.538 0.761  -0.596 0.644  -0.772 0.644  -0.797 0.494  -0.797 0.318  -0.797 0.143  -0.797 -0.032  -0.797 -0.208  -0.797 -0.383  -0.797 -0.559  -0.711 -0.649  -0.537 -0.650  -0.413 -0.774  -0.289 -0.898  -0.165 -1.022  -0.041 -1.146  0.127 -1.166  0.302 -1.166  0.478 -1.166  0.653 -1.166  0.828 -1.166  1.004 -1.166  1.179 -1.166  1.272 -1.083  1.272 -0.907
1c#apa#apa01#app0174/r  -0.642 0.614  -0.642 0.479  -0.622 0.353  -0.526 0.258  -0.431 0.163  -0.402 0.040  -0.402 -0.095  -0.402 -0.230  -0.390 -0.359  -0.295 -0.454  -0.199 -0.550  -0.162 -0.669  -0.162 -0.804  -0.162 -0.938  -0.158 -1.071  -0.063 -1.166  0.033 -1.262  0.078 -1.377  0.078 -1.512  0.078 -1.448  0.078 -1.313  0.078 -1.178  0.061 -1.050  -0.034 -0.955  -0.129 -0.860  -0.162 -0.739  -0.162 -0.604  -0.162 -0.470  -0.162 -0.335  -0.162 -0.200  -0.162 -0.066  -0.162 0.069  -0.162 0.204  -0.162 0.339  -0.162 0.473  -0.162 0.608  -0.071 0.705  0.024 0.800  0.078 0.912  0.078 1.047  0.166 1.094  0.301 1.094  0.401 1.177  0.496 1.272  0.605 1.334  0.740 1.334  0.875 1.334  1.009 1.334  1.144 1.334  1.279 1.334
1c#apa#apa01#app0174/s  0.332 1.320  0.224 1.320  0.122 1.305  0.045 1.228  -0.031 1.152  -0.128 1.124  -0.236 1.124  -0.344 1.124  -0.452 1.123  -0.452 1.014  -0.473 0.928  -0.581 0.928  -0.647 0.886  -0.647 0.777  -0.647 0.669  -0.647 0.561  -0.564 0.536  -0.456 0.536  -0.378 0.462  -0.302 0.386  -0.212 0.340  -0.104 0.340  -0.015 0.295  0.062 0.218  0.139 0.144  0.248 0.144  0.349 0.127  0.426 0.051  0.502 -0.026  0.528 -0.123  0.528 -0.232  0.528 -0.340  0.528 -0.448  0.528 -0.556  0.528 -0.664  0.528 -0.773  0.528 -0.881  0.528 -0.989  0.462 -1.031  0.354 -1.031  0.271 -1.093  0.194 -1.169  0.110 -1.227  0.002 -1.227  -0.060 -1.274  -0.060 -1.382  -0.127 -1.423  -0.235 -1.423  -0.343 -1.423  -0.452 -1.423
1c#apa#apa01#app0174/w  -1.316 0.942  -1.189 0.910  -1.189 0.752  -1.189 0.593  -1.189 0.435  -1.166 0.286  -1.063 0.170  -1.063 0.012  -1.063 -0.146  -0.986 -0.273  -0.936 -0.411  -0.851 -0.534  -0.810 -0.675  -0.678 -0.701  -0.557 -0.664  -0.488 -0.575  -0.431 -0.474  -0.337 -0.354  -0.304 -0.209  -0.202 -0.093  -0.178 0.055  -0.178 0.213  -0.134 0.354  -0.052 0.395  -0.052 0.236  -0.052 0.078  -0.041 -0.069  0.075 -0.112  0.075 -0.271  0.075 -0.429  0.173 -0.547  0.285 -0.659  0.425 -0.701  0.546 -0.793  0.690 -0.828  0.807 -0.728  0.919 -0.616  0.960 -0.474  1.053 -0.355  1.086 -0.210  1.086 -0.052  1.086 0.107  1.086 0.265  1.086 0.423  1.086 0.582  1.086 0.740  1.086 0.898  1.005 1.023  0.960 1.163  0.960 1.321
1c#apa#apa01#app0174/i  -0.053 -0.357  0.014 -0.423  0.075 -0.492  0.075 -0.586  0.075 -0.679  0.099 -0.763  0.165 -0.830  0.202 -0.908  0.207 -1.000  0.274 -1.066  0.330 -1.136  0.330 -1.230  0.330 -1.324  0.330 -1.336  0.330 -1.242  0.330 -1.149  0.312 -1.057  0.287 -0.967  0.263 -0.876  0.238 -0.786  0.213 -0.695  0.189 -0.605  0.164 -0.514  0.139 -0.424  0.115 -0.333  0.090 -0.243  0.065 -0.152  0.041 -0.062  0.016 0.029  -0.009 0.119  -0.034 0.210  -0.058 0.300  -0.083 0.391  -0.108 0.481  -0.132 0.572  -0.157 0.662  -0.182 0.753  -0.206 0.843  -0.231 0.934  -0.256 1.024  -0.280 1.115  -0.305 1.205  -0.330 1.296  -0.354 1.386  -0.379 1.477  -0.404 1.567  -0.428 1.658  -0.435 1.751  -0.435 1.777  -0.435 1.683
1c#apa#apa01#app0174/l  -0.320 1.623  -0.268 1.570  -0.215 1.517  -0.175 1.459  -0.175 1.384  -0.175 1.310  -0.175 1.235  -0.175 1.160  -0.175 1.085  -0.143 1.043  -0.068 1.043  -0.030 1.006  -0.030 0.932  -0.030 0.857  -0.030 0.782  -0.030 0.707  -0.030 0.633  -0.030 0.558  -0.030 0.483  -0.030 0.408  -0.030 0.334  -0.030 0.259  -0.030 0.184  -0.030 0.109  -0.030 0.035  -0.030 -0.040  -0.030 -0.115  -0.030 -0.189  -0.030 -0.264  -0.030 -0.339  -0.030 -0.414  -0.030 -0.488  -0.023 -0.560  0.030 -0.613  0.083 -0.666  0.115 -0.727  0.115 -0.802  0.115 -0.877  0.115 -0.951  0.115 -1.026  0.115 -1.101  0.115 -1.176  0.115 -1.250  0.115 -1.325  0.115 -1.400  0.166 -1.423  0.241 -1.423  0.299 -1.463  0.352 -1.516  0.405 -1.568
1c#apa#apa01#app0174/l  -0.482 1.529  -0.409 1.529  -0.361 1.505  -0.361 1.432  -0.361 1.359  -0.360 1.286  -0.309 1.234  -0.257 1.183  -0.205 1.131  -0.154 1.080  -0.118 1.021  -0.118 0.948  -0.118 0.875  -0.118 0.802  -0.118 0.729  -0.108 0.659  -0.075 0.594  -0.042 0.528  -0.010 0.463  0.034 0.406  0.086 0.354  0.124 0.297  0.124 0.224  0.124 0.151  0.124 0.078  0.124 0.005  0.124 -0.068  0.124 -0.141  0.124 -0.214  0.124 -0.287  0.124 -0.360  0.124 -0.433  0.124 -0.506  0.124 -0.579  0.124 -0.652  0.124 -0.725  0.124 -0.797  0.124 -0.870  0.124 -0.943  0.124 -1.016  0.124 -1.089  0.124 -1.162  0.124 -1.235  0.124 -1.308  0.124 -1.381  0.124 -1.454  0.148 -1.504  0.221 -1.504  0.246 -1.552  0.246 -1.625
1c#apa#apa01#app0174/d  0.312 -0.867  0.312 -0.640  0.312 -0.412  0.312 -0.185  0.172 -0.098  0.032 -0.011  -0.071 0.114  -0.298 0.114  -0.526 0.114  -0.753 0.114  -0.930 -0.007  -0.949 -0.226  -1.089 -0.314  -1.089 -0.541  -1.089 -0.768  -1.089 -0.995  -0.949 -1.083  -0.786 -1.147  -0.559 -1.147  -0.332 -1.147  -0.147 -1.045  -0.075 -0.867  0.032 -0.747  0.079 -0.539  0.172 -0.350  0.172 -0.123  0.172 0.105  0.312 0.274  0.312 0.501  0.449 0.672  0.452 0.898  0.452 1.125  0.452 1.352  0.452 1.580  0.452 1.807  0.452 1.837  0.452 1.610  0.452 1.382  0.395 1.178  0.312 0.986  0.312 0.758  0.312 0.531  0.312 0.304  0.312 0.077  0.312 -0.151  0.312 -0.378  0.312 -0.605  0.312 -0.833  0.312 -1.060  0.452 -1.147
1c#apa#apa01#app0174/e  -0.383 -0.456  -0.222 -0.456  -0.062 -0.456  0.099 -0.456  0.246 -0.422  0.359 -0.309  0.411 -0.170  0.411 -0.009  0.411 0.151  0.411 0.312  0.411 0.472  0.411 0.633  0.411 0.793  0.411 0.954  0.411 1.114  0.411 1.275  0.305 1.329  0.144 1.329  -0.016 1.329  -0.177 1.329  -0.184 1.176  -0.266 1.049  -0.379 0.936  -0.539 0.933  -0.581 0.815  -0.581 0.654  -0.623 0.536  -0.779 0.531  -0.779 0.371  -0.779 0.210  -0.779 0.050  -0.779 -0.111  -0.779 -0.271  -0.779 -0.432  -0.643 -0.456  -0.581 -0.554  -0.538 -0.697  -0.424 -0.811  -0.281 -0.852  -0.139 -0.897  -0.026 -1.011  0.118 -1.051  0.279 -1.051  0.439 -1.051  0.600 -1.051  0.760 -1.051  0.921 -1.051  1.081 -1.051  1.242 -1.051  1.402 -1.051
1c#apa#apa01#app0174/s  0.558 0.661  0.408 0.662  0.404 0.811  0.252 0.811  0.102 0.816  -0.006 0.924  -0.143 0.962  -0.295 0.962  -0.448 0.962  -0.600 0.962  -0.752 0.962  -0.874 0.886  -0.995 0.811  -1.147 0.811  -1.250 0.762  -1.214 0.624  -1.106 0.517  -0.957 0.510  -0.846 0.408  -0.714 0.359  -0.562 0.359  -0.409 0.359  -0.283 0.296  -0.167 0.208  -0.044 0.179  -0.013 0.058  0.140 0.058  0.292 0.058  0.408 0.021  0.435 -0.120  0.543 -0.228  0.688 -0.244  0.709 -0.375  0.804 -0.489  0.860 -0.618  0.934 -0.696  1.011 -0.772  1.011 -0.924  1.011 -1.077  0.930 -1.148  0.777 -1.148  0.625 -1.148  0.472 -1.148  0.329 -1.109  0.193 -1.041  0.051 -0.997  -0.085 -0.957  -0.193 -0.849  -0.344 -0.847  -0.497 -0.847
