3#apa#apa02#app0248/b  -0.028 1.653  -0.028 1.835  -0.150 1.896  -0.231 1.733  -0.271 1.560  -0.271 1.378  -0.271 1.196  -0.271 1.014  -0.312 0.842  -0.393 0.678  -0.393 0.496  -0.393 0.314  -0.393 0.132  -0.393 -0.050  -0.421 -0.226  -0.502 -0.389  -0.514 -0.568  -0.514 -0.750  -0.514 -0.932  -0.514 -1.114  -0.514 -1.227  -0.514 -1.045  -0.465 -0.871  -0.407 -0.698  -0.386 -0.520  -0.304 -0.357  -0.195 -0.214  -0.066 -0.085  -0.028 0.081  0.020 0.243  0.148 0.372  0.277 0.501  0.435 0.560  0.617 0.560  0.701 0.461  0.822 0.401  0.822 0.219  0.935 0.083  0.943 -0.095  0.867 -0.246  0.822 -0.409  0.781 -0.574  0.701 -0.723  0.573 -0.782  0.441 -0.906  0.278 -0.987  0.104 -1.019  -0.028 -1.140  -0.210 -1.140  -0.393 -1.140
3#apa#apa02#app0248/i  0.094 0.628  0.094 0.762  0.094 0.628  0.094 0.494  0.094 0.360  0.094 0.225  0.094 0.091  0.094 -0.043  0.094 -0.177  0.094 -0.311  0.094 -0.446  0.094 -0.580  0.094 -0.714  0.094 -0.848  0.094 -0.983  -0.040 -0.983  -0.040 -1.117  -0.040 -1.251  -0.040 -1.385  -0.040 -1.519  -0.040 -1.654  -0.040 -1.519  -0.040 -1.385  -0.040 -1.251  -0.040 -1.117  -0.040 -0.983  -0.040 -0.848  -0.040 -0.714  -0.040 -0.580  -0.040 -0.446  -0.040 -0.311  -0.040 -0.177  -0.040 -0.043  -0.040 0.091  -0.040 0.225  -0.040 0.360  -0.040 0.494  -0.040 0.628  -0.040 0.762  -0.040 0.897  -0.040 1.031  -0.040 1.165  -0.040 1.299  -0.040 1.433  -0.040 1.568  -0.040 1.702  -0.040 1.836  -0.040 1.702  -0.040 1.568  -0.040 1.433
3#apa#apa02#app0248/g  -0.152 0.891  -0.099 1.002  -0.200 1.138  -0.406 1.138  -0.612 1.138  -0.733 1.050  -0.820 0.880  -0.899 0.705  -0.964 0.510  -0.974 0.306  -0.892 0.134  -0.751 0.069  -0.565 0.150  -0.419 0.295  -0.331 0.465  -0.186 0.610  -0.152 0.802  -0.069 0.974  0.013 1.130  0.013 0.924  0.013 0.719  0.048 0.527  0.095 0.341  0.095 0.135  0.129 -0.066  0.180 -0.266  0.260 -0.453  0.290 -0.651  0.342 -0.845  0.342 -1.050  0.342 -1.256  0.342 -1.462  0.260 -1.634  0.112 -1.740  -0.063 -1.665  -0.092 -1.471  -0.152 -1.290  -0.152 -1.085  -0.097 -0.892  -0.069 -0.692  0.061 -0.541  0.196 -0.387  0.304 -0.215  0.410 -0.041  0.580 0.065  0.728 0.208  0.914 0.287  1.081 0.397  1.287 0.398  1.411 0.315
3#apa#apa02#app0248/i  -0.062 0.188  -0.039 0.296  0.047 0.343  0.047 0.336  0.047 0.204  0.047 0.072  0.047 -0.060  0.047 -0.192  0.047 -0.324  0.047 -0.456  -0.040 -0.552  -0.062 -0.675  -0.062 -0.807  -0.062 -0.938  -0.062 -1.070  -0.062 -1.202  -0.062 -1.334  -0.062 -1.466  -0.062 -1.598  -0.060 -1.593  -0.055 -1.461  -0.050 -1.329  -0.046 -1.197  -0.041 -1.065  -0.037 -0.934  -0.032 -0.802  -0.028 -0.670  -0.023 -0.538  -0.019 -0.406  -0.014 -0.274  -0.010 -0.143  -0.005 -0.011  -0.000 0.121  0.004 0.253  0.009 0.385  0.013 0.517  0.018 0.648  0.022 0.780  0.027 0.912  0.031 1.044  0.036 1.176  0.040 1.308  0.045 1.439  0.047 1.571  -0.055 1.601  -0.062 1.694  -0.023 1.601  0.109 1.601  0.156 1.516  0.264 1.493
3#apa#apa02#app0248/n  -0.890 0.951  -0.750 0.922  -0.750 0.752  -0.750 0.583  -0.750 0.414  -0.750 0.245  -0.750 0.076  -0.705 -0.075  -0.610 -0.205  -0.610 -0.374  -0.610 -0.543  -0.610 -0.713  -0.610 -0.882  -0.610 -1.051  -0.610 -1.220  -0.610 -1.389  -0.610 -1.306  -0.610 -1.137  -0.578 -0.981  -0.469 -0.857  -0.438 -0.700  -0.329 -0.576  -0.329 -0.407  -0.277 -0.259  -0.169 -0.131  -0.094 0.020  -0.049 0.179  -0.005 0.337  0.071 0.489  0.160 0.632  0.254 0.773  0.347 0.914  0.372 1.076  0.386 1.231  0.555 1.231  0.652 1.159  0.753 1.091  0.792 0.961  0.792 0.791  0.792 0.622  0.792 0.453  0.792 0.284  0.888 0.154  0.933 0.003  0.933 -0.166  0.933 -0.335  0.933 -0.504  0.933 -0.674  0.933 -0.843  0.933 -1.012
3#apa#apa02#app0248/k  -0.935 1.283  -0.806 1.386  -0.730 1.283  -0.642 1.119  -0.548 0.927  -0.548 0.695  -0.548 0.464  -0.482 0.247  -0.419 0.031  -0.419 -0.201  -0.419 -0.433  -0.427 -0.661  -0.548 -0.842  -0.548 -1.074  -0.548 -1.306  -0.548 -1.537  -0.430 -1.380  -0.302 -1.188  -0.173 -0.995  -0.045 -0.802  0.083 -0.609  0.212 -0.417  0.340 -0.224  0.469 -0.031  0.597 0.162  0.726 0.354  0.854 0.547  0.983 0.740  1.111 0.933  1.240 1.125  1.063 1.154  0.881 1.034  0.679 0.962  0.478 0.889  0.356 0.708  0.211 0.566  0.023 0.435  -0.140 0.271  -0.304 0.107  -0.468 -0.057  -0.632 -0.220  -0.639 -0.395  -0.536 -0.524  -0.305 -0.524  -0.073 -0.524  0.138 -0.609  0.360 -0.653  0.591 -0.653  0.769 -0.782  1.001 -0.782
3#apa#apa02#app0248/y  -1.191 1.201  -1.191 1.022  -1.235 0.852  -1.279 0.683  -1.279 0.503  -1.199 0.343  -1.191 0.165  -1.135 0.008  -0.969 -0.023  -0.789 -0.023  -0.652 0.079  -0.502 0.152  -0.372 0.271  -0.245 0.398  -0.180 0.551  -0.085 0.701  -0.005 0.862  0.034 1.032  0.103 1.183  0.209 1.084  0.209 0.904  0.209 0.724  0.209 0.545  0.209 0.365  0.296 0.222  0.296 0.042  0.296 -0.138  0.296 -0.317  0.296 -0.497  0.314 -0.672  0.384 -0.836  0.384 -1.015  0.384 -1.195  0.384 -1.375  0.252 -1.423  0.121 -1.375  0.034 -1.231  0.049 -1.058  0.121 -0.908  0.179 -0.753  0.301 -0.622  0.357 -0.452  0.452 -0.305  0.588 -0.198  0.732 -0.112  0.859 0.015  1.012 0.080  1.161 0.152  1.341 0.152  1.433 0.239
3#apa#apa02#app0248/d  0.205 2.162  0.205 1.975  0.205 1.787  0.205 1.600  0.205 1.413  0.205 1.226  0.205 1.039  0.205 0.851  0.205 0.664  0.205 0.477  0.205 0.290  0.288 0.122  0.339 -0.053  0.339 -0.240  0.339 -0.427  0.339 -0.615  0.339 -0.762  0.339 -0.575  0.339 -0.388  0.339 -0.201  0.339 -0.014  0.339 0.174  0.339 0.361  0.213 0.422  0.160 0.556  -0.028 0.556  -0.215 0.556  -0.381 0.505  -0.513 0.373  -0.646 0.241  -0.778 0.108  -0.910 -0.024  -0.999 -0.175  -0.999 -0.362  -0.999 -0.549  -0.999 -0.736  -0.994 -0.921  -0.860 -1.050  -0.673 -1.050  -0.486 -1.050  -0.298 -1.050  -0.111 -1.050  0.071 -1.045  0.129 -0.916  0.317 -0.916  0.455 -0.799  0.627 -0.762  0.767 -0.648  0.874 -0.568  1.008 -0.514
3#apa#apa02#app0248/e  -0.725 -0.356  -0.571 -0.356  -0.417 -0.356  -0.264 -0.354  -0.155 -0.245  -0.019 -0.202  0.108 -0.136  0.226 -0.049  0.348 -0.017  0.371 0.127  0.480 0.236  0.589 0.345  0.655 0.471  0.716 0.564  0.808 0.626  0.808 0.780  0.808 0.934  0.763 1.069  0.655 1.178  0.653 1.330  0.499 1.330  0.345 1.330  0.195 1.327  0.192 1.174  0.083 1.065  -0.026 0.956  -0.135 0.847  -0.244 0.739  -0.265 0.593  -0.353 0.476  -0.462 0.367  -0.571 0.258  -0.572 0.105  -0.572 -0.049  -0.681 -0.158  -0.725 -0.294  -0.725 -0.448  -0.725 -0.602  -0.659 -0.728  -0.572 -0.846  -0.550 -0.991  -0.441 -1.100  -0.332 -1.208  -0.206 -1.275  -0.069 -1.318  0.040 -1.427  0.193 -1.428  0.347 -1.428  0.501 -1.428  0.655 -1.428
3#apa#apa02#app0248/v  -0.693 1.154  -0.799 1.154  -0.821 1.070  -0.821 0.963  -0.821 0.857  -0.821 0.750  -0.821 0.644  -0.821 0.538  -0.821 0.431  -0.821 0.325  -0.821 0.218  -0.821 0.112  -0.821 0.006  -0.821 -0.101  -0.821 -0.207  -0.784 -0.298  -0.709 -0.373  -0.693 -0.473  -0.693 -0.579  -0.653 -0.646  -0.564 -0.664  -0.564 -0.770  -0.463 -0.775  -0.356 -0.775  -0.250 -0.775  -0.144 -0.775  -0.037 -0.775  0.069 -0.775  0.176 -0.775  0.260 -0.722  0.335 -0.647  0.411 -0.572  0.495 -0.518  0.599 -0.512  0.674 -0.437  0.739 -0.354  0.787 -0.259  0.834 -0.164  0.882 -0.069  0.929 0.026  0.977 0.121  1.051 0.197  1.107 0.280  1.107 0.387  1.107 0.493  1.107 0.600  1.107 0.706  1.107 0.812  1.107 0.919  1.107 1.025
3#apa#apa02#app0248/i  0.075 0.355  0.073 0.240  -0.039 0.235  -0.039 0.118  -0.047 0.004  -0.130 -0.079  -0.154 -0.186  -0.154 -0.303  -0.216 -0.395  -0.269 -0.490  -0.269 -0.608  -0.269 -0.725  -0.269 -0.842  -0.269 -0.959  -0.269 -1.076  -0.269 -1.193  -0.269 -1.311  -0.269 -1.428  -0.202 -1.478  -0.144 -1.410  -0.128 -1.294  -0.111 -1.178  -0.095 -1.062  -0.078 -0.946  -0.061 -0.830  -0.045 -0.714  -0.028 -0.598  -0.012 -0.482  0.005 -0.366  0.021 -0.250  0.038 -0.134  0.055 -0.018  0.071 0.098  0.088 0.214  0.104 0.330  0.121 0.446  0.137 0.562  0.154 0.678  0.171 0.794  0.187 0.910  0.204 1.026  0.220 1.142  0.237 1.258  0.253 1.374  0.270 1.490  0.287 1.606  0.303 1.722  0.304 1.839  0.304 1.956  0.419 1.959
