1b#tos#f3#f3036063/A  -0.826 -0.911  -0.847 -1.100  -1.035 -1.175  -1.008 -1.186  -0.961 -0.995  -0.944 -0.797  -0.839 -0.624  -0.758 -0.438  -0.677 -0.253  -0.613 -0.061  -0.533 0.124  -0.453 0.309  -0.395 0.503  -0.317 0.691  -0.227 0.872  -0.153 1.061  -0.014 1.206  0.087 1.372  0.210 1.530  0.255 1.688  0.355 1.611  0.390 1.443  0.390 1.241  0.431 1.043  0.465 0.845  0.538 0.656  0.571 0.459  0.571 0.257  0.571 0.054  0.571 -0.149  0.593 -0.348  0.616 -0.547  0.661 -0.743  0.696 -0.937  0.751 -1.119  0.751 -1.169  0.690 -0.993  0.537 -0.860  0.385 -0.726  0.232 -0.593  0.079 -0.459  -0.073 -0.325  -0.226 -0.192  -0.395 -0.101  -0.514 -0.101  -0.315 -0.063  -0.121 -0.011  0.082 -0.011  0.285 -0.011  0.481 0.034
1b#tos#f3#f3036063/C  0.526 0.853  0.526 0.948  0.492 1.018  0.402 1.048  0.373 1.122  0.317 1.160  0.222 1.160  0.178 1.211  0.084 1.211  -0.010 1.203  -0.100 1.173  -0.163 1.113  -0.214 1.034  -0.281 0.967  -0.317 0.881  -0.350 0.793  -0.403 0.714  -0.450 0.633  -0.473 0.541  -0.496 0.449  -0.497 0.354  -0.534 0.268  -0.549 0.176  -0.549 0.082  -0.549 -0.013  -0.549 -0.108  -0.549 -0.203  -0.541 -0.296  -0.511 -0.386  -0.497 -0.479  -0.466 -0.561  -0.399 -0.628  -0.367 -0.716  -0.323 -0.792  -0.233 -0.822  -0.149 -0.864  -0.070 -0.917  0.016 -0.952  0.108 -0.975  0.200 -1.000  0.289 -1.030  0.382 -1.041  0.477 -1.041  0.572 -1.041  0.667 -1.041  0.762 -1.041  0.856 -1.041  0.951 -1.041  1.046 -1.041  1.141 -1.041
1b#tos#f3#f3036063/D  -0.166 1.053  -0.324 1.108  -0.389 1.257  -0.389 1.304  -0.356 1.098  -0.333 0.890  -0.333 0.676  -0.333 0.463  -0.333 0.249  -0.355 0.039  -0.415 -0.165  -0.445 -0.375  -0.445 -0.589  -0.535 -0.765  -0.556 -0.970  -0.556 -1.183  -0.594 -1.381  -0.585 -1.326  -0.541 -1.117  -0.498 -0.908  -0.454 -0.699  -0.410 -0.490  -0.366 -0.281  -0.323 -0.072  -0.279 0.137  -0.235 0.346  -0.191 0.555  -0.148 0.764  -0.143 0.941  -0.143 0.997  0.047 1.053  0.261 1.053  0.465 1.016  0.674 0.995  0.865 0.899  0.952 0.735  1.060 0.579  1.060 0.365  1.060 0.152  0.971 -0.017  0.837 -0.164  0.772 -0.350  0.725 -0.545  0.594 -0.663  0.550 -0.844  0.340 -0.886  0.232 -1.042  0.084 -1.191  -0.094 -1.301  -0.278 -1.399
1b#tos#f3#f3036063/E  -0.763 1.052  -0.998 1.052  -0.860 1.000  -0.625 1.000  -0.391 1.000  -0.156 1.000  0.079 1.000  0.314 1.000  0.548 1.000  0.757 1.087  0.887 1.101  0.653 1.092  0.418 1.082  0.183 1.072  -0.051 1.062  -0.286 1.052  -0.339 0.844  -0.454 0.648  -0.454 0.413  -0.454 0.178  -0.454 -0.057  -0.454 -0.292  -0.454 -0.526  -0.454 -0.761  -0.454 -0.996  -0.454 -1.231  -0.426 -1.069  -0.393 -0.837  -0.359 -0.604  -0.326 -0.372  -0.293 -0.140  -0.260 0.093  -0.248 0.025  -0.081 -0.082  0.153 -0.092  0.382 -0.133  0.617 -0.133  0.562 -0.259  0.401 -0.431  0.241 -0.603  0.081 -0.774  -0.066 -0.955  -0.196 -1.080  0.007 -1.112  0.241 -1.112  0.476 -1.112  0.705 -1.067  0.931 -1.009  1.166 -1.009  1.401 -1.009
1b#tos#f3#f3036063/F  -0.278 1.124  -0.445 1.068  -0.561 0.960  -0.557 0.897  -0.377 0.897  -0.196 0.897  -0.016 0.897  0.165 0.897  0.345 0.897  0.526 0.897  0.706 0.897  0.887 0.897  1.067 0.897  0.921 0.877  0.742 0.856  0.563 0.834  0.383 0.813  0.204 0.791  0.025 0.770  -0.154 0.748  -0.334 0.727  -0.340 0.548  -0.440 0.398  -0.448 0.220  -0.448 0.040  -0.448 -0.141  -0.448 -0.321  -0.448 -0.502  -0.448 -0.682  -0.448 -0.863  -0.448 -1.043  -0.448 -1.224  -0.448 -1.404  -0.448 -1.585  -0.433 -1.663  -0.383 -1.489  -0.332 -1.316  -0.282 -1.143  -0.231 -0.970  -0.181 -0.796  -0.130 -0.623  -0.079 -0.450  -0.088 -0.361  0.081 -0.408  0.253 -0.428  0.418 -0.465  0.599 -0.465  0.780 -0.465  0.960 -0.465  1.141 -0.465
1b#tos#f3#f3036063/G  0.339 1.163  0.285 1.291  0.177 1.406  0.022 1.433  -0.160 1.433  -0.332 1.409  -0.476 1.319  -0.605 1.190  -0.648 1.024  -0.716 0.856  -0.740 0.678  -0.797 0.510  -0.864 0.342  -0.902 0.165  -0.902 -0.017  -0.902 -0.199  -0.868 -0.347  -0.758 -0.482  -0.693 -0.650  -0.560 -0.760  -0.468 -0.916  -0.330 -1.005  -0.155 -1.049  0.026 -1.049  0.114 -0.965  0.093 -0.784  0.072 -0.603  0.051 -0.423  0.030 -0.242  0.009 -0.061  -0.011 0.119  -0.032 0.300  -0.160 0.340  -0.075 0.300  0.106 0.300  0.288 0.300  0.470 0.300  0.652 0.300  0.834 0.300  0.879 0.163  0.879 -0.019  0.879 -0.200  0.771 -0.274  0.771 -0.456  0.771 -0.638  0.717 -0.807  0.717 -0.989  0.717 -1.171  0.717 -1.352  0.771 -1.480
1b#tos#f3#f3036063/H  -0.735 1.230  -0.821 1.161  -0.716 1.029  -0.681 0.869  -0.681 0.686  -0.681 0.504  -0.681 0.322  -0.681 0.139  -0.704 -0.040  -0.761 -0.213  -0.790 -0.390  -0.839 -0.561  -0.899 -0.729  -0.899 -0.912  -0.866 -0.930  -0.794 -0.762  -0.722 -0.595  -0.650 -0.427  -0.578 -0.260  -0.506 -0.092  -0.434 0.076  -0.457 0.193  -0.275 0.193  -0.147 0.247  0.035 0.247  0.218 0.247  0.400 0.247  0.583 0.247  0.663 0.379  0.707 0.556  0.751 0.732  0.795 0.909  0.840 1.086  0.702 1.121  0.684 0.956  0.684 0.774  0.684 0.591  0.684 0.409  0.640 0.232  0.630 0.051  0.630 -0.132  0.630 -0.314  0.630 -0.496  0.630 -0.679  0.630 -0.861  0.630 -1.044  0.630 -1.226  0.630 -1.408  0.630 -1.591  0.630 -1.773
1b#tos#f3#f3036063/K  -0.351 1.550  -0.614 1.550  -0.599 1.473  -0.477 1.242  -0.457 0.983  -0.457 0.720  -0.457 0.457  -0.457 0.194  -0.457 -0.069  -0.535 -0.319  -0.605 -0.572  -0.615 -0.833  -0.615 -1.096  -0.615 -1.359  -0.539 -1.309  -0.418 -1.076  -0.297 -0.842  -0.176 -0.609  -0.055 -0.376  0.066 -0.143  0.187 0.091  0.308 0.324  0.429 0.557  0.550 0.791  0.671 1.024  0.792 1.257  0.756 1.385  0.645 1.233  0.594 1.020  0.445 0.828  0.309 0.604  0.120 0.433  -0.014 0.220  -0.188 0.032  -0.288 -0.210  -0.404 -0.428  -0.582 -0.608  -0.559 -0.548  -0.380 -0.355  -0.201 -0.163  -0.022 0.030  0.070 -0.078  0.239 -0.221  0.300 -0.467  0.525 -0.602  0.545 -0.853  0.765 -0.942  0.914 -1.154  1.026 -1.310  1.178 -1.456
1b#tos#f3#f3036063/L  -0.198 1.593  -0.309 1.593  -0.421 1.593  -0.397 1.618  -0.371 1.517  -0.371 1.406  -0.341 1.302  -0.301 1.199  -0.275 1.091  -0.256 0.982  -0.256 0.871  -0.256 0.759  -0.256 0.648  -0.256 0.537  -0.256 0.425  -0.256 0.314  -0.256 0.203  -0.256 0.092  -0.256 -0.020  -0.256 -0.131  -0.289 -0.228  -0.368 -0.307  -0.371 -0.417  -0.382 -0.527  -0.409 -0.635  -0.450 -0.735  -0.488 -0.829  -0.599 -0.829  -0.602 -0.721  -0.602 -0.609  -0.514 -0.568  -0.414 -0.541  -0.303 -0.541  -0.191 -0.541  -0.080 -0.541  0.031 -0.541  0.143 -0.541  0.254 -0.541  0.365 -0.541  0.476 -0.541  0.588 -0.541  0.697 -0.551  0.803 -0.586  0.912 -0.599  1.023 -0.599  1.135 -0.599  1.228 -0.641  1.309 -0.714  1.421 -0.714  1.474 -0.772
1b#tos#f3#f3036063/M  -0.416 1.304  -0.466 1.233  -0.466 1.009  -0.466 0.785  -0.466 0.561  -0.466 0.338  -0.466 0.114  -0.466 -0.110  -0.466 -0.334  -0.466 -0.557  -0.466 -0.781  -0.466 -1.005  -0.517 -1.217  -0.517 -1.440  -0.501 -1.310  -0.474 -1.088  -0.446 -0.866  -0.418 -0.644  -0.390 -0.422  -0.363 -0.200  -0.335 0.022  -0.307 0.244  -0.279 0.466  -0.252 0.688  -0.224 0.910  -0.325 1.050  -0.549 1.050  -0.522 1.060  -0.462 0.889  -0.330 0.711  -0.236 0.553  -0.082 0.402  0.139 0.391  0.351 0.442  0.548 0.468  0.596 0.645  0.650 0.814  0.650 0.759  0.701 0.586  0.701 0.362  0.751 0.150  0.751 -0.073  0.751 -0.297  0.800 -0.515  0.831 -0.732  0.853 -0.950  0.936 -1.145  0.954 -1.365  1.056 -1.517  1.056 -1.436
1b#tos#f3#f3036063/Q  0.386 0.955  0.228 1.034  0.128 1.207  0.003 1.324  -0.234 1.324  -0.429 1.195  -0.522 0.996  -0.615 0.797  -0.774 0.626  -0.774 0.389  -0.879 0.195  -0.879 -0.042  -0.879 -0.279  -0.879 -0.516  -0.879 -0.753  -0.788 -0.943  -0.762 -1.154  -0.524 -1.154  -0.287 -1.154  -0.058 -1.108  0.156 -1.005  0.267 -0.829  0.460 -0.699  0.571 -0.492  0.702 -0.303  0.702 -0.065  0.702 0.172  0.702 0.409  0.702 0.646  0.597 0.849  0.426 1.008  0.216 1.045  0.088 1.219  -0.040 1.105  -0.049 0.868  -0.058 0.631  -0.067 0.394  -0.077 0.157  -0.086 -0.080  -0.236 -0.194  -0.405 -0.268  -0.288 -0.437  -0.063 -0.512  0.161 -0.574  0.284 -0.733  0.491 -0.837  0.699 -0.939  0.848 -1.063  0.992 -1.206  1.019 -1.206
1b#tos#f3#f3036063/T  -0.509 0.857  -0.625 0.799  -0.741 0.741  -0.842 0.662  -0.933 0.570  -1.049 0.537  -1.121 0.537  -0.991 0.537  -0.861 0.537  -0.732 0.537  -0.602 0.537  -0.473 0.537  -0.347 0.566  -0.219 0.582  -0.090 0.582  0.040 0.582  0.169 0.582  0.299 0.582  0.428 0.582  0.558 0.582  0.682 0.606  0.806 0.628  0.936 0.628  1.045 0.608  0.949 0.545  0.828 0.498  0.707 0.451  0.586 0.404  0.466 0.357  0.345 0.310  0.224 0.263  0.117 0.197  0.039 0.123  0.039 -0.006  0.039 -0.136  0.039 -0.265  0.039 -0.395  0.048 -0.524  0.070 -0.652  0.085 -0.780  0.085 -0.909  0.085 -1.039  0.085 -1.168  0.061 -1.295  0.039 -1.422  0.039 -1.551  0.039 -1.681  0.039 -1.811  0.039 -1.940  0.039 -2.070
1b#tos#f3#f3036063/X  0.768 1.148  0.806 1.302  0.756 1.245  0.606 1.133  0.520 0.961  0.460 0.792  0.388 0.639  0.254 0.506  0.141 0.352  0.021 0.202  -0.032 0.021  -0.114 -0.144  -0.234 -0.291  -0.324 -0.461  -0.439 -0.614  -0.520 -0.787  -0.566 -0.970  -0.640 -1.132  -0.720 -1.300  -0.709 -1.137  -0.697 -0.945  -0.684 -0.754  -0.672 -0.562  -0.660 -0.371  -0.648 -0.179  -0.635 0.013  -0.623 0.204  -0.611 0.396  -0.599 0.588  -0.586 0.779  -0.574 0.971  -0.632 1.097  -0.641 1.032  -0.479 0.929  -0.322 0.821  -0.220 0.674  -0.116 0.514  0.008 0.369  0.144 0.233  0.274 0.093  0.368 -0.073  0.425 -0.253  0.560 -0.389  0.647 -0.560  0.749 -0.722  0.904 -0.832  1.061 -0.940  1.186 -1.082  1.269 -1.251  1.383 -1.263
1b#tos#f3#f3036063/Y  -0.893 0.818  -1.060 0.818  -1.227 0.818  -1.075 0.818  -0.987 0.684  -0.914 0.539  -0.797 0.445  -0.660 0.358  -0.552 0.236  -0.552 0.069  -0.432 0.022  -0.330 -0.082  -0.268 -0.224  -0.216 -0.269  -0.096 -0.154  0.024 -0.038  0.145 0.077  0.265 0.192  0.385 0.308  0.506 0.423  0.626 0.538  0.746 0.654  0.867 0.769  0.987 0.884  1.079 0.988  0.913 0.988  0.746 0.988  0.698 0.870  0.589 0.782  0.527 0.659  0.527 0.493  0.384 0.429  0.313 0.289  0.235 0.171  0.091 0.097  -0.027 -0.021  -0.105 -0.155  -0.211 -0.278  -0.150 -0.406  -0.098 -0.541  -0.098 -0.708  -0.041 -0.851  -0.041 -1.017  0.008 -1.164  0.016 -1.327  0.016 -1.494  0.016 -1.661  0.016 -1.827  0.035 -1.986  0.073 -2.024
