2#apb#apb05#app0567/4  -0.735 0.740  -0.814 0.592  -0.886 0.440  -0.963 0.291  -1.041 0.142  -1.127 -0.002  -1.222 -0.141  -1.319 -0.278  -1.422 -0.412  -1.488 -0.563  -1.398 -0.573  -1.237 -0.532  -1.077 -0.479  -0.918 -0.425  -0.759 -0.370  -0.600 -0.315  -0.437 -0.276  -0.273 -0.239  -0.106 -0.222  0.062 -0.213  0.229 -0.227  0.382 -0.295  0.544 -0.337  0.703 -0.390  0.753 -0.237  0.799 -0.076  0.845 0.086  0.891 0.248  0.937 0.410  0.983 0.571  1.029 0.733  1.074 0.895  1.120 1.057  1.171 1.150  1.066 1.018  0.972 0.880  0.878 0.740  0.785 0.600  0.698 0.456  0.611 0.312  0.524 0.168  0.431 0.028  0.338 -0.112  0.245 -0.252  0.157 -0.396  0.070 -0.539  -0.014 -0.685  -0.092 -0.834  -0.157 -0.988  -0.210 -1.148
2#apb#apb05#app0567/  0.838 1.477  0.802 1.417  0.767 1.358  0.732 1.298  0.700 1.236  0.668 1.175  0.636 1.113  0.604 1.052  0.572 0.990  0.540 0.928  0.508 0.867  0.476 0.805  0.442 0.745  0.408 0.684  0.374 0.624  0.341 0.563  0.307 0.503  0.273 0.442  0.239 0.382  0.205 0.321  0.171 0.260  0.138 0.199  0.105 0.138  0.072 0.077  0.039 0.016  0.006 -0.045  -0.027 -0.106  -0.060 -0.167  -0.093 -0.228  -0.126 -0.289  -0.159 -0.350  -0.198 -0.407  -0.238 -0.463  -0.279 -0.520  -0.319 -0.576  -0.359 -0.633  -0.400 -0.689  -0.440 -0.746  -0.480 -0.802  -0.519 -0.859  -0.557 -0.918  -0.595 -0.976  -0.633 -1.034  -0.671 -1.092  -0.709 -1.150  -0.746 -1.208  -0.784 -1.266  -0.821 -1.325  -0.859 -1.383  -0.896 -1.442
2#apb#apb05#app0567/9  0.936 0.228  1.029 0.377  1.122 0.525  1.175 0.691  1.212 0.862  1.192 1.023  1.026 1.078  0.853 1.090  0.678 1.082  0.505 1.067  0.348 0.988  0.191 0.910  0.034 0.831  -0.122 0.752  -0.271 0.659  -0.420 0.567  -0.569 0.474  -0.713 0.376  -0.844 0.259  -0.975 0.143  -1.080 0.006  -1.162 -0.149  -1.181 -0.316  -1.095 -0.445  -0.941 -0.528  -0.773 -0.503  -0.604 -0.459  -0.435 -0.411  -0.272 -0.347  -0.109 -0.284  0.048 -0.207  0.195 -0.112  0.342 -0.016  0.480 0.092  0.614 0.205  0.722 0.268  0.607 0.135  0.492 0.003  0.384 -0.135  0.276 -0.273  0.168 -0.411  0.059 -0.549  -0.050 -0.686  -0.159 -0.824  -0.264 -0.963  -0.355 -1.113  -0.446 -1.263  -0.538 -1.413  -0.630 -1.562  -0.680 -1.723
2#apb#apb05#app0567/1  0.697 1.541  0.680 1.473  0.663 1.406  0.645 1.339  0.627 1.272  0.609 1.205  0.591 1.137  0.573 1.070  0.555 1.003  0.525 0.941  0.493 0.879  0.461 0.818  0.428 0.756  0.396 0.695  0.364 0.633  0.332 0.572  0.299 0.510  0.267 0.449  0.235 0.387  0.203 0.326  0.171 0.264  0.139 0.202  0.106 0.141  0.074 0.079  0.042 0.018  0.010 -0.044  -0.022 -0.105  -0.054 -0.167  -0.086 -0.229  -0.119 -0.290  -0.154 -0.350  -0.189 -0.410  -0.224 -0.470  -0.258 -0.530  -0.293 -0.590  -0.328 -0.651  -0.363 -0.711  -0.398 -0.771  -0.433 -0.830  -0.473 -0.887  -0.512 -0.945  -0.552 -1.002  -0.591 -1.059  -0.631 -1.116  -0.670 -1.173  -0.705 -1.233  -0.736 -1.295  -0.767 -1.357  -0.798 -1.420  -0.829 -1.482
2#apb#apb05#app0567/2  -0.177 0.773  -0.353 0.693  -0.523 0.601  -0.680 0.489  -0.846 0.393  -0.914 0.461  -0.759 0.577  -0.603 0.691  -0.435 0.787  -0.267 0.883  -0.096 0.971  0.077 1.058  0.258 1.125  0.443 1.181  0.631 1.213  0.824 1.200  0.965 1.074  1.022 0.899  1.043 0.707  0.964 0.532  0.880 0.357  0.785 0.190  0.666 0.038  0.546 -0.114  0.427 -0.266  0.284 -0.396  0.138 -0.523  -0.007 -0.651  -0.161 -0.768  -0.317 -0.882  -0.475 -0.991  -0.660 -1.049  -0.846 -1.092  -1.036 -1.071  -1.125 -0.927  -1.069 -0.744  -0.948 -0.593  -0.813 -0.459  -0.642 -0.369  -0.467 -0.292  -0.277 -0.255  -0.087 -0.230  0.106 -0.250  0.291 -0.294  0.464 -0.380  0.595 -0.520  0.709 -0.675  0.805 -0.843  0.839 -1.033  0.822 -1.225
2#apb#apb05#app0567/  0.866 1.457  0.849 1.390  0.818 1.328  0.784 1.267  0.750 1.207  0.716 1.146  0.682 1.086  0.647 1.026  0.612 0.966  0.577 0.906  0.542 0.846  0.507 0.787  0.472 0.727  0.437 0.667  0.402 0.607  0.367 0.547  0.332 0.487  0.295 0.429  0.258 0.370  0.220 0.312  0.183 0.253  0.146 0.194  0.109 0.136  0.072 0.077  0.035 0.019  -0.002 -0.040  -0.039 -0.099  -0.077 -0.157  -0.115 -0.215  -0.153 -0.273  -0.191 -0.331  -0.229 -0.389  -0.267 -0.447  -0.305 -0.505  -0.343 -0.563  -0.381 -0.621  -0.423 -0.676  -0.465 -0.731  -0.508 -0.786  -0.550 -0.841  -0.593 -0.895  -0.635 -0.950  -0.676 -1.006  -0.712 -1.066  -0.747 -1.125  -0.783 -1.185  -0.819 -1.244  -0.854 -1.304  -0.888 -1.364  -0.923 -1.424
2#apb#apb05#app0567/2  0.366 1.004  0.219 0.916  0.058 0.851  -0.104 0.793  -0.270 0.742  -0.427 0.671  -0.325 0.778  -0.182 0.876  -0.026 0.943  0.142 0.985  0.310 1.026  0.481 1.053  0.652 1.080  0.820 1.055  0.986 1.008  1.098 0.879  1.133 0.724  1.105 0.554  1.055 0.392  0.952 0.253  0.849 0.114  0.746 -0.025  0.614 -0.135  0.475 -0.238  0.336 -0.341  0.197 -0.444  0.051 -0.538  -0.097 -0.627  -0.245 -0.716  -0.395 -0.802  -0.553 -0.874  -0.710 -0.946  -0.870 -1.010  -1.040 -1.042  -1.208 -1.054  -1.325 -0.959  -1.268 -0.805  -1.161 -0.669  -1.039 -0.550  -0.890 -0.462  -0.741 -0.375  -0.573 -0.335  -0.404 -0.297  -0.233 -0.292  -0.060 -0.302  0.108 -0.336  0.267 -0.400  0.371 -0.538  0.387 -0.706  0.366 -0.877
2#apb#apb05#app0567/1  0.074 1.461  0.141 1.436  0.209 1.410  0.276 1.385  0.344 1.360  0.392 1.318  0.406 1.248  0.420 1.177  0.434 1.106  0.449 1.036  0.463 0.965  0.446 0.897  0.422 0.829  0.398 0.761  0.375 0.693  0.351 0.625  0.327 0.557  0.303 0.489  0.279 0.421  0.256 0.353  0.232 0.285  0.208 0.217  0.182 0.150  0.153 0.084  0.123 0.018  0.094 -0.048  0.064 -0.113  0.035 -0.179  0.005 -0.245  -0.024 -0.310  -0.054 -0.376  -0.084 -0.442  -0.113 -0.507  -0.143 -0.573  -0.176 -0.637  -0.215 -0.697  -0.254 -0.758  -0.293 -0.818  -0.332 -0.879  -0.371 -0.940  -0.410 -1.000  -0.448 -1.061  -0.487 -1.121  -0.526 -1.182  -0.563 -1.244  -0.600 -1.306  -0.637 -1.368  -0.674 -1.429  -0.711 -1.491  -0.748 -1.553
2#apb#apb05#app0567/  0.815 1.415  0.809 1.415  0.780 1.352  0.754 1.287  0.729 1.223  0.703 1.158  0.676 1.094  0.645 1.031  0.614 0.969  0.583 0.907  0.552 0.844  0.520 0.782  0.489 0.720  0.458 0.658  0.427 0.595  0.394 0.534  0.359 0.474  0.323 0.414  0.288 0.354  0.252 0.294  0.217 0.234  0.182 0.174  0.146 0.114  0.111 0.054  0.076 -0.006  0.035 -0.063  -0.008 -0.118  -0.050 -0.173  -0.093 -0.228  -0.136 -0.283  -0.178 -0.338  -0.221 -0.393  -0.263 -0.448  -0.306 -0.503  -0.349 -0.558  -0.393 -0.612  -0.436 -0.667  -0.479 -0.722  -0.522 -0.776  -0.566 -0.831  -0.609 -0.886  -0.651 -0.941  -0.694 -0.996  -0.737 -1.051  -0.780 -1.106  -0.820 -1.162  -0.860 -1.220  -0.899 -1.277  -0.933 -1.337  -0.955 -1.403
2#apb#apb05#app0567/9  0.956 0.104  1.042 0.236  1.128 0.369  1.214 0.501  1.273 0.648  1.328 0.796  1.280 0.928  1.171 1.030  1.013 1.037  0.855 1.045  0.702 1.024  0.553 0.971  0.404 0.917  0.255 0.864  0.115 0.794  -0.021 0.713  -0.156 0.632  -0.292 0.550  -0.426 0.468  -0.544 0.362  -0.661 0.256  -0.779 0.151  -0.885 0.034  -0.983 -0.090  -1.065 -0.221  -1.092 -0.374  -0.966 -0.448  -0.808 -0.438  -0.651 -0.426  -0.499 -0.384  -0.346 -0.343  -0.195 -0.298  -0.051 -0.233  0.093 -0.168  0.233 -0.096  0.363 -0.005  0.428 -0.013  0.319 -0.127  0.211 -0.242  0.103 -0.357  -0.002 -0.476  -0.105 -0.595  -0.209 -0.715  -0.312 -0.834  -0.417 -0.952  -0.523 -1.069  -0.629 -1.187  -0.725 -1.312  -0.808 -1.446  -0.892 -1.580
2#apb#apb05#app0567/1  0.920 1.427  0.884 1.368  0.847 1.309  0.811 1.250  0.774 1.191  0.738 1.132  0.701 1.073  0.665 1.014  0.628 0.955  0.592 0.896  0.555 0.838  0.518 0.779  0.481 0.721  0.444 0.662  0.407 0.603  0.369 0.545  0.332 0.486  0.295 0.428  0.258 0.369  0.221 0.311  0.184 0.252  0.147 0.194  0.110 0.135  0.072 0.077  0.032 0.020  -0.007 -0.037  -0.047 -0.094  -0.086 -0.151  -0.125 -0.208  -0.165 -0.265  -0.204 -0.322  -0.244 -0.379  -0.283 -0.436  -0.323 -0.493  -0.362 -0.550  -0.401 -0.607  -0.441 -0.664  -0.480 -0.721  -0.519 -0.778  -0.558 -0.836  -0.597 -0.893  -0.636 -0.950  -0.675 -1.007  -0.715 -1.064  -0.754 -1.121  -0.793 -1.178  -0.833 -1.235  -0.872 -1.292  -0.912 -1.349  -0.951 -1.406
