3#apa#apa15#app1547/8  0.622 0.737  0.622 0.914  0.467 0.936  0.329 1.030  0.196 1.134  0.019 1.134  -0.158 1.134  -0.335 1.134  -0.512 1.134  -0.654 1.051  -0.779 0.926  -0.904 0.800  -1.029 0.675  -1.154 0.550  -1.167 0.378  -1.167 0.201  -1.167 0.025  -1.078 -0.088  -0.910 -0.144  -0.742 -0.200  -0.574 -0.256  -0.404 -0.305  -0.234 -0.353  -0.064 -0.402  0.106 -0.451  0.276 -0.499  0.446 -0.548  0.617 -0.596  0.787 -0.645  0.821 -0.796  0.905 -0.938  1.007 -1.059  0.849 -1.138  0.690 -1.217  0.521 -1.251  0.344 -1.251  0.199 -1.200  0.120 -1.042  0.041 -0.884  0.026 -0.710  0.026 -0.533  0.063 -0.364  0.129 -0.199  0.194 -0.035  0.260 0.129  0.326 0.294  0.392 0.458  0.464 0.619  0.543 0.777  0.622 0.936
3#apa#apa15#app1547/:  -0.115 1.223  -0.037 1.223  0.041 1.223  0.119 1.223  0.197 1.223  0.241 1.223  0.163 1.223  0.085 1.223  0.008 1.223  -0.070 1.223  -0.115 1.190  -0.115 1.112  -0.115 1.034  -0.115 0.956  -0.115 0.878  -0.115 0.800  -0.115 0.722  -0.115 0.644  -0.115 0.567  -0.115 0.489  -0.115 0.411  -0.115 0.333  -0.115 0.255  -0.115 0.177  -0.115 0.099  -0.115 0.021  -0.115 -0.057  -0.115 -0.134  -0.115 -0.212  -0.115 -0.290  -0.115 -0.368  -0.115 -0.446  -0.115 -0.524  -0.115 -0.602  -0.098 -0.676  -0.063 -0.745  -0.028 -0.815  0.007 -0.884  0.041 -0.954  0.076 -1.024  0.111 -1.093  0.146 -1.163  0.181 -1.233  0.216 -1.302  0.250 -1.372  0.258 -1.448  0.258 -1.526  0.258 -1.604  0.258 -1.682  0.258 -1.760
3#apa#apa15#app1547/4  -0.611 1.013  -0.611 0.794  -0.611 0.574  -0.612 0.355  -0.767 0.199  -0.889 0.020  -0.987 -0.177  -1.050 -0.381  -1.106 -0.578  -1.261 -0.733  -1.069 -0.692  -0.856 -0.639  -0.643 -0.585  -0.430 -0.532  -0.211 -0.523  0.009 -0.523  0.228 -0.523  0.448 -0.523  0.667 -0.523  0.887 -0.523  1.107 -0.523  1.144 -0.705  1.057 -0.582  0.952 -0.389  0.846 -0.196  0.741 -0.004  0.636 0.189  0.531 0.382  0.426 0.575  0.321 0.768  0.215 0.961  0.110 1.153  0.005 1.346  -0.100 1.539  -0.173 1.603  -0.173 1.384  -0.173 1.164  -0.151 0.948  -0.081 0.740  -0.012 0.531  0.058 0.323  0.127 0.115  0.197 -0.094  0.266 -0.302  0.266 -0.522  0.266 -0.741  0.266 -0.961  0.266 -1.181  0.266 -1.400  0.266 -1.620
3#apa#apa15#app1547/&  0.252 1.108  0.121 1.238  -0.009 1.369  0.101 1.259  0.232 1.128  0.391 1.038  0.556 0.956  0.722 0.873  0.794 0.733  0.794 0.549  0.794 0.364  0.794 0.180  0.794 -0.005  0.794 -0.190  0.794 -0.374  0.794 -0.559  0.794 -0.743  0.794 -0.928  0.794 -1.112  0.794 -1.297  0.747 -1.191  0.689 -1.016  0.630 -0.841  0.572 -0.666  0.502 -0.498  0.371 -0.367  0.241 -0.237  0.110 -0.106  -0.020 0.024  -0.151 0.155  -0.281 0.285  -0.462 0.294  -0.647 0.294  -0.831 0.294  -0.996 0.213  -1.162 0.130  -1.327 0.047  -1.467 -0.069  -1.598 -0.199  -1.530 -0.248  -1.345 -0.248  -1.161 -0.248  -0.976 -0.248  -0.792 -0.248  -0.607 -0.248  -0.422 -0.248  -0.243 -0.224  -0.078 -0.142  0.087 -0.059  0.252 0.023
3#apa#apa15#app1547/4  -0.300 1.132  -0.300 1.340  -0.300 1.124  -0.300 0.909  -0.314 0.702  -0.507 0.605  -0.700 0.509  -0.857 0.363  -1.009 0.211  -1.162 0.058  -1.314 -0.094  -1.358 -0.292  -1.216 -0.420  -1.023 -0.517  -0.818 -0.561  -0.602 -0.561  -0.387 -0.561  -0.171 -0.561  0.045 -0.561  0.260 -0.561  0.476 -0.561  0.692 -0.561  0.907 -0.561  1.123 -0.561  1.095 -0.430  0.975 -0.251  0.856 -0.072  0.736 0.108  0.616 0.287  0.497 0.467  0.377 0.646  0.258 0.826  0.138 1.005  0.018 1.184  -0.088 1.320  -0.079 1.106  -0.011 0.901  0.057 0.696  0.126 0.492  0.223 0.299  0.319 0.106  0.335 -0.105  0.335 -0.321  0.335 -0.537  0.335 -0.752  0.335 -0.968  0.335 -1.184  0.335 -1.399  0.335 -1.615  0.335 -1.831
3#apa#apa15#app1547/:  0.248 -1.147  0.248 -1.221  0.248 -1.294  0.248 -1.368  0.245 -1.434  0.193 -1.382  0.141 -1.330  0.089 -1.279  0.037 -1.227  -0.015 -1.175  -0.042 -1.112  -0.042 -1.039  -0.042 -0.965  -0.042 -0.892  -0.042 -0.818  -0.042 -0.745  -0.042 -0.671  -0.042 -0.598  -0.042 -0.524  -0.042 -0.451  -0.042 -0.377  -0.042 -0.304  -0.042 -0.230  -0.042 -0.157  -0.042 -0.083  -0.042 -0.009  -0.042 0.064  -0.042 0.138  -0.042 0.211  -0.042 0.285  -0.042 0.358  -0.042 0.432  -0.042 0.505  -0.042 0.579  -0.042 0.652  -0.042 0.726  -0.042 0.799  -0.042 0.873  -0.042 0.946  -0.042 1.020  -0.042 1.093  -0.042 1.167  -0.042 1.240  -0.042 1.314  -0.042 1.388  -0.042 1.461  -0.042 1.535  -0.042 1.608  -0.042 1.682  -0.042 1.755
3#apa#apa15#app1547/2  -1.027 0.368  -1.027 0.495  -1.027 0.621  -1.027 0.747  -0.924 0.810  -0.812 0.867  -0.699 0.923  -0.580 0.954  -0.453 0.954  -0.327 0.954  -0.201 0.954  -0.075 0.954  0.052 0.954  0.178 0.954  0.304 0.954  0.430 0.954  0.557 0.954  0.683 0.954  0.731 0.876  0.728 0.750  0.688 0.630  0.648 0.511  0.608 0.391  0.568 0.271  0.516 0.160  0.411 0.090  0.306 0.020  0.201 -0.050  0.096 -0.120  -0.009 -0.190  -0.104 -0.272  -0.194 -0.361  -0.262 -0.463  -0.302 -0.583  -0.342 -0.703  -0.382 -0.822  -0.422 -0.942  -0.441 -1.065  -0.441 -1.192  -0.317 -1.194  -0.191 -1.194  -0.065 -1.194  0.060 -1.172  0.183 -1.147  0.307 -1.123  0.431 -1.098  0.555 -1.073  0.679 -1.048  0.802 -1.024  0.926 -0.999
3#apa#apa15#app1547/&  0.167 1.453  0.020 1.601  -0.070 1.610  -0.047 1.407  0.046 1.221  0.139 1.034  0.167 0.832  0.219 0.636  0.313 0.449  0.406 0.262  0.499 0.076  0.593 -0.111  0.643 -0.307  0.643 -0.516  0.643 -0.725  0.643 -0.933  0.643 -1.142  0.775 -1.296  0.881 -1.342  0.860 -1.142  0.713 -0.995  0.565 -0.847  0.417 -0.700  0.290 -0.535  0.165 -0.368  0.040 -0.201  -0.085 -0.034  -0.210 0.133  -0.353 0.264  -0.562 0.264  -0.771 0.264  -0.979 0.264  -1.188 0.264  -1.397 0.264  -1.498 0.156  -1.498 -0.052  -1.449 -0.212  -1.240 -0.212  -1.032 -0.212  -0.823 -0.212  -0.615 -0.212  -0.406 -0.212  -0.197 -0.212  0.011 -0.212  0.211 -0.183  0.385 -0.067  0.558 0.049  0.732 0.164  0.910 0.264  1.119 0.264
3#apa#apa15#app1547/2  -0.824 0.313  -0.909 0.397  -0.988 0.485  -0.988 0.604  -0.988 0.724  -0.947 0.803  -0.827 0.803  -0.708 0.803  -0.609 0.855  -0.524 0.939  -0.416 0.966  -0.296 0.966  -0.176 0.966  -0.057 0.966  0.063 0.966  0.183 0.966  0.303 0.966  0.422 0.966  0.525 0.925  0.610 0.840  0.647 0.736  0.647 0.616  0.647 0.496  0.576 0.406  0.492 0.321  0.407 0.236  0.322 0.152  0.255 0.052  0.189 -0.047  0.122 -0.147  0.056 -0.247  -0.010 -0.347  -0.063 -0.454  -0.117 -0.561  -0.171 -0.668  -0.255 -0.753  -0.334 -0.840  -0.334 -0.960  -0.274 -1.055  -0.190 -1.139  -0.078 -1.158  0.042 -1.158  0.162 -1.158  0.282 -1.158  0.401 -1.158  0.519 -1.170  0.633 -1.208  0.746 -1.246  0.860 -1.284  0.974 -1.322
3#apa#apa15#app1547/:  0.210 -1.590  0.134 -1.590  0.058 -1.590  -0.009 -1.581  -0.009 -1.505  -0.009 -1.429  -0.009 -1.353  -0.009 -1.278  -0.009 -1.202  -0.009 -1.126  -0.009 -1.050  -0.009 -0.974  -0.009 -0.898  -0.009 -0.822  -0.009 -0.746  -0.009 -0.670  -0.009 -0.594  -0.009 -0.518  -0.009 -0.443  -0.009 -0.367  -0.009 -0.291  -0.009 -0.215  -0.009 -0.139  -0.009 -0.063  -0.009 0.013  -0.009 0.089  -0.009 0.165  -0.009 0.241  -0.009 0.317  -0.009 0.392  -0.009 0.468  -0.009 0.544  -0.009 0.620  -0.009 0.696  -0.009 0.772  -0.009 0.848  -0.009 0.924  -0.009 1.000  -0.009 1.076  -0.009 1.152  -0.009 1.227  -0.009 1.303  -0.009 1.379  -0.009 1.455  -0.009 1.415  -0.009 1.339  -0.009 1.263  -0.009 1.187  -0.009 1.111  -0.009 1.035
3#apa#apa15#app1547/1  -0.188 1.682  -0.188 1.612  -0.188 1.542  -0.188 1.472  -0.188 1.403  -0.188 1.333  -0.188 1.263  -0.188 1.193  -0.176 1.125  -0.154 1.059  -0.132 0.992  -0.110 0.926  -0.088 0.860  -0.065 0.793  -0.043 0.727  -0.021 0.661  0.001 0.594  0.023 0.528  0.045 0.462  0.067 0.395  0.072 0.326  0.072 0.256  0.072 0.186  0.072 0.117  0.072 0.047  0.072 -0.023  0.072 -0.093  0.072 -0.163  0.072 -0.233  0.072 -0.303  0.072 -0.373  0.072 -0.443  0.072 -0.513  0.072 -0.583  0.072 -0.652  0.072 -0.722  0.072 -0.792  0.072 -0.862  0.072 -0.932  0.072 -1.002  0.072 -1.072  0.072 -1.142  0.072 -1.212  0.072 -1.282  0.072 -1.351  0.072 -1.421  0.072 -1.491  0.072 -1.561  0.072 -1.631  0.072 -1.701
