3#app#app19#app1970/B  -0.353 0.192  -0.282 0.381  -0.258 0.146  -0.176 -0.079  -0.147 -0.330  -0.070 -0.577  0.010 -0.817  -0.003 -1.004  -0.180 -0.816  -0.358 -0.627  -0.535 -0.439  -0.712 -0.250  -0.890 -0.062  -1.067 0.127  -1.245 0.315  -1.422 0.504  -1.416 0.697  -1.266 0.852  -1.036 0.922  -0.791 0.962  -0.551 1.040  -0.292 1.040  -0.033 1.040  0.226 1.040  0.485 1.040  0.744 1.040  0.964 0.948  0.857 0.734  0.713 0.518  0.489 0.425  0.288 0.267  0.101 0.089  -0.138 0.004  -0.357 -0.091  -0.505 -0.185  -0.250 -0.176  -0.026 -0.091  0.233 -0.091  0.491 -0.091  0.733 -0.162  0.987 -0.185  1.226 -0.268  1.343 -0.473  1.290 -0.710  1.087 -0.844  0.877 -0.983  0.670 -1.132  0.424 -1.214  0.189 -1.316  -0.070 -1.316
3#app#app19#app1970/r  -0.589 -0.357  -0.589 -0.456  -0.589 -0.554  -0.589 -0.652  -0.589 -0.750  -0.524 -0.822  -0.455 -0.891  -0.389 -0.962  -0.389 -1.061  -0.388 -1.158  -0.318 -1.228  -0.249 -1.297  -0.189 -1.344  -0.189 -1.246  -0.189 -1.148  -0.189 -1.049  -0.189 -0.951  -0.189 -0.853  -0.189 -0.755  -0.189 -0.656  -0.189 -0.558  -0.189 -0.460  -0.189 -0.362  -0.189 -0.263  -0.189 -0.165  -0.189 -0.067  -0.189 0.031  -0.189 0.129  -0.189 0.228  -0.130 0.301  -0.060 0.371  0.009 0.440  0.011 0.538  0.011 0.636  0.076 0.707  0.146 0.777  0.211 0.848  0.211 0.946  0.213 1.042  0.312 1.042  0.410 1.042  0.480 1.111  0.549 1.180  0.622 1.242  0.720 1.242  0.818 1.242  0.916 1.242  1.015 1.242  1.113 1.242  1.211 1.242
3#app#app19#app1970/o  0.072 0.612  0.072 0.776  -0.041 0.827  -0.187 0.783  -0.304 0.667  -0.420 0.551  -0.536 0.435  -0.652 0.319  -0.769 0.202  -0.924 0.181  -1.005 0.098  -1.005 -0.067  -1.005 -0.231  -1.005 -0.395  -1.005 -0.560  -0.975 -0.711  -0.859 -0.828  -0.723 -0.896  -0.563 -0.908  -0.447 -1.024  -0.319 -1.112  -0.155 -1.112  0.010 -1.112  0.144 -1.040  0.260 -0.924  0.414 -0.896  0.556 -0.843  0.672 -0.727  0.817 -0.681  0.955 -0.638  1.029 -0.491  1.102 -0.344  1.149 -0.191  1.149 -0.026  1.149 0.138  1.149 0.302  1.079 0.396  0.920 0.410  0.804 0.526  0.688 0.642  0.572 0.759  0.436 0.827  0.271 0.827  0.107 0.827  -0.057 0.827  -0.222 0.827  -0.386 0.827  -0.550 0.827  -0.674 0.728  -0.790 0.612
3#app#app19#app1970/k  -0.264 1.655  -0.264 1.817  -0.264 1.979  -0.264 1.981  -0.264 1.819  -0.264 1.657  -0.264 1.495  -0.264 1.333  -0.264 1.171  -0.264 1.008  -0.264 0.846  -0.264 0.684  -0.264 0.522  -0.264 0.360  -0.264 0.198  -0.264 0.036  -0.264 -0.126  -0.264 -0.289  -0.264 -0.451  -0.204 -0.599  -0.162 -0.751  -0.104 -0.899  -0.030 -0.930  0.048 -0.788  0.126 -0.645  0.203 -0.503  0.281 -0.361  0.358 -0.218  0.436 -0.076  0.514 0.066  0.460 0.131  0.340 0.029  0.178 0.029  0.053 -0.060  -0.062 -0.175  -0.182 -0.275  -0.321 -0.332  -0.435 -0.447  -0.460 -0.594  -0.388 -0.739  -0.265 -0.834  -0.115 -0.885  0.036 -0.933  0.186 -0.987  0.348 -0.987  0.510 -0.987  0.672 -0.987  0.834 -0.987  0.996 -0.987  1.159 -0.987
3#app#app19#app1970/e  -1.163 -0.051  -0.988 -0.051  -0.812 -0.051  -0.682 -0.161  -0.538 -0.237  -0.363 -0.237  -0.201 -0.203  -0.077 -0.079  0.087 -0.051  0.262 -0.051  0.404 0.030  0.536 0.135  0.694 0.152  0.701 0.320  0.877 0.320  0.880 0.493  0.880 0.668  0.880 0.844  0.738 0.877  0.694 1.009  0.572 1.063  0.397 1.063  0.221 1.063  0.046 1.063  -0.130 1.063  -0.305 1.063  -0.420 1.003  -0.465 0.855  -0.622 0.777  -0.779 0.698  -0.792 0.531  -0.792 0.355  -0.792 0.180  -0.792 0.004  -0.792 -0.171  -0.714 -0.315  -0.606 -0.445  -0.594 -0.608  -0.419 -0.610  -0.295 -0.734  -0.171 -0.858  -0.046 -0.981  0.121 -1.036  0.287 -1.092  0.454 -1.147  0.626 -1.165  0.770 -1.242  0.900 -1.351  1.076 -1.351  1.251 -1.351
3#app#app19#app1970/n  -0.964 1.285  -0.964 1.155  -0.964 1.025  -0.964 0.894  -0.964 0.764  -0.964 0.634  -0.964 0.504  -0.964 0.374  -0.964 0.243  -0.964 0.113  -0.964 -0.017  -0.964 -0.147  -0.964 -0.277  -0.964 -0.407  -0.941 -0.515  -0.811 -0.515  -0.764 -0.598  -0.751 -0.715  -0.621 -0.715  -0.490 -0.715  -0.361 -0.712  -0.269 -0.620  -0.177 -0.528  -0.164 -0.403  -0.135 -0.285  -0.043 -0.193  0.055 -0.115  0.185 -0.115  0.236 -0.035  0.243 0.092  0.335 0.184  0.427 0.276  0.519 0.368  0.611 0.461  0.703 0.553  0.795 0.645  0.836 0.612  0.838 0.483  0.930 0.391  1.022 0.299  1.035 0.174  1.035 0.044  1.035 -0.086  1.035 -0.216  1.058 -0.337  1.150 -0.429  1.235 -0.524  1.235 -0.654  1.235 -0.785  1.235 -0.915
3#app#app19#app1970/M  -0.846 -1.754  -0.846 -1.593  -0.846 -1.431  -0.846 -1.270  -0.846 -1.108  -0.846 -0.947  -0.834 -0.787  -0.795 -0.630  -0.781 -0.471  -0.721 -0.323  -0.708 -0.165  -0.650 -0.017  -0.622 0.138  -0.584 0.290  -0.554 0.439  -0.519 0.586  -0.519 0.747  -0.506 0.907  -0.455 1.060  -0.453 1.171  -0.388 1.037  -0.388 0.875  -0.388 0.714  -0.388 0.552  -0.322 0.406  -0.278 0.255  -0.256 0.099  -0.156 0.011  -0.098 -0.115  0.058 -0.141  0.210 -0.181  0.360 -0.154  0.474 -0.040  0.589 0.074  0.656 0.208  0.672 0.364  0.727 0.513  0.775 0.654  0.798 0.803  0.858 0.701  0.888 0.546  0.924 0.393  0.924 0.232  0.987 0.085  1.001 -0.073  1.055 -0.222  1.057 -0.382  1.120 -0.529  1.120 -0.690  1.186 -0.836
3#app#app19#app1970/o  0.252 0.272  0.084 0.272  0.016 0.372  -0.017 0.508  -0.185 0.508  -0.315 0.602  -0.434 0.721  -0.592 0.745  -0.761 0.745  -0.929 0.745  -0.930 0.577  -1.029 0.508  -1.166 0.477  -1.166 0.308  -1.166 0.140  -1.166 -0.028  -1.166 -0.197  -1.050 -0.317  -0.931 -0.436  -0.812 -0.555  -0.693 -0.674  -0.574 -0.793  -0.454 -0.910  -0.286 -0.910  -0.117 -0.910  0.051 -0.910  0.219 -0.910  0.388 -0.910  0.556 -0.910  0.724 -0.910  0.893 -0.910  1.032 -0.840  1.151 -0.721  1.198 -0.572  1.198 -0.403  1.198 -0.235  1.198 -0.066  1.198 0.102  1.198 0.270  1.031 0.272  0.891 0.342  0.772 0.461  0.624 0.508  0.455 0.508  0.287 0.508  0.158 0.603  0.039 0.722  -0.120 0.745  -0.289 0.745  -0.457 0.745
3#app#app19#app1970/o  -0.120 0.703  -0.268 0.703  -0.408 0.669  -0.540 0.603  -0.672 0.537  -0.807 0.485  -0.955 0.485  -1.070 0.407  -1.175 0.303  -1.210 0.170  -1.210 0.022  -1.210 -0.125  -1.136 -0.242  -1.032 -0.347  -0.928 -0.451  -0.823 -0.556  -0.719 -0.660  -0.614 -0.764  -0.491 -0.822  -0.343 -0.822  -0.196 -0.822  -0.048 -0.822  0.100 -0.822  0.247 -0.822  0.395 -0.822  0.542 -0.818  0.674 -0.752  0.806 -0.686  0.938 -0.620  1.082 -0.604  1.187 -0.562  1.187 -0.415  1.187 -0.267  1.187 -0.119  1.187 0.028  1.187 0.176  1.147 0.307  1.043 0.411  0.926 0.485  0.778 0.485  0.631 0.485  0.488 0.508  0.356 0.574  0.224 0.640  0.092 0.703  -0.056 0.703  -0.204 0.703  -0.348 0.712  -0.452 0.817  -0.556 0.921
3#app#app19#app1970/n  -1.189 0.943  -1.051 0.943  -0.997 1.027  -0.997 1.104  -0.997 0.965  -0.997 0.827  -0.997 0.689  -0.997 0.551  -0.997 0.413  -0.997 0.274  -0.997 0.136  -0.997 -0.002  -0.997 -0.140  -0.947 -0.258  -0.850 -0.355  -0.805 -0.475  -0.783 -0.591  -0.645 -0.591  -0.507 -0.591  -0.384 -0.554  -0.286 -0.456  -0.172 -0.400  -0.038 -0.395  -0.038 -0.257  0.051 -0.208  0.179 -0.183  0.277 -0.085  0.346 0.025  0.346 0.163  0.434 0.264  0.532 0.362  0.630 0.460  0.727 0.557  0.729 0.695  0.729 0.669  0.729 0.531  0.729 0.393  0.780 0.266  0.842 0.143  0.903 0.019  0.921 -0.115  0.921 -0.253  0.921 -0.391  0.921 -0.529  0.921 -0.668  0.921 -0.806  0.921 -0.944  1.028 -0.975  1.113 -1.029  1.113 -1.167
3#app#app19#app1970/s  -0.173 0.846  -0.029 0.846  -0.019 0.710  0.107 0.692  0.252 0.692  0.289 0.584  0.289 0.636  0.289 0.781  0.289 0.926  0.218 1.000  0.135 1.062  0.082 1.154  -0.063 1.154  -0.208 1.154  -0.328 1.129  -0.344 1.000  -0.489 1.000  -0.633 1.000  -0.636 0.858  -0.730 0.752  -0.790 0.631  -0.790 0.487  -0.761 0.354  -0.658 0.251  -0.636 0.116  -0.636 -0.029  -0.541 -0.079  -0.421 -0.140  -0.315 -0.233  -0.173 -0.237  -0.173 -0.382  -0.034 -0.388  0.073 -0.480  0.192 -0.542  0.337 -0.542  0.482 -0.542  0.597 -0.571  0.618 -0.696  0.752 -0.707  0.752 -0.852  0.752 -0.997  0.752 -1.142  0.623 -1.158  0.513 -1.243  0.397 -1.312  0.289 -1.349  0.261 -1.467  0.135 -1.485  0.126 -1.621  -0.019 -1.621
