1c#apb#apb29#app2970/q  -0.032 0.608  0.097 0.670  0.170 0.719  0.263 0.677  0.061 0.607  0.091 0.593  0.324 0.669  0.543 0.774  0.532 0.859  0.294 0.804  0.059 0.718  -0.155 0.595  -0.344 0.424  -0.332 0.217  -0.094 0.229  0.150 0.281  0.375 0.407  0.555 0.587  0.704 0.774  0.689 0.668  0.530 0.466  0.355 0.281  0.166 0.107  -0.024 -0.066  -0.207 -0.248  -0.392 -0.425  -0.596 -0.582  -0.783 -0.758  -0.985 -0.916  -1.167 -1.098  -1.362 -1.266  -1.505 -1.473  -1.392 -1.553  -1.162 -1.438  -0.935 -1.316  -0.707 -1.196  -0.483 -1.069  -0.274 -0.922  -0.092 -0.740  0.077 -0.546  0.214 -0.329  0.278 -0.085  0.231 0.158  0.176 0.295  0.428 0.338  0.684 0.367  0.927 0.449  1.168 0.538  1.367 0.650  1.515 0.498
1c#apb#apb29#app2970/u  -1.543 -0.259  -1.695 -0.300  -1.776 -0.320  -1.634 -0.364  -1.478 -0.314  -1.319 -0.270  -1.160 -0.227  -1.004 -0.176  -0.855 -0.107  -0.714 -0.022  -0.571 0.059  -0.442 0.158  -0.343 0.289  -0.287 0.407  -0.394 0.282  -0.482 0.144  -0.585 0.023  -0.676 -0.113  -0.766 -0.247  -0.729 -0.366  -0.599 -0.297  -0.445 -0.239  -0.292 -0.178  -0.152 -0.093  -0.019 0.004  0.113 0.102  0.243 0.203  0.371 0.306  0.495 0.414  0.643 0.488  0.652 0.448  0.558 0.315  0.443 0.197  0.347 0.064  0.224 -0.044  0.137 -0.183  0.140 -0.318  0.303 -0.312  0.463 -0.272  0.622 -0.229  0.777 -0.175  0.933 -0.121  1.087 -0.062  1.239 -0.001  1.392 0.060  1.538 0.136  1.683 0.213  1.806 0.321  1.913 0.445  1.836 0.534
1c#apb#apb29#app2970/i  -1.893 -0.578  -1.826 -0.573  -1.674 -0.523  -1.518 -0.497  -1.360 -0.488  -1.212 -0.429  -1.061 -0.376  -0.906 -0.338  -0.751 -0.297  -0.598 -0.251  -0.462 -0.174  -0.340 -0.070  -0.198 0.002  -0.062 0.085  0.022 0.214  0.049 0.307  -0.065 0.207  -0.177 0.093  -0.290 -0.020  -0.401 -0.135  -0.494 -0.265  -0.584 -0.397  -0.660 -0.532  -0.552 -0.605  -0.393 -0.602  -0.233 -0.588  -0.076 -0.563  0.077 -0.516  0.229 -0.469  0.374 -0.402  0.520 -0.335  0.669 -0.278  0.819 -0.226  0.941 -0.122  1.065 -0.021  1.135 0.113  1.038 0.119  0.906 0.062  0.887 0.108  0.917 0.265  0.946 0.422  0.976 0.579  1.006 0.736  1.036 0.893  1.024 1.037  0.899 1.135  0.761 1.174  0.608 1.150  0.492 1.043  0.386 0.924
1c#apb#apb29#app2970/p  -0.363 0.452  -0.283 0.594  -0.237 0.492  -0.265 0.295  -0.317 0.100  -0.382 -0.090  -0.472 -0.270  -0.562 -0.450  -0.652 -0.630  -0.742 -0.810  -0.837 -0.987  -0.948 -1.155  -1.043 -1.332  -1.166 -1.490  -1.088 -1.491  -0.954 -1.341  -0.846 -1.173  -0.760 -0.991  -0.674 -0.809  -0.587 -0.627  -0.501 -0.445  -0.415 -0.263  -0.329 -0.081  -0.242 0.100  -0.156 0.282  -0.055 0.421  0.061 0.555  0.180 0.637  0.347 0.726  0.532 0.795  0.732 0.809  0.921 0.869  1.115 0.902  1.309 0.908  1.482 0.840  1.467 0.645  1.315 0.515  1.173 0.372  0.980 0.315  0.786 0.262  0.590 0.214  0.390 0.198  0.191 0.172  -0.004 0.119  -0.181 0.187  -0.094 0.255  0.097 0.317  0.294 0.351  0.495 0.362  0.696 0.373
1c#apb#apb29#app2970/s  0.564 0.291  0.720 0.324  0.859 0.392  0.956 0.518  1.116 0.518  1.232 0.578  1.277 0.658  1.245 0.675  1.128 0.738  0.970 0.745  0.830 0.810  0.670 0.810  0.514 0.789  0.362 0.745  0.203 0.739  0.045 0.712  -0.114 0.705  -0.267 0.659  -0.399 0.580  -0.509 0.466  -0.629 0.361  -0.672 0.219  -0.721 0.080  -0.605 -0.009  -0.447 -0.032  -0.287 -0.033  -0.127 -0.033  0.033 -0.033  0.193 -0.033  0.353 -0.033  0.513 -0.033  0.670 -0.059  0.661 -0.195  0.548 -0.308  0.435 -0.422  0.316 -0.526  0.164 -0.577  0.013 -0.627  -0.140 -0.674  -0.294 -0.718  -0.448 -0.762  -0.603 -0.801  -0.759 -0.837  -0.915 -0.873  -1.072 -0.902  -1.229 -0.931  -1.389 -0.940  -1.549 -0.940  -1.707 -0.937  -1.704 -0.843
1c#apb#apb29#app2970/t  0.525 1.499  0.557 1.427  0.496 1.226  0.407 1.025  0.310 0.828  0.202 0.638  0.076 0.458  -0.048 0.276  -0.170 0.093  -0.279 -0.098  -0.383 -0.291  -0.510 -0.468  -0.665 -0.623  -0.820 -0.779  -0.963 -0.945  -1.063 -1.126  -0.918 -1.276  -0.706 -1.298  -0.498 -1.228  -0.290 -1.159  -0.080 -1.096  0.131 -1.033  0.340 -0.964  0.544 -0.883  0.719 -0.758  0.835 -0.574  0.843 -0.365  0.793 -0.157  0.575 -0.129  0.357 -0.101  0.139 -0.072  -0.079 -0.044  -0.297 -0.016  -0.515 0.012  -0.733 0.041  -0.950 0.069  -1.122 0.172  -1.016 0.322  -0.810 0.331  -0.597 0.363  -0.382 0.409  -0.172 0.473  0.037 0.541  0.248 0.601  0.457 0.671  0.674 0.702  0.880 0.778  1.087 0.843  1.307 0.843  1.526 0.843
1c#apb#apb29#app2970/h  0.457 1.794  0.527 1.898  0.699 1.896  0.699 1.722  0.674 1.550  0.617 1.388  0.539 1.232  0.457 1.079  0.367 0.929  0.277 0.781  0.174 0.640  0.072 0.499  -0.036 0.362  -0.152 0.233  -0.269 0.103  -0.369 -0.038  -0.463 -0.185  -0.558 -0.330  -0.673 -0.461  -0.788 -0.592  -0.911 -0.716  -1.038 -0.833  -1.120 -0.933  -0.986 -0.825  -0.862 -0.702  -0.731 -0.589  -0.599 -0.475  -0.469 -0.359  -0.338 -0.244  -0.194 -0.147  -0.045 -0.058  0.097 0.042  0.228 0.157  0.372 0.245  0.543 0.265  0.696 0.224  0.640 0.061  0.543 -0.084  0.445 -0.227  0.328 -0.357  0.212 -0.486  0.097 -0.617  -0.017 -0.749  -0.145 -0.864  -0.234 -1.005  -0.101 -1.045  0.073 -1.045  0.247 -1.045  0.421 -1.045  0.595 -1.045
1c#apb#apb29#app2970/e  -0.894 0.048  -0.833 0.103  -0.755 0.052  -0.662 -0.066  -0.557 -0.138  -0.381 -0.138  -0.205 -0.138  -0.039 -0.090  0.123 -0.021  0.292 0.027  0.463 0.066  0.634 0.109  0.799 0.171  0.963 0.233  1.089 0.356  1.213 0.480  1.247 0.643  1.204 0.804  1.094 0.940  0.936 1.018  0.773 1.072  0.597 1.072  0.423 1.060  0.258 0.998  0.093 0.937  -0.065 0.859  -0.222 0.780  -0.380 0.701  -0.496 0.570  -0.612 0.437  -0.728 0.305  -0.843 0.171  -0.957 0.037  -1.023 -0.123  -1.071 -0.292  -1.063 -0.466  -1.041 -0.640  -0.942 -0.773  -0.807 -0.886  -0.649 -0.949  -0.475 -0.980  -0.302 -1.012  -0.127 -1.015  0.048 -1.003  0.224 -0.991  0.400 -0.980  0.568 -0.933  0.732 -0.869  0.896 -0.806  1.061 -0.743
1c#apb#apb29#app2970/j  -0.064 -0.002  0.013 0.063  0.017 -0.006  0.073 -0.113  0.087 -0.239  0.024 -0.349  -0.039 -0.460  -0.100 -0.572  -0.173 -0.674  -0.269 -0.758  -0.368 -0.838  -0.477 -0.904  -0.586 -0.969  -0.699 -1.028  -0.813 -1.085  -0.931 -1.132  -1.038 -1.132  -1.078 -1.014  -1.094 -0.888  -1.009 -0.798  -0.916 -0.711  -0.823 -0.624  -0.730 -0.538  -0.636 -0.451  -0.543 -0.364  -0.450 -0.277  -0.357 -0.191  -0.263 -0.104  -0.170 -0.017  -0.077 0.070  0.016 0.157  0.109 0.243  0.203 0.330  0.296 0.417  0.389 0.504  0.482 0.591  0.575 0.677  0.669 0.764  0.762 0.851  0.855 0.938  0.948 1.025  1.042 1.111  1.135 1.198  1.127 1.241  1.051 1.200  0.977 1.103  0.875 1.035  0.764 0.972  0.659 0.902  0.554 0.848
1c#apb#apb29#app2970/u  -0.238 0.377  -0.285 0.417  -0.243 0.579  -0.247 0.729  -0.372 0.849  -0.493 0.762  -0.641 0.654  -0.783 0.540  -0.896 0.398  -1.002 0.249  -1.112 0.104  -1.226 -0.038  -1.354 -0.169  -1.427 -0.321  -1.465 -0.497  -1.427 -0.659  -1.255 -0.669  -1.073 -0.664  -0.896 -0.620  -0.719 -0.575  -0.547 -0.514  -0.375 -0.451  -0.204 -0.389  -0.043 -0.303  0.118 -0.216  0.278 -0.129  0.442 -0.050  0.609 0.024  0.772 0.104  0.889 0.245  1.006 0.384  1.135 0.513  1.189 0.673  1.189 0.856  1.166 0.960  1.052 0.819  0.910 0.705  0.810 0.558  0.736 0.391  0.660 0.226  0.554 0.077  0.448 -0.071  0.381 -0.240  0.333 -0.415  0.337 -0.597  0.367 -0.777  0.477 -0.883  0.648 -0.945  0.817 -1.002  0.999 -1.002
1c#apb#apb29#app2970/r  -0.605 0.251  -0.536 0.371  -0.467 0.492  -0.382 0.600  -0.311 0.633  -0.269 0.588  -0.235 0.453  -0.194 0.321  -0.158 0.187  -0.143 0.050  -0.143 -0.088  -0.143 -0.227  -0.143 -0.366  -0.177 -0.500  -0.215 -0.633  -0.281 -0.754  -0.362 -0.867  -0.450 -0.971  -0.583 -1.009  -0.716 -1.047  -0.855 -1.051  -0.991 -1.034  -1.067 -0.950  -1.031 -0.817  -0.987 -0.686  -0.906 -0.574  -0.821 -0.465  -0.736 -0.355  -0.639 -0.258  -0.528 -0.174  -0.417 -0.091  -0.306 -0.008  -0.195 0.075  -0.076 0.147  0.043 0.217  0.163 0.288  0.283 0.358  0.402 0.428  0.522 0.499  0.655 0.536  0.789 0.572  0.923 0.608  1.057 0.644  1.192 0.671  1.331 0.671  1.469 0.671  1.608 0.671  1.747 0.671  1.883 0.664  1.999 0.587
