3#apa#apa01#app0176/2  -1.098 0.743  -0.977 0.743  -0.904 0.792  -0.831 0.840  -0.710 0.840  -0.685 0.937  -0.613 0.986  -0.540 1.034  -0.418 1.034  -0.297 1.034  -0.225 1.084  -0.151 1.131  -0.030 1.131  0.066 1.105  0.116 1.034  0.237 1.034  0.260 0.935  0.286 0.840  0.357 0.789  0.357 0.668  0.357 0.547  0.357 0.425  0.306 0.355  0.260 0.279  0.260 0.158  0.260 0.037  0.223 -0.070  0.163 -0.166  0.103 -0.227  0.066 -0.312  0.058 -0.430  -0.028 -0.515  -0.046 -0.630  -0.128 -0.717  -0.149 -0.830  -0.234 -0.916  -0.320 -1.001  -0.301 -1.100  -0.179 -1.100  -0.128 -1.171  -0.034 -1.197  0.088 -1.197  0.209 -1.197  0.331 -1.197  0.442 -1.155  0.550 -1.101  0.672 -1.100  0.793 -1.100  0.915 -1.100  0.939 -1.003
3#apa#apa01#app0176/^  -1.014 -1.639  -1.014 -1.520  -1.014 -1.400  -0.934 -1.313  -0.850 -1.228  -0.768 -1.142  -0.768 -1.022  -0.768 -0.902  -0.650 -0.900  -0.530 -0.900  -0.521 -0.789  -0.521 -0.669  -0.521 -0.549  -0.521 -0.429  -0.521 -0.309  -0.521 -0.189  -0.431 -0.160  -0.311 -0.160  -0.275 -0.076  -0.275 0.044  -0.275 0.164  -0.275 0.284  -0.275 0.404  -0.275 0.523  -0.211 0.580  -0.091 0.580  -0.028 0.637  -0.028 0.757  0.007 0.862  0.092 0.947  0.177 1.031  0.280 1.073  0.399 1.073  0.465 1.019  0.465 0.899  0.513 0.827  0.633 0.827  0.712 0.786  0.712 0.666  0.712 0.546  0.712 0.426  0.739 0.333  0.859 0.333  0.958 0.313  0.958 0.193  0.958 0.073  0.958 -0.047  0.958 -0.167  0.958 -0.286  0.958 -0.406
3#apa#apa01#app0176/0  -0.520 0.894  -0.561 0.780  -0.634 0.699  -0.747 0.658  -0.747 0.504  -0.747 0.350  -0.861 0.309  -0.861 0.155  -0.861 0.000  -0.861 -0.154  -0.795 -0.242  -0.747 -0.349  -0.714 -0.469  -0.634 -0.544  -0.632 -0.696  -0.520 -0.739  -0.520 -0.893  -0.399 -0.931  -0.289 -1.037  -0.135 -1.037  0.019 -1.037  0.173 -1.037  0.328 -1.037  0.482 -1.037  0.630 -1.022  0.739 -0.913  0.848 -0.804  0.956 -0.695  0.956 -0.541  1.039 -0.469  1.070 -0.346  1.047 -0.197  0.978 -0.059  0.956 0.090  0.956 0.245  0.956 0.399  0.876 0.520  0.735 0.553  0.695 0.667  0.563 0.720  0.433 0.780  0.279 0.780  0.136 0.806  0.018 0.894  -0.137 0.894  -0.291 0.894  -0.445 0.894  -0.599 0.894  -0.752 0.898  -0.861 1.007
3#apa#apa01#app0176/=  -1.233 0.673  -1.088 0.673  -0.943 0.673  -0.798 0.673  -0.653 0.673  -0.509 0.673  -0.364 0.673  -0.219 0.673  -0.074 0.673  0.071 0.673  0.216 0.673  0.360 0.673  0.505 0.673  0.617 0.752  0.720 0.855  0.822 0.957  0.962 0.968  1.107 0.968  1.034 0.888  0.924 0.793  0.814 0.699  0.704 0.605  0.594 0.511  0.484 0.416  0.374 0.322  0.264 0.228  0.154 0.134  0.044 0.039  -0.066 -0.055  -0.176 -0.149  -0.286 -0.243  -0.395 -0.338  -0.505 -0.432  -0.615 -0.526  -0.725 -0.620  -0.835 -0.715  -0.931 -0.810  -0.828 -0.912  -0.726 -1.014  -0.615 -1.098  -0.471 -1.098  -0.326 -1.098  -0.181 -1.098  -0.036 -1.098  0.109 -1.098  0.254 -1.098  0.398 -1.098  0.543 -1.098  0.688 -1.098  0.833 -1.098
3#apa#apa01#app0176/1  -0.504 1.514  -0.504 1.437  -0.504 1.359  -0.473 1.312  -0.395 1.312  -0.318 1.312  -0.302 1.250  -0.302 1.172  -0.291 1.099  -0.236 1.044  -0.181 0.989  -0.126 0.934  -0.099 0.867  -0.099 0.789  -0.099 0.712  -0.099 0.634  -0.099 0.556  -0.075 0.502  0.003 0.502  0.080 0.502  0.103 0.447  0.103 0.369  0.103 0.292  0.103 0.214  0.103 0.136  0.103 0.058  0.103 -0.020  0.103 -0.097  0.103 -0.175  0.103 -0.253  0.103 -0.331  0.103 -0.409  0.103 -0.486  0.103 -0.564  0.103 -0.642  0.103 -0.720  0.103 -0.798  0.103 -0.875  0.103 -0.953  0.103 -1.031  0.103 -1.109  0.152 -1.166  0.207 -1.222  0.262 -1.277  0.306 -1.336  0.306 -1.414  0.306 -1.492  0.306 -1.570  0.306 -1.647  0.306 -1.725
3#apa#apa01#app0176/0  -0.579 0.704  -0.679 0.603  -0.721 0.478  -0.721 0.336  -0.803 0.277  -0.863 0.195  -0.863 0.053  -0.863 -0.090  -0.863 -0.232  -0.863 -0.374  -0.863 -0.516  -0.783 -0.578  -0.721 -0.658  -0.665 -0.776  -0.579 -0.883  -0.559 -1.005  -0.422 -1.019  -0.322 -1.119  -0.191 -1.147  -0.049 -1.147  0.093 -1.147  0.133 -1.045  0.235 -1.005  0.347 -0.933  0.448 -0.833  0.548 -0.732  0.648 -0.632  0.703 -0.512  0.703 -0.370  0.767 -0.293  0.845 -0.228  0.845 -0.086  0.845 0.056  0.845 0.198  0.845 0.340  0.782 0.419  0.703 0.482  0.703 0.624  0.641 0.704  0.560 0.766  0.499 0.846  0.418 0.907  0.357 0.988  0.233 1.031  0.132 1.131  -0.009 1.132  -0.010 1.273  -0.152 1.273  -0.294 1.273  -0.436 1.273
3#apa#apa01#app0176/^  -1.419 -0.737  -1.288 -0.737  -1.157 -0.737  -1.149 -0.613  -1.149 -0.481  -1.033 -0.466  -0.901 -0.466  -0.879 -0.357  -0.879 -0.226  -0.777 -0.196  -0.646 -0.196  -0.609 -0.102  -0.609 0.030  -0.609 0.161  -0.609 0.292  -0.529 0.344  -0.398 0.344  -0.339 0.416  -0.339 0.548  -0.274 0.614  -0.142 0.614  -0.068 0.672  -0.068 0.803  -0.018 0.885  0.113 0.885  0.232 0.915  0.325 1.008  0.418 1.101  0.472 1.100  0.472 0.969  0.472 0.837  0.472 0.706  0.500 0.586  0.593 0.493  0.686 0.400  0.742 0.292  0.742 0.161  0.742 0.030  0.742 -0.102  0.742 -0.233  0.742 -0.365  0.742 -0.496  0.742 -0.627  0.742 -0.759  0.742 -0.890  0.742 -1.022  0.742 -1.153  0.742 -1.284  0.742 -1.416  0.742 -1.547
3#apa#apa01#app0176/0  -0.496 0.661  -0.632 0.661  -0.652 0.545  -0.748 0.505  -0.808 0.429  -0.808 0.293  -0.808 0.158  -0.808 0.022  -0.808 -0.114  -0.940 -0.118  -0.963 -0.230  -0.963 -0.366  -0.891 -0.429  -0.808 -0.482  -0.808 -0.618  -0.795 -0.741  -0.659 -0.741  -0.561 -0.832  -0.452 -0.897  -0.323 -0.914  -0.227 -1.010  -0.109 -1.053  0.027 -1.053  0.152 -1.028  0.248 -0.932  0.370 -0.897  0.486 -0.850  0.582 -0.754  0.678 -0.657  0.750 -0.551  0.760 -0.420  0.856 -0.324  0.906 -0.208  0.906 -0.073  0.906 0.063  0.906 0.199  0.906 0.335  0.820 0.435  0.750 0.542  0.750 0.678  0.750 0.814  0.750 0.950  0.638 0.973  0.529 1.038  0.430 1.129  0.295 1.129  0.159 1.129  0.023 1.129  -0.088 1.188  -0.184 1.284
3#apa#apa01#app0176/=  -0.899 0.748  -0.760 0.748  -0.622 0.748  -0.483 0.748  -0.344 0.748  -0.206 0.748  -0.067 0.748  0.071 0.748  0.210 0.748  0.349 0.748  0.449 0.841  0.547 0.939  0.645 1.037  0.773 1.062  0.912 1.062  0.934 1.020  0.827 0.931  0.721 0.842  0.614 0.754  0.508 0.665  0.401 0.576  0.295 0.487  0.188 0.399  0.082 0.310  -0.025 0.221  -0.131 0.132  -0.238 0.044  -0.344 -0.045  -0.451 -0.134  -0.557 -0.223  -0.664 -0.311  -0.770 -0.400  -0.877 -0.489  -0.899 -0.617  -0.899 -0.755  -0.826 -0.821  -0.688 -0.821  -0.560 -0.847  -0.462 -0.945  -0.364 -1.043  -0.263 -1.135  -0.125 -1.135  0.014 -1.135  0.153 -1.135  0.291 -1.135  0.430 -1.135  0.569 -1.135  0.707 -1.135  0.846 -1.135  0.984 -1.135
3#apa#apa01#app0176/x  -1.102 1.384  -1.102 1.192  -0.939 1.163  -0.881 1.029  -0.807 0.867  -0.670 0.731  -0.534 0.595  -0.398 0.459  -0.262 0.323  -0.089 0.277  0.005 0.178  0.075 0.056  0.255 0.027  0.391 -0.109  0.527 -0.245  0.663 -0.381  0.799 -0.518  0.954 -0.609  1.112 -0.643  1.110 -0.825  1.032 -0.650  0.954 -0.474  0.875 -0.298  0.797 -0.122  0.719 0.054  0.641 0.230  0.563 0.406  0.485 0.581  0.407 0.757  0.328 0.933  0.250 1.109  0.226 1.030  0.226 0.837  0.173 0.667  0.037 0.531  0.005 0.352  -0.079 0.194  -0.215 0.058  -0.217 -0.134  -0.217 -0.326  -0.348 -0.387  -0.438 -0.490  -0.438 -0.682  -0.470 -0.862  -0.606 -0.998  -0.660 -1.168  -0.660 -1.360  -0.718 -1.495  -0.881 -1.524  -0.881 -1.716
3#apa#apa01#app0176/^  -1.659 -0.503  -1.538 -0.503  -1.418 -0.503  -1.297 -0.503  -1.177 -0.503  -1.118 -0.441  -1.118 -0.321  -1.086 -0.232  -0.965 -0.232  -0.846 -0.230  -0.760 -0.145  -0.675 -0.060  -0.590 0.025  -0.577 0.140  -0.577 0.261  -0.504 0.309  -0.384 0.309  -0.306 0.352  -0.306 0.472  -0.293 0.579  -0.172 0.579  -0.052 0.579  -0.036 0.684  -0.036 0.804  0.039 0.850  0.160 0.850  0.280 0.850  0.401 0.850  0.505 0.834  0.505 0.713  0.505 0.593  0.612 0.579  0.732 0.579  0.775 0.502  0.775 0.381  0.775 0.261  0.775 0.140  0.775 0.020  0.775 -0.101  0.775 -0.221  0.775 -0.342  0.775 -0.462  0.775 -0.583  0.775 -0.703  0.775 -0.824  0.775 -0.944  0.790 -1.058  0.876 -1.144  0.961 -1.229  1.046 -1.314
