3#app#app08#app0887/T  0.411 0.813  0.411 0.663  0.411 0.513  0.411 0.363  0.432 0.216  0.468 0.070  0.496 -0.076  0.496 -0.226  0.496 -0.376  0.560 -0.511  0.581 -0.656  0.618 -0.797  0.667 -0.936  0.676 -1.083  0.743 -1.217  0.752 -1.365  0.670 -1.335  0.557 -1.237  0.444 -1.138  0.331 -1.040  0.218 -0.941  0.104 -0.843  -0.009 -0.745  -0.122 -0.646  -0.235 -0.548  -0.348 -0.450  -0.461 -0.351  -0.574 -0.253  -0.688 -0.154  -0.801 -0.056  -0.914 0.042  -1.027 0.141  -1.140 0.239  -1.251 0.340  -1.236 0.446  -1.105 0.492  -0.988 0.583  -0.852 0.642  -0.706 0.668  -0.564 0.716  -0.428 0.778  -0.290 0.835  -0.148 0.883  -0.006 0.930  0.137 0.978  0.279 1.025  0.421 1.072  0.563 1.120  0.703 1.173  0.837 1.240
3#app#app08#app0887/w  -1.381 0.611  -1.269 0.607  -1.269 0.491  -1.269 0.376  -1.258 0.264  -1.177 0.183  -1.157 0.075  -1.157 -0.040  -1.090 -0.128  -1.008 -0.210  -0.933 -0.294  -0.933 -0.410  -0.916 -0.509  -0.800 -0.509  -0.709 -0.533  -0.681 -0.620  -0.565 -0.620  -0.460 -0.595  -0.379 -0.514  -0.265 -0.509  -0.211 -0.408  -0.160 -0.305  -0.057 -0.285  -0.038 -0.188  -0.038 -0.072  -0.038 -0.165  -0.038 -0.281  0.041 -0.364  0.143 -0.397  0.259 -0.397  0.374 -0.397  0.490 -0.397  0.581 -0.338  0.663 -0.256  0.745 -0.174  0.848 -0.122  0.951 -0.070  1.037 0.006  1.118 0.088  1.193 0.172  1.193 0.288  1.193 0.404  1.193 0.519  1.193 0.635  1.193 0.750  1.171 0.857  1.089 0.939  0.977 0.946  0.861 0.946  0.746 0.946
3#app#app08#app0887/o  -0.795 0.890  -0.895 0.789  -0.972 0.679  -0.972 0.537  -0.972 0.395  -0.972 0.253  -0.972 0.111  -0.972 -0.031  -0.972 -0.173  -0.972 -0.315  -0.972 -0.457  -0.972 -0.599  -0.934 -0.704  -0.793 -0.706  -0.692 -0.806  -0.581 -0.881  -0.439 -0.881  -0.297 -0.881  -0.155 -0.881  -0.013 -0.881  0.125 -0.864  0.252 -0.800  0.379 -0.737  0.513 -0.704  0.655 -0.704  0.797 -0.704  0.799 -0.563  0.873 -0.452  0.974 -0.352  1.074 -0.251  1.153 -0.142  1.153 -0.000  1.153 0.142  1.153 0.284  1.105 0.406  1.005 0.507  0.976 0.637  0.910 0.713  0.768 0.713  0.626 0.713  0.484 0.713  0.342 0.713  0.200 0.713  0.058 0.713  -0.084 0.713  -0.226 0.713  -0.368 0.713  -0.440 0.643  -0.475 0.536  -0.618 0.536
3#app#app08#app0887/f  0.116 1.795  0.075 1.869  -0.036 1.864  -0.088 1.761  -0.109 1.651  -0.133 1.546  -0.203 1.457  -0.254 1.354  -0.258 1.240  -0.258 1.125  -0.258 1.010  -0.258 0.895  -0.258 0.780  -0.258 0.666  -0.243 0.553  -0.206 0.444  -0.164 0.337  -0.113 0.234  -0.109 0.121  -0.109 0.006  -0.059 -0.098  -0.008 -0.200  0.041 -0.304  0.041 -0.419  0.080 -0.525  0.116 -0.631  0.116 -0.746  0.190 -0.830  0.190 -0.945  0.254 -1.033  0.335 -1.115  0.364 -1.218  0.414 -1.312  0.410 -1.410  0.351 -1.312  0.292 -1.213  0.232 -1.114  0.173 -1.016  0.114 -0.917  0.055 -0.819  -0.004 -0.720  -0.063 -0.622  -0.122 -0.523  -0.182 -0.425  -0.241 -0.326  -0.179 -0.293  -0.093 -0.222  0.006 -0.183  0.106 -0.148  0.190 -0.073
3#app#app08#app0887/l  -0.422 1.644  -0.422 1.572  -0.422 1.499  -0.422 1.427  -0.422 1.354  -0.422 1.282  -0.411 1.214  -0.360 1.162  -0.317 1.108  -0.317 1.035  -0.317 0.963  -0.311 0.891  -0.288 0.823  -0.265 0.754  -0.242 0.685  -0.219 0.617  -0.177 0.559  -0.126 0.508  -0.107 0.444  -0.107 0.371  -0.107 0.299  -0.096 0.227  -0.082 0.156  -0.068 0.085  -0.054 0.014  -0.040 -0.057  -0.025 -0.128  -0.011 -0.199  0.015 -0.263  0.067 -0.315  0.103 -0.372  0.103 -0.444  0.103 -0.517  0.116 -0.586  0.148 -0.651  0.181 -0.716  0.216 -0.779  0.267 -0.830  0.314 -0.883  0.314 -0.956  0.334 -1.023  0.367 -1.088  0.399 -1.153  0.419 -1.221  0.419 -1.293  0.467 -1.345  0.518 -1.397  0.524 -1.467  0.556 -1.507  0.629 -1.507
3#app#app08#app0887/o  -0.430 0.638  -0.590 0.638  -0.751 0.638  -0.784 0.511  -0.784 0.350  -0.784 0.190  -0.784 0.029  -0.742 -0.113  -0.628 -0.227  -0.607 -0.378  -0.556 -0.527  -0.484 -0.670  -0.391 -0.779  -0.237 -0.795  -0.124 -0.908  0.017 -0.956  0.177 -0.956  0.338 -0.956  0.498 -0.956  0.658 -0.956  0.819 -0.956  0.979 -0.956  0.987 -0.804  1.083 -0.683  1.164 -0.557  1.164 -0.396  1.164 -0.236  1.164 -0.075  1.164 0.085  1.066 0.205  0.987 0.333  0.964 0.484  0.851 0.597  0.707 0.638  0.572 0.699  0.459 0.812  0.299 0.815  0.139 0.815  -0.021 0.815  -0.151 0.740  -0.269 0.638  -0.429 0.638  -0.590 0.638  -0.708 0.536  -0.837 0.461  -0.987 0.435  -1.100 0.321  -1.138 0.177  -1.202 0.043  -1.315 -0.071
3#app#app08#app0887/w  -1.108 0.381  -1.213 0.371  -1.290 0.294  -1.298 0.188  -1.298 0.078  -1.298 -0.031  -1.298 -0.140  -1.298 -0.249  -1.244 -0.337  -1.167 -0.414  -1.082 -0.473  -0.984 -0.501  -0.903 -0.567  -0.793 -0.567  -0.684 -0.567  -0.575 -0.567  -0.473 -0.535  -0.375 -0.486  -0.269 -0.473  -0.188 -0.406  -0.097 -0.347  0.000 -0.298  0.084 -0.229  0.125 -0.239  0.125 -0.348  0.125 -0.457  0.219 -0.473  0.329 -0.473  0.438 -0.473  0.535 -0.443  0.612 -0.365  0.689 -0.288  0.789 -0.276  0.805 -0.173  0.882 -0.095  0.892 0.010  0.969 0.087  0.979 0.192  0.979 0.301  0.979 0.411  0.979 0.520  0.979 0.629  0.928 0.717  0.884 0.809  0.884 0.918  0.884 1.027  0.820 1.110  0.723 1.140  0.695 1.060  0.600 1.045
3#app#app08#app0887/e  -0.555 0.172  -0.555 0.036  -0.486 -0.031  -0.350 -0.031  -0.213 -0.031  -0.097 0.018  -0.001 0.115  0.112 0.172  0.248 0.172  0.348 0.260  0.445 0.357  0.561 0.425  0.683 0.486  0.805 0.547  0.872 0.642  0.872 0.778  0.872 0.915  0.872 1.051  0.872 1.188  0.740 1.192  0.604 1.192  0.467 1.192  0.370 1.097  0.273 1.001  0.177 0.904  0.080 0.808  -0.016 0.711  -0.112 0.615  -0.209 0.519  -0.305 0.422  -0.351 0.305  -0.354 0.169  -0.451 0.073  -0.547 -0.023  -0.555 -0.157  -0.555 -0.293  -0.555 -0.429  -0.555 -0.566  -0.555 -0.702  -0.555 -0.839  -0.555 -0.975  -0.512 -1.094  -0.416 -1.190  -0.331 -1.295  -0.270 -1.417  -0.209 -1.539  -0.148 -1.661  -0.012 -1.663  0.057 -1.730  0.057 -1.866
3#app#app08#app0887/r  -0.575 -0.116  -0.494 -0.197  -0.413 -0.278  -0.378 -0.378  -0.378 -0.493  -0.378 -0.608  -0.378 -0.722  -0.378 -0.837  -0.345 -0.938  -0.264 -1.019  -0.183 -1.100  -0.181 -1.214  -0.181 -1.328  -0.181 -1.443  -0.181 -1.436  -0.181 -1.321  -0.181 -1.207  -0.181 -1.092  -0.181 -0.978  -0.181 -0.863  -0.181 -0.748  -0.181 -0.634  -0.181 -0.519  -0.181 -0.404  -0.181 -0.290  -0.181 -0.175  -0.181 -0.060  -0.181 0.054  -0.181 0.169  -0.179 0.283  -0.127 0.386  -0.076 0.488  -0.025 0.591  0.016 0.696  0.016 0.810  0.016 0.925  0.016 1.039  0.103 1.067  0.214 1.072  0.214 1.186  0.250 1.265  0.364 1.265  0.479 1.265  0.594 1.265  0.679 1.194  0.760 1.113  0.856 1.067  0.971 1.067  1.085 1.067  1.200 1.067
3#app#app08#app0887/h  -0.488 1.136  -0.590 1.237  -0.656 1.365  -0.699 1.499  -0.785 1.556  -0.804 1.431  -0.804 1.287  -0.804 1.143  -0.804 0.999  -0.804 0.855  -0.755 0.723  -0.695 0.592  -0.667 0.451  -0.639 0.310  -0.611 0.169  -0.568 0.033  -0.504 -0.096  -0.411 -0.204  -0.336 -0.326  -0.272 -0.454  -0.207 -0.583  -0.126 -0.700  -0.067 -0.819  -0.023 -0.953  0.044 -1.080  0.143 -1.183  0.143 -1.241  0.143 -1.097  0.143 -0.953  0.143 -0.809  0.143 -0.665  0.143 -0.521  0.143 -0.377  0.176 -0.239  0.221 -0.102  0.248 0.038  0.248 0.182  0.280 0.294  0.424 0.294  0.565 0.291  0.630 0.162  0.709 0.044  0.811 -0.058  0.879 -0.174  0.940 -0.292  1.042 -0.394  1.090 -0.518  1.171 -0.629  1.198 -0.761  1.300 -0.863
3#app#app08#app0887/a  -0.606 0.979  -0.675 0.842  -0.743 0.705  -0.812 0.569  -0.921 0.460  -1.014 0.346  -1.014 0.192  -1.102 0.075  -1.210 -0.033  -1.218 -0.183  -1.218 -0.336  -1.218 -0.489  -1.218 -0.643  -1.118 -0.754  -1.008 -0.858  -0.855 -0.858  -0.701 -0.858  -0.548 -0.858  -0.395 -0.858  -0.242 -0.858  -0.120 -0.781  -0.012 -0.672  0.096 -0.564  0.205 -0.456  0.211 -0.305  0.277 -0.179  0.386 -0.071  0.494 0.038  0.602 0.146  0.619 0.292  0.619 0.446  0.619 0.599  0.619 0.752  0.619 0.905  0.619 1.059  0.619 1.155  0.619 1.001  0.619 0.848  0.619 0.695  0.619 0.542  0.619 0.388  0.678 0.249  0.746 0.112  0.815 -0.025  0.823 -0.176  0.882 -0.305  0.991 -0.413  1.027 -0.552  1.078 -0.654  1.231 -0.654
3#app#app08#app0887/d  0.267 0.086  0.124 0.204  -0.067 0.204  -0.210 0.086  -0.378 0.030  -0.533 -0.078  -0.675 -0.183  -0.750 -0.343  -0.792 -0.517  -0.792 -0.708  -0.792 -0.900  -0.792 -1.091  -0.740 -1.261  -0.605 -1.397  -0.433 -1.444  -0.241 -1.444  -0.060 -1.418  0.087 -1.299  0.258 -1.213  0.385 -1.076  0.385 -0.885  0.500 -0.741  0.502 -0.550  0.502 -0.359  0.458 -0.178  0.385 -0.003  0.385 0.188  0.385 0.380  0.359 0.569  0.321 0.756  0.284 0.944  0.267 1.134  0.239 1.319  0.154 1.490  0.085 1.617  0.011 1.734  -0.086 1.640  -0.086 1.449  -0.086 1.257  -0.086 1.066  -0.086 0.874  -0.086 0.682  -0.004 0.510  0.032 0.327  0.062 0.143  0.148 -0.028  0.282 -0.164  0.406 -0.309  0.491 -0.480  0.620 -0.620
