2#apb#apb07#app0710/S  1.087 0.502  1.168 0.657  1.123 0.832  1.006 0.959  0.831 0.989  0.650 0.994  0.469 0.983  0.290 0.963  0.112 0.925  -0.065 0.886  -0.234 0.822  -0.403 0.756  -0.568 0.682  -0.727 0.595  -0.882 0.501  -1.020 0.384  -1.156 0.264  -1.197 0.120  -1.042 0.042  -0.862 0.022  -0.682 0.009  -0.500 -0.001  -0.319 -0.009  -0.138 -0.013  0.043 -0.017  0.224 -0.029  0.405 -0.041  0.586 -0.055  0.766 -0.074  0.946 -0.094  1.115 -0.156  1.234 -0.271  1.207 -0.429  1.091 -0.568  0.923 -0.635  0.754 -0.700  0.580 -0.748  0.402 -0.786  0.225 -0.825  0.046 -0.848  -0.135 -0.862  -0.316 -0.876  -0.496 -0.877  -0.677 -0.858  -0.857 -0.839  -1.005 -0.737  -1.093 -0.593  -1.098 -0.418  -0.993 -0.290  -0.819 -0.238
2#apb#apb07#app0710/w  -0.996 0.777  -1.111 0.779  -1.160 0.665  -1.196 0.540  -1.234 0.415  -1.251 0.287  -1.256 0.157  -1.253 0.027  -1.248 -0.103  -1.194 -0.221  -1.133 -0.335  -1.041 -0.427  -0.926 -0.483  -0.803 -0.478  -0.680 -0.435  -0.565 -0.375  -0.453 -0.308  -0.357 -0.223  -0.272 -0.124  -0.193 -0.021  -0.120 0.087  -0.070 0.205  -0.047 0.331  -0.027 0.202  -0.004 0.074  0.008 -0.056  0.017 -0.185  0.043 -0.312  0.080 -0.437  0.134 -0.554  0.208 -0.661  0.303 -0.744  0.419 -0.762  0.536 -0.704  0.632 -0.620  0.719 -0.523  0.806 -0.426  0.880 -0.319  0.951 -0.210  1.022 -0.101  1.079 0.015  1.123 0.138  1.167 0.260  1.207 0.384  1.228 0.512  1.249 0.641  1.270 0.769  1.243 0.897  1.197 0.998  1.067 0.990
2#apb#apb07#app0710/a  0.481 0.502  0.459 0.659  0.413 0.810  0.345 0.953  0.219 1.050  0.084 1.128  -0.071 1.162  -0.224 1.165  -0.375 1.115  -0.522 1.059  -0.613 0.929  -0.703 0.798  -0.794 0.667  -0.844 0.519  -0.880 0.364  -0.916 0.209  -0.952 0.054  -0.981 -0.102  -1.011 -0.258  -1.040 -0.414  -1.024 -0.570  -0.989 -0.725  -0.953 -0.879  -0.834 -0.980  -0.706 -1.074  -0.565 -1.125  -0.406 -1.117  -0.255 -1.084  -0.120 -1.000  0.015 -0.917  0.145 -0.828  0.243 -0.702  0.341 -0.577  0.438 -0.451  0.519 -0.316  0.586 -0.172  0.654 -0.028  0.721 0.116  0.746 0.272  0.763 0.430  0.782 0.588  0.797 0.493  0.805 0.335  0.819 0.176  0.833 0.018  0.849 -0.140  0.882 -0.295  0.914 -0.451  0.947 -0.607  0.980 -0.762
2#apb#apb07#app0710/r  0.803 0.797  0.891 0.937  0.930 1.095  0.880 1.251  0.756 1.352  0.606 1.419  0.449 1.472  0.283 1.473  0.126 1.446  -0.014 1.357  -0.107 1.228  -0.173 1.076  -0.240 0.925  -0.298 0.771  -0.308 0.606  -0.318 0.440  -0.328 0.275  -0.338 0.110  -0.338 -0.056  -0.338 -0.222  -0.338 -0.387  -0.338 -0.553  -0.330 -0.718  -0.317 -0.883  -0.305 -1.048  -0.285 -1.212  -0.245 -1.373  -0.208 -1.534  -0.175 -1.692  -0.079 -1.568  0.003 -1.425  0.063 -1.271  0.123 -1.116  0.170 -0.959  0.176 -0.794  0.182 -0.628  0.188 -0.463  0.168 -0.300  0.136 -0.137  0.103 0.025  0.071 0.188  0.018 0.344  -0.042 0.499  -0.143 0.373  -0.203 0.224  -0.226 0.060  -0.250 -0.104  -0.266 -0.268  -0.281 -0.433  -0.296 -0.598
2#apb#apb07#app0710/z  -0.339 0.918  -0.409 1.032  -0.322 1.138  -0.212 1.223  -0.089 1.290  0.039 1.342  0.173 1.382  0.312 1.382  0.442 1.343  0.563 1.274  0.656 1.171  0.742 1.063  0.803 0.937  0.853 0.808  0.867 0.670  0.862 0.532  0.827 0.397  0.727 0.303  0.614 0.223  0.485 0.170  0.355 0.120  0.219 0.088  0.084 0.055  -0.048 0.010  -0.178 -0.041  -0.297 -0.108  -0.394 -0.208  -0.474 -0.319  -0.515 -0.452  -0.518 -0.588  -0.496 -0.726  -0.448 -0.856  -0.386 -0.980  -0.322 -1.104  -0.253 -1.226  -0.183 -1.346  -0.102 -1.459  -0.113 -1.498  -0.195 -1.386  -0.264 -1.267  -0.302 -1.133  -0.341 -0.999  -0.358 -0.861  -0.361 -0.722  -0.363 -0.582  -0.360 -0.443  -0.337 -0.306  -0.313 -0.168  -0.229 -0.077  -0.103 -0.017
2#apb#apb07#app0710/e  -0.823 -0.243  -0.684 -0.285  -0.543 -0.316  -0.402 -0.345  -0.260 -0.374  -0.117 -0.360  0.021 -0.322  0.155 -0.267  0.262 -0.178  0.348 -0.062  0.422 0.061  0.481 0.193  0.530 0.327  0.541 0.471  0.551 0.616  0.548 0.759  0.525 0.902  0.502 1.044  0.473 1.185  0.401 1.310  0.329 1.435  0.214 1.502  0.097 1.445  -0.008 1.346  -0.113 1.247  -0.175 1.117  -0.235 0.986  -0.296 0.854  -0.356 0.723  -0.392 0.584  -0.418 0.442  -0.445 0.300  -0.472 0.158  -0.498 0.016  -0.496 -0.127  -0.479 -0.270  -0.461 -0.414  -0.444 -0.557  -0.402 -0.691  -0.318 -0.809  -0.234 -0.926  -0.150 -1.044  -0.066 -1.161  0.046 -1.252  0.160 -1.340  0.275 -1.428  0.390 -1.516  0.530 -1.548  0.671 -1.578  0.813 -1.608
2#apb#apb07#app0710/T  1.708 0.904  1.565 0.899  1.423 0.872  1.284 0.833  1.145 0.791  1.008 0.744  0.872 0.697  0.734 0.651  0.597 0.605  0.459 0.561  0.319 0.525  0.178 0.490  0.038 0.454  -0.102 0.417  -0.242 0.380  -0.382 0.343  -0.520 0.302  -0.659 0.261  -0.799 0.224  -0.921 0.204  -0.777 0.214  -0.636 0.244  -0.494 0.274  -0.353 0.305  -0.211 0.335  -0.070 0.365  0.072 0.395  0.213 0.426  0.355 0.456  0.481 0.475  0.391 0.363  0.288 0.261  0.197 0.149  0.118 0.028  0.039 -0.093  -0.037 -0.217  -0.113 -0.340  -0.190 -0.462  -0.269 -0.584  -0.347 -0.706  -0.422 -0.830  -0.483 -0.961  -0.544 -1.092  -0.605 -1.223  -0.672 -1.352  -0.738 -1.480  -0.798 -1.612  -0.783 -1.616  -0.702 -1.496  -0.614 -1.381
2#apb#apb07#app0710/h  0.819 1.718  0.704 1.707  0.604 1.575  0.513 1.436  0.423 1.296  0.332 1.156  0.240 1.017  0.147 0.879  0.052 0.742  -0.047 0.608  -0.145 0.474  -0.244 0.340  -0.344 0.207  -0.444 0.074  -0.544 -0.059  -0.647 -0.190  -0.754 -0.318  -0.860 -0.446  -0.980 -0.561  -1.106 -0.670  -1.238 -0.771  -1.305 -0.815  -1.179 -0.707  -1.037 -0.618  -0.912 -0.510  -0.790 -0.396  -0.670 -0.281  -0.550 -0.166  -0.428 -0.052  -0.306 0.061  -0.176 0.163  -0.024 0.232  0.129 0.295  0.288 0.331  0.451 0.299  0.601 0.229  0.651 0.085  0.648 -0.080  0.608 -0.241  0.549 -0.396  0.477 -0.546  0.412 -0.699  0.357 -0.856  0.378 -0.997  0.536 -0.970  0.687 -0.899  0.835 -0.825  0.966 -0.721  1.096 -0.618  1.227 -0.514
2#apb#apb07#app0710/o  -0.218 -0.656  -0.054 -0.620  0.098 -0.554  0.240 -0.464  0.383 -0.376  0.526 -0.287  0.665 -0.193  0.793 -0.085  0.922 0.023  1.016 0.161  1.104 0.304  1.133 0.466  1.141 0.634  1.131 0.801  1.118 0.969  1.059 1.083  0.892 1.073  0.724 1.062  0.556 1.052  0.388 1.041  0.221 1.031  0.053 1.020  -0.061 0.899  -0.173 0.774  -0.285 0.648  -0.395 0.521  -0.499 0.390  -0.604 0.258  -0.708 0.126  -0.813 -0.005  -0.910 -0.142  -1.008 -0.279  -1.106 -0.415  -1.171 -0.567  -1.211 -0.730  -1.239 -0.893  -1.186 -1.052  -1.032 -1.054  -0.867 -1.029  -0.719 -0.950  -0.570 -0.871  -0.422 -0.792  -0.286 -0.694  -0.155 -0.589  -0.024 -0.484  0.107 -0.379  0.210 -0.246  0.310 -0.111  0.411 0.023  0.512 0.157
2#apb#apb07#app0710/r  1.823 1.172  1.674 1.214  1.521 1.193  1.369 1.162  1.223 1.108  1.077 1.053  0.947 0.971  0.824 0.875  0.701 0.780  0.581 0.681  0.466 0.576  0.351 0.472  0.236 0.367  0.121 0.262  0.028 0.138  -0.065 0.013  -0.159 -0.111  -0.252 -0.236  -0.330 -0.370  -0.399 -0.509  -0.469 -0.648  -0.538 -0.787  -0.595 -0.931  -0.635 -1.082  -0.675 -1.232  -0.720 -1.381  -0.698 -1.393  -0.616 -1.260  -0.541 -1.124  -0.486 -0.979  -0.430 -0.834  -0.374 -0.689  -0.323 -0.542  -0.288 -0.391  -0.254 -0.239  -0.220 -0.087  -0.185 0.065  -0.164 0.218  -0.151 0.373  -0.138 0.528  -0.126 0.683  -0.154 0.693  -0.201 0.545  -0.244 0.396  -0.286 0.246  -0.336 0.099  -0.391 -0.047  -0.446 -0.192  -0.501 -0.338  -0.556 -0.483
2#apb#apb07#app0710/n  -0.716 1.008  -0.577 1.039  -0.461 0.934  -0.405 0.778  -0.359 0.618  -0.368 0.452  -0.392 0.289  -0.433 0.127  -0.477 -0.033  -0.530 -0.191  -0.582 -0.348  -0.648 -0.501  -0.715 -0.653  -0.783 -0.805  -0.852 -0.956  -0.951 -1.083  -1.045 -1.175  -0.993 -1.023  -0.905 -0.882  -0.813 -0.744  -0.716 -0.609  -0.618 -0.474  -0.520 -0.340  -0.422 -0.206  -0.323 -0.072  -0.224 0.062  -0.128 0.198  -0.038 0.337  0.053 0.476  0.143 0.616  0.235 0.755  0.328 0.892  0.422 1.030  0.557 1.110  0.708 1.096  0.851 1.010  0.911 0.857  0.969 0.701  1.006 0.540  1.021 0.374  1.037 0.209  1.015 0.046  0.978 -0.117  0.942 -0.279  0.903 -0.440  0.860 -0.601  0.818 -0.762  0.779 -0.924  0.744 -1.086  0.713 -1.249
