2#apa#apa14#app1406/w  -1.027 0.287  -1.027 0.448  -1.027 0.609  -1.149 0.687  -1.160 0.538  -1.160 0.377  -1.160 0.216  -1.160 0.054  -1.160 -0.107  -1.093 -0.252  -1.093 -0.413  -1.027 -0.547  -0.984 -0.690  -0.860 -0.781  -0.699 -0.781  -0.538 -0.781  -0.389 -0.729  -0.278 -0.617  -0.194 -0.482  -0.109 -0.347  -0.005 -0.226  0.084 -0.094  0.108 0.062  0.059 0.203  -0.008 0.336  -0.134 0.421  -0.159 0.285  -0.159 0.123  -0.159 -0.038  -0.092 -0.171  -0.032 -0.307  0.043 -0.449  0.178 -0.514  0.339 -0.514  0.496 -0.483  0.652 -0.442  0.791 -0.364  0.905 -0.250  1.047 -0.175  1.175 -0.080  1.281 0.030  1.378 0.156  1.442 0.290  1.429 0.448  1.376 0.597  1.313 0.719  1.184 0.812  1.060 0.912  0.928 1.002  0.775 1.021
2#apa#apa14#app1406/a  0.242 0.941  0.199 1.100  0.052 1.174  -0.125 1.174  -0.298 1.149  -0.466 1.093  -0.637 1.057  -0.745 0.945  -0.835 0.794  -0.960 0.669  -1.037 0.524  -1.043 0.348  -1.122 0.190  -1.154 0.020  -1.154 -0.157  -1.154 -0.334  -1.113 -0.495  -0.988 -0.620  -0.863 -0.745  -0.738 -0.870  -0.581 -0.920  -0.404 -0.920  -0.227 -0.920  -0.067 -0.879  0.059 -0.754  0.199 -0.650  0.358 -0.571  0.401 -0.412  0.526 -0.286  0.651 -0.161  0.707 -0.007  0.707 0.170  0.661 0.336  0.572 0.485  0.414 0.564  0.358 0.707  0.242 0.649  0.242 0.472  0.242 0.295  0.331 0.155  0.358 -0.011  0.417 -0.164  0.517 -0.307  0.599 -0.463  0.725 -0.588  0.861 -0.687  1.038 -0.687  1.169 -0.800  1.344 -0.803  1.521 -0.803
2#apa#apa14#app1406/n  -0.957 0.588  -0.844 0.701  -0.812 0.847  -0.729 0.972  -0.729 0.959  -0.729 0.800  -0.729 0.640  -0.729 0.481  -0.729 0.321  -0.729 0.162  -0.729 0.002  -0.686 -0.140  -0.614 -0.270  -0.614 -0.429  -0.614 -0.589  -0.558 -0.725  -0.500 -0.705  -0.500 -0.546  -0.500 -0.386  -0.500 -0.227  -0.398 -0.110  -0.366 0.037  -0.272 0.157  -0.272 0.317  -0.189 0.442  -0.157 0.588  -0.125 0.735  -0.043 0.860  0.019 0.994  0.157 1.045  0.198 0.919  0.300 0.802  0.300 0.642  0.374 0.514  0.414 0.371  0.429 0.215  0.501 0.072  0.528 -0.081  0.549 -0.232  0.661 -0.345  0.763 -0.464  0.801 -0.619  0.840 -0.774  0.894 -0.920  1.007 -1.033  1.119 -1.145  1.214 -1.266  1.285 -1.354  1.444 -1.356  1.557 -1.468
2#apa#apa14#app1406/t  -0.184 1.865  -0.090 1.781  -0.090 1.603  -0.090 1.424  -0.043 1.253  0.005 1.082  0.005 0.904  0.009 0.726  0.089 0.567  0.099 0.390  0.115 0.215  0.172 0.045  0.193 -0.130  0.193 -0.308  0.193 -0.487  0.271 -0.647  0.287 -0.822  0.300 -0.998  0.356 -1.168  0.384 -1.341  0.476 -1.482  0.382 -1.433  0.255 -1.306  0.129 -1.180  0.003 -1.054  -0.123 -0.928  -0.250 -0.801  -0.376 -0.675  -0.502 -0.549  -0.628 -0.423  -0.755 -0.296  -0.881 -0.170  -1.007 -0.044  -1.133 0.082  -1.165 0.169  -0.986 0.169  -0.821 0.227  -0.651 0.264  -0.473 0.264  -0.294 0.264  -0.116 0.264  0.063 0.264  0.226 0.327  0.398 0.358  0.576 0.358  0.755 0.358  0.928 0.315  1.101 0.272  1.279 0.264  1.418 0.169
2#apa#apa14#app1406/e  -0.455 -0.742  -0.316 -0.721  -0.274 -0.604  -0.178 -0.540  -0.118 -0.405  0.004 -0.305  0.147 -0.234  0.237 -0.130  0.294 0.006  0.375 0.132  0.421 0.272  0.513 0.394  0.513 0.553  0.513 0.713  0.513 0.872  0.513 1.032  0.391 1.116  0.248 1.187  0.090 1.193  -0.069 1.193  -0.229 1.193  -0.367 1.142  -0.487 1.039  -0.630 0.967  -0.731 0.870  -0.791 0.748  -0.934 0.677  -1.007 0.563  -1.007 0.403  -1.007 0.244  -1.005 0.085  -0.892 -0.028  -0.780 -0.141  -0.690 -0.270  -0.619 -0.413  -0.522 -0.537  -0.397 -0.633  -0.254 -0.704  -0.103 -0.742  0.056 -0.742  0.203 -0.795  0.346 -0.866  0.502 -0.880  0.662 -0.880  0.821 -0.880  0.981 -0.880  1.140 -0.880  1.300 -0.880  1.459 -0.880  1.619 -0.880
2#apa#apa14#app1406/d  0.120 1.937  0.120 1.757  0.216 1.618  0.216 1.439  0.216 1.259  0.216 1.080  0.216 0.901  0.216 0.721  0.216 0.542  0.216 0.363  0.300 0.218  0.313 0.044  0.350 -0.120  0.409 -0.275  0.467 -0.430  0.535 -0.564  0.681 -0.483  0.697 -0.311  0.697 -0.131  0.605 0.010  0.478 0.136  0.372 0.278  0.269 0.412  0.099 0.469  -0.076 0.494  -0.255 0.494  -0.427 0.461  -0.587 0.381  -0.748 0.301  -0.908 0.220  -1.038 0.100  -1.118 -0.060  -1.226 -0.197  -1.226 -0.376  -1.226 -0.556  -1.173 -0.713  -1.014 -0.766  -0.853 -0.846  -0.676 -0.852  -0.496 -0.852  -0.317 -0.852  -0.138 -0.852  0.042 -0.852  0.221 -0.852  0.400 -0.852  0.572 -0.819  0.736 -0.756  0.916 -0.756  1.095 -0.756  1.274 -0.756
2#apa#apa14#app1406/p  -0.374 0.495  -0.281 0.669  -0.206 0.513  -0.189 0.308  -0.189 0.096  -0.150 -0.100  -0.096 -0.289  -0.096 -0.501  -0.037 -0.703  -0.003 -0.909  -0.003 -1.121  0.068 -1.316  0.112 -1.519  0.179 -1.720  0.227 -1.635  0.133 -1.446  0.038 -1.256  -0.057 -1.067  -0.152 -0.877  -0.246 -0.688  -0.341 -0.499  -0.436 -0.309  -0.530 -0.120  -0.625 0.070  -0.720 0.259  -0.815 0.449  -0.909 0.638  -1.004 0.827  -0.948 0.959  -0.830 1.055  -0.629 1.122  -0.421 1.145  -0.209 1.145  -0.002 1.113  0.200 1.052  0.407 1.032  0.601 0.959  0.805 0.926  0.980 0.811  1.110 0.653  1.176 0.457  1.203 0.251  1.069 0.104  0.889 -0.004  0.701 -0.061  0.508 -0.107  0.316 -0.154  0.127 -0.210  -0.070 -0.247  -0.281 -0.247
2#apa#apa14#app1406/i  0.057 0.084  0.057 -0.028  0.129 -0.110  0.179 -0.202  0.179 -0.313  0.179 -0.425  0.179 -0.537  0.179 -0.649  0.179 -0.761  0.179 -0.873  0.244 -0.958  0.301 -1.047  0.301 -1.159  0.301 -1.271  0.301 -1.383  0.301 -1.495  0.278 -1.404  0.253 -1.295  0.227 -1.185  0.202 -1.076  0.177 -0.967  0.152 -0.858  0.127 -0.749  0.102 -0.640  0.076 -0.531  0.051 -0.422  0.026 -0.313  0.001 -0.204  -0.024 -0.094  -0.049 0.015  -0.075 0.124  -0.100 0.233  -0.125 0.342  -0.150 0.451  -0.175 0.560  -0.201 0.669  -0.226 0.778  -0.251 0.887  -0.276 0.997  -0.301 1.106  -0.326 1.215  -0.352 1.324  -0.377 1.433  -0.402 1.542  -0.427 1.651  -0.367 1.607  -0.279 1.549  -0.188 1.529  -0.177 1.427  -0.065 1.427
2#apa#apa14#app1406/n  -1.137 0.918  -1.021 0.885  -1.021 0.736  -1.021 0.588  -1.021 0.439  -1.021 0.290  -1.021 0.142  -1.021 -0.007  -0.918 -0.113  -0.899 -0.255  -0.832 -0.388  -0.789 -0.527  -0.704 -0.591  -0.621 -0.696  -0.552 -0.827  -0.447 -0.933  -0.342 -0.840  -0.325 -0.698  -0.325 -0.549  -0.292 -0.409  -0.225 -0.276  -0.209 -0.131  -0.209 0.018  -0.182 0.160  -0.115 0.293  -0.093 0.437  -0.086 0.584  -0.019 0.717  0.023 0.856  0.084 0.979  0.210 1.034  0.359 1.034  0.371 0.897  0.409 0.764  0.487 0.648  0.487 0.499  0.560 0.381  0.603 0.250  0.606 0.103  0.712 -0.003  0.729 -0.146  0.796 -0.279  0.878 -0.401  0.983 -0.506  1.088 -0.611  1.193 -0.716  1.298 -0.821  1.403 -0.927  1.543 -0.950  1.648 -1.055
2#apa#apa14#app1406/k  -0.982 1.992  -0.899 1.905  -0.839 1.763  -0.807 1.606  -0.754 1.449  -0.653 1.315  -0.570 1.168  -0.494 1.016  -0.418 0.865  -0.342 0.713  -0.266 0.561  -0.190 0.409  -0.114 0.257  -0.109 0.088  -0.040 -0.065  0.019 -0.224  0.065 -0.386  0.073 -0.554  0.149 -0.706  0.225 -0.858  0.269 -0.752  0.304 -0.586  0.340 -0.420  0.375 -0.254  0.411 -0.088  0.446 0.078  0.482 0.244  0.424 0.335  0.254 0.335  0.104 0.287  -0.049 0.248  -0.187 0.170  -0.317 0.073  -0.423 -0.030  -0.545 -0.104  -0.545 -0.274  -0.545 -0.444  -0.430 -0.566  -0.310 -0.686  -0.190 -0.806  -0.053 -0.886  0.117 -0.886  0.286 -0.886  0.456 -0.886  0.626 -0.886  0.796 -0.886  0.966 -0.886  1.130 -0.921  1.291 -0.974  1.461 -0.974
2#apa#apa14#app1406/y  0.780 0.578  0.853 0.727  1.001 0.800  1.127 0.926  1.233 1.060  1.194 0.992  1.101 0.842  0.993 0.702  0.903 0.550  0.805 0.403  0.713 0.251  0.617 0.101  0.530 -0.055  0.419 -0.194  0.307 -0.334  0.188 -0.467  0.070 -0.600  -0.029 -0.748  -0.113 -0.905  -0.231 -1.037  -0.328 -1.185  -0.440 -1.322  -0.505 -1.473  -0.508 -1.575  -0.523 -1.397  -0.538 -1.219  -0.553 -1.041  -0.567 -0.863  -0.582 -0.686  -0.597 -0.508  -0.612 -0.330  -0.627 -0.152  -0.642 0.026  -0.656 0.204  -0.671 0.382  -0.686 0.560  -0.701 0.738  -0.716 0.916  -0.731 1.094  -0.581 1.094  -0.505 0.946  -0.429 0.799  -0.381 0.632  -0.288 0.480  -0.185 0.334  -0.059 0.208  0.099 0.125  0.225 -0.000  0.351 -0.127  0.478 -0.253
