1d#tos#f3#f3014059/!  0.116 1.572  0.043 1.572  0.017 1.572  0.054 1.537  0.054 1.464  0.054 1.391  0.054 1.318  0.054 1.245  0.054 1.172  0.054 1.099  0.054 1.026  0.054 0.953  0.054 0.880  0.054 0.807  0.054 0.734  0.054 0.661  0.054 0.588  0.058 0.515  0.076 0.444  0.093 0.374  0.111 0.303  0.116 0.230  0.116 0.157  0.116 0.084  0.116 0.011  0.116 -0.062  0.116 -0.135  0.115 -0.208  0.103 -0.280  0.091 -0.352  0.079 -0.424  0.067 -0.496  0.055 -0.568  0.043 -0.640  0.031 -0.712  0.019 -0.784  0.007 -0.856  -0.005 -0.928  -0.049 -0.983  -0.101 -1.035  -0.152 -1.086  -0.204 -1.138  -0.255 -1.190  -0.307 -1.241  -0.313 -1.312  -0.313 -1.385  -0.287 -1.431  -0.214 -1.431  -0.191 -1.481  -0.191 -1.554
1d#tos#f3#f3014059/\"  -0.444 1.023  -0.451 0.876  -0.587 0.808  -0.722 0.741  -0.730 0.595  -0.730 0.444  -0.730 0.293  -0.735 0.142  -0.764 -0.006  -0.794 -0.155  -0.824 -0.303  -0.853 -0.451  -0.874 -0.600  -0.874 -0.751  -0.874 -0.903  -0.874 -1.054  -0.874 -1.205  -0.823 -1.194  -0.738 -1.070  -0.652 -0.945  -0.566 -0.821  -0.481 -0.696  -0.395 -0.571  -0.309 -0.447  -0.224 -0.322  -0.138 -0.198  -0.052 -0.073  0.033 0.051  0.119 0.176  0.204 0.301  0.290 0.425  0.376 0.550  0.461 0.674  0.547 0.799  0.633 0.923  0.732 1.023  0.883 1.023  0.987 0.976  0.987 0.825  0.987 0.674  0.987 0.523  0.987 0.371  0.987 0.220  0.987 0.069  0.987 -0.082  0.987 -0.233  0.987 -0.384  0.987 -0.536  0.987 -0.687  0.987 -0.838
1d#tos#f3#f3014059/%  -0.536 0.203  -0.792 0.203  -0.984 0.267  -1.022 0.410  -0.830 0.541  -0.609 0.651  -0.354 0.651  -0.200 0.549  -0.387 0.480  -0.472 0.282  -0.704 0.203  -0.821 0.029  -0.630 0.200  -0.440 0.370  -0.249 0.540  -0.058 0.711  0.132 0.881  0.323 1.052  0.514 1.222  0.704 1.392  0.895 1.563  0.920 1.363  0.733 1.294  0.733 1.038  0.567 0.882  0.451 0.657  0.285 0.465  0.242 0.225  0.132 -0.004  -0.015 -0.213  -0.089 -0.458  -0.167 -0.688  -0.312 -0.874  -0.449 -1.064  -0.619 -1.253  -0.637 -1.415  -0.408 -1.301  -0.179 -1.186  0.049 -1.072  0.278 -0.958  0.214 -0.981  0.136 -0.815  0.231 -0.655  0.472 -0.640  0.621 -0.534  0.812 -0.469  0.795 -0.681  0.753 -0.931  0.615 -1.066  0.360 -1.066
1d#tos#f3#f3014059/*  -0.102 1.445  -0.264 1.309  -0.210 1.021  -0.210 0.724  -0.159 0.435  -0.140 0.148  -0.049 -0.093  -0.049 -0.390  -0.027 -0.684  0.005 -0.977  0.008 -1.062  -0.164 -0.819  -0.336 -0.577  -0.508 -0.335  -0.680 -0.092  -0.852 0.150  -1.024 0.392  -1.249 0.532  -1.188 0.457  -0.901 0.393  -0.672 0.263  -0.482 0.156  -0.197 0.080  -0.023 -0.124  0.184 -0.267  0.316 -0.509  0.558 -0.627  0.686 -0.847  0.874 -0.862  0.924 -0.569  0.974 -0.276  1.024 0.017  1.074 0.310  1.124 0.603  1.174 0.895  1.224 1.188  1.079 1.245  0.918 1.068  0.771 0.844  0.579 0.623  0.435 0.407  0.249 0.224  0.033 0.023  -0.111 -0.228  -0.321 -0.438  -0.531 -0.648  -0.705 -0.850  -0.868 -1.053  -1.016 -1.221  -1.177 -1.402
1d#tos#f3#f3014059/,  -0.271 0.985  -0.384 0.985  -0.407 0.896  -0.473 0.850  -0.585 0.850  -0.659 0.850  -0.546 0.850  -0.434 0.850  -0.321 0.850  -0.315 0.806  -0.395 0.726  -0.407 0.619  -0.407 0.650  -0.372 0.748  -0.293 0.828  -0.189 0.850  -0.077 0.850  0.000 0.814  0.012 0.714  0.125 0.714  0.237 0.714  0.350 0.714  0.408 0.659  0.408 0.546  0.416 0.442  0.528 0.442  0.543 0.345  0.543 0.232  0.543 0.120  0.543 0.007  0.543 -0.105  0.543 -0.218  0.521 -0.328  0.493 -0.437  0.466 -0.546  0.439 -0.655  0.411 -0.764  0.339 -0.848  0.260 -0.927  0.180 -1.007  0.101 -1.087  0.021 -1.166  -0.059 -1.246  -0.138 -1.326  -0.205 -1.416  -0.273 -1.506  -0.340 -1.596  -0.408 -1.686  -0.475 -1.776  -0.543 -1.866
1d#tos#f3#f3014059/  0.703 1.435  0.628 1.435  0.593 1.393  0.641 1.380  0.593 1.352  0.578 1.279  0.554 1.207  0.538 1.134  0.518 1.063  0.484 0.995  0.430 0.942  0.377 0.888  0.342 0.822  0.308 0.754  0.274 0.686  0.253 0.614  0.238 0.540  0.224 0.466  0.209 0.392  0.164 0.331  0.119 0.270  0.073 0.210  0.025 0.152  -0.028 0.098  -0.066 0.038  -0.066 -0.037  -0.066 -0.113  -0.095 -0.160  -0.143 -0.204  -0.177 -0.272  -0.195 -0.345  -0.214 -0.419  -0.231 -0.492  -0.248 -0.561  -0.301 -0.614  -0.341 -0.673  -0.341 -0.749  -0.341 -0.825  -0.367 -0.874  -0.396 -0.921  -0.396 -0.997  -0.396 -1.072  -0.441 -1.124  -0.504 -1.166  -0.561 -1.211  -0.561 -1.287  -0.561 -1.362  -0.561 -1.438  -0.595 -1.479  -0.671 -1.479
1d#tos#f3#f3014059/;  -0.023 1.611  -0.042 1.550  -0.121 1.550  -0.090 1.550  -0.084 1.476  -0.084 1.397  -0.084 1.317  -0.084 1.238  -0.084 1.158  -0.084 1.078  -0.084 0.999  -0.084 0.919  -0.084 0.840  -0.084 0.760  -0.057 0.686  -0.027 0.612  0.003 0.538  0.032 0.464  0.062 0.390  0.091 0.316  0.121 0.242  0.150 0.168  0.108 0.143  0.099 0.072  0.071 0.021  -0.009 0.021  0.038 0.017  0.038 -0.063  0.038 -0.142  0.038 -0.222  0.038 -0.301  0.038 -0.381  0.038 -0.460  0.038 -0.540  0.038 -0.620  0.038 -0.699  0.038 -0.779  0.038 -0.858  0.038 -0.938  0.038 -1.018  0.038 -1.097  0.038 -1.177  0.038 -1.256  0.026 -1.324  -0.023 -1.354  -0.023 -1.434  -0.023 -1.514  -0.023 -1.593  -0.023 -1.673  -0.084 -1.691
1d#tos#f3#f3014059/<  0.434 1.688  0.397 1.628  0.364 1.557  0.295 1.489  0.253 1.409  0.230 1.315  0.199 1.223  0.193 1.126  0.168 1.035  0.125 0.948  0.081 0.861  -0.002 0.819  -0.094 0.788  -0.134 0.705  -0.165 0.613  -0.229 0.541  -0.229 0.443  -0.282 0.368  -0.351 0.299  -0.420 0.231  -0.497 0.181  -0.534 0.121  -0.590 0.080  -0.608 -0.000  -0.690 -0.039  -0.704 -0.121  -0.614 -0.145  -0.533 -0.199  -0.470 -0.262  -0.444 -0.354  -0.410 -0.443  -0.356 -0.504  -0.265 -0.540  -0.175 -0.576  -0.108 -0.628  -0.046 -0.663  0.052 -0.663  0.097 -0.736  0.128 -0.828  0.200 -0.889  0.281 -0.943  0.366 -0.991  0.453 -1.034  0.540 -1.078  0.555 -1.166  0.612 -1.206  0.675 -1.275  0.722 -1.326  0.736 -1.410  0.796 -1.447
1d#tos#f3#f3014059/=  -0.773 0.692  -0.935 0.692  -1.023 0.692  -0.861 0.692  -0.698 0.692  -0.536 0.692  -0.373 0.692  -0.228 0.733  -0.108 0.836  0.054 0.836  0.217 0.836  0.379 0.836  0.542 0.836  0.704 0.836  0.867 0.836  1.029 0.836  1.003 0.836  0.862 0.769  0.731 0.673  0.600 0.578  0.469 0.482  0.337 0.386  0.206 0.290  0.075 0.194  -0.056 0.098  -0.187 0.002  -0.318 -0.094  -0.450 -0.189  -0.581 -0.285  -0.712 -0.381  -0.843 -0.477  -0.967 -0.581  -1.107 -0.662  -1.133 -0.808  -0.980 -0.818  -0.818 -0.818  -0.655 -0.818  -0.493 -0.818  -0.330 -0.818  -0.168 -0.818  -0.005 -0.818  0.157 -0.818  0.320 -0.818  0.482 -0.818  0.645 -0.818  0.807 -0.818  0.970 -0.818  1.132 -0.818  1.294 -0.818  1.457 -0.818
1d#tos#f3#f3014059/?  -0.258 0.228  -0.294 0.116  -0.413 0.057  -0.543 0.040  -0.630 0.087  -0.682 0.168  -0.776 0.208  -0.823 0.295  -0.823 0.428  -0.823 0.562  -0.782 0.666  -0.662 0.719  -0.635 0.842  -0.551 0.915  -0.423 0.946  -0.298 0.982  -0.180 1.034  -0.059 1.076  0.075 1.076  0.208 1.076  0.342 1.076  0.429 1.029  0.542 1.009  0.551 0.879  0.589 0.761  0.637 0.646  0.637 0.513  0.637 0.379  0.567 0.288  0.495 0.189  0.473 0.065  0.360 -0.004  0.354 -0.134  0.260 -0.210  0.169 -0.288  0.119 -0.372  0.071 -0.486  0.071 -0.620  0.071 -0.754  0.104 -0.855  0.170 -0.927  0.179 -1.061  0.188 -1.194  0.197 -1.327  0.206 -1.461  0.189 -1.585  0.103 -1.686  0.086 -1.797  0.220 -1.797  0.354 -1.797
1d#tos#f3#f3014059/]  -0.831 0.959  -0.904 0.909  -0.979 0.862  -0.965 0.862  -0.861 0.862  -0.757 0.862  -0.653 0.862  -0.548 0.862  -0.472 0.930  -0.380 0.959  -0.276 0.959  -0.172 0.959  -0.093 1.019  -0.004 1.055  0.101 1.055  0.156 1.007  0.261 1.007  0.293 0.927  0.326 0.828  0.331 0.725  0.331 0.620  0.331 0.516  0.331 0.412  0.331 0.308  0.331 0.204  0.331 0.100  0.360 0.000  0.380 -0.101  0.380 -0.205  0.380 -0.309  0.428 -0.365  0.428 -0.469  0.428 -0.573  0.428 -0.678  0.428 -0.782  0.428 -0.886  0.428 -0.990  0.428 -1.094  0.428 -1.198  0.345 -1.220  0.250 -1.179  0.234 -1.161  0.141 -1.171  0.037 -1.171  -0.068 -1.171  -0.172 -1.171  -0.276 -1.171  -0.380 -1.171  -0.484 -1.171  -0.540 -1.220
