1b#tos#t1#t1012066/A  0.440 1.702  0.264 1.473  0.062 1.218  -0.088 0.907  -0.227 0.578  -0.381 0.295  -0.547 0.061  -0.688 -0.198  -0.781 -0.483  -0.924 -0.755  -0.884 -0.669  -0.711 -0.332  -0.537 0.005  -0.364 0.343  -0.191 0.680  -0.018 1.017  0.156 1.354  0.329 1.691  0.264 1.475  0.360 1.143  0.509 0.825  0.576 0.486  0.687 0.166  0.758 -0.184  0.793 -0.528  0.899 -0.830  0.946 -0.989  0.678 -0.721  0.410 -0.453  0.142 -0.185  -0.127 0.084  -0.395 0.303  -0.330 0.186  0.049 0.186  0.428 0.186  0.674 0.145  0.334 -0.022  -0.006 -0.189  -0.346 -0.356  -0.687 -0.523  -1.027 -0.690  -1.329 -0.888  -1.118 -0.942  -0.739 -0.934  -0.360 -0.918  0.018 -0.903  0.397 -0.887  0.776 -0.872  0.746 -1.047  1.110 -1.012
1b#tos#t1#t1012066/H  -0.767 0.856  -0.913 0.596  -0.918 0.117  -0.986 -0.346  -0.986 -0.826  -0.820 -0.921  -0.472 -0.591  -0.123 -0.262  0.226 0.067  0.575 0.397  0.923 0.726  0.911 0.533  0.911 0.054  0.875 -0.390  0.875 -0.869  0.761 -1.145  0.426 -0.801  0.092 -0.457  -0.243 -0.114  -0.591 0.200  -0.510 0.054  -0.030 0.054  0.441 0.017  0.891 -0.056  0.726 0.132  0.321 0.389  -0.084 0.647  -0.488 0.904  -0.893 1.162  -1.165 1.112  -0.688 1.105  -0.591 0.774  -0.727 0.314  -0.863 -0.146  -0.999 -0.606  -1.205 -0.993  -0.798 -1.114  -0.474 -0.849  -0.240 -0.430  -0.007 -0.011  0.227 0.408  0.461 0.827  0.532 1.039  0.981 0.966  1.023 0.605  0.931 0.135  0.838 -0.336  0.746 -0.807  0.723 -1.041  1.167 -1.078
1b#tos#t1#t1012066/K  -0.931 1.306  -0.871 1.220  -0.575 1.220  -0.336 1.162  -0.438 1.184  -0.643 1.099  -0.614 0.832  -0.585 0.564  -0.556 0.296  -0.556 -0.000  -0.556 -0.297  -0.556 -0.593  -0.556 -0.889  -0.628 -1.041  -0.873 -1.077  -0.670 -1.170  -0.373 -1.170  -0.118 -1.113  -0.069 -0.921  -0.190 -0.650  -0.311 -0.380  -0.432 -0.109  -0.427 0.003  -0.192 0.154  0.013 0.292  0.209 0.413  0.388 0.540  0.565 0.673  0.722 0.845  0.668 1.012  0.513 1.018  0.779 1.002  1.044 1.008  0.816 0.818  0.588 0.629  0.359 0.440  0.131 0.251  -0.097 0.061  -0.329 -0.121  -0.240 -0.263  -0.056 -0.393  0.164 -0.508  0.387 -0.616  0.604 -0.739  0.774 -0.882  0.738 -0.940  0.463 -0.975  0.665 -1.055  0.962 -1.055  1.229 -1.084
1b#tos#t1#t1012066/M  -0.715 1.180  -0.805 0.975  -0.805 0.679  -0.805 0.383  -0.805 0.087  -0.805 -0.208  -0.805 -0.504  -0.803 -0.763  -0.772 -0.469  -0.740 -0.175  -0.708 0.119  -0.677 0.413  -0.645 0.707  -0.613 1.001  -0.711 1.180  -0.555 1.020  -0.396 0.848  -0.233 0.669  -0.081 0.472  0.070 0.327  0.190 0.156  0.251 0.391  0.371 0.613  0.492 0.823  0.613 1.016  0.744 1.180  0.763 0.903  0.824 0.627  0.854 0.344  0.900 0.094  0.942 -0.176  0.945 -0.471  1.005 -0.706  0.815 -0.744  0.519 -0.735  0.223 -0.726  -0.072 -0.717  -0.368 -0.707  -0.663 -0.698  -0.948 -0.726  -0.797 -0.812  -0.506 -0.781  -0.210 -0.775  0.085 -0.754  0.380 -0.732  0.675 -0.711  0.933 -0.713  0.866 -0.812  1.162 -0.812  1.427 -0.781
1b#tos#t1#t1012066/N  -0.798 1.068  -0.900 0.757  -0.900 0.363  -0.962 -0.009  -0.968 -0.401  -0.968 -0.794  -0.995 -1.002  -0.954 -0.611  -0.914 -0.220  -0.873 0.172  -0.833 0.563  -0.855 0.898  -0.750 0.714  -0.572 0.400  -0.346 0.164  -0.167 -0.116  0.062 -0.345  0.263 -0.606  0.431 -0.873  0.598 -1.055  0.652 -0.666  0.708 -0.277  0.763 0.113  0.819 0.502  0.875 0.891  0.734 1.092  0.734 0.698  0.734 0.305  0.666 -0.060  0.700 -0.445  0.700 -0.839  0.692 -0.992  0.663 -0.599  0.635 -0.207  0.606 0.185  0.578 0.577  0.550 0.970  0.474 1.170  0.684 1.016  1.007 0.897  0.909 0.700  0.604 0.452  0.299 0.203  -0.005 -0.045  -0.310 -0.294  -0.615 -0.542  -0.920 -0.791  -1.207 -0.994  -0.837 -1.043  -0.492 -1.043
1b#tos#t1#t1012066/O  0.275 -0.780  0.239 -0.899  0.166 -0.982  0.027 -0.999  -0.129 -0.999  -0.285 -0.999  -0.404 -0.962  -0.515 -0.890  -0.614 -0.777  -0.709 -0.701  -0.746 -0.560  -0.824 -0.426  -0.887 -0.285  -0.892 -0.130  -0.892 0.026  -0.892 0.182  -0.928 0.329  -0.928 0.485  -0.871 0.626  -0.822 0.765  -0.772 0.902  -0.639 0.970  -0.569 1.074  -0.416 1.079  -0.260 1.079  -0.119 1.116  0.036 1.116  0.192 1.116  0.312 1.058  0.421 0.969  0.541 0.934  0.664 0.849  0.749 0.760  0.824 0.678  0.859 0.558  0.859 0.402  0.895 0.283  0.895 0.127  0.895 -0.029  0.895 -0.184  0.859 -0.325  0.793 -0.415  0.705 -0.529  0.566 -0.598  0.530 -0.718  0.421 -0.764  0.290 -0.802  0.202 -0.878  0.058 -0.890  -0.053 -0.962
1b#tos#t1#t1012066/R  -0.331 1.357  -0.430 1.224  -0.430 0.907  -0.430 0.589  -0.430 0.271  -0.430 -0.046  -0.430 -0.364  -0.430 -0.682  -0.430 -0.999  -0.427 -0.870  -0.423 -0.552  -0.419 -0.235  -0.414 0.083  -0.410 0.400  -0.406 0.718  -0.401 1.036  -0.427 1.324  -0.448 1.456  -0.171 1.523  0.146 1.523  0.423 1.423  0.647 1.291  0.695 1.002  0.586 0.794  0.500 0.562  0.278 0.397  0.062 0.285  -0.165 0.132  -0.464 0.150  -0.406 0.165  -0.163 0.033  0.075 -0.067  0.306 -0.199  0.525 -0.299  0.696 -0.464  0.881 -0.597  0.795 -0.712  0.551 -0.828  0.760 -0.828  1.070 -0.862  1.064 -0.875  0.747 -0.903  0.431 -0.930  0.115 -0.957  -0.202 -0.985  -0.518 -1.012  -0.795 -1.068  -0.602 -1.126  -0.318 -1.093  -0.000 -1.093
1b#tos#t1#t1012066/S  0.738 1.507  0.633 1.427  0.658 1.265  0.684 1.082  0.712 0.901  0.765 0.731  0.791 0.578  0.745 0.760  0.662 0.894  0.546 1.000  0.411 1.054  0.251 1.080  0.090 1.107  -0.064 1.052  -0.196 0.945  -0.328 0.834  -0.386 0.702  -0.434 0.550  -0.461 0.389  -0.386 0.243  -0.263 0.174  -0.082 0.148  0.068 0.094  0.222 0.041  0.365 -0.019  0.498 -0.120  0.562 -0.272  0.605 -0.429  0.605 -0.617  0.552 -0.766  0.463 -0.865  0.361 -0.954  0.254 -1.052  0.126 -1.132  -0.034 -1.158  -0.222 -1.158  -0.372 -1.105  -0.461 -0.976  -0.541 -0.832  -0.621 -0.709  -0.654 -0.549  -0.677 -0.363  -0.700 -0.177  -0.781 -0.242  -0.781 -0.430  -0.781 -0.617  -0.834 -0.751  -0.801 -0.925  -0.755 -1.078  -0.754 -1.265
1b#tos#t1#t1012066/T  -1.048 0.868  -1.160 0.834  -1.119 0.785  -0.973 0.785  -0.827 0.785  -0.681 0.785  -0.535 0.785  -0.390 0.785  -0.244 0.785  -0.098 0.785  0.048 0.785  0.194 0.785  0.312 0.757  0.458 0.757  0.604 0.757  0.738 0.729  0.878 0.723  1.002 0.701  0.887 0.694  0.741 0.686  0.595 0.678  0.450 0.669  0.304 0.661  0.158 0.653  0.013 0.645  -0.043 0.611  -0.043 0.465  -0.043 0.319  -0.043 0.173  -0.040 0.031  -0.015 -0.090  -0.015 -0.236  -0.015 -0.382  -0.015 -0.528  -0.015 -0.674  -0.015 -0.820  -0.015 -0.966  -0.015 -1.112  -0.015 -1.258  -0.030 -1.272  -0.096 -1.194  -0.183 -1.293  -0.064 -1.336  0.082 -1.336  0.228 -1.336  0.223 -1.291  0.100 -1.237  0.069 -1.308  -0.076 -1.308  -0.211 -1.281
1b#tos#t1#t1012066/V  -1.191 0.819  -1.296 0.757  -1.165 0.757  -0.998 0.757  -0.831 0.757  -0.683 0.803  -0.564 0.817  -0.729 0.796  -0.885 0.752  -0.894 0.596  -0.811 0.480  -0.759 0.365  -0.728 0.205  -0.636 0.077  -0.574 -0.072  -0.512 -0.195  -0.423 -0.291  -0.358 -0.393  -0.318 -0.537  -0.251 -0.661  -0.158 -0.753  -0.112 -0.873  -0.019 -0.971  0.014 -1.123  0.076 -1.246  0.135 -1.354  0.197 -1.403  0.298 -1.312  0.320 -1.149  0.351 -1.013  0.412 -0.884  0.443 -0.730  0.443 -0.563  0.505 -0.458  0.505 -0.291  0.536 -0.155  0.597 -0.049  0.597 0.118  0.648 0.233  0.661 0.387  0.751 0.464  0.751 0.595  0.787 0.727  0.727 0.765  0.594 0.785  0.590 0.757  0.757 0.757  0.911 0.727  1.078 0.727  1.214 0.696
1b#tos#t1#t1012066/W  -1.290 0.883  -1.271 0.818  -1.019 0.818  -0.767 0.818  -0.626 0.849  -0.859 0.916  -0.888 0.709  -0.835 0.498  -0.835 0.246  -0.802 0.027  -0.802 -0.225  -0.770 -0.464  -0.737 -0.703  -0.737 -0.955  -0.705 -1.174  -0.644 -1.198  -0.542 -1.005  -0.444 -0.806  -0.394 -0.580  -0.314 -0.383  -0.222 -0.163  -0.182 0.073  -0.060 0.262  0.041 0.458  0.109 0.671  0.174 0.779  0.174 0.527  0.174 0.275  0.174 0.023  0.206 -0.197  0.239 -0.436  0.273 -0.678  0.330 -0.873  0.387 -1.068  0.477 -1.231  0.593 -1.069  0.618 -0.840  0.675 -0.645  0.732 -0.450  0.792 -0.258  0.824 -0.038  0.889 0.149  0.889 0.401  0.954 0.588  0.945 0.787  0.727 0.883  0.718 0.753  0.970 0.753  1.223 0.753  1.442 0.721
