1c#app#app07#app0735/u  -0.087 1.614  -0.087 1.442  -0.087 1.270  -0.211 1.222  -0.353 1.152  -0.475 1.030  -0.479 0.860  -0.479 0.688  -0.562 0.551  -0.681 0.427  -0.757 0.273  -0.834 0.119  -0.961 0.046  -1.067 -0.020  -1.067 -0.191  -1.067 -0.363  -1.067 -0.535  -1.067 -0.707  -0.926 -0.738  -0.754 -0.738  -0.675 -0.646  -0.607 -0.542  -0.448 -0.511  -0.326 -0.389  -0.172 -0.346  -0.001 -0.346  0.109 -0.284  0.109 -0.112  0.123 0.046  0.295 0.046  0.305 0.208  0.402 0.339  0.501 0.470  0.493 0.634  0.321 0.634  0.305 0.478  0.305 0.306  0.381 0.166  0.501 0.044  0.501 -0.128  0.501 -0.300  0.590 -0.435  0.711 -0.557  0.833 -0.678  0.980 -0.738  1.133 -0.783  1.255 -0.904  1.414 -0.934  1.555 -1.009  1.677 -1.130
1c#app#app07#app0735/g  0.657 1.396  0.572 1.337  0.463 1.288  0.354 1.195  0.235 1.115  0.112 1.040  -0.016 0.976  -0.125 0.891  -0.245 0.832  -0.270 0.699  -0.270 0.555  -0.211 0.470  -0.068 0.470  0.049 0.536  0.175 0.578  0.277 0.680  0.320 0.806  0.404 0.865  0.522 0.891  0.579 0.800  0.657 0.688  0.657 0.545  0.657 0.401  0.637 0.262  0.573 0.133  0.546 -0.004  0.488 -0.135  0.488 -0.278  0.428 -0.408  0.404 -0.546  0.358 -0.671  0.256 -0.773  0.155 -0.875  0.053 -0.976  -0.049 -1.078  -0.150 -1.180  -0.195 -1.299  -0.339 -1.299  -0.483 -1.299  -0.621 -1.285  -0.736 -1.215  -0.795 -1.131  -0.895 -1.060  -0.944 -0.927  -0.944 -0.784  -0.944 -0.640  -0.853 -0.534  -0.751 -0.432  -0.649 -0.330  -0.523 -0.288
1c#app#app07#app0735/g  0.561 1.267  0.506 1.357  0.367 1.344  0.264 1.242  0.146 1.176  0.033 1.101  -0.070 0.998  -0.163 0.892  -0.163 0.747  -0.163 0.602  -0.078 0.543  -0.023 0.452  0.118 0.462  0.220 0.565  0.337 0.633  0.452 0.706  0.554 0.808  0.659 0.905  0.742 0.843  0.742 0.698  0.742 0.553  0.742 0.408  0.735 0.265  0.651 0.155  0.651 0.010  0.558 -0.096  0.493 -0.226  0.428 -0.356  0.354 -0.478  0.265 -0.591  0.200 -0.720  0.099 -0.824  -0.004 -0.926  -0.106 -1.029  -0.209 -1.131  -0.311 -1.234  -0.442 -1.267  -0.587 -1.267  -0.732 -1.267  -0.877 -1.267  -0.918 -1.145  -0.978 -1.024  -0.978 -0.879  -0.978 -0.735  -0.884 -0.628  -0.819 -0.498  -0.719 -0.400  -0.598 -0.320  -0.474 -0.246  -0.344 -0.181
1c#app#app07#app0735/l  -1.142 -1.002  -0.998 -0.996  -0.913 -0.930  -0.835 -0.858  -0.713 -0.789  -0.579 -0.721  -0.470 -0.619  -0.348 -0.534  -0.227 -0.448  -0.121 -0.341  -0.015 -0.235  0.092 -0.129  0.198 -0.022  0.304 0.084  0.422 0.175  0.528 0.266  0.576 0.409  0.671 0.522  0.760 0.641  0.827 0.776  0.894 0.910  0.945 1.049  0.996 1.187  1.017 1.332  0.907 1.372  0.770 1.341  0.663 1.234  0.557 1.128  0.451 1.022  0.344 0.915  0.238 0.809  0.132 0.703  0.025 0.596  -0.081 0.490  -0.176 0.374  -0.259 0.249  -0.360 0.139  -0.422 0.014  -0.422 -0.136  -0.488 -0.271  -0.556 -0.406  -0.566 -0.554  -0.566 -0.704  -0.566 -0.854  -0.501 -0.989  -0.449 -1.119  -0.340 -1.218  -0.215 -1.281  -0.069 -1.290  0.082 -1.290
1c#app#app07#app0735/e  -0.596 -0.376  -0.596 -0.534  -0.585 -0.376  -0.422 -0.365  -0.302 -0.245  -0.183 -0.126  -0.064 -0.007  0.055 0.112  0.222 0.116  0.342 0.235  0.461 0.354  0.580 0.474  0.699 0.593  0.864 0.603  0.872 0.763  1.036 0.768  1.028 0.929  0.872 0.942  0.854 1.093  0.686 1.093  0.517 1.093  0.348 1.093  0.191 1.064  0.072 0.945  -0.090 0.929  -0.259 0.929  -0.381 0.818  -0.500 0.699  -0.620 0.580  -0.739 0.460  -0.759 0.300  -0.862 0.174  -0.923 0.031  -0.923 -0.138  -0.923 -0.307  -0.853 -0.446  -0.759 -0.576  -0.730 -0.732  -0.610 -0.852  -0.448 -0.866  -0.324 -0.975  -0.205 -1.094  -0.077 -1.192  0.092 -1.192  0.260 -1.192  0.429 -1.192  0.597 -1.192  0.749 -1.152  0.869 -1.033  1.036 -1.029
1c#app#app07#app0735/r  -0.841 -1.012  -0.741 -1.012  -0.662 -1.032  -0.662 -1.132  -0.703 -1.191  -0.803 -1.191  -0.841 -1.129  -0.841 -1.030  -0.841 -0.930  -0.839 -0.831  -0.768 -0.761  -0.698 -0.690  -0.662 -0.606  -0.662 -0.506  -0.613 -0.427  -0.543 -0.356  -0.483 -0.281  -0.483 -0.182  -0.483 -0.082  -0.483 0.017  -0.443 0.100  -0.373 0.171  -0.305 0.242  -0.305 0.342  -0.305 0.441  -0.305 0.541  -0.274 0.627  -0.203 0.698  -0.133 0.768  -0.036 0.775  0.064 0.775  0.163 0.775  0.231 0.743  0.231 0.644  0.283 0.596  0.383 0.596  0.482 0.596  0.582 0.596  0.672 0.555  0.761 0.510  0.850 0.466  0.939 0.421  1.038 0.418  1.134 0.409  1.204 0.338  1.274 0.268  1.362 0.239  1.462 0.239  1.561 0.239  1.661 0.239
1c#app#app07#app0735/s  0.951 0.922  0.873 1.000  0.794 1.074  0.684 1.074  0.574 1.074  0.463 1.074  0.353 1.074  0.243 1.074  0.133 1.074  0.023 1.074  -0.088 1.074  -0.198 1.074  -0.308 1.074  -0.418 1.074  -0.418 0.964  -0.418 0.854  -0.400 0.751  -0.322 0.673  -0.266 0.586  -0.266 0.476  -0.195 0.395  -0.117 0.317  -0.114 0.208  -0.051 0.161  0.053 0.146  0.131 0.068  0.209 -0.010  0.287 -0.088  0.343 -0.175  0.343 -0.285  0.343 -0.395  0.343 -0.505  0.343 -0.615  0.343 -0.726  0.343 -0.836  0.301 -0.904  0.191 -0.904  0.191 -1.014  0.122 -1.056  0.012 -1.056  -0.098 -1.056  -0.181 -1.123  -0.258 -1.201  -0.366 -1.208  -0.476 -1.208  -0.586 -1.208  -0.696 -1.208  -0.806 -1.208  -0.917 -1.208  -1.027 -1.208
1c#app#app07#app0735/w  -0.802 0.331  -0.922 0.316  -0.922 0.181  -0.953 0.060  -1.048 -0.035  -1.143 -0.131  -1.161 -0.258  -1.281 -0.272  -1.281 -0.407  -1.248 -0.508  -1.113 -0.508  -1.042 -0.445  -0.972 -0.354  -0.852 -0.293  -0.746 -0.213  -0.651 -0.118  -0.558 -0.021  -0.498 0.100  -0.432 0.211  -0.305 0.228  -0.210 0.324  -0.203 0.206  -0.203 0.071  -0.203 -0.063  -0.203 -0.198  -0.158 -0.314  -0.083 -0.417  -0.052 -0.539  0.046 -0.628  0.180 -0.628  0.315 -0.628  0.449 -0.628  0.564 -0.580  0.669 -0.508  0.789 -0.475  0.876 -0.376  0.895 -0.249  0.990 -0.154  1.085 -0.059  1.115 0.063  1.115 0.198  1.115 0.333  1.115 0.467  1.115 0.602  1.115 0.736  1.115 0.871  1.115 1.005  1.115 1.140  1.115 1.275  1.235 1.289
1c#app#app07#app0735/i  -0.501 -0.128  -0.393 -0.128  -0.337 -0.106  -0.408 -0.042  -0.430 -0.128  -0.527 -0.154  -0.593 -0.235  -0.614 -0.334  -0.686 -0.412  -0.686 -0.520  -0.686 -0.628  -0.686 -0.736  -0.686 -0.844  -0.686 -0.952  -0.590 -0.966  -0.514 -1.042  -0.411 -1.055  -0.307 -1.064  -0.230 -1.140  -0.126 -1.148  -0.032 -1.130  -0.007 -1.025  0.019 -0.920  0.044 -0.815  0.069 -0.710  0.095 -0.605  0.120 -0.500  0.146 -0.395  0.171 -0.290  0.197 -0.185  0.222 -0.080  0.248 0.025  0.273 0.130  0.298 0.235  0.324 0.340  0.349 0.445  0.375 0.549  0.400 0.654  0.426 0.759  0.451 0.864  0.477 0.969  0.502 1.074  0.527 1.179  0.553 1.284  0.578 1.389  0.604 1.494  0.629 1.599  0.655 1.704  0.680 1.809  0.706 1.914
1c#app#app07#app0735/l  -1.052 -1.003  -0.904 -1.003  -0.757 -1.003  -0.710 -0.902  -0.588 -0.840  -0.483 -0.736  -0.379 -0.632  -0.274 -0.527  -0.150 -0.451  -0.023 -0.377  0.072 -0.266  0.138 -0.133  0.231 -0.021  0.336 0.083  0.410 0.209  0.458 0.346  0.497 0.484  0.563 0.616  0.629 0.748  0.716 0.866  0.760 0.995  0.774 1.139  0.840 1.271  0.861 1.414  0.827 1.480  0.722 1.376  0.618 1.271  0.514 1.167  0.409 1.063  0.324 0.944  0.258 0.812  0.192 0.680  0.109 0.561  0.004 0.456  -0.080 0.337  -0.146 0.205  -0.212 0.073  -0.278 -0.059  -0.344 -0.191  -0.447 -0.297  -0.448 -0.444  -0.513 -0.565  -0.549 -0.698  -0.549 -0.845  -0.549 -0.993  -0.487 -1.126  -0.448 -1.264  -0.347 -1.311  -0.294 -1.405  -0.247 -1.506
1c#app#app07#app0735/l  -1.218 -1.050  -1.083 -1.018  -0.963 -0.947  -0.841 -0.881  -0.708 -0.843  -0.600 -0.744  -0.495 -0.638  -0.359 -0.606  -0.241 -0.531  -0.117 -0.469  -0.012 -0.363  0.093 -0.258  0.199 -0.152  0.304 -0.047  0.410 0.058  0.489 0.183  0.560 0.313  0.658 0.423  0.705 0.565  0.752 0.706  0.817 0.840  0.859 0.979  0.859 1.128  0.963 1.235  0.963 1.384  0.899 1.379  0.794 1.273  0.688 1.168  0.583 1.062  0.477 0.957  0.372 0.851  0.247 0.773  0.123 0.697  0.056 0.564  -0.033 0.446  -0.139 0.341  -0.220 0.219  -0.287 0.085  -0.354 -0.048  -0.388 -0.189  -0.441 -0.326  -0.491 -0.463  -0.549 -0.588  -0.595 -0.718  -0.595 -0.867  -0.595 -1.016  -0.584 -1.154  -0.451 -1.194  -0.329 -1.258  -0.180 -1.258
