3#apa#apa15#app1533/[  0.789 0.965  0.720 1.035  0.681 1.118  0.647 1.181  0.548 1.181  0.449 1.181  0.351 1.181  0.252 1.181  0.154 1.181  0.055 1.181  -0.035 1.147  -0.123 1.103  -0.206 1.050  -0.275 0.981  -0.345 0.911  -0.399 0.835  -0.399 0.736  -0.399 0.638  -0.399 0.539  -0.399 0.440  -0.399 0.342  -0.399 0.243  -0.399 0.145  -0.399 0.046  -0.399 -0.052  -0.399 -0.151  -0.399 -0.250  -0.399 -0.348  -0.399 -0.447  -0.399 -0.545  -0.442 -0.634  -0.486 -0.722  -0.507 -0.816  -0.507 -0.914  -0.473 -0.979  -0.374 -0.979  -0.276 -0.979  -0.177 -0.979  -0.079 -0.979  0.020 -0.979  0.118 -0.979  0.217 -0.979  0.316 -0.979  0.414 -0.979  0.513 -0.979  0.611 -0.979  0.710 -0.979  0.808 -0.979  0.907 -0.979  1.006 -0.979
3#apa#apa15#app1533/(  0.400 1.551  0.325 1.551  0.249 1.551  0.223 1.501  0.223 1.426  0.213 1.353  0.179 1.285  0.145 1.218  0.112 1.151  0.078 1.083  0.045 1.015  0.027 0.942  0.009 0.869  -0.010 0.796  -0.028 0.723  -0.046 0.650  -0.065 0.576  -0.083 0.503  -0.101 0.430  -0.119 0.357  -0.144 0.286  -0.178 0.219  -0.211 0.151  -0.245 0.084  -0.279 0.016  -0.307 -0.052  -0.307 -0.128  -0.307 -0.203  -0.307 -0.278  -0.307 -0.354  -0.307 -0.429  -0.307 -0.505  -0.303 -0.579  -0.269 -0.646  -0.236 -0.714  -0.202 -0.781  -0.168 -0.849  -0.135 -0.916  -0.084 -0.971  -0.030 -1.025  0.023 -1.078  0.076 -1.131  0.129 -1.185  0.183 -1.238  0.240 -1.286  0.307 -1.320  0.374 -1.354  0.442 -1.388  0.509 -1.421  0.577 -1.455
3#apa#apa15#app1533/1  -0.218 1.681  -0.218 1.611  -0.218 1.541  -0.218 1.471  -0.218 1.400  -0.218 1.330  -0.218 1.260  -0.218 1.190  -0.218 1.120  -0.218 1.050  -0.210 0.982  -0.188 0.915  -0.166 0.849  -0.143 0.782  -0.121 0.716  -0.099 0.649  -0.077 0.583  -0.055 0.516  -0.033 0.450  -0.011 0.384  0.012 0.317  0.034 0.251  0.056 0.184  0.078 0.118  0.100 0.051  0.120 -0.016  0.120 -0.086  0.120 -0.156  0.120 -0.226  0.120 -0.296  0.120 -0.366  0.120 -0.436  0.120 -0.506  0.120 -0.576  0.120 -0.646  0.120 -0.716  0.120 -0.786  0.120 -0.856  0.120 -0.926  0.120 -0.996  0.120 -1.066  0.120 -1.136  0.120 -1.206  0.120 -1.276  0.120 -1.346  0.120 -1.416  0.120 -1.486  0.120 -1.556  0.120 -1.626  0.120 -1.697
3#apa#apa15#app1533/)  -0.744 1.210  -0.825 1.210  -0.846 1.210  -0.765 1.210  -0.701 1.167  -0.644 1.110  -0.577 1.067  -0.500 1.041  -0.423 1.015  -0.346 0.990  -0.269 0.964  -0.193 0.935  -0.121 0.899  -0.048 0.862  0.024 0.826  0.081 0.771  0.130 0.706  0.179 0.641  0.227 0.576  0.276 0.511  0.325 0.446  0.374 0.381  0.422 0.316  0.445 0.242  0.445 0.161  0.445 0.080  0.441 -0.001  0.425 -0.081  0.409 -0.160  0.393 -0.240  0.377 -0.320  0.361 -0.399  0.345 -0.479  0.329 -0.559  0.313 -0.638  0.283 -0.714  0.253 -0.789  0.223 -0.865  0.193 -0.940  0.163 -1.015  0.132 -1.091  0.102 -1.166  0.072 -1.242  0.030 -1.300  -0.051 -1.300  -0.118 -1.334  -0.175 -1.392  -0.233 -1.449  -0.290 -1.507  -0.348 -1.564
3#apa#apa15#app1533/(  0.284 1.421  0.228 1.476  0.173 1.532  0.125 1.535  0.090 1.464  0.055 1.393  0.019 1.323  -0.004 1.249  -0.004 1.170  -0.019 1.094  -0.048 1.021  -0.078 0.948  -0.107 0.874  -0.136 0.801  -0.166 0.727  -0.195 0.654  -0.224 0.581  -0.254 0.507  -0.283 0.434  -0.292 0.357  -0.292 0.278  -0.292 0.199  -0.292 0.120  -0.292 0.041  -0.292 -0.038  -0.292 -0.117  -0.292 -0.196  -0.292 -0.275  -0.292 -0.354  -0.292 -0.433  -0.292 -0.512  -0.292 -0.591  -0.251 -0.658  -0.207 -0.723  -0.163 -0.789  -0.119 -0.855  -0.075 -0.921  -0.031 -0.986  0.022 -1.041  0.093 -1.076  0.164 -1.111  0.234 -1.147  0.307 -1.172  0.386 -1.172  0.465 -1.172  0.544 -1.172  0.623 -1.172  0.702 -1.172  0.781 -1.172  0.860 -1.172
3#apa#apa15#app1533/2  -0.862 0.718  -0.862 0.829  -0.838 0.916  -0.727 0.916  -0.631 0.950  -0.552 1.028  -0.474 1.106  -0.366 1.113  -0.255 1.113  -0.144 1.113  -0.034 1.113  0.077 1.113  0.188 1.113  0.299 1.113  0.384 1.052  0.463 0.973  0.520 0.887  0.520 0.776  0.497 0.671  0.447 0.571  0.397 0.472  0.348 0.373  0.298 0.274  0.249 0.175  0.199 0.076  0.150 -0.023  0.085 -0.112  0.007 -0.190  -0.071 -0.268  -0.150 -0.347  -0.228 -0.425  -0.293 -0.513  -0.342 -0.612  -0.392 -0.711  -0.442 -0.811  -0.467 -0.915  -0.467 -1.026  -0.390 -1.060  -0.279 -1.060  -0.168 -1.060  -0.058 -1.060  0.053 -1.060  0.163 -1.069  0.270 -1.096  0.378 -1.123  0.485 -1.150  0.593 -1.176  0.700 -1.203  0.808 -1.230  0.915 -1.257
3#apa#apa15#app1533/)  -0.696 1.266  -0.775 1.266  -0.817 1.257  -0.746 1.222  -0.676 1.186  -0.605 1.151  -0.535 1.116  -0.464 1.081  -0.394 1.045  -0.323 1.010  -0.259 0.966  -0.203 0.910  -0.147 0.855  -0.082 0.810  -0.016 0.766  0.049 0.723  0.115 0.679  0.180 0.635  0.246 0.591  0.282 0.527  0.301 0.450  0.320 0.374  0.340 0.297  0.359 0.221  0.378 0.144  0.397 0.068  0.408 -0.010  0.408 -0.089  0.408 -0.168  0.408 -0.246  0.390 -0.323  0.371 -0.400  0.352 -0.476  0.333 -0.553  0.314 -0.629  0.295 -0.706  0.276 -0.782  0.239 -0.851  0.196 -0.917  0.152 -0.982  0.108 -1.048  0.064 -1.114  0.021 -1.179  -0.020 -1.247  -0.055 -1.317  -0.090 -1.388  -0.126 -1.458  -0.171 -1.522  -0.227 -1.578  -0.282 -1.634
3#apa#apa15#app1533/(  0.507 1.271  0.452 1.326  0.397 1.381  0.331 1.407  0.254 1.407  0.193 1.367  0.139 1.312  0.098 1.251  0.098 1.174  0.071 1.108  0.016 1.053  -0.039 0.998  -0.063 0.925  -0.087 0.852  -0.112 0.778  -0.136 0.705  -0.161 0.631  -0.185 0.558  -0.210 0.485  -0.234 0.411  -0.259 0.338  -0.283 0.264  -0.308 0.191  -0.311 0.114  -0.311 0.037  -0.311 -0.041  -0.311 -0.118  -0.311 -0.195  -0.311 -0.273  -0.311 -0.350  -0.292 -0.424  -0.267 -0.498  -0.243 -0.571  -0.218 -0.645  -0.194 -0.718  -0.167 -0.790  -0.132 -0.860  -0.098 -0.929  -0.063 -0.998  -0.020 -1.060  0.045 -1.102  0.109 -1.145  0.174 -1.188  0.238 -1.231  0.302 -1.274  0.367 -1.317  0.436 -1.352  0.505 -1.387  0.574 -1.421  0.643 -1.456
3#apa#apa15#app1533/3  -0.963 0.978  -0.877 1.064  -0.791 1.150  -0.670 1.150  -0.549 1.150  -0.427 1.150  -0.306 1.150  -0.185 1.150  -0.063 1.150  0.058 1.150  0.179 1.150  0.213 1.096  0.159 0.987  0.105 0.879  0.068 0.766  0.068 0.645  -0.010 0.556  -0.096 0.470  -0.182 0.384  -0.268 0.298  -0.374 0.241  -0.483 0.187  -0.592 0.133  -0.539 0.078  -0.430 0.024  -0.321 -0.030  -0.226 -0.103  -0.140 -0.188  -0.034 -0.225  0.087 -0.225  0.209 -0.225  0.330 -0.225  0.440 -0.253  0.526 -0.339  0.612 -0.425  0.698 -0.510  0.756 -0.608  0.756 -0.729  0.756 -0.850  0.714 -0.954  0.628 -1.040  0.542 -1.126  0.457 -1.212  0.357 -1.275  0.242 -1.313  0.126 -1.352  0.011 -1.390  -0.104 -1.429  -0.190 -1.514  -0.276 -1.600
3#apa#apa15#app1533/)  -0.439 1.159  -0.512 1.195  -0.584 1.232  -0.657 1.268  -0.640 1.284  -0.563 1.279  -0.563 1.198  -0.525 1.140  -0.452 1.103  -0.379 1.067  -0.308 1.028  -0.250 0.971  -0.193 0.913  -0.135 0.856  -0.078 0.798  -0.020 0.740  0.038 0.683  0.082 0.616  0.119 0.543  0.155 0.470  0.191 0.397  0.228 0.324  0.264 0.251  0.301 0.178  0.354 0.117  0.411 0.060  0.425 -0.012  0.412 -0.092  0.398 -0.173  0.385 -0.253  0.371 -0.333  0.358 -0.414  0.345 -0.494  0.331 -0.574  0.318 -0.655  0.302 -0.735  0.283 -0.814  0.263 -0.893  0.243 -0.972  0.223 -1.051  0.204 -1.130  0.183 -1.208  0.101 -1.208  0.032 -1.236  -0.026 -1.293  -0.084 -1.351  -0.141 -1.409  -0.199 -1.466  -0.256 -1.524  -0.314 -1.582
3#apa#apa15#app1533/(  0.385 1.632  0.385 1.557  0.385 1.483  0.335 1.430  0.282 1.377  0.229 1.324  0.177 1.272  0.124 1.219  0.077 1.163  0.054 1.093  0.030 1.022  0.007 0.952  -0.017 0.881  -0.040 0.811  -0.064 0.740  -0.087 0.670  -0.111 0.599  -0.134 0.529  -0.158 0.458  -0.182 0.388  -0.205 0.317  -0.222 0.246  -0.222 0.171  -0.222 0.097  -0.222 0.023  -0.222 -0.052  -0.222 -0.126  -0.222 -0.200  -0.222 -0.275  -0.222 -0.349  -0.222 -0.423  -0.222 -0.498  -0.222 -0.572  -0.222 -0.646  -0.222 -0.721  -0.222 -0.795  -0.182 -0.857  -0.141 -0.919  -0.100 -0.981  -0.059 -1.043  -0.017 -1.104  0.024 -1.166  0.065 -1.228  0.122 -1.273  0.188 -1.306  0.255 -1.339  0.321 -1.372  0.388 -1.404  0.462 -1.404  0.537 -1.404
