3#app#app14#app1428/I  -0.123 1.701  -0.123 1.631  -0.123 1.560  -0.123 1.489  -0.123 1.419  -0.123 1.348  -0.123 1.277  -0.123 1.207  -0.123 1.136  -0.123 1.066  -0.123 0.995  -0.123 0.924  -0.123 0.854  -0.123 0.783  -0.123 0.712  -0.123 0.642  -0.123 0.571  -0.108 0.504  -0.076 0.441  -0.044 0.378  -0.013 0.315  0.006 0.249  0.006 0.178  0.006 0.107  0.006 0.037  0.006 -0.034  0.006 -0.104  0.006 -0.175  0.006 -0.246  0.006 -0.316  0.006 -0.387  0.006 -0.458  0.006 -0.528  0.006 -0.599  0.024 -0.665  0.055 -0.728  0.087 -0.792  0.118 -0.855  0.136 -0.921  0.136 -0.992  0.136 -1.063  0.136 -1.133  0.136 -1.204  0.136 -1.274  0.136 -1.345  0.139 -1.415  0.171 -1.478  0.202 -1.541  0.234 -1.604  0.266 -1.668
3#app#app14#app1428/f  0.807 1.142  0.807 1.277  0.678 1.282  0.544 1.282  0.444 1.366  0.333 1.422  0.199 1.422  0.064 1.422  -0.070 1.422  -0.170 1.387  -0.191 1.262  -0.286 1.167  -0.381 1.072  -0.450 0.966  -0.450 0.831  -0.450 0.697  -0.450 0.563  -0.450 0.428  -0.450 0.294  -0.446 0.161  -0.351 0.066  -0.310 -0.051  -0.310 -0.186  -0.263 -0.301  -0.170 -0.396  -0.170 -0.531  -0.077 -0.626  -0.031 -0.742  0.014 -0.857  0.109 -0.952  0.109 -1.087  0.109 -1.221  0.109 -1.355  0.109 -1.490  0.137 -1.400  0.169 -1.270  0.202 -1.140  0.234 -1.009  0.267 -0.879  0.299 -0.749  0.332 -0.618  0.365 -0.488  0.351 -0.393  0.217 -0.393  0.083 -0.393  -0.052 -0.393  -0.170 -0.409  -0.181 -0.533  -0.315 -0.533  -0.450 -0.533
3#app#app14#app1428/M  -0.830 0.607  -0.830 0.347  -0.830 0.087  -0.830 -0.174  -0.830 -0.434  -0.830 -0.695  -0.830 -0.955  -0.830 -1.216  -0.830 -1.476  -0.830 -1.414  -0.738 -1.192  -0.667 -0.958  -0.551 -0.725  -0.511 -0.472  -0.429 -0.225  -0.394 0.030  -0.394 0.291  -0.394 0.551  -0.394 0.811  -0.374 1.064  -0.248 1.272  -0.212 1.153  -0.103 0.937  -0.049 0.699  0.043 0.477  0.043 0.216  0.043 -0.044  0.043 -0.305  0.043 -0.565  0.043 -0.825  0.188 -0.755  0.216 -0.501  0.332 -0.268  0.334 -0.008  0.405 0.241  0.479 0.489  0.479 0.749  0.625 0.950  0.625 1.210  0.760 1.335  0.770 1.085  0.823 0.846  0.916 0.624  0.916 0.364  0.916 0.103  0.916 -0.157  0.916 -0.418  0.916 -0.678  0.916 -0.939  1.061 -1.139
3#app#app14#app1428/y  -0.571 0.868  -0.571 0.740  -0.459 0.725  -0.428 0.628  -0.347 0.582  -0.285 0.516  -0.249 0.404  -0.159 0.313  -0.069 0.223  0.029 0.154  0.148 0.167  0.192 0.286  0.237 0.406  0.282 0.525  0.327 0.644  0.371 0.763  0.416 0.883  0.461 1.002  0.506 1.121  0.550 1.241  0.571 1.227  0.571 1.100  0.544 0.984  0.454 0.894  0.364 0.803  0.286 0.709  0.286 0.581  0.286 0.454  0.206 0.360  0.143 0.258  0.143 0.131  0.139 0.004  0.082 -0.110  0.025 -0.224  -0.050 -0.324  -0.140 -0.414  -0.143 -0.541  -0.143 -0.668  -0.184 -0.786  -0.241 -0.900  -0.285 -1.017  -0.285 -1.144  -0.285 -1.272  -0.285 -1.399  -0.335 -1.515  -0.392 -1.629  -0.428 -1.747  -0.428 -1.875  -0.428 -2.002  -0.428 -2.130
3#app#app14#app1428/N  -0.530 0.369  -0.445 0.369  -0.530 0.244  -0.530 0.034  -0.604 -0.146  -0.677 -0.325  -0.677 -0.535  -0.677 -0.745  -0.677 -0.955  -0.677 -1.165  -0.803 -1.248  -0.824 -1.352  -0.718 -1.248  -0.677 -1.080  -0.677 -0.870  -0.573 -0.703  -0.529 -0.511  -0.463 -0.312  -0.396 -0.113  -0.383 0.095  -0.383 0.305  -0.383 0.515  -0.339 0.707  -0.236 0.874  -0.236 1.084  -0.236 1.210  -0.236 1.000  -0.236 0.790  -0.176 0.604  -0.089 0.431  -0.087 0.221  0.059 0.072  0.105 -0.119  0.206 -0.287  0.298 -0.459  0.447 -0.607  0.595 -0.755  0.784 -0.807  0.831 -0.622  0.941 -0.458  0.994 -0.260  1.087 -0.073  1.088 0.137  1.088 0.347  1.088 0.557  1.088 0.767  1.088 0.977  1.030 1.163  0.941 1.336  0.941 1.546
3#app#app14#app1428/a  -0.015 0.044  0.181 0.044  0.310 0.110  0.310 0.305  0.310 0.500  0.310 0.695  0.310 0.890  0.245 1.019  0.050 1.019  -0.145 1.019  -0.340 1.019  -0.535 1.019  -0.664 0.953  -0.664 0.758  -0.796 0.694  -0.990 0.693  -1.128 0.555  -1.266 0.417  -1.314 0.242  -1.314 0.047  -1.314 -0.148  -1.252 -0.280  -1.057 -0.280  -0.989 -0.408  -0.989 -0.603  -0.797 -0.605  -0.602 -0.605  -0.406 -0.605  -0.211 -0.605  -0.016 -0.605  -0.015 -0.412  0.049 -0.280  0.244 -0.280  0.439 -0.280  0.634 -0.280  0.635 -0.087  0.572 0.044  0.377 0.044  0.310 -0.084  0.310 -0.280  0.505 -0.280  0.635 -0.345  0.635 -0.540  0.765 -0.605  0.960 -0.605  1.155 -0.605  1.350 -0.605  1.545 -0.605  1.740 -0.605  1.935 -0.605
3#app#app14#app1428/m  -1.026 0.453  -0.826 0.453  -0.781 0.298  -0.781 0.319  -0.848 0.453  -1.026 0.431  -1.026 0.231  -1.026 0.031  -1.026 -0.169  -1.026 -0.370  -1.026 -0.570  -1.026 -0.770  -1.026 -0.970  -1.026 -0.862  -0.916 -0.771  -0.781 -0.706  -0.767 -0.512  -0.625 -0.370  -0.536 -0.207  -0.536 -0.006  -0.536 0.194  -0.351 0.208  -0.292 0.350  -0.292 0.550  -0.240 0.698  -0.047 0.691  -0.047 0.490  0.116 0.453  0.198 0.335  0.198 0.135  0.198 -0.066  0.198 -0.266  0.198 -0.466  0.338 -0.526  0.443 -0.431  0.494 -0.281  0.688 -0.275  0.688 -0.075  0.803 0.078  0.944 0.220  1.086 0.361  1.178 0.523  1.196 0.680  1.337 0.538  1.423 0.374  1.423 0.173  1.423 -0.027  1.558 -0.171  1.668 -0.326  1.668 -0.526
3#app#app14#app1428/e  -0.260 -0.095  -0.119 -0.095  0.004 -0.078  0.004 0.062  0.038 0.169  0.178 0.169  0.319 0.169  0.459 0.169  0.580 0.216  0.679 0.316  0.778 0.415  0.911 0.433  1.052 0.433  1.060 0.565  1.060 0.706  1.060 0.846  1.034 0.960  0.893 0.960  0.753 0.960  0.612 0.960  0.472 0.960  0.332 0.960  0.191 0.960  0.051 0.960  -0.062 0.894  -0.161 0.795  -0.261 0.695  -0.360 0.596  -0.459 0.497  -0.524 0.383  -0.524 0.243  -0.570 0.122  -0.670 0.022  -0.769 -0.077  -0.787 -0.210  -0.787 -0.350  -0.787 -0.490  -0.787 -0.631  -0.787 -0.771  -0.787 -0.912  -0.787 -1.052  -0.746 -1.151  -0.605 -1.151  -0.482 -1.192  -0.383 -1.291  -0.284 -1.391  -0.153 -1.415  -0.013 -1.415  0.128 -1.415  0.268 -1.415
3#app#app14#app1428/=  1.043 0.713  1.196 0.713  1.325 0.690  1.325 0.538  1.280 0.431  1.127 0.431  0.995 0.479  0.887 0.587  0.779 0.695  0.634 0.713  0.482 0.713  0.329 0.713  0.177 0.713  0.024 0.713  -0.128 0.713  -0.280 0.713  -0.433 0.713  -0.585 0.713  -0.738 0.713  -0.890 0.713  -0.932 0.602  -0.932 0.450  -1.065 0.431  -1.214 0.427  -1.214 0.274  -1.191 0.135  -1.059 0.060  -0.926 -0.016  -0.794 -0.092  -0.662 -0.167  -0.529 -0.243  -0.397 -0.318  -0.264 -0.394  -0.132 -0.470  0.000 -0.545  0.133 -0.621  0.265 -0.697  0.397 -0.772  0.530 -0.848  0.662 -0.924  0.722 -0.980  0.570 -0.980  0.417 -0.980  0.265 -0.980  0.112 -0.980  -0.040 -0.980  -0.192 -0.980  -0.345 -0.980  -0.368 -0.850  -0.368 -0.698
3#app#app14#app1428/\"  -0.397 1.370  -0.397 1.188  -0.397 1.006  -0.430 0.857  -0.613 0.857  -0.795 0.857  -0.911 0.791  -0.911 0.609  -0.911 0.427  -0.811 0.344  -0.629 0.344  -0.447 0.344  -0.397 0.212  -0.397 0.030  -0.397 -0.152  -0.397 -0.334  -0.397 -0.516  -0.397 -0.698  -0.397 -0.880  -0.397 -1.062  -0.397 -1.245  -0.397 -1.427  -0.397 -1.609  -0.367 -1.632  -0.299 -1.463  -0.232 -1.294  -0.164 -1.125  -0.096 -0.956  -0.029 -0.787  0.039 -0.618  0.106 -0.449  0.174 -0.280  0.242 -0.111  0.309 0.058  0.377 0.227  0.444 0.396  0.512 0.565  0.580 0.734  0.679 0.857  0.861 0.857  1.043 0.857  1.142 0.774  1.142 0.592  1.142 0.410  1.026 0.344  0.844 0.344  0.662 0.344  0.629 0.195  0.629 0.013  0.629 -0.169
3#app#app14#app1428/Y  -0.636 0.815  -0.521 0.793  -0.521 0.744  -0.521 0.750  -0.459 0.638  -0.406 0.523  -0.346 0.411  -0.291 0.297  -0.211 0.240  -0.175 0.138  -0.088 0.037  0.038 0.009  0.055 0.129  0.074 0.259  0.171 0.356  0.268 0.452  0.285 0.582  0.380 0.680  0.477 0.777  0.516 0.898  0.590 1.005  0.631 1.125  0.631 1.262  0.625 1.156  0.528 1.059  0.514 0.927  0.453 0.805  0.391 0.682  0.330 0.559  0.273 0.435  0.230 0.305  0.187 0.175  0.132 0.049  0.071 -0.074  0.023 -0.202  -0.020 -0.332  -0.062 -0.462  -0.089 -0.597  -0.116 -0.731  -0.143 -0.866  -0.170 -1.000  -0.224 -1.125  -0.286 -1.248  -0.291 -1.384  -0.305 -1.517  -0.367 -1.640  -0.406 -1.768  -0.406 -1.905  -0.406 -2.042  -0.406 -2.179
