1a#apb#apb05#app0501/4  -0.527 0.989  -0.597 0.867  -0.647 0.706  -0.703 0.548  -0.781 0.400  -0.880 0.264  -0.964 0.118  -1.051 -0.026  -1.155 -0.159  -1.089 -0.256  -0.923 -0.270  -0.760 -0.312  -0.592 -0.323  -0.425 -0.315  -0.261 -0.276  -0.095 -0.256  0.073 -0.256  0.239 -0.229  0.404 -0.196  0.513 -0.094  0.579 0.061  0.644 0.217  0.710 0.372  0.776 0.527  0.841 0.682  0.907 0.837  0.973 0.992  1.038 1.148  1.057 1.246  0.930 1.138  0.824 1.007  0.723 0.872  0.642 0.726  0.566 0.575  0.487 0.427  0.397 0.284  0.307 0.142  0.231 -0.009  0.159 -0.161  0.087 -0.313  0.019 -0.468  -0.048 -0.622  -0.114 -0.777  -0.171 -0.936  -0.228 -1.094  -0.289 -1.251  -0.359 -1.404  -0.428 -1.558  -0.493 -1.713  -0.546 -1.872
1a#apb#apb05#app0501/9  0.219 -0.670  0.363 -0.508  0.480 -0.326  0.580 -0.135  0.665 0.064  0.752 0.262  0.797 0.469  0.797 0.686  0.797 0.902  0.747 1.104  0.611 1.262  0.406 1.315  0.198 1.257  0.004 1.169  -0.171 1.042  -0.346 0.915  -0.519 0.784  -0.691 0.652  -0.840 0.499  -0.966 0.323  -1.087 0.144  -1.174 -0.054  -1.209 -0.262  -1.187 -0.477  -1.084 -0.642  -0.873 -0.670  -0.670 -0.611  -0.481 -0.507  -0.309 -0.375  -0.143 -0.238  0.015 -0.089  0.170 0.062  0.313 0.224  0.453 0.389  0.571 0.571  0.697 0.745  0.666 0.643  0.579 0.445  0.496 0.245  0.424 0.041  0.357 -0.165  0.291 -0.371  0.221 -0.576  0.146 -0.779  0.054 -0.975  -0.035 -1.172  -0.117 -1.373  -0.219 -1.563  -0.327 -1.751  -0.419 -1.927
1a#apb#apb05#app0501/1  0.315 1.493  0.293 1.560  0.259 1.553  0.259 1.483  0.259 1.413  0.256 1.342  0.250 1.273  0.244 1.203  0.239 1.133  0.233 1.063  0.225 0.993  0.218 0.923  0.210 0.853  0.202 0.784  0.194 0.714  0.187 0.644  0.179 0.574  0.168 0.505  0.155 0.436  0.142 0.367  0.129 0.298  0.117 0.229  0.104 0.160  0.090 0.091  0.065 0.025  0.041 -0.041  0.017 -0.106  -0.007 -0.172  -0.032 -0.238  -0.056 -0.304  -0.080 -0.370  -0.104 -0.436  -0.121 -0.504  -0.138 -0.572  -0.155 -0.640  -0.172 -0.708  -0.189 -0.776  -0.206 -0.844  -0.223 -0.912  -0.240 -0.981  -0.263 -1.047  -0.287 -1.113  -0.311 -1.179  -0.335 -1.245  -0.355 -1.312  -0.355 -1.382  -0.355 -1.452  -0.355 -1.522  -0.355 -1.592  -0.355 -1.663
1a#apb#apb05#app0501/2  -0.839 1.266  -0.725 1.281  -0.585 1.312  -0.444 1.340  -0.303 1.369  -0.162 1.371  -0.020 1.347  0.118 1.310  0.253 1.261  0.355 1.169  0.437 1.051  0.480 0.918  0.502 0.776  0.488 0.637  0.439 0.502  0.391 0.367  0.340 0.232  0.290 0.098  0.231 -0.033  0.156 -0.155  0.081 -0.278  0.007 -0.400  -0.077 -0.517  -0.162 -0.633  -0.247 -0.748  -0.351 -0.847  -0.458 -0.944  -0.577 -1.019  -0.711 -1.073  -0.850 -1.071  -0.951 -0.989  -0.989 -0.861  -0.922 -0.743  -0.796 -0.674  -0.670 -0.605  -0.545 -0.534  -0.420 -0.464  -0.291 -0.403  -0.151 -0.372  -0.011 -0.341  0.131 -0.318  0.274 -0.318  0.418 -0.318  0.560 -0.337  0.700 -0.365  0.841 -0.392  0.983 -0.414  1.125 -0.437  1.261 -0.482  1.398 -0.527
1a#apb#apb05#app0501/2  -0.663 1.065  -0.604 1.097  -0.464 1.151  -0.316 1.173  -0.168 1.196  -0.020 1.217  0.128 1.237  0.277 1.255  0.425 1.272  0.556 1.213  0.683 1.133  0.795 1.034  0.889 0.924  0.929 0.779  0.916 0.635  0.874 0.492  0.826 0.350  0.745 0.225  0.664 0.099  0.577 -0.023  0.489 -0.143  0.400 -0.264  0.306 -0.381  0.207 -0.493  0.108 -0.605  0.007 -0.716  -0.098 -0.822  -0.204 -0.927  -0.312 -1.031  -0.443 -1.102  -0.575 -1.173  -0.723 -1.151  -0.855 -1.101  -0.943 -0.980  -1.005 -0.849  -1.019 -0.700  -0.957 -0.570  -0.874 -0.446  -0.770 -0.339  -0.660 -0.238  -0.527 -0.177  -0.383 -0.141  -0.237 -0.174  -0.091 -0.209  0.053 -0.248  0.183 -0.316  0.301 -0.408  0.408 -0.513  0.517 -0.615  0.647 -0.689
1a#apb#apb05#app0501/1  0.504 1.619  0.501 1.550  0.477 1.485  0.454 1.419  0.430 1.354  0.407 1.288  0.384 1.223  0.360 1.157  0.334 1.093  0.307 1.029  0.280 0.965  0.254 0.901  0.227 0.837  0.202 0.772  0.180 0.706  0.159 0.640  0.137 0.574  0.115 0.508  0.093 0.442  0.071 0.376  0.049 0.310  0.027 0.244  0.006 0.178  -0.015 0.112  -0.036 0.045  -0.057 -0.021  -0.077 -0.087  -0.098 -0.153  -0.119 -0.220  -0.139 -0.286  -0.153 -0.354  -0.167 -0.422  -0.180 -0.491  -0.194 -0.559  -0.208 -0.627  -0.221 -0.695  -0.235 -0.763  -0.248 -0.831  -0.260 -0.900  -0.271 -0.968  -0.282 -1.037  -0.292 -1.106  -0.303 -1.174  -0.313 -1.243  -0.327 -1.311  -0.341 -1.379  -0.354 -1.447  -0.368 -1.516  -0.359 -1.583  -0.342 -1.651
1a#apb#apb05#app0501/9  0.177 -0.072  0.288 0.080  0.400 0.232  0.503 0.389  0.605 0.548  0.663 0.727  0.705 0.909  0.688 1.091  0.547 1.206  0.359 1.206  0.173 1.176  -0.012 1.141  -0.165 1.032  -0.315 0.919  -0.465 0.804  -0.613 0.687  -0.736 0.548  -0.835 0.388  -0.928 0.224  -1.006 0.053  -1.013 -0.134  -0.923 -0.290  -0.758 -0.376  -0.571 -0.380  -0.399 -0.318  -0.237 -0.222  -0.083 -0.113  0.070 -0.003  0.197 0.136  0.324 0.276  0.446 0.419  0.569 0.562  0.679 0.715  0.679 0.593  0.605 0.420  0.532 0.246  0.460 0.071  0.391 -0.104  0.326 -0.281  0.260 -0.458  0.186 -0.631  0.112 -0.804  0.035 -0.976  -0.046 -1.147  -0.127 -1.317  -0.204 -1.489  -0.282 -1.661  -0.360 -1.832  -0.439 -2.003  -0.462 -2.187
1a#apb#apb05#app0501/1  0.645 1.569  0.626 1.503  0.607 1.436  0.587 1.369  0.566 1.303  0.546 1.237  0.525 1.170  0.504 1.104  0.480 1.039  0.453 0.975  0.426 0.911  0.399 0.847  0.372 0.783  0.345 0.719  0.318 0.655  0.289 0.592  0.259 0.530  0.229 0.467  0.199 0.404  0.169 0.341  0.139 0.279  0.109 0.216  0.077 0.155  0.043 0.094  0.010 0.033  -0.024 -0.028  -0.057 -0.089  -0.091 -0.150  -0.124 -0.210  -0.152 -0.274  -0.178 -0.339  -0.203 -0.403  -0.228 -0.468  -0.254 -0.533  -0.279 -0.597  -0.304 -0.662  -0.329 -0.727  -0.353 -0.792  -0.376 -0.858  -0.399 -0.923  -0.422 -0.989  -0.445 -1.054  -0.473 -1.117  -0.510 -1.176  -0.548 -1.235  -0.585 -1.293  -0.618 -1.354  -0.638 -1.420  -0.658 -1.487  -0.678 -1.553
1a#apb#apb05#app0501/5  0.900 0.780  0.976 0.901  1.033 1.031  1.015 1.153  0.872 1.153  0.732 1.135  0.592 1.109  0.458 1.064  0.329 1.004  0.197 0.952  0.060 0.913  -0.079 0.880  -0.219 0.855  -0.346 0.854  -0.393 0.763  -0.470 0.644  -0.557 0.531  -0.640 0.415  -0.732 0.307  -0.803 0.184  -0.842 0.054  -0.803 -0.076  -0.661 -0.072  -0.522 -0.042  -0.383 -0.011  -0.245 0.024  -0.107 0.057  0.034 0.079  0.175 0.098  0.316 0.103  0.455 0.072  0.564 -0.020  0.599 -0.157  0.607 -0.295  0.569 -0.433  0.512 -0.563  0.453 -0.692  0.389 -0.820  0.325 -0.947  0.216 -1.038  0.106 -1.128  -0.009 -1.212  -0.132 -1.281  -0.268 -1.322  -0.410 -1.323  -0.546 -1.289  -0.674 -1.228  -0.788 -1.142  -0.911 -1.074  -0.943 -0.951
1a#apb#apb05#app0501/7  -1.418 0.568  -1.314 0.568  -1.211 0.559  -1.110 0.534  -1.009 0.522  -0.907 0.543  -0.805 0.563  -0.701 0.568  -0.597 0.568  -0.493 0.568  -0.389 0.577  -0.287 0.597  -0.185 0.618  -0.083 0.639  0.016 0.670  0.115 0.701  0.215 0.732  0.314 0.763  0.414 0.793  0.515 0.818  0.616 0.843  0.720 0.843  0.769 0.788  0.769 0.684  0.769 0.580  0.737 0.483  0.693 0.388  0.649 0.294  0.611 0.197  0.574 0.100  0.536 0.003  0.487 -0.089  0.435 -0.179  0.383 -0.269  0.332 -0.360  0.289 -0.455  0.246 -0.550  0.204 -0.645  0.158 -0.738  0.109 -0.830  0.060 -0.922  0.016 -1.016  -0.020 -1.114  -0.056 -1.212  -0.092 -1.310  -0.136 -1.404  -0.179 -1.499  -0.220 -1.595  -0.258 -1.691  -0.282 -1.792
1a#apb#apb05#app0501/1  -0.022 0.580  -0.007 0.663  0.009 0.747  0.024 0.830  0.028 0.914  0.019 0.998  0.011 1.082  0.013 1.165  0.040 1.246  0.067 1.326  0.085 1.407  0.085 1.322  0.085 1.238  0.085 1.153  0.080 1.068  0.074 0.984  0.068 0.899  0.062 0.815  0.056 0.730  0.051 0.646  0.045 0.561  0.040 0.477  0.035 0.392  0.030 0.308  0.025 0.223  0.020 0.139  0.015 0.054  0.010 -0.030  0.005 -0.115  0.010 -0.199  0.015 -0.284  0.020 -0.369  0.025 -0.453  0.030 -0.538  0.023 -0.622  0.010 -0.705  -0.003 -0.789  -0.017 -0.873  -0.030 -0.956  -0.043 -1.040  -0.056 -1.124  -0.069 -1.207  -0.082 -1.291  -0.095 -1.375  -0.108 -1.458  -0.124 -1.542  -0.139 -1.625  -0.154 -1.708  -0.168 -1.792  -0.182 -1.875
