2#app#app31#app3146/[  0.868 0.995  0.868 1.118  0.762 1.136  0.727 1.224  0.727 1.206  0.673 1.136  0.550 1.136  0.426 1.136  0.303 1.135  0.215 1.048  0.114 0.995  0.021 0.964  0.008 0.853  -0.116 0.853  -0.240 0.853  -0.160 0.853  -0.121 0.770  -0.121 0.646  -0.155 0.537  -0.242 0.449  -0.330 0.362  -0.403 0.268  -0.403 0.145  -0.403 0.021  -0.480 -0.071  -0.544 -0.168  -0.555 -0.287  -0.642 -0.374  -0.685 -0.480  -0.685 -0.604  -0.685 -0.727  -0.685 -0.851  -0.685 -0.975  -0.685 -1.098  -0.587 -1.124  -0.464 -1.124  -0.403 -1.061  -0.357 -0.982  -0.234 -0.982  -0.113 -0.975  -0.026 -0.888  0.079 -0.841  0.202 -0.841  0.326 -0.841  0.450 -0.841  0.573 -0.841  0.664 -0.763  0.762 -0.700  0.886 -0.700  1.009 -0.700
2#app#app31#app3146/O  0.235 0.773  0.235 0.914  0.136 0.956  0.053 0.899  0.042 0.763  -0.058 0.663  -0.157 0.564  -0.257 0.464  -0.356 0.365  -0.456 0.265  -0.495 0.141  -0.526 0.013  -0.625 -0.087  -0.677 -0.206  -0.695 -0.339  -0.795 -0.439  -0.860 -0.553  -0.860 -0.693  -0.860 -0.834  -0.860 -0.975  -0.814 -1.097  -0.715 -1.196  -0.590 -1.234  -0.449 -1.234  -0.308 -1.234  -0.168 -1.234  -0.057 -1.161  0.042 -1.061  0.053 -0.925  0.128 -0.831  0.254 -0.768  0.380 -0.705  0.462 -0.598  0.525 -0.472  0.587 -0.346  0.600 -0.209  0.600 -0.068  0.600 0.073  0.600 0.214  0.600 0.354  0.600 0.495  0.600 0.636  0.600 0.776  0.600 0.917  0.600 1.058  0.600 1.199  0.587 1.334  0.487 1.433  0.417 1.545  0.417 1.686
2#app#app31#app3146/R  0.149 0.744  -0.005 0.546  -0.005 0.284  -0.121 0.051  -0.177 -0.194  -0.311 -0.400  -0.438 -0.609  -0.535 -0.789  -0.617 -0.968  -0.752 -1.095  -0.771 -1.337  -0.608 -1.358  -0.553 -1.103  -0.499 -0.847  -0.444 -0.592  -0.389 -0.336  -0.334 -0.080  -0.280 0.175  -0.225 0.431  -0.170 0.687  -0.158 0.947  -0.153 1.203  -0.005 1.316  0.043 1.558  0.261 1.663  0.523 1.663  0.733 1.539  0.762 1.290  0.746 1.035  0.608 0.830  0.593 0.575  0.408 0.390  0.223 0.205  0.039 0.021  -0.191 -0.056  -0.403 -0.176  -0.664 -0.176  -0.769 -0.021  -0.571 0.131  -0.310 0.130  -0.111 -0.022  -0.003 -0.176  0.226 -0.253  0.303 -0.482  0.532 -0.559  0.609 -0.789  0.762 -0.987  0.870 -1.204  0.960 -1.402  1.221 -1.402
2#app#app31#app3146/E  0.085 0.795  0.093 0.795  -0.007 0.556  -0.105 0.311  -0.307 0.109  -0.509 -0.093  -0.711 -0.295  -0.809 -0.541  -1.011 -0.743  -1.213 -0.945  -1.237 -1.220  -0.994 -1.263  -0.708 -1.263  -0.431 -1.227  -0.172 -1.116  0.114 -1.116  0.400 -1.116  0.685 -1.116  0.971 -1.116  1.013 -1.015  0.811 -0.813  0.609 -0.611  0.407 -0.409  0.205 -0.207  0.003 -0.004  -0.199 0.198  -0.401 0.400  -0.603 0.602  -0.650 0.868  -0.500 1.092  -0.274 1.236  0.012 1.236  0.298 1.236  0.583 1.236  0.812 1.097  1.094 1.089  1.015 0.876  0.778 0.718  0.540 0.559  0.302 0.401  0.064 0.242  -0.173 0.084  -0.411 -0.075  -0.649 -0.233  -0.405 -0.136  -0.160 -0.038  0.085 0.060  0.309 0.207  0.534 0.354  0.820 0.354
2#app#app31#app3146/L  0.703 1.623  0.703 1.517  0.664 1.449  0.558 1.449  0.528 1.372  0.522 1.268  0.447 1.193  0.371 1.118  0.354 1.018  0.340 0.925  0.234 0.925  0.179 0.874  0.179 0.767  0.115 0.687  0.040 0.612  -0.035 0.536  -0.110 0.461  -0.170 0.379  -0.170 0.273  -0.213 0.184  -0.288 0.109  -0.364 0.034  -0.439 -0.042  -0.514 -0.117  -0.589 -0.192  -0.665 -0.267  -0.740 -0.343  -0.815 -0.418  -0.868 -0.503  -0.868 -0.609  -0.868 -0.716  -0.865 -0.819  -0.758 -0.819  -0.652 -0.819  -0.545 -0.819  -0.439 -0.819  -0.332 -0.819  -0.226 -0.819  -0.119 -0.819  -0.013 -0.819  0.094 -0.819  0.200 -0.819  0.306 -0.819  0.413 -0.819  0.519 -0.819  0.626 -0.819  0.732 -0.819  0.839 -0.819  0.945 -0.819  1.052 -0.819
2#app#app31#app3146/S  0.473 1.040  0.473 1.143  0.473 1.246  0.473 1.349  0.426 1.405  0.322 1.405  0.219 1.405  0.116 1.405  0.041 1.339  -0.032 1.266  -0.075 1.181  -0.075 1.078  -0.075 0.975  -0.075 0.871  -0.075 0.768  -0.075 0.665  -0.075 0.562  -0.052 0.469  0.021 0.396  0.094 0.323  0.107 0.225  0.107 0.122  0.107 0.019  0.127 -0.076  0.200 -0.149  0.273 -0.222  0.290 -0.318  0.290 -0.421  0.362 -0.494  0.435 -0.567  0.473 -0.655  0.473 -0.758  0.399 -0.787  0.296 -0.787  0.290 -0.884  0.272 -0.970  0.169 -0.970  0.066 -0.970  -0.037 -0.970  -0.140 -0.970  -0.244 -0.970  -0.347 -0.970  -0.450 -0.970  -0.553 -0.970  -0.656 -0.970  -0.759 -0.970  -0.862 -0.970  -0.965 -0.970  -1.068 -0.970  -1.172 -0.970
2#app#app31#app3146/E  0.153 0.460  -0.001 0.594  -0.277 0.565  -0.481 0.362  -0.651 0.144  -0.794 -0.085  -0.998 -0.289  -1.187 -0.498  -1.310 -0.735  -1.315 -1.013  -1.161 -1.147  -0.873 -1.147  -0.585 -1.147  -0.306 -1.109  -0.040 -1.013  0.248 -1.013  0.536 -1.013  0.785 -0.918  1.057 -0.880  1.225 -0.759  1.021 -0.562  0.806 -0.369  0.592 -0.177  0.378 0.016  0.164 0.209  -0.050 0.402  -0.115 0.661  0.019 0.893  0.150 1.127  0.393 1.236  0.670 1.264  0.902 1.130  1.091 1.030  1.225 0.876  0.982 0.734  0.728 0.599  0.473 0.464  0.218 0.329  -0.036 0.194  -0.291 0.060  -0.545 -0.075  -0.800 -0.210  -1.051 -0.342  -0.847 -0.138  -0.644 0.065  -0.408 0.192  -0.120 0.192  0.113 0.326  0.401 0.326  0.555 0.192
2#app#app31#app3146/{  0.476 1.501  0.332 1.501  0.248 1.442  0.160 1.387  0.017 1.385  -0.112 1.321  -0.243 1.273  -0.368 1.228  -0.437 1.113  -0.490 0.991  -0.552 0.873  -0.552 0.730  -0.470 0.620  -0.340 0.588  -0.234 0.498  -0.101 0.474  0.019 0.450  0.072 0.359  0.051 0.359  0.019 0.248  -0.121 0.245  -0.209 0.190  -0.294 0.131  -0.404 0.050  -0.533 0.017  -0.640 -0.072  -0.559 -0.097  -0.415 -0.097  -0.272 -0.097  -0.129 -0.097  0.015 -0.097  0.133 -0.122  0.188 -0.211  0.248 -0.295  0.248 -0.438  0.147 -0.540  0.124 -0.668  0.019 -0.707  0.019 -0.850  0.019 -0.994  0.019 -1.137  0.061 -1.239  0.184 -1.289  0.300 -1.353  0.444 -1.353  0.587 -1.353  0.616 -1.467  0.760 -1.467  0.903 -1.467  1.047 -1.467
2#app#app31#app3146/y  -0.770 1.413  -0.660 1.303  -0.616 1.166  -0.549 1.038  -0.448 0.922  -0.378 0.783  -0.308 0.644  -0.198 0.534  -0.155 0.397  -0.059 0.338  -0.002 0.239  -0.002 0.084  0.100 0.030  0.225 -0.043  0.335 -0.153  0.445 -0.263  0.507 -0.150  0.562 -0.005  0.616 0.141  0.671 0.287  0.725 0.432  0.780 0.578  0.835 0.723  0.889 0.869  0.921 0.886  0.921 0.730  0.850 0.645  0.767 0.573  0.693 0.491  0.560 0.438  0.459 0.324  0.449 0.173  0.339 0.063  0.229 -0.047  0.119 -0.157  0.009 -0.267  -0.101 -0.377  -0.211 -0.487  -0.321 -0.597  -0.431 -0.707  -0.541 -0.817  -0.651 -0.927  -0.761 -1.037  -0.770 -1.188  -0.915 -1.199  -0.924 -1.346  -0.924 -1.501  -0.924 -1.657  -0.772 -1.660  -0.616 -1.660
2#app#app31#app3146/o  -0.182 0.502  -0.307 0.502  -0.432 0.502  -0.557 0.502  -0.682 0.502  -0.682 0.377  -0.682 0.252  -0.770 0.164  -0.858 0.076  -0.932 -0.019  -0.932 -0.144  -0.932 -0.269  -0.932 -0.393  -0.932 -0.518  -0.932 -0.643  -0.918 -0.762  -0.829 -0.850  -0.741 -0.939  -0.641 -0.998  -0.516 -0.998  -0.391 -0.998  -0.266 -0.998  -0.141 -0.998  -0.016 -0.998  0.097 -0.968  0.185 -0.880  0.273 -0.792  0.361 -0.704  0.450 -0.615  0.538 -0.527  0.626 -0.439  0.715 -0.350  0.803 -0.262  0.817 -0.143  0.817 -0.018  0.817 0.107  0.817 0.231  0.817 0.356  0.817 0.481  0.817 0.606  0.817 0.731  0.817 0.856  0.817 0.981  0.744 1.075  0.655 1.163  0.567 1.251  0.442 1.251  0.317 1.251  0.192 1.251  0.068 1.251
2#app#app31#app3146/u  -1.095 0.695  -1.095 0.559  -1.095 0.422  -1.222 0.412  -1.359 0.412  -1.378 0.295  -1.378 0.158  -1.378 0.022  -1.378 -0.115  -1.378 -0.252  -1.378 -0.388  -1.291 -0.438  -1.154 -0.438  -1.017 -0.438  -0.881 -0.438  -0.744 -0.438  -0.607 -0.438  -0.471 -0.438  -0.334 -0.438  -0.197 -0.438  -0.060 -0.438  0.076 -0.438  0.213 -0.438  0.321 -0.409  0.321 -0.272  0.338 -0.146  0.460 -0.085  0.583 -0.024  0.705 0.038  0.827 0.099  0.957 0.129  1.093 0.129  1.171 0.188  1.171 0.325  1.171 0.462  1.171 0.598  1.131 0.695  0.995 0.695  0.867 0.674  0.770 0.578  0.673 0.481  0.604 0.373  0.604 0.236  0.604 0.099  0.604 -0.037  0.604 -0.174  0.604 -0.311  0.614 -0.438  0.751 -0.438  0.888 -0.438
