1d#tos#t2#t2044064/\"  -0.519 0.683  -0.680 0.683  -0.612 0.640  -0.612 0.478  -0.612 0.317  -0.612 0.155  -0.612 -0.007  -0.650 -0.161  -0.710 -0.312  -0.770 -0.462  -0.800 -0.618  -0.893 -0.741  -0.893 -0.903  -0.893 -1.064  -0.928 -1.191  -0.982 -1.277  -0.888 -1.146  -0.794 -1.014  -0.700 -0.882  -0.606 -0.751  -0.511 -0.619  -0.417 -0.487  -0.323 -0.356  -0.229 -0.224  -0.135 -0.092  -0.041 0.039  0.053 0.171  0.147 0.302  0.241 0.434  0.335 0.566  0.429 0.697  0.523 0.829  0.617 0.961  0.711 1.092  0.805 1.224  0.887 1.317  0.887 1.156  0.887 0.994  0.887 0.832  0.887 0.670  0.887 0.509  0.887 0.347  0.887 0.185  0.887 0.023  0.887 -0.139  0.842 -0.293  0.793 -0.447  0.793 -0.609  0.666 -0.692  0.606 -0.816
1d#tos#t2#t2044064/$  0.513 0.615  0.484 0.781  0.321 0.926  0.078 0.971  -0.167 0.961  -0.316 0.843  -0.408 0.629  -0.435 0.386  -0.397 0.156  -0.251 -0.025  -0.012 -0.092  0.220 -0.135  0.445 -0.239  0.608 -0.366  0.632 -0.597  0.553 -0.798  0.456 -1.015  0.268 -1.175  0.091 -1.342  -0.121 -1.466  -0.320 -1.557  -0.432 -1.422  -0.394 -1.176  -0.356 -0.929  -0.318 -0.683  -0.279 -0.436  -0.241 -0.189  -0.203 0.057  -0.165 0.304  -0.127 0.550  -0.089 0.797  -0.050 1.044  -0.012 1.290  0.026 1.537  0.064 1.784  0.039 1.736  0.039 1.486  0.039 1.237  0.039 0.987  0.039 0.737  0.039 0.488  0.039 0.238  0.039 -0.011  0.019 -0.259  -0.000 -0.507  -0.000 -0.756  -0.000 -1.006  -0.000 -1.256  -0.000 -1.505  -0.000 -1.597
1d#tos#t2#t2044064/%  0.892 1.159  0.763 0.979  0.593 0.774  0.505 0.528  0.368 0.301  0.183 0.107  0.062 -0.130  -0.154 -0.303  -0.360 -0.485  -0.500 -0.721  -0.680 -0.930  -0.845 -1.149  -0.983 -1.388  -1.010 -1.366  -0.948 -1.097  -0.886 -0.828  -0.825 -0.558  -0.763 -0.289  -0.701 -0.020  -0.639 0.249  -0.578 0.518  -0.516 0.787  -0.454 1.056  -0.612 1.074  -0.698 0.834  -0.698 0.558  -0.519 0.428  -0.255 0.484  -0.182 0.730  -0.182 1.006  -0.338 1.159  -0.392 1.065  -0.200 0.867  -0.008 0.669  0.184 0.470  0.376 0.272  0.568 0.074  0.760 -0.124  0.702 -0.216  0.530 -0.407  0.377 -0.544  0.377 -0.820  0.515 -0.990  0.791 -0.990  1.032 -0.885  1.255 -0.763  1.279 -0.491  1.201 -0.263  0.936 -0.216  0.678 -0.173
1d#tos#t2#t2044064/)  -0.532 1.394  -0.621 1.365  -0.693 1.322  -0.635 1.287  -0.586 1.242  -0.586 1.147  -0.513 1.126  -0.421 1.122  -0.347 1.072  -0.272 1.027  -0.210 0.990  -0.156 0.949  -0.102 0.909  -0.072 0.827  0.008 0.797  0.050 0.713  0.059 0.621  0.120 0.588  0.215 0.588  0.245 0.510  0.274 0.428  0.328 0.356  0.369 0.279  0.382 0.190  0.382 0.096  0.382 0.002  0.382 -0.093  0.382 -0.187  0.435 -0.227  0.435 -0.321  0.435 -0.415  0.435 -0.510  0.426 -0.595  0.382 -0.644  0.345 -0.702  0.274 -0.725  0.274 -0.819  0.224 -0.863  0.167 -0.900  0.098 -0.952  0.059 -1.022  0.059 -1.116  -0.011 -1.167  -0.100 -1.186  -0.156 -1.256  -0.196 -1.334  -0.263 -1.400  -0.347 -1.443  -0.384 -1.508  -0.425 -1.562
1d#tos#t2#t2044064/,  -0.227 0.479  -0.463 0.213  -0.345 -0.262  -0.510 -0.714  -0.818 -0.959  -0.936 -1.412  -1.338 -1.714  -1.527 -2.162  -1.271 -1.903  -0.967 -1.503  -0.663 -1.103  -0.359 -0.703  -0.055 -0.303  0.249 0.097  0.553 0.497  0.609 0.597  0.482 0.457  0.077 0.360  -0.071 0.479  -0.345 0.487  -0.087 0.242  -0.041 0.597  -0.307 0.833  -0.463 0.487  -0.324 0.124  0.042 0.318  -0.105 0.598  0.382 0.720  0.804 0.833  0.482 0.652  0.693 0.360  0.833 0.479  0.482 0.630  0.065 0.715  -0.109 0.386  0.319 0.242  0.687 0.533  0.288 0.597  0.010 0.373  0.145 0.006  0.634 0.039  0.719 0.506  0.593 0.952  0.402 0.952  0.601 0.648  0.601 0.146  0.465 -0.316  0.186 -0.734  0.039 -1.192  -0.109 -1.649
1d#tos#t2#t2044064/.  1.204 1.834  0.803 1.834  0.402 1.834  0.165 1.670  0.120 1.314  -0.281 1.314  -0.355 0.987  -0.355 0.586  -0.511 0.222  -0.615 -0.154  -0.615 -0.555  -0.480 -0.900  -0.130 -1.025  0.271 -1.025  0.425 -0.778  0.685 -0.637  0.685 -0.236  0.685 0.165  0.554 0.535  0.313 0.794  -0.088 0.794  -0.489 0.794  -0.738 0.549  -0.875 0.180  -0.875 -0.221  -0.758 -0.505  -0.615 -0.763  -0.355 -0.904  -0.157 -1.223  0.219 -1.285  0.620 -1.285  0.685 -0.949  0.685 -0.548  0.685 -0.147  0.515 0.184  0.156 0.284  -0.141 0.534  -0.542 0.534  -0.615 0.206  -0.615 -0.195  -0.615 -0.596  -0.383 -0.765  0.018 -0.765  0.392 -0.651  0.685 -0.431  0.685 -0.030  0.328 0.015  -0.073 0.015  -0.355 -0.104  -0.355 -0.505
1d#tos#t2#t2044064/  0.786 1.421  0.786 1.346  0.753 1.304  0.700 1.262  0.658 1.200  0.617 1.137  0.552 1.122  0.552 1.047  0.552 0.972  0.496 0.953  0.494 0.880  0.494 0.805  0.446 0.777  0.375 0.771  0.357 0.698  0.339 0.625  0.321 0.553  0.282 0.489  0.240 0.426  0.198 0.364  0.144 0.311  0.091 0.258  0.038 0.205  -0.015 0.151  -0.033 0.084  -0.033 0.008  -0.033 -0.067  -0.062 -0.130  -0.115 -0.183  -0.169 -0.236  -0.213 -0.294  -0.231 -0.367  -0.249 -0.440  -0.269 -0.512  -0.322 -0.565  -0.376 -0.619  -0.429 -0.672  -0.460 -0.739  -0.484 -0.810  -0.508 -0.881  -0.531 -0.953  -0.555 -1.024  -0.587 -1.092  -0.618 -1.160  -0.618 -1.235  -0.618 -1.310  -0.618 -1.385  -0.670 -1.439  -0.723 -1.492  -0.735 -1.563
1d#tos#t2#t2044064/:  0.098 1.345  0.098 1.254  0.098 1.162  0.009 1.161  -0.083 1.161  -0.174 1.161  -0.179 1.074  -0.179 0.982  -0.264 0.976  -0.355 0.976  -0.447 0.976  -0.374 0.976  -0.282 0.976  -0.191 0.976  -0.179 1.055  -0.163 0.991  -0.144 0.901  -0.125 0.812  -0.107 0.722  -0.088 0.633  -0.069 0.543  -0.051 0.453  -0.032 0.364  -0.013 0.274  0.005 0.185  0.024 0.095  0.043 0.006  0.061 -0.084  0.080 -0.174  0.099 -0.263  0.117 -0.353  0.136 -0.442  0.155 -0.532  0.173 -0.622  0.192 -0.711  0.211 -0.801  0.229 -0.890  0.248 -0.980  0.267 -1.070  0.274 -1.150  0.183 -1.150  0.098 -1.157  0.098 -1.249  0.098 -1.341  0.094 -1.427  0.006 -1.431  0.006 -1.523  0.008 -1.612  0.099 -1.612  0.191 -1.612
1d#tos#t2#t2044064/;  0.169 1.387  0.169 1.279  0.122 1.217  0.014 1.217  -0.086 1.209  -0.086 1.101  -0.086 0.993  -0.031 0.907  -0.001 0.944  -0.001 1.052  -0.001 1.160  -0.052 1.217  -0.160 1.217  -0.253 1.205  -0.225 1.101  -0.198 0.996  -0.171 0.891  -0.143 0.787  -0.116 0.682  -0.089 0.577  -0.062 0.473  -0.034 0.368  -0.007 0.263  0.020 0.159  0.048 0.054  0.075 -0.050  0.102 -0.155  0.129 -0.260  0.157 -0.364  0.184 -0.469  0.211 -0.574  0.239 -0.678  0.204 -0.735  0.096 -0.735  0.084 -0.831  0.084 -0.871  0.084 -0.763  0.003 -0.735  -0.086 -0.754  -0.044 -0.820  -0.001 -0.886  -0.001 -0.994  -0.001 -1.102  -0.001 -1.210  -0.001 -1.318  -0.001 -1.426  -0.017 -1.531  -0.065 -1.627  -0.086 -1.731  -0.086 -1.839
1d#tos#t2#t2044064/<  0.909 1.569  0.837 1.497  0.786 1.417  0.717 1.385  0.664 1.337  0.639 1.251  0.549 1.206  0.512 1.113  0.480 1.018  0.405 0.950  0.315 0.905  0.261 0.823  0.203 0.741  0.132 0.670  0.051 0.610  -0.034 0.554  -0.111 0.488  -0.182 0.417  -0.219 0.324  -0.251 0.228  -0.323 0.157  -0.407 0.101  -0.491 0.045  -0.539 -0.043  -0.611 -0.108  -0.697 -0.159  -0.759 -0.238  -0.805 -0.326  -0.821 -0.326  -0.742 -0.348  -0.741 -0.448  -0.640 -0.448  -0.558 -0.468  -0.505 -0.536  -0.436 -0.595  -0.378 -0.661  -0.285 -0.693  -0.188 -0.700  -0.143 -0.791  -0.057 -0.815  0.015 -0.862  0.070 -0.937  0.140 -0.989  0.195 -1.069  0.286 -1.115  0.378 -1.140  0.457 -1.200  0.548 -1.243  0.649 -1.243  0.725 -1.304
1d#tos#t2#t2044064/[  0.240 1.541  0.159 1.521  0.078 1.500  0.007 1.453  -0.047 1.396  -0.113 1.377  -0.191 1.345  -0.252 1.313  -0.252 1.227  -0.252 1.141  -0.252 1.056  -0.287 0.978  -0.293 0.894  -0.293 0.808  -0.293 0.723  -0.293 0.637  -0.293 0.551  -0.293 0.466  -0.293 0.380  -0.288 0.295  -0.264 0.213  -0.241 0.130  -0.217 0.048  -0.211 -0.037  -0.211 -0.123  -0.211 -0.208  -0.211 -0.294  -0.211 -0.380  -0.211 -0.465  -0.211 -0.551  -0.208 -0.636  -0.170 -0.713  -0.129 -0.781  -0.129 -0.867  -0.129 -0.953  -0.129 -1.038  -0.086 -0.999  -0.000 -0.999  0.086 -0.999  0.171 -0.999  0.257 -0.999  0.343 -0.999  0.428 -0.999  0.514 -0.999  0.600 -0.999  0.685 -0.999  0.771 -0.999  0.857 -0.999  0.942 -0.997  1.018 -0.958
