1d#apa#apa01#app0153/!  -0.083 1.316  0.003 1.316  0.089 1.316  0.091 1.400  0.091 1.486  0.010 1.491  -0.076 1.491  -0.083 1.412  -0.083 1.326  -0.083 1.240  -0.083 1.154  -0.083 1.068  -0.083 0.982  -0.083 0.896  -0.083 0.809  -0.083 0.723  -0.083 0.637  -0.083 0.551  -0.083 0.465  -0.083 0.379  -0.083 0.293  -0.083 0.207  -0.083 0.121  -0.083 0.035  -0.083 -0.051  -0.083 -0.138  -0.083 -0.224  -0.083 -0.310  -0.083 -0.396  -0.083 -0.482  -0.083 -0.568  -0.083 -0.654  -0.083 -0.740  -0.083 -0.826  -0.083 -0.912  -0.083 -0.908  -0.083 -0.822  -0.040 -0.779  0.046 -0.779  0.104 -0.817  0.131 -0.899  0.159 -0.980  0.186 -1.062  0.213 -1.144  0.240 -1.225  0.266 -1.307  0.266 -1.393  0.266 -1.479  0.266 -1.566  0.266 -1.652
1d#apa#apa01#app0153/@  0.003 0.203  0.003 0.243  -0.127 0.413  -0.377 0.462  -0.537 0.310  -0.645 0.056  -0.774 -0.114  -0.676 -0.315  -0.547 -0.543  -0.261 -0.574  -0.091 -0.445  0.056 -0.261  0.132 0.006  0.060 0.276  0.003 0.114  0.094 -0.148  0.324 -0.315  0.521 -0.212  0.664 -0.056  0.780 0.127  0.909 0.297  0.909 0.596  0.909 0.895  0.909 1.194  0.691 1.327  0.521 1.480  0.246 1.482  -0.006 1.368  -0.256 1.319  -0.386 1.150  -0.515 0.980  -0.556 0.721  -0.702 0.535  -0.774 0.265  -0.904 0.020  -0.904 -0.279  -0.904 -0.579  -0.904 -0.878  -0.844 -1.152  -0.632 -1.364  -0.381 -1.481  -0.082 -1.481  0.163 -1.351  0.409 -1.222  0.579 -1.092  0.650 -0.864  0.780 -0.695  0.780 -0.396  0.780 -0.096  0.909 0.073
1d#apa#apa01#app0153/#  -0.652 0.919  -0.490 0.656  -0.490 0.232  -0.490 -0.193  -0.652 -0.456  -0.652 -0.881  -0.511 -0.779  -0.301 -0.410  -0.090 -0.041  0.121 0.328  0.332 0.697  0.543 1.066  0.644 1.023  0.644 0.598  0.644 0.173  0.644 -0.252  0.742 -0.636  0.806 -1.035  0.711 -0.964  0.350 -0.739  -0.010 -0.514  -0.370 -0.289  -0.730 -0.064  -1.091 0.162  -1.451 0.387  -1.785 0.564  -1.491 0.434  -1.133 0.272  -0.708 0.272  -0.296 0.303  0.075 0.434  0.500 0.434  0.890 0.517  1.282 0.596  1.707 0.596  1.439 0.489  1.034 0.361  0.629 0.233  0.224 0.105  -0.181 -0.023  -0.586 -0.151  -0.992 -0.279  -1.197 -0.376  -0.934 -0.538  -0.509 -0.538  -0.084 -0.538  0.341 -0.538  0.766 -0.538  1.191 -0.538  1.616 -0.538
1d#apa#apa01#app0153/$  0.261 1.107  0.083 1.009  -0.115 0.929  -0.273 0.811  -0.451 0.712  -0.589 0.573  -0.630 0.337  -0.787 0.217  -0.808 -0.039  -0.631 -0.139  -0.383 -0.070  -0.151 0.039  0.125 0.039  0.261 -0.103  0.483 -0.183  0.704 -0.317  0.973 -0.325  0.973 -0.602  0.946 -0.851  0.795 -0.977  0.617 -1.076  0.471 -1.207  0.373 -1.386  0.096 -1.386  -0.181 -1.386  -0.404 -1.255  -0.483 -1.029  -0.606 -0.902  -0.555 -0.630  -0.504 -0.358  -0.453 -0.086  -0.402 0.187  -0.351 0.459  -0.300 0.731  -0.249 1.003  -0.197 1.275  -0.146 1.547  -0.095 1.819  0.083 1.617  0.083 1.340  0.102 1.068  0.226 0.821  0.261 0.552  0.261 0.275  0.261 -0.002  0.261 -0.278  0.261 -0.555  0.261 -0.832  0.261 -1.109  0.261 -1.386
1d#apa#apa01#app0153/%  -0.615 0.441  -0.744 0.559  -0.991 0.559  -1.194 0.452  -1.319 0.323  -1.323 0.080  -1.205 -0.049  -1.176 -0.267  -0.941 -0.239  -0.733 -0.147  -0.640 0.062  -0.615 0.299  -0.510 0.441  -0.497 0.675  -0.407 0.649  -0.233 0.824  -0.058 0.998  0.117 1.173  0.292 1.348  0.275 1.213  0.211 0.993  0.093 0.794  -0.025 0.665  -0.025 0.418  -0.143 0.289  -0.259 0.090  -0.269 -0.149  -0.379 -0.285  -0.409 -0.503  -0.497 -0.662  -0.445 -0.857  -0.236 -0.746  -0.041 -0.594  0.154 -0.442  0.349 -0.290  0.544 -0.139  0.683 -0.102  0.565 -0.300  0.565 -0.547  0.565 -0.795  0.632 -0.975  0.830 -1.093  1.077 -1.093  1.206 -0.975  1.273 -0.794  1.391 -0.665  1.391 -0.418  1.295 -0.267  1.273 -0.042  1.155 0.087
1d#apa#apa01#app0153/^  -1.271 -0.332  -1.271 -0.474  -1.250 -0.596  -1.108 -0.596  -1.007 -0.555  -1.007 -0.413  -1.007 -0.271  -1.007 -0.128  -0.925 -0.069  -0.783 -0.069  -0.744 0.034  -0.744 0.176  -0.656 0.282  -0.556 0.382  -0.445 0.458  -0.303 0.458  -0.217 0.514  -0.217 0.656  -0.141 0.722  0.001 0.722  0.047 0.818  0.047 0.960  0.164 0.985  0.306 0.985  0.310 1.123  0.310 1.232  0.310 1.090  0.310 0.948  0.310 0.806  0.310 0.664  0.310 0.522  0.310 0.380  0.310 0.238  0.409 0.195  0.551 0.195  0.574 0.075  0.574 -0.067  0.574 -0.209  0.574 -0.351  0.574 -0.493  0.574 -0.635  0.574 -0.777  0.574 -0.919  0.574 -1.061  0.654 -1.123  0.796 -1.123  0.837 -1.223  0.837 -1.365  0.958 -1.386  1.100 -1.386
1d#apa#apa01#app0153/&  0.645 0.606  0.466 0.737  0.287 0.868  -0.023 0.868  -0.333 0.868  -0.511 0.737  -0.767 0.606  -0.902 0.369  -0.795 0.123  -0.533 0.075  -0.402 -0.104  -0.168 -0.179  0.141 -0.179  0.383 -0.111  0.136 -0.048  -0.043 -0.179  -0.272 -0.260  -0.402 -0.439  -0.566 -0.605  -0.664 -0.874  -0.500 -1.095  -0.272 -1.177  -0.011 -1.226  0.299 -1.226  0.581 -1.159  0.776 -1.007  0.904 -0.828  0.794 -0.539  0.684 -0.249  0.574 0.040  0.463 0.329  0.353 0.619  0.243 0.908  0.133 1.198  0.022 1.487  -0.088 1.777  -0.110 1.784  -0.010 1.574  -0.010 1.265  -0.010 0.955  -0.010 0.645  -0.010 0.335  -0.010 0.026  -0.010 -0.284  -0.141 -0.463  -0.141 -0.773  -0.141 -1.082  -0.141 -1.392  -0.010 -1.571  0.121 -1.750
1d#apa#apa01#app0153/*  0.205 1.503  0.205 1.412  0.205 1.019  0.205 0.625  0.205 0.232  0.205 -0.161  0.205 -0.555  0.205 -0.948  0.205 -1.094  -0.066 -0.820  -0.357 -0.556  -0.648 -0.291  -0.939 -0.027  -1.230 0.238  -1.458 0.359  -1.130 0.294  -0.888 0.143  -0.495 0.143  -0.145 0.039  0.229 -0.008  0.622 -0.008  0.953 -0.160  1.346 -0.160  1.373 0.164  1.324 0.554  1.276 0.944  1.015 0.953  0.795 0.747  0.553 0.596  0.223 0.445  0.053 0.221  -0.169 -0.080  -0.448 -0.358  -0.647 -0.613  -0.879 -0.789  -0.989 -0.702  -0.894 -0.321  -0.798 0.061  -0.703 0.443  -0.607 0.824  -0.541 0.898  -0.329 0.676  -0.249 0.316  0.014 0.031  0.185 -0.291  0.205 -0.676  0.358 -0.918  0.538 -1.218  0.745 -1.455  0.960 -1.671
1d#apa#apa01#app0153/(  0.716 1.398  0.631 1.398  0.551 1.393  0.551 1.308  0.541 1.234  0.456 1.234  0.376 1.223  0.316 1.163  0.256 1.103  0.196 1.043  0.136 0.983  0.076 0.923  0.057 0.846  0.057 0.762  -0.006 0.740  -0.091 0.740  -0.107 0.672  -0.107 0.587  -0.107 0.502  -0.107 0.418  -0.185 0.411  -0.270 0.411  -0.272 0.328  -0.272 0.243  -0.272 0.158  -0.272 0.074  -0.272 -0.011  -0.272 -0.096  -0.272 -0.181  -0.272 -0.265  -0.272 -0.350  -0.272 -0.435  -0.272 -0.520  -0.272 -0.605  -0.272 -0.689  -0.248 -0.764  -0.188 -0.824  -0.128 -0.884  -0.107 -0.960  -0.107 -1.045  -0.107 -1.130  -0.107 -1.214  -0.042 -1.234  0.042 -1.234  0.057 -1.304  0.057 -1.389  0.057 -1.474  0.057 -1.558  0.137 -1.563  0.222 -1.563
1d#apa#apa01#app0153/)  -0.509 1.500  -0.509 1.421  -0.499 1.351  -0.420 1.351  -0.360 1.332  -0.360 1.253  -0.331 1.202  -0.252 1.202  -0.210 1.164  -0.210 1.084  -0.177 1.019  -0.121 0.963  -0.064 0.907  -0.008 0.851  0.048 0.795  0.088 0.732  0.088 0.652  0.111 0.582  0.167 0.526  0.223 0.470  0.237 0.397  0.237 0.317  0.237 0.238  0.237 0.159  0.237 0.079  0.237 -0.000  0.237 -0.079  0.237 -0.159  0.237 -0.238  0.237 -0.317  0.237 -0.397  0.237 -0.476  0.237 -0.556  0.204 -0.621  0.148 -0.677  0.092 -0.733  0.088 -0.811  0.088 -0.891  0.088 -0.970  0.088 -1.049  0.088 -1.129  0.064 -1.184  -0.015 -1.184  -0.061 -1.218  -0.061 -1.297  -0.061 -1.376  -0.061 -1.456  -0.098 -1.520  -0.154 -1.576  -0.210 -1.632
1d#apa#apa01#app0153/`  -0.760 1.372  -0.676 1.372  -0.592 1.372  -0.507 1.372  -0.423 1.372  -0.399 1.312  -0.399 1.228  -0.399 1.144  -0.399 1.060  -0.399 0.976  -0.399 0.891  -0.399 0.807  -0.399 0.723  -0.388 0.649  -0.304 0.649  -0.220 0.649  -0.136 0.649  -0.052 0.649  -0.037 0.579  -0.037 0.495  -0.037 0.411  -0.037 0.327  -0.037 0.243  -0.037 0.158  -0.037 0.074  -0.037 -0.010  -0.037 -0.094  -0.037 -0.178  -0.037 -0.262  -0.037 -0.347  -0.037 -0.431  0.019 -0.491  0.079 -0.551  0.138 -0.611  0.198 -0.670  0.257 -0.730  0.317 -0.789  0.324 -0.870  0.324 -0.954  0.324 -1.039  0.324 -1.123  0.373 -1.158  0.458 -1.158  0.542 -1.158  0.626 -1.158  0.685 -1.182  0.685 -1.266  0.685 -1.351  0.685 -1.435  0.685 -1.519
