1b#apa#apa19#app1979/F  -0.112 0.819  -0.191 0.704  -0.191 0.510  -0.191 0.316  -0.191 0.121  -0.191 -0.073  -0.191 -0.267  -0.191 -0.461  -0.191 -0.655  -0.150 -0.840  -0.112 -1.025  -0.112 -1.219  -0.065 -1.402  -0.033 -1.589  0.024 -1.759  0.045 -1.933  0.016 -1.741  -0.012 -1.549  -0.040 -1.357  -0.068 -1.165  -0.097 -0.973  -0.125 -0.781  -0.153 -0.589  -0.181 -0.397  -0.210 -0.205  -0.238 -0.012  -0.266 0.180  -0.294 0.372  -0.323 0.564  -0.360 0.751  -0.427 0.918  -0.388 1.095  -0.242 1.213  -0.081 1.292  0.113 1.292  0.289 1.371  0.483 1.371  0.677 1.371  0.698 1.269  0.604 1.099  0.509 0.929  0.415 0.760  0.321 0.590  0.227 0.420  0.132 0.251  0.038 0.081  0.014 -0.048  0.160 0.067  0.334 0.127  0.518 0.189
1b#apa#apa19#app1979/I  -0.237 1.575  -0.166 1.575  -0.095 1.575  -0.085 1.514  -0.085 1.442  -0.085 1.371  -0.085 1.300  -0.085 1.229  -0.085 1.158  -0.085 1.087  -0.085 1.015  -0.085 0.944  -0.085 0.873  -0.085 0.802  -0.085 0.731  -0.085 0.659  -0.085 0.588  -0.085 0.517  -0.085 0.446  -0.085 0.375  -0.085 0.304  -0.085 0.232  -0.085 0.161  -0.085 0.090  -0.085 0.019  -0.085 -0.052  -0.076 -0.122  -0.053 -0.190  -0.031 -0.257  -0.008 -0.325  0.014 -0.392  0.037 -0.460  0.059 -0.527  0.066 -0.597  0.066 -0.668  0.066 -0.740  0.066 -0.811  0.066 -0.882  0.066 -0.953  0.066 -1.024  0.066 -1.096  0.074 -1.163  0.125 -1.214  0.175 -1.264  0.218 -1.317  0.218 -1.389  0.219 -1.459  0.269 -1.510  0.319 -1.560  0.370 -1.610
1b#apa#apa19#app1979/R  -0.206 0.406  -0.293 0.233  -0.293 0.025  -0.338 -0.165  -0.381 -0.355  -0.381 -0.564  -0.381 -0.772  -0.381 -0.980  -0.294 -1.168  -0.293 -1.376  -0.265 -1.578  -0.206 -1.619  -0.206 -1.410  -0.206 -1.202  -0.285 -1.012  -0.293 -0.806  -0.293 -0.598  -0.293 -0.389  -0.302 -0.182  -0.368 0.015  -0.381 0.222  -0.381 0.430  -0.381 0.638  -0.381 0.847  -0.381 1.055  -0.350 1.256  -0.235 1.427  -0.075 1.544  0.133 1.544  0.335 1.528  0.503 1.408  0.692 1.346  0.809 1.177  0.936 1.015  1.020 0.841  1.020 0.633  0.971 0.445  0.864 0.269  0.720 0.124  0.533 0.031  0.347 -0.062  0.152 -0.120  -0.036 -0.207  -0.244 -0.207  -0.381 -0.330  -0.333 -0.518  -0.177 -0.645  0.032 -0.645  0.221 -0.727  0.407 -0.820
1b#apa#apa19#app1979/S  0.509 0.657  0.413 0.753  0.281 0.766  0.153 0.809  0.024 0.852  -0.098 0.910  -0.223 0.955  -0.358 0.955  -0.494 0.955  -0.629 0.955  -0.764 0.955  -0.900 0.955  -1.035 0.955  -1.084 0.868  -1.084 0.733  -1.024 0.657  -0.916 0.589  -0.821 0.493  -0.725 0.398  -0.606 0.358  -0.475 0.347  -0.376 0.259  -0.241 0.259  -0.114 0.222  0.007 0.161  0.142 0.159  0.266 0.122  0.379 0.047  0.492 -0.028  0.590 -0.121  0.715 -0.146  0.811 -0.242  0.907 -0.338  1.007 -0.374  1.007 -0.509  1.007 -0.645  0.964 -0.737  0.828 -0.737  0.794 -0.843  0.673 -0.904  0.552 -0.964  0.431 -1.025  0.331 -1.115  0.203 -1.135  0.068 -1.135  -0.059 -1.170  -0.180 -1.231  -0.315 -1.235  -0.450 -1.235  -0.586 -1.235
1b#apa#apa19#app1979/T  -0.068 0.503  -0.068 0.669  -0.150 0.754  -0.152 0.756  -0.078 0.607  -0.068 0.443  -0.004 0.291  0.016 0.129  0.016 -0.038  0.054 -0.198  0.099 -0.357  0.099 -0.524  0.099 -0.691  0.099 -0.857  0.099 -1.024  0.145 -1.180  0.183 -1.337  0.183 -1.504  0.183 -1.671  0.154 -1.684  0.093 -1.529  0.032 -1.374  -0.029 -1.219  -0.090 -1.064  -0.150 -0.909  -0.211 -0.754  -0.272 -0.598  -0.333 -0.443  -0.394 -0.288  -0.455 -0.133  -0.516 0.022  -0.577 0.177  -0.638 0.332  -0.699 0.487  -0.780 0.629  -0.822 0.779  -0.715 0.845  -0.557 0.898  -0.394 0.921  -0.227 0.921  -0.061 0.921  0.106 0.921  0.273 0.921  0.439 0.921  0.606 0.921  0.772 0.921  0.939 0.921  1.106 0.921  1.272 0.921  1.439 0.921
1b#apa#apa19#app1979/M  -0.212 0.649  -0.439 0.712  -0.584 0.493  -0.688 0.251  -0.727 -0.006  -0.727 -0.270  -0.727 -0.533  -0.727 -0.797  -0.727 -1.060  -0.727 -1.324  -0.684 -1.582  -0.547 -1.779  -0.472 -1.564  -0.433 -1.310  -0.433 -1.047  -0.433 -0.783  -0.433 -0.520  -0.433 -0.256  -0.433 0.007  -0.433 0.271  -0.433 0.534  -0.433 0.798  -0.433 1.061  -0.349 1.228  -0.267 0.999  -0.113 0.793  -0.029 0.543  0.009 0.285  0.068 0.032  0.185 -0.203  0.303 -0.431  0.377 -0.677  0.474 -0.919  0.524 -0.777  0.524 -0.514  0.524 -0.250  0.524 0.013  0.524 0.277  0.524 0.540  0.524 0.804  0.524 1.067  0.524 1.331  0.612 1.356  0.730 1.121  0.749 0.862  0.852 0.620  0.892 0.363  0.965 0.111  1.028 -0.137  1.112 -0.381
1b#apa#apa19#app1979/A  -0.409 0.792  -0.409 0.548  -0.484 0.322  -0.484 0.079  -0.484 -0.165  -0.484 -0.408  -0.484 -0.652  -0.455 -0.892  -0.385 -1.124  -0.335 -1.356  -0.215 -1.523  -0.111 -1.384  -0.111 -1.141  -0.140 -0.900  -0.180 -0.659  -0.185 -0.416  -0.258 -0.185  -0.260 0.059  -0.304 0.297  -0.363 0.533  -0.426 0.768  -0.484 1.003  -0.487 1.245  -0.559 1.472  -0.559 1.716  -0.437 1.838  -0.310 1.663  -0.155 1.478  -0.046 1.260  0.034 1.031  0.165 0.826  0.252 0.600  0.329 0.369  0.406 0.138  0.483 -0.093  0.636 -0.274  0.665 -0.506  0.786 -0.700  0.904 -0.894  0.991 -1.112  0.932 -1.125  0.783 -0.933  0.633 -0.741  0.484 -0.548  0.334 -0.356  0.185 -0.164  0.035 0.029  0.086 0.096  0.318 0.045  0.562 0.045
1b#apa#apa19#app1979/T  0.243 0.675  0.172 0.538  0.081 0.415  0.048 0.269  0.048 0.114  0.048 -0.040  0.048 -0.195  0.048 -0.349  0.109 -0.489  0.120 -0.641  0.178 -0.782  0.178 -0.937  0.222 -1.084  0.243 -1.235  0.309 -1.363  0.339 -1.505  0.352 -1.570  0.270 -1.439  0.188 -1.308  0.106 -1.176  0.024 -1.045  -0.057 -0.914  -0.139 -0.783  -0.221 -0.652  -0.303 -0.521  -0.385 -0.390  -0.467 -0.259  -0.549 -0.128  -0.631 0.003  -0.713 0.134  -0.794 0.265  -0.876 0.396  -0.968 0.519  -0.994 0.663  -0.877 0.740  -0.730 0.784  -0.579 0.805  -0.424 0.805  -0.271 0.808  -0.131 0.870  0.024 0.870  0.171 0.899  0.317 0.935  0.471 0.941  0.623 0.972  0.774 1.000  0.925 1.016  1.068 1.065  1.203 1.113  1.155 1.195
1b#apa#apa19#app1979/E  -0.623 0.697  -0.681 0.554  -0.681 0.353  -0.681 0.152  -0.646 -0.043  -0.623 -0.241  -0.605 -0.437  -0.515 -0.617  -0.508 -0.816  -0.508 -1.018  -0.450 -1.195  -0.378 -1.209  -0.190 -1.179  -0.024 -1.093  0.177 -1.093  0.378 -1.093  0.579 -1.093  0.780 -1.093  0.898 -1.070  0.727 -0.964  0.557 -0.858  0.386 -0.752  0.215 -0.646  0.044 -0.541  -0.127 -0.435  -0.277 -0.317  -0.219 -0.174  -0.036 -0.111  0.165 -0.111  0.366 -0.111  0.567 -0.111  0.551 -0.040  0.389 0.080  0.227 0.199  0.066 0.319  -0.096 0.438  -0.258 0.558  -0.419 0.677  -0.581 0.797  -0.681 0.947  -0.590 1.077  -0.417 1.176  -0.227 1.235  -0.029 1.268  0.172 1.275  0.363 1.333  0.564 1.333  0.765 1.333  0.966 1.333  1.167 1.333
1b#apa#apa19#app1979/E  -0.313 0.697  -0.319 0.892  -0.451 0.948  -0.507 0.771  -0.507 0.571  -0.529 0.374  -0.572 0.181  -0.572 -0.019  -0.572 -0.219  -0.572 -0.419  -0.572 -0.619  -0.572 -0.819  -0.507 -0.993  -0.453 -1.170  -0.321 -1.245  -0.121 -1.245  0.079 -1.245  0.279 -1.245  0.479 -1.245  0.679 -1.245  0.830 -1.229  0.669 -1.110  0.508 -0.991  0.347 -0.873  0.186 -0.754  0.025 -0.635  -0.136 -0.516  -0.298 -0.398  -0.434 -0.274  -0.261 -0.209  -0.091 -0.130  0.097 -0.080  0.298 -0.080  0.498 -0.080  0.519 -0.005  0.378 0.136  0.236 0.278  0.095 0.419  -0.047 0.561  -0.188 0.702  -0.330 0.844  -0.376 1.023  -0.231 1.159  -0.052 1.249  0.127 1.338  0.326 1.345  0.519 1.373  0.711 1.410  0.911 1.410  1.111 1.410
1b#apa#apa19#app1979/X  -0.821 1.237  -0.821 1.052  -0.821 0.867  -0.821 0.682  -0.819 0.497  -0.761 0.321  -0.702 0.145  -0.621 -0.019  -0.522 -0.175  -0.463 -0.351  -0.357 -0.501  -0.242 -0.646  -0.122 -0.786  0.005 -0.921  0.108 -1.075  0.196 -1.237  0.319 -1.374  0.435 -1.458  0.464 -1.276  0.494 -1.093  0.524 -0.910  0.553 -0.727  0.583 -0.544  0.613 -0.362  0.642 -0.179  0.672 0.004  0.702 0.187  0.731 0.370  0.761 0.552  0.790 0.735  0.820 0.918  0.850 1.101  0.838 1.270  0.670 1.311  0.490 1.297  0.359 1.166  0.228 1.035  0.122 0.885  0.019 0.730  -0.084 0.576  -0.186 0.422  -0.265 0.256  -0.336 0.087  -0.439 -0.067  -0.504 -0.240  -0.589 -0.402  -0.673 -0.562  -0.673 -0.747  -0.673 -0.932  -0.673 -1.118
1b#apa#apa19#app1979/P  0.137 0.778  -0.013 0.687  -0.119 0.528  -0.205 0.358  -0.265 0.177  -0.325 -0.004  -0.334 -0.193  -0.334 -0.384  -0.334 -0.575  -0.334 -0.765  -0.334 -0.956  -0.334 -1.147  -0.334 -1.338  -0.325 -1.526  -0.267 -1.703  -0.248 -1.778  -0.267 -1.605  -0.267 -1.415  -0.267 -1.224  -0.267 -1.033  -0.307 -0.849  -0.334 -0.663  -0.334 -0.472  -0.334 -0.281  -0.334 -0.091  -0.334 0.100  -0.334 0.291  -0.313 0.479  -0.275 0.666  -0.238 0.853  -0.200 1.040  -0.069 1.177  0.027 1.340  0.200 1.383  0.391 1.383  0.581 1.383  0.737 1.284  0.858 1.150  0.924 0.971  0.944 0.784  0.944 0.593  0.944 0.402  0.804 0.296  0.692 0.156  0.513 0.091  0.343 0.006  0.166 -0.065  -0.020 -0.097  -0.210 -0.097  -0.401 -0.097
1b#apa#apa19#app1979/E  -0.455 1.157  -0.529 1.002  -0.582 0.828  -0.603 0.647  -0.603 0.460  -0.603 0.274  -0.603 0.088  -0.603 -0.099  -0.603 -0.285  -0.603 -0.471  -0.553 -0.646  -0.529 -0.827  -0.529 -1.013  -0.468 -1.138  -0.356 -1.212  -0.200 -1.138  -0.017 -1.116  0.161 -1.064  0.341 -1.037  0.516 -0.990  0.702 -0.990  0.889 -0.990  0.984 -0.967  0.821 -0.876  0.658 -0.786  0.495 -0.695  0.332 -0.605  0.170 -0.514  0.007 -0.424  -0.156 -0.333  -0.292 -0.250  -0.106 -0.250  0.054 -0.186  0.236 -0.176  0.329 -0.121  0.238 0.041  0.147 0.204  0.055 0.366  -0.036 0.528  -0.127 0.691  -0.219 0.853  -0.307 1.017  -0.274 1.190  -0.121 1.269  0.036 1.366  0.215 1.405  0.393 1.454  0.580 1.454  0.766 1.454  0.952 1.454
1b#apa#apa19#app1979/C  0.803 0.471  0.802 0.593  0.680 0.594  0.680 0.717  0.678 0.838  0.558 0.841  0.555 0.960  0.432 0.960  0.313 0.965  0.308 1.083  0.185 1.083  0.062 1.083  -0.061 1.083  -0.176 1.075  -0.184 0.960  -0.298 0.951  -0.308 0.838  -0.428 0.831  -0.515 0.744  -0.543 0.633  -0.602 0.534  -0.666 0.438  -0.676 0.316  -0.715 0.200  -0.754 0.083  -0.788 -0.034  -0.788 -0.157  -0.788 -0.280  -0.788 -0.403  -0.775 -0.521  -0.688 -0.608  -0.601 -0.695  -0.543 -0.794  -0.502 -0.875  -0.379 -0.875  -0.298 -0.918  -0.255 -0.998  -0.132 -0.998  -0.009 -0.998  0.113 -0.998  0.236 -0.998  0.359 -0.998  0.482 -0.998  0.591 -0.964  0.678 -0.877  0.800 -0.875  0.923 -0.875  0.925 -0.754  1.047 -0.753  1.047 -0.630
