2#apa#apa20#app2038/w  -1.034 0.780  -1.183 0.753  -1.281 0.633  -1.281 0.473  -1.281 0.312  -1.277 0.153  -1.205 0.009  -1.157 -0.140  -1.157 -0.301  -1.034 -0.338  -1.005 -0.486  -0.883 -0.581  -0.786 -0.644  -0.686 -0.704  -0.525 -0.704  -0.415 -0.654  -0.328 -0.581  -0.204 -0.493  -0.168 -0.347  -0.145 -0.210  -0.044 -0.150  -0.044 0.011  -0.044 0.171  -0.044 0.332  -0.104 0.468  -0.168 0.602  -0.168 0.549  -0.168 0.389  -0.168 0.228  -0.102 0.095  -0.044 -0.042  0.038 -0.168  0.170 -0.255  0.314 -0.327  0.430 -0.437  0.582 -0.457  0.743 -0.457  0.903 -0.457  1.064 -0.457  1.215 -0.434  1.316 -0.316  1.316 -0.155  1.316 0.005  1.316 0.166  1.316 0.327  1.316 0.487  1.316 0.648  1.208 0.764  1.182 0.913  1.069 1.027
2#apa#apa20#app2038/a  -0.526 0.260  -0.693 0.427  -0.741 0.645  -0.866 0.830  -0.866 1.066  -0.844 1.281  -0.607 1.281  -0.370 1.281  -0.149 1.244  0.019 1.077  0.199 0.941  0.404 0.862  0.495 0.663  0.665 0.596  0.665 0.359  0.528 0.260  0.291 0.260  0.155 0.361  -0.013 0.430  -0.250 0.430  -0.487 0.430  -0.666 0.291  -0.833 0.123  -1.036 0.070  -1.036 -0.167  -1.036 -0.404  -1.036 -0.641  -0.920 -0.761  -0.855 -0.937  -0.643 -1.043  -0.420 -1.101  -0.183 -1.101  0.054 -1.101  0.251 -1.005  0.457 -0.931  0.665 -0.902  0.733 -0.694  0.835 -0.499  0.835 -0.262  0.835 -0.025  0.714 0.090  0.647 0.260  0.495 0.175  0.495 -0.062  0.495 -0.299  0.495 -0.536  0.623 -0.719  0.841 -0.766  1.008 -0.934  1.176 -1.101
2#apa#apa20#app2038/s  0.108 1.072  0.024 1.157  -0.061 1.241  -0.174 1.257  -0.294 1.257  -0.413 1.257  -0.533 1.257  -0.652 1.257  -0.772 1.257  -0.815 1.181  -0.815 1.061  -0.815 0.942  -0.815 0.822  -0.814 0.703  -0.730 0.618  -0.645 0.534  -0.561 0.449  -0.476 0.365  -0.392 0.280  -0.307 0.196  -0.261 0.095  -0.261 -0.024  -0.153 -0.035  -0.033 -0.035  0.087 -0.035  0.177 -0.104  0.262 -0.189  0.346 -0.273  0.431 -0.358  0.515 -0.442  0.600 -0.527  0.694 -0.589  0.813 -0.589  0.907 -0.650  0.992 -0.734  1.031 -0.838  1.031 -0.957  0.912 -0.958  0.793 -0.958  0.673 -0.958  0.553 -0.958  0.434 -0.958  0.314 -0.958  0.195 -0.958  0.075 -0.958  -0.044 -0.958  -0.138 -0.896  -0.223 -0.812  -0.326 -0.773  -0.446 -0.773
2#apa#apa20#app2038/o  0.680 0.793  0.521 0.793  0.362 0.793  0.204 0.793  0.059 0.851  -0.083 0.922  -0.233 0.961  -0.392 0.961  -0.550 0.961  -0.667 0.919  -0.699 0.793  -0.835 0.770  -0.835 0.611  -0.835 0.453  -0.835 0.294  -0.835 0.135  -0.835 -0.024  -0.835 -0.182  -0.835 -0.341  -0.755 -0.466  -0.667 -0.589  -0.649 -0.740  -0.537 -0.852  -0.425 -0.965  -0.312 -1.077  -0.200 -1.189  -0.057 -1.227  0.101 -1.227  0.260 -1.227  0.419 -1.227  0.578 -1.227  0.720 -1.188  0.832 -1.075  0.848 -0.923  0.848 -0.764  0.848 -0.606  0.848 -0.447  0.848 -0.288  0.786 -0.155  0.674 -0.043  0.562 0.069  0.512 0.207  0.512 0.366  0.463 0.505  0.351 0.617  0.239 0.729  0.106 0.793  -0.020 0.846  -0.091 0.988  -0.162 1.130
2#apa#apa20#app2038/n  -0.529 0.625  -0.705 0.625  -0.708 0.798  -0.878 0.804  -1.054 0.804  -1.066 0.640  -0.953 0.511  -0.887 0.363  -0.887 0.187  -0.833 0.033  -0.709 -0.091  -0.708 -0.267  -0.586 -0.393  -0.529 -0.545  -0.437 -0.629  -0.350 -0.718  -0.289 -0.869  -0.179 -0.988  -0.350 -0.982  -0.350 -0.807  -0.350 -0.631  -0.350 -0.455  -0.350 -0.279  -0.350 -0.103  -0.350 0.073  -0.350 0.249  -0.350 0.425  -0.350 0.601  -0.242 0.733  -0.117 0.857  0.007 0.982  0.182 0.983  0.358 0.983  0.534 0.983  0.662 0.866  0.787 0.742  0.904 0.615  0.904 0.439  0.904 0.263  0.904 0.087  1.029 -0.038  1.083 -0.191  1.083 -0.367  1.083 -0.543  1.020 -0.693  0.904 -0.821  0.904 -0.997  0.904 -1.173  0.907 -1.346  1.083 -1.346
2#apa#apa20#app2038/l  -0.060 1.175  -0.060 1.249  -0.060 1.323  -0.075 1.391  -0.127 1.444  -0.161 1.451  -0.161 1.377  -0.161 1.302  -0.161 1.228  -0.161 1.154  -0.161 1.080  -0.161 1.006  -0.148 0.934  -0.124 0.864  -0.101 0.793  -0.077 0.723  -0.060 0.652  -0.060 0.577  -0.060 0.503  -0.060 0.429  -0.060 0.355  -0.060 0.281  -0.033 0.213  0.001 0.147  0.034 0.081  0.041 0.008  0.041 -0.066  0.041 -0.140  0.041 -0.214  0.041 -0.288  0.041 -0.363  0.041 -0.437  0.041 -0.511  0.041 -0.585  0.041 -0.659  0.041 -0.733  0.071 -0.800  0.104 -0.867  0.137 -0.933  0.141 -1.006  0.141 -1.080  0.141 -1.154  0.141 -1.228  0.141 -1.303  0.141 -1.377  0.141 -1.451  0.141 -1.525  0.141 -1.599  0.141 -1.673  0.141 -1.747
2#apa#apa20#app2038/y  -0.717 1.184  -0.755 1.052  -0.812 0.928  -0.812 0.780  -0.777 0.640  -0.707 0.511  -0.595 0.425  -0.447 0.425  -0.338 0.331  -0.191 0.331  -0.043 0.331  0.094 0.366  0.217 0.448  0.326 0.537  0.326 0.685  0.306 0.825  0.231 0.942  0.164 1.062  0.042 1.103  -0.025 1.184  -0.148 1.159  -0.093 1.034  0.012 0.929  0.049 0.797  0.147 0.688  0.213 0.556  0.231 0.412  0.278 0.284  0.326 0.156  0.343 0.012  0.409 -0.120  0.459 -0.259  0.506 -0.399  0.553 -0.540  0.600 -0.680  0.610 -0.826  0.610 -0.974  0.610 -1.122  0.610 -1.269  0.514 -1.376  0.366 -1.376  0.218 -1.376  0.071 -1.376  -0.077 -1.376  -0.225 -1.376  -0.351 -1.304  -0.474 -1.222  -0.611 -1.187  -0.622 -1.050  -0.622 -0.902
2#apa#apa20#app2038/t  0.218 2.121  0.176 2.034  0.094 1.960  0.045 1.843  0.045 1.715  0.038 1.588  -0.019 1.473  -0.041 1.350  -0.041 1.222  -0.041 1.094  -0.041 0.966  -0.041 0.837  -0.041 0.709  -0.041 0.581  -0.041 0.453  -0.041 0.325  -0.041 0.196  -0.041 0.068  -0.031 -0.058  0.026 -0.173  0.045 -0.296  0.045 -0.424  0.082 -0.544  0.132 -0.661  0.132 -0.789  0.132 -0.917  0.172 -1.028  0.218 -1.138  0.218 -1.266  0.182 -1.285  0.105 -1.182  0.028 -1.080  -0.049 -0.977  -0.126 -0.875  -0.203 -0.772  -0.280 -0.670  -0.357 -0.567  -0.434 -0.464  -0.511 -0.362  -0.559 -0.345  -0.470 -0.384  -0.342 -0.384  -0.214 -0.384  -0.099 -0.441  0.023 -0.470  0.151 -0.470  0.276 -0.489  0.398 -0.530  0.521 -0.556  0.650 -0.556
2#apa#apa20#app2038/o  0.176 0.792  0.089 0.880  -0.003 0.957  -0.127 0.957  -0.250 0.957  -0.374 0.957  -0.498 0.957  -0.621 0.957  -0.716 0.888  -0.804 0.801  -0.862 0.692  -0.917 0.582  -0.973 0.471  -0.977 0.349  -0.977 0.225  -0.977 0.101  -0.977 -0.022  -0.977 -0.146  -0.925 -0.248  -0.837 -0.336  -0.750 -0.423  -0.662 -0.511  -0.647 -0.628  -0.592 -0.718  -0.482 -0.773  -0.371 -0.828  -0.254 -0.855  -0.130 -0.855  -0.006 -0.855  0.117 -0.855  0.241 -0.855  0.365 -0.855  0.488 -0.855  0.612 -0.855  0.717 -0.809  0.804 -0.721  0.891 -0.634  0.979 -0.546  1.000 -0.431  1.000 -0.308  1.000 -0.184  1.000 -0.060  1.000 0.063  1.000 0.187  1.000 0.311  1.000 0.434  0.933 0.530  0.845 0.618  0.758 0.705  0.670 0.792
2#apa#apa20#app2038/o  -0.023 0.653  -0.117 0.747  -0.210 0.840  -0.304 0.934  -0.409 1.002  -0.541 1.002  -0.636 1.092  -0.734 1.176  -0.867 1.176  -0.894 1.071  -0.894 0.938  -0.894 0.806  -0.894 0.673  -0.894 0.541  -0.894 0.408  -0.874 0.284  -0.780 0.190  -0.720 0.083  -0.720 -0.050  -0.720 -0.182  -0.652 -0.287  -0.558 -0.380  -0.464 -0.474  -0.370 -0.567  -0.252 -0.627  -0.133 -0.686  -0.017 -0.748  0.077 -0.841  0.176 -0.928  0.295 -0.987  0.413 -1.046  0.535 -1.090  0.668 -1.090  0.801 -1.090  0.908 -1.030  1.002 -0.936  1.023 -0.812  1.023 -0.680  1.023 -0.547  1.023 -0.415  0.973 -0.294  0.914 -0.175  0.855 -0.057  0.765 0.040  0.671 0.133  0.577 0.227  0.500 0.328  0.500 0.460  0.419 0.559  0.326 0.653
2#apa#apa20#app2038/p  -0.129 0.851  -0.181 0.921  -0.251 0.756  -0.251 0.562  -0.251 0.368  -0.251 0.173  -0.251 -0.021  -0.251 -0.215  -0.251 -0.409  -0.251 -0.604  -0.251 -0.798  -0.251 -0.992  -0.222 -1.182  -0.161 -1.366  -0.129 -1.555  -0.129 -1.749  -0.129 -1.706  -0.215 -1.532  -0.251 -1.347  -0.373 -1.203  -0.373 -1.009  -0.373 -0.814  -0.373 -0.620  -0.494 -0.476  -0.494 -0.282  -0.494 -0.088  -0.494 0.106  -0.494 0.300  -0.494 0.495  -0.458 0.680  -0.370 0.853  -0.251 0.998  -0.181 1.164  -0.009 1.216  0.186 1.216  0.380 1.216  0.574 1.216  0.719 1.097  0.862 0.972  1.029 0.908  1.087 0.738  1.087 0.544  0.965 0.471  0.903 0.302  0.766 0.165  0.604 0.062  0.430 -0.025  0.257 -0.112  0.065 -0.122  -0.129 -0.122
