1b#tos#t2#t2061062/A  -1.007 -1.021  -1.088 -1.224  -1.050 -1.082  -0.992 -0.875  -0.915 -0.692  -0.788 -0.552  -0.710 -0.349  -0.606 -0.158  -0.570 0.049  -0.526 0.257  -0.456 0.446  -0.378 0.647  -0.275 0.835  -0.221 1.041  -0.191 1.250  -0.034 1.361  -0.003 1.572  0.085 1.642  0.148 1.472  0.172 1.259  0.278 1.086  0.348 0.894  0.390 0.681  0.434 0.470  0.470 0.260  0.549 0.057  0.568 -0.157  0.658 -0.353  0.740 -0.553  0.764 -0.765  0.827 -0.969  0.827 -1.187  0.914 -1.352  0.809 -1.300  0.666 -1.134  0.523 -0.969  0.381 -0.804  0.238 -0.639  0.095 -0.474  -0.048 -0.309  -0.190 -0.144  -0.333 0.021  -0.476 0.186  -0.647 0.245  -0.429 0.245  -0.211 0.245  0.008 0.245  0.226 0.245  0.414 0.196  0.609 0.157
1b#tos#t2#t2061062/B  -0.376 1.124  -0.467 0.919  -0.460 0.649  -0.460 0.377  -0.460 0.104  -0.460 -0.168  -0.460 -0.441  -0.460 -0.713  -0.460 -0.986  -0.418 -1.251  -0.419 -1.391  -0.423 -1.118  -0.427 -0.846  -0.431 -0.574  -0.435 -0.301  -0.439 -0.029  -0.443 0.244  -0.448 0.516  -0.452 0.788  -0.456 1.061  -0.460 1.333  -0.587 1.276  -0.376 1.335  -0.110 1.377  0.162 1.377  0.417 1.335  0.644 1.206  0.806 1.002  0.809 0.731  0.749 0.471  0.632 0.239  0.428 0.066  0.229 -0.118  -0.027 -0.188  -0.299 -0.188  -0.434 -0.188  -0.214 -0.076  0.049 -0.061  0.321 -0.061  0.594 -0.061  0.849 -0.101  1.009 -0.272  1.063 -0.491  0.989 -0.748  0.893 -0.984  0.660 -1.098  0.407 -1.187  0.150 -1.273  -0.121 -1.288  -0.376 -1.330
1b#tos#t2#t2061062/C  0.979 0.682  0.882 0.641  0.812 0.678  0.799 0.779  0.752 0.867  0.687 0.947  0.614 0.995  0.525 1.054  0.425 1.084  0.322 1.099  0.215 1.099  0.108 1.099  0.001 1.099  -0.022 1.016  -0.104 0.966  -0.170 0.900  -0.265 0.852  -0.324 0.781  -0.387 0.700  -0.397 0.596  -0.443 0.500  -0.476 0.398  -0.521 0.302  -0.521 0.195  -0.570 0.133  -0.645 0.057  -0.645 -0.050  -0.645 -0.157  -0.645 -0.264  -0.645 -0.370  -0.645 -0.477  -0.645 -0.584  -0.627 -0.687  -0.604 -0.788  -0.549 -0.872  -0.453 -0.900  -0.374 -0.944  -0.308 -1.025  -0.201 -1.025  -0.095 -1.028  0.006 -1.062  0.112 -1.067  0.219 -1.067  0.326 -1.067  0.432 -1.058  0.536 -1.032  0.642 -1.025  0.749 -1.025  0.848 -1.001  0.937 -0.942
1b#tos#t2#t2061062/E  -0.721 1.008  -0.701 0.968  -0.405 0.939  -0.114 0.888  0.185 0.888  0.484 0.888  0.783 0.888  1.082 0.888  1.314 0.892  1.017 0.924  0.719 0.957  0.422 0.989  0.125 1.021  -0.172 1.054  -0.470 1.086  -0.602 0.921  -0.602 0.622  -0.602 0.323  -0.602 0.024  -0.595 -0.273  -0.513 -0.540  -0.459 -0.830  -0.378 -1.110  -0.363 -1.406  -0.410 -1.137  -0.459 -0.842  -0.509 -0.547  -0.558 -0.252  -0.607 0.043  -0.642 0.165  -0.773 0.133  -0.481 0.093  -0.181 0.093  0.113 0.112  0.407 0.133  0.702 0.148  0.996 0.172  0.930 -0.005  0.685 -0.176  0.440 -0.348  0.195 -0.519  -0.050 -0.690  -0.295 -0.862  -0.537 -1.036  -0.378 -1.140  -0.079 -1.140  0.220 -1.140  0.516 -1.101  0.815 -1.101  1.109 -1.061
1b#tos#t2#t2061062/I  -0.690 1.109  -0.796 1.027  -0.766 0.953  -0.597 0.953  -0.428 0.953  -0.259 0.953  -0.090 0.953  0.078 0.953  0.247 0.953  0.416 0.953  0.585 0.953  0.745 0.918  0.913 0.914  0.815 0.934  0.648 0.959  0.481 0.984  0.314 1.009  0.159 1.013  0.029 0.928  -0.027 0.804  -0.027 0.635  -0.079 0.498  -0.105 0.346  -0.105 0.177  -0.105 0.008  -0.105 -0.161  -0.105 -0.330  -0.105 -0.498  -0.105 -0.667  -0.105 -0.836  -0.024 -0.926  -0.002 -1.068  -0.159 -1.005  -0.316 -0.943  -0.472 -0.880  -0.629 -0.817  -0.768 -0.781  -0.846 -0.872  -0.722 -0.918  -0.554 -0.918  -0.385 -0.918  -0.216 -0.918  -0.048 -0.921  0.118 -0.955  0.286 -0.957  0.455 -0.957  0.624 -0.957  0.786 -0.935  0.937 -0.868  1.103 -0.840
1b#tos#t2#t2061062/J  -0.561 0.944  -0.672 0.937  -0.585 0.907  -0.467 0.907  -0.350 0.907  -0.232 0.907  -0.115 0.907  0.003 0.907  0.121 0.907  0.238 0.907  0.356 0.907  0.473 0.907  0.591 0.907  0.709 0.907  0.811 0.869  0.697 0.847  0.582 0.823  0.466 0.800  0.351 0.777  0.235 0.758  0.144 0.732  0.076 0.659  0.070 0.543  0.070 0.425  0.144 0.381  0.181 0.279  0.218 0.177  0.218 0.059  0.218 -0.058  0.218 -0.176  0.218 -0.293  0.218 -0.411  0.218 -0.529  0.218 -0.646  0.218 -0.764  0.160 -0.858  0.124 -0.948  0.070 -1.040  0.008 -1.096  -0.041 -1.164  -0.137 -1.208  -0.211 -1.274  -0.318 -1.319  -0.398 -1.356  -0.516 -1.356  -0.634 -1.356  -0.746 -1.351  -0.825 -1.309  -0.866 -1.208  -0.969 -1.171
1b#tos#t2#t2061062/K  -0.511 1.913  -0.614 1.787  -0.614 1.558  -0.614 1.329  -0.614 1.100  -0.630 0.874  -0.666 0.649  -0.666 0.421  -0.666 0.192  -0.666 -0.037  -0.569 -0.237  -0.512 -0.451  -0.460 -0.668  -0.460 -0.896  -0.460 -1.125  -0.444 -1.303  -0.315 -1.114  -0.187 -0.925  -0.058 -0.736  0.071 -0.547  0.200 -0.358  0.329 -0.169  0.458 0.020  0.587 0.209  0.715 0.398  0.844 0.587  0.973 0.776  1.047 0.936  0.891 0.833  0.726 0.730  0.567 0.601  0.354 0.560  0.218 0.380  -0.001 0.335  -0.215 0.268  -0.362 0.113  -0.548 0.011  -0.755 -0.041  -0.666 -0.154  -0.500 -0.247  -0.334 -0.349  -0.152 -0.455  0.026 -0.515  0.225 -0.588  0.399 -0.709  0.557 -0.841  0.722 -0.912  0.937 -0.966  1.126 -1.061  1.288 -1.172
1b#tos#t2#t2061062/N  -0.559 1.328  -0.672 1.180  -0.672 0.964  -0.672 0.747  -0.672 0.531  -0.672 0.314  -0.672 0.098  -0.635 -0.114  -0.635 -0.331  -0.522 -0.501  -0.522 -0.717  -0.484 -0.925  -0.447 -1.135  -0.447 -1.250  -0.460 -1.034  -0.474 -0.818  -0.488 -0.602  -0.503 -0.386  -0.517 -0.170  -0.532 0.046  -0.546 0.262  -0.560 0.478  -0.575 0.694  -0.589 0.910  -0.696 1.027  -0.738 0.915  -0.580 0.803  -0.487 0.652  -0.344 0.512  -0.192 0.367  -0.020 0.248  0.113 0.090  0.267 -0.062  0.433 -0.198  0.527 -0.391  0.665 -0.543  0.807 -0.698  0.970 -0.829  1.093 -0.930  1.186 -1.076  1.201 -0.880  1.168 -0.671  1.156 -0.455  1.131 -0.240  1.131 -0.024  1.042 0.168  0.980 0.371  0.980 0.588  0.905 0.773  0.830 0.915
1b#tos#t2#t2061062/Q  0.158 1.175  -0.064 1.135  -0.249 1.083  -0.433 0.995  -0.605 0.893  -0.680 0.681  -0.775 0.505  -0.846 0.284  -0.886 0.059  -0.886 -0.173  -0.886 -0.405  -0.886 -0.637  -0.725 -0.732  -0.645 -0.914  -0.445 -0.993  -0.284 -1.064  -0.065 -1.065  0.092 -0.925  0.260 -0.772  0.388 -0.586  0.522 -0.403  0.683 -0.241  0.763 -0.027  0.871 0.169  0.921 0.390  0.921 0.622  0.801 0.733  0.721 0.919  0.568 1.078  0.355 1.135  0.123 1.135  -0.108 1.135  -0.300 1.095  -0.364 0.926  -0.385 0.696  -0.410 0.465  -0.435 0.234  -0.459 0.004  -0.484 -0.227  -0.596 -0.356  -0.412 -0.432  -0.239 -0.552  -0.015 -0.586  0.176 -0.706  0.392 -0.762  0.584 -0.842  0.790 -0.914  0.989 -0.994  1.203 -1.043  1.283 -1.195
1b#tos#t2#t2061062/S  0.950 0.718  0.950 0.720  0.852 0.792  0.747 0.857  0.664 0.968  0.519 0.975  0.401 1.048  0.253 1.049  0.126 1.121  -0.022 1.121  -0.171 1.121  -0.319 1.121  -0.442 1.096  -0.506 1.011  -0.625 0.961  -0.662 0.849  -0.698 0.737  -0.698 0.589  -0.625 0.486  -0.552 0.389  -0.471 0.279  -0.357 0.194  -0.224 0.151  -0.119 0.079  0.019 0.038  0.150 -0.020  0.255 -0.124  0.395 -0.158  0.466 -0.249  0.586 -0.333  0.685 -0.437  0.730 -0.547  0.767 -0.659  0.767 -0.807  0.730 -0.919  0.620 -0.979  0.497 -1.003  0.357 -1.042  0.214 -1.077  0.066 -1.077  -0.082 -1.077  -0.231 -1.077  -0.379 -1.077  -0.497 -1.003  -0.609 -0.967  -0.735 -0.944  -0.826 -0.866  -0.896 -0.766  -0.991 -0.697  -1.028 -0.564
1b#tos#t2#t2061062/V  -0.843 1.249  -0.928 1.206  -0.928 1.164  -0.886 1.054  -0.868 0.934  -0.778 0.844  -0.752 0.727  -0.701 0.611  -0.674 0.488  -0.632 0.371  -0.610 0.253  -0.585 0.135  -0.547 0.014  -0.525 -0.108  -0.505 -0.230  -0.420 -0.305  -0.390 -0.402  -0.355 -0.513  -0.336 -0.637  -0.336 -0.764  -0.314 -0.878  -0.251 -0.966  -0.251 -1.093  -0.251 -1.220  -0.194 -1.291  -0.121 -1.203  -0.055 -1.108  0.023 -1.037  0.092 -0.944  0.172 -0.868  0.212 -0.747  0.257 -0.663  0.312 -0.558  0.384 -0.461  0.430 -0.352  0.469 -0.234  0.509 -0.148  0.553 -0.065  0.616 0.041  0.680 0.148  0.699 0.270  0.756 0.384  0.780 0.502  0.863 0.598  0.934 0.700  0.966 0.814  1.019 0.927  1.061 1.037  1.103 1.121  1.146 1.206
