3#apa#apa14#app1400/i  -0.070 0.180  0.006 0.103  0.031 0.005  0.031 -0.103  0.031 -0.211  0.031 -0.320  0.031 -0.428  0.031 -0.536  0.031 -0.644  0.031 -0.753  0.040 -0.859  0.074 -0.962  0.108 -1.065  0.132 -1.169  0.132 -1.277  0.132 -1.386  0.185 -1.441  0.225 -1.382  0.209 -1.275  0.192 -1.168  0.176 -1.061  0.160 -0.954  0.144 -0.847  0.127 -0.739  0.111 -0.632  0.095 -0.525  0.079 -0.418  0.063 -0.311  0.046 -0.204  0.030 -0.097  0.014 0.010  -0.002 0.117  -0.018 0.224  -0.035 0.331  -0.051 0.438  -0.067 0.545  -0.083 0.652  -0.100 0.759  -0.116 0.866  -0.132 0.973  -0.148 1.080  -0.164 1.187  -0.181 1.294  -0.197 1.401  -0.213 1.508  -0.229 1.615  -0.245 1.722  -0.262 1.829  -0.248 1.926  -0.171 2.003
3#apa#apa14#app1400/n  -0.999 1.068  -0.858 1.049  -0.858 0.889  -0.858 0.728  -0.858 0.568  -0.858 0.407  -0.858 0.247  -0.763 0.125  -0.716 -0.016  -0.716 -0.176  -0.716 -0.337  -0.716 -0.497  -0.716 -0.658  -0.683 -0.804  -0.575 -0.920  -0.548 -1.053  -0.433 -1.007  -0.433 -0.847  -0.396 -0.695  -0.324 -0.552  -0.292 -0.399  -0.292 -0.238  -0.292 -0.078  -0.289 0.082  -0.175 0.195  -0.150 0.345  -0.150 0.506  -0.135 0.660  -0.021 0.773  -0.008 0.928  0.106 1.042  0.255 1.068  0.416 1.068  0.416 0.908  0.433 0.751  0.504 0.608  0.557 0.460  0.557 0.299  0.614 0.162  0.698 0.037  0.698 -0.124  0.734 -0.276  0.806 -0.420  0.900 -0.547  1.013 -0.661  1.127 -0.774  1.240 -0.888  1.384 -0.952  1.536 -1.003  1.689 -1.053
3#apa#apa14#app1400/o  -0.391 1.005  -0.407 0.883  -0.498 0.792  -0.589 0.701  -0.680 0.611  -0.708 0.494  -0.758 0.377  -0.816 0.262  -0.907 0.172  -0.919 0.048  -0.919 -0.081  -0.919 -0.209  -0.919 -0.338  -0.919 -0.467  -0.865 -0.582  -0.805 -0.695  -0.714 -0.786  -0.623 -0.877  -0.532 -0.968  -0.418 -1.004  -0.289 -1.004  -0.161 -1.004  -0.032 -1.004  0.096 -1.004  0.225 -1.004  0.342 -0.954  0.457 -0.896  0.548 -0.805  0.639 -0.715  0.716 -0.612  0.787 -0.505  0.859 -0.398  0.944 -0.303  0.984 -0.191  0.984 -0.062  0.984 0.066  0.984 0.195  0.943 0.306  0.852 0.397  0.761 0.488  0.670 0.579  0.611 0.693  0.546 0.801  0.431 0.859  0.323 0.926  0.230 1.014  0.123 1.086  0.016 1.157  -0.088 1.232  -0.179 1.322
3#apa#apa14#app1400/n  -1.047 0.861  -0.979 0.725  -0.928 0.584  -0.928 0.432  -0.928 0.279  -0.928 0.127  -0.928 -0.026  -0.928 -0.179  -0.845 -0.297  -0.808 -0.434  -0.798 -0.583  -0.691 -0.690  -0.689 -0.842  -0.689 -0.995  -0.592 -1.051  -0.562 -0.924  -0.454 -0.816  -0.450 -0.665  -0.450 -0.513  -0.384 -0.387  -0.330 -0.257  -0.330 -0.105  -0.320 0.046  -0.252 0.182  -0.184 0.318  -0.115 0.455  -0.047 0.591  0.021 0.728  0.125 0.839  0.148 0.982  0.182 1.100  0.334 1.100  0.487 1.100  0.600 1.006  0.626 0.864  0.647 0.720  0.745 0.608  0.745 0.456  0.745 0.303  0.745 0.150  0.757 0.001  0.825 -0.136  0.865 -0.279  0.865 -0.432  0.957 -0.546  1.035 -0.675  1.103 -0.812  1.211 -0.919  1.354 -0.943  1.462 -1.051
3#apa#apa14#app1400/e  -0.181 -0.205  -0.049 -0.188  -0.015 -0.073  0.084 -0.023  0.131 0.107  0.236 0.212  0.341 0.317  0.355 0.456  0.480 0.480  0.498 0.625  0.565 0.758  0.612 0.895  0.612 1.044  0.536 1.117  0.388 1.117  0.239 1.117  0.090 1.117  -0.059 1.117  -0.205 1.105  -0.338 1.038  -0.466 0.964  -0.571 0.859  -0.622 0.720  -0.669 0.579  -0.718 0.439  -0.785 0.305  -0.852 0.172  -0.918 0.039  -0.974 -0.097  -0.974 -0.246  -0.974 -0.394  -0.974 -0.543  -0.883 -0.602  -0.766 -0.677  -0.640 -0.734  -0.517 -0.794  -0.397 -0.866  -0.249 -0.866  -0.100 -0.866  0.049 -0.866  0.198 -0.866  0.347 -0.866  0.496 -0.866  0.645 -0.866  0.793 -0.866  0.942 -0.866  1.091 -0.866  1.240 -0.866  1.389 -0.866  1.538 -0.866
3#apa#apa14#app1400/c  0.287 0.974  0.394 0.862  0.394 0.706  0.394 0.550  0.394 0.394  0.394 0.238  0.394 0.082  0.394 -0.074  0.394 -0.230  0.394 -0.226  0.394 -0.070  0.394 0.086  0.394 0.242  0.394 0.398  0.314 0.521  0.282 0.664  0.212 0.804  0.181 0.952  0.086 1.069  -0.051 1.143  -0.196 1.187  -0.352 1.187  -0.463 1.077  -0.575 0.969  -0.714 0.899  -0.779 0.783  -0.791 0.630  -0.860 0.491  -0.885 0.341  -0.885 0.185  -0.885 0.029  -0.885 -0.127  -0.885 -0.283  -0.870 -0.435  -0.784 -0.564  -0.697 -0.694  -0.573 -0.782  -0.439 -0.858  -0.323 -0.960  -0.183 -1.030  -0.033 -1.052  0.123 -1.052  0.279 -1.052  0.433 -1.065  0.581 -1.114  0.730 -1.159  0.886 -1.159  1.042 -1.159  1.198 -1.159  1.354 -1.159
3#apa#apa14#app1400/l  -0.197 1.627  -0.148 1.578  -0.099 1.528  -0.049 1.479  0.000 1.430  0.011 1.365  0.011 1.295  0.011 1.225  0.011 1.155  0.011 1.086  0.011 1.016  0.011 0.946  0.011 0.876  0.011 0.807  0.011 0.737  0.011 0.667  0.011 0.597  0.011 0.528  0.011 0.458  0.011 0.388  0.011 0.318  0.011 0.249  0.011 0.179  0.011 0.109  0.011 0.039  0.011 -0.030  0.011 -0.100  0.011 -0.170  0.011 -0.240  0.011 -0.309  0.011 -0.379  0.011 -0.449  0.011 -0.519  0.011 -0.588  0.011 -0.658  0.011 -0.728  0.011 -0.798  0.011 -0.867  0.011 -0.937  0.011 -1.007  0.011 -1.076  0.011 -1.146  0.011 -1.216  0.011 -1.286  0.011 -1.355  0.011 -1.425  0.011 -1.495  0.011 -1.565  0.011 -1.634  0.011 -1.704
3#apa#apa14#app1400/a  0.898 -0.518  0.898 -0.325  0.898 -0.133  0.895 0.056  0.755 0.109  0.709 0.291  0.623 0.464  0.493 0.605  0.459 0.783  0.324 0.920  0.273 1.062  0.080 1.062  -0.113 1.062  -0.305 1.062  -0.468 0.989  -0.604 0.852  -0.740 0.716  -0.877 0.580  -1.013 0.444  -1.149 0.307  -1.286 0.171  -1.400 0.026  -1.400 -0.167  -1.400 -0.360  -1.400 -0.553  -1.341 -0.721  -1.183 -0.805  -0.991 -0.805  -0.798 -0.805  -0.605 -0.805  -0.412 -0.805  -0.238 -0.727  -0.061 -0.662  0.132 -0.662  0.282 -0.559  0.419 -0.423  0.578 -0.319  0.751 -0.233  0.888 -0.098  0.922 0.081  1.042 0.224  0.969 0.344  0.776 0.344  0.634 0.223  0.599 0.044  0.467 -0.094  0.467 -0.287  0.467 -0.479  0.475 -0.669  0.611 -0.805
3#apa#apa14#app1400/w  -1.362 0.571  -1.362 0.431  -1.362 0.291  -1.362 0.151  -1.300 0.037  -1.268 -0.090  -1.235 -0.217  -1.136 -0.316  -1.079 -0.432  -0.974 -0.467  -0.834 -0.467  -0.723 -0.395  -0.607 -0.359  -0.553 -0.252  -0.428 -0.189  -0.418 -0.055  -0.337 0.005  -0.301 0.122  -0.229 0.232  -0.229 0.372  -0.254 0.452  -0.323 0.341  -0.323 0.200  -0.323 0.060  -0.323 -0.080  -0.307 -0.216  -0.245 -0.342  -0.155 -0.447  -0.056 -0.546  0.078 -0.562  0.218 -0.562  0.358 -0.562  0.499 -0.562  0.639 -0.562  0.772 -0.533  0.897 -0.471  0.963 -0.349  1.054 -0.251  1.179 -0.188  1.213 -0.064  1.282 0.048  1.282 0.188  1.282 0.328  1.282 0.468  1.189 0.570  1.174 0.707  1.129 0.840  1.070 0.960  0.945 1.023  0.904 1.138
3#apa#apa14#app1400/e  -0.657 -0.873  -0.494 -0.870  -0.349 -0.797  -0.203 -0.724  -0.085 -0.612  0.058 -0.563  0.191 -0.491  0.306 -0.376  0.422 -0.261  0.537 -0.145  0.627 -0.012  0.700 0.134  0.740 0.287  0.740 0.450  0.740 0.613  0.740 0.776  0.740 0.939  0.659 1.069  0.544 1.184  0.428 1.299  0.265 1.299  0.103 1.293  -0.052 1.242  -0.206 1.190  -0.357 1.133  -0.473 1.017  -0.588 0.902  -0.657 0.767  -0.709 0.626  -0.824 0.511  -0.939 0.395  -0.967 0.244  -0.967 0.081  -0.967 -0.082  -0.967 -0.245  -0.857 -0.363  -0.742 -0.478  -0.626 -0.593  -0.511 -0.709  -0.368 -0.785  -0.222 -0.858  -0.063 -0.873  0.101 -0.873  0.264 -0.873  0.427 -0.873  0.590 -0.873  0.753 -0.873  0.914 -0.864  1.059 -0.791  1.205 -0.718
3#apa#apa14#app1400/d  0.074 2.121  0.074 1.969  0.074 1.816  0.074 1.664  0.074 1.511  0.074 1.359  0.074 1.206  0.074 1.054  0.074 0.902  0.135 0.764  0.169 0.619  0.169 0.467  0.169 0.314  0.195 0.168  0.264 0.032  0.264 -0.120  0.315 -0.261  0.359 -0.403  0.454 -0.430  0.454 -0.278  0.443 -0.127  0.395 0.018  0.332 0.153  0.264 0.277  0.150 0.315  -0.002 0.315  -0.155 0.315  -0.279 0.247  -0.387 0.139  -0.495 0.031  -0.602 -0.076  -0.710 -0.184  -0.798 -0.305  -0.846 -0.449  -0.876 -0.597  -0.876 -0.749  -0.876 -0.901  -0.754 -0.948  -0.629 -1.015  -0.477 -1.015  -0.325 -1.015  -0.172 -1.015  -0.020 -1.015  0.133 -1.015  0.285 -1.015  0.437 -1.015  0.590 -1.015  0.732 -0.972  0.872 -0.920  1.025 -0.920
