2#app#app08#app0802/j  -0.096 1.073  -0.077 0.954  -0.036 0.858  0.002 0.737  0.024 0.608  0.083 0.495  0.125 0.376  0.180 0.261  0.202 0.133  0.262 0.020  0.322 -0.092  0.393 -0.202  0.441 -0.328  0.463 -0.460  0.500 -0.589  0.500 -0.726  0.500 -0.863  0.441 -0.976  0.412 -1.101  0.357 -1.216  0.302 -1.330  0.187 -1.385  0.069 -1.430  -0.069 -1.430  -0.191 -1.394  -0.273 -1.326  -0.268 -1.189  -0.263 -1.052  -0.257 -0.915  -0.252 -0.777  -0.247 -0.640  -0.242 -0.503  -0.237 -0.366  -0.232 -0.229  -0.227 -0.091  -0.222 0.046  -0.217 0.183  -0.212 0.320  -0.207 0.458  -0.202 0.595  -0.196 0.732  -0.191 0.869  -0.186 1.006  -0.181 1.144  -0.176 1.281  -0.171 1.418  -0.166 1.555  -0.161 1.693  -0.156 1.830  -0.155 1.967
2#app#app08#app0802/o  -0.205 0.931  -0.242 1.051  -0.377 0.999  -0.506 0.931  -0.634 0.862  -0.685 0.726  -0.805 0.689  -0.832 0.543  -0.925 0.425  -0.969 0.286  -1.045 0.161  -1.045 0.004  -1.045 -0.153  -1.017 -0.298  -0.906 -0.409  -0.805 -0.524  -0.769 -0.666  -0.647 -0.750  -0.512 -0.803  -0.401 -0.914  -0.276 -0.990  -0.119 -0.990  0.038 -0.990  0.195 -0.990  0.352 -0.990  0.509 -0.990  0.666 -0.990  0.756 -0.923  0.860 -0.870  0.975 -0.770  1.001 -0.624  1.112 -0.513  1.116 -0.358  1.067 -0.221  0.996 -0.094  0.996 0.063  0.986 0.210  0.843 0.243  0.756 0.364  0.706 0.500  0.636 0.628  0.541 0.691  0.388 0.699  0.277 0.810  0.120 0.811  -0.037 0.811  -0.085 0.702  -0.223 0.672  -0.334 0.562  -0.445 0.451
2#app#app08#app0802/u  -1.311 0.888  -1.155 0.888  -1.155 0.732  -1.155 0.575  -1.155 0.418  -1.155 0.262  -1.155 0.105  -0.999 0.104  -0.998 -0.052  -0.998 -0.208  -0.928 -0.349  -0.858 -0.489  -0.841 -0.641  -0.758 -0.763  -0.684 -0.890  -0.631 -0.994  -0.475 -0.994  -0.318 -0.994  -0.161 -0.994  -0.020 -0.957  0.091 -0.846  0.100 -0.693  0.243 -0.680  0.257 -0.536  0.257 -0.380  0.257 -0.223  0.257 -0.066  0.358 0.048  0.413 0.182  0.413 0.339  0.413 0.495  0.413 0.652  0.413 0.809  0.413 0.965  0.413 1.122  0.413 1.125  0.413 0.968  0.448 0.819  0.518 0.679  0.598 0.547  0.709 0.436  0.727 0.287  0.727 0.130  0.819 0.012  0.949 -0.053  1.041 -0.118  1.087 -0.256  1.197 -0.367  1.198 -0.523  1.354 -0.523
2#app#app08#app0802/r  -1.121 0.925  -0.974 0.925  -0.887 0.830  -0.821 0.698  -0.755 0.567  -0.748 0.422  -0.684 0.302  -0.580 0.198  -0.562 0.059  -0.505 -0.064  -0.401 -0.168  -0.375 -0.304  -0.325 -0.430  -0.222 -0.534  -0.118 -0.638  -0.014 -0.741  -0.002 -0.883  0.062 -1.004  0.165 -1.107  0.185 -1.246  0.264 -1.313  0.371 -1.353  0.371 -1.499  0.371 -1.353  0.295 -1.237  0.192 -1.134  0.185 -0.990  0.185 -0.843  0.144 -0.713  0.040 -0.609  -0.002 -0.480  -0.002 -0.333  -0.002 -0.187  -0.002 -0.040  -0.002 0.107  -0.002 0.254  -0.002 0.400  -0.002 0.547  0.098 0.652  0.185 0.763  0.185 0.910  0.316 0.925  0.371 1.017  0.423 1.112  0.558 1.124  0.558 1.271  0.677 1.298  0.824 1.298  0.970 1.298  1.117 1.298
2#app#app08#app0802/n  -1.144 0.677  -1.142 0.530  -1.037 0.425  -0.999 0.293  -0.931 0.173  -0.854 0.057  -0.811 -0.049  -0.708 -0.094  -0.708 -0.243  -0.672 -0.376  -0.568 -0.481  -0.563 -0.627  -0.563 -0.775  -0.563 -0.923  -0.563 -1.061  -0.563 -0.913  -0.563 -0.765  -0.563 -0.617  -0.563 -0.469  -0.563 -0.321  -0.563 -0.172  -0.563 -0.024  -0.543 0.116  -0.438 0.221  -0.418 0.360  -0.332 0.473  -0.272 0.596  -0.225 0.725  -0.120 0.830  -0.015 0.934  0.119 0.968  0.267 0.968  0.384 0.892  0.489 0.787  0.594 0.683  0.599 0.537  0.743 0.532  0.745 0.386  0.850 0.281  0.955 0.176  1.035 0.062  1.062 -0.076  1.166 -0.180  1.181 -0.323  1.312 -0.340  1.326 -0.474  1.326 -0.622  1.326 -0.770  1.326 -0.918  1.326 -1.066
2#app#app08#app0802/e  -0.617 0.249  -0.610 0.097  -0.451 0.097  -0.297 0.082  -0.185 -0.030  -0.036 -0.056  0.123 -0.056  0.283 -0.056  0.442 -0.056  0.557 0.051  0.697 0.097  0.827 0.168  0.940 0.281  1.052 0.394  1.061 0.550  1.061 0.709  1.052 0.859  0.908 0.875  0.885 1.012  0.726 1.012  0.567 1.012  0.408 1.012  0.248 1.012  0.106 0.972  -0.007 0.859  -0.164 0.854  -0.277 0.742  -0.422 0.707  -0.547 0.624  -0.660 0.512  -0.771 0.398  -0.842 0.256  -0.914 0.113  -0.922 -0.044  -0.922 -0.204  -0.922 -0.363  -0.922 -0.522  -0.911 -0.677  -0.798 -0.789  -0.685 -0.902  -0.554 -0.971  -0.415 -1.020  -0.299 -1.123  -0.140 -1.123  0.018 -1.131  0.170 -1.182  0.321 -1.232  0.471 -1.286  0.613 -1.357  0.756 -1.428
2#app#app08#app0802/y  -0.679 1.219  -0.679 1.062  -0.679 0.904  -0.679 0.747  -0.679 0.589  -0.679 0.432  -0.679 0.274  -0.654 0.127  -0.581 -0.001  -0.484 -0.061  -0.429 -0.196  -0.290 -0.239  -0.229 -0.335  -0.071 -0.335  0.024 -0.253  0.066 -0.101  0.109 0.050  0.151 0.202  0.193 0.354  0.235 0.506  0.277 0.658  0.319 0.809  0.362 0.961  0.404 1.113  0.446 1.265  0.487 1.411  0.487 1.253  0.475 1.098  0.405 0.957  0.390 0.803  0.390 0.646  0.324 0.504  0.293 0.354  0.293 0.196  0.293 0.039  0.293 -0.119  0.197 -0.237  0.196 -0.394  0.196 -0.551  0.196 -0.709  0.099 -0.826  0.099 -0.984  0.099 -1.141  0.035 -1.273  0.001 -1.416  0.001 -1.574  -0.058 -1.717  -0.096 -1.866  -0.096 -2.023  -0.096 -2.181
2#app#app08#app0802/s  0.697 1.037  0.697 1.170  0.567 1.172  0.435 1.172  0.303 1.172  0.170 1.172  0.038 1.172  -0.060 1.090  -0.171 1.037  -0.303 1.037  -0.420 1.000  -0.514 0.907  -0.645 0.902  -0.741 0.815  -0.789 0.702  -0.851 0.632  -0.924 0.572  -0.924 0.440  -0.886 0.323  -0.792 0.230  -0.698 0.136  -0.584 0.092  -0.459 0.062  -0.341 0.003  -0.222 -0.057  -0.104 -0.116  0.015 -0.175  0.146 -0.179  0.243 -0.265  0.355 -0.314  0.488 -0.314  0.603 -0.355  0.697 -0.448  0.829 -0.449  0.923 -0.540  0.967 -0.654  0.920 -0.767  0.823 -0.854  0.693 -0.858  0.599 -0.952  0.482 -0.989  0.350 -0.989  0.217 -0.989  0.106 -1.040  0.008 -1.124  -0.124 -1.124  -0.256 -1.124  -0.389 -1.124  -0.521 -1.124  -0.654 -1.124
2#app#app08#app0802/h  -0.878 1.775  -0.761 1.744  -0.761 1.595  -0.761 1.447  -0.755 1.301  -0.650 1.196  -0.645 1.050  -0.645 0.902  -0.645 0.754  -0.644 0.605  -0.578 0.473  -0.528 0.336  -0.528 0.188  -0.457 0.068  -0.411 -0.061  -0.411 -0.209  -0.390 -0.349  -0.294 -0.457  -0.294 -0.606  -0.294 -0.754  -0.294 -0.902  -0.294 -1.051  -0.294 -1.199  -0.294 -1.180  -0.294 -1.031  -0.228 -0.899  -0.177 -0.762  -0.131 -0.633  -0.060 -0.514  -0.060 -0.366  0.019 -0.250  0.057 -0.117  0.063 0.028  0.168 0.133  0.273 0.238  0.297 0.373  0.446 0.373  0.594 0.373  0.742 0.373  0.769 0.245  0.874 0.140  0.875 -0.008  0.937 -0.095  0.992 -0.188  0.992 -0.336  0.992 -0.485  1.042 -0.612  1.109 -0.733  1.109 -0.882  1.109 -1.030
2#app#app08#app0802/i  -0.026 -0.326  0.078 -0.326  0.086 -0.423  0.086 -0.527  0.086 -0.631  0.086 -0.736  0.151 -0.775  0.198 -0.832  0.198 -0.937  0.228 -1.029  0.301 -1.103  0.310 -1.203  0.310 -1.308  0.310 -1.412  0.294 -1.383  0.269 -1.281  0.243 -1.180  0.218 -1.079  0.193 -0.978  0.167 -0.876  0.142 -0.775  0.117 -0.674  0.091 -0.572  0.066 -0.471  0.041 -0.370  0.016 -0.269  -0.010 -0.167  -0.035 -0.066  -0.060 0.035  -0.086 0.136  -0.111 0.238  -0.136 0.339  -0.162 0.440  -0.187 0.541  -0.212 0.643  -0.238 0.744  -0.263 0.845  -0.288 0.946  -0.314 1.048  -0.339 1.149  -0.358 1.245  -0.254 1.245  -0.251 1.347  -0.251 1.451  -0.165 1.470  -0.139 1.548  -0.139 1.652  -0.139 1.632  -0.100 1.544  -0.026 1.470
2#app#app08#app0802/d  0.564 -0.276  0.447 -0.116  0.318 -0.030  0.154 0.077  -0.055 0.077  -0.263 0.077  -0.472 0.077  -0.680 0.077  -0.842 -0.034  -0.966 -0.123  -1.089 -0.281  -1.202 -0.442  -1.202 -0.651  -1.202 -0.859  -1.047 -0.982  -0.956 -1.100  -0.748 -1.100  -0.539 -1.100  -0.331 -1.100  -0.128 -1.086  0.019 -0.939  0.167 -0.791  0.211 -0.601  0.295 -0.427  0.329 -0.233  0.329 -0.024  0.329 0.185  0.329 0.393  0.329 0.602  0.329 0.810  0.329 1.019  0.329 1.227  0.329 1.436  0.329 1.644  0.329 1.834  0.329 1.625  0.329 1.417  0.329 1.208  0.329 1.000  0.329 0.791  0.329 0.583  0.329 0.374  0.329 0.165  0.383 -0.030  0.447 -0.224  0.447 -0.432  0.447 -0.641  0.447 -0.849  0.564 -1.009  0.564 -1.218
