2#app#app18#app1818/k  -0.536 0.969  -0.536 1.221  -0.703 1.300  -0.703 1.047  -0.703 0.795  -0.639 0.570  -0.536 0.360  -0.536 0.108  -0.536 -0.145  -0.536 -0.397  -0.536 -0.649  -0.536 -0.902  -0.419 -1.037  -0.369 -1.239  -0.369 -1.491  -0.331 -1.706  -0.202 -1.582  -0.202 -1.330  -0.202 -1.078  -0.202 -0.826  -0.202 -0.573  -0.249 -0.368  -0.369 -0.236  -0.151 -0.201  0.061 -0.297  0.284 -0.368  0.369 -0.536  0.467 -0.690  0.706 -0.703  0.801 -0.861  0.769 -0.629  0.735 -0.379  0.702 -0.129  0.669 0.121  0.635 0.371  0.602 0.621  0.569 0.871  0.535 1.121  0.502 1.371  0.469 1.621  0.397 1.470  0.299 1.315  0.299 1.063  0.142 0.969  0.132 0.726  0.132 0.473  0.132 0.221  -0.032 0.133  -0.035 -0.116  -0.035 -0.368
2#app#app18#app1818/e  -1.351 0.044  -1.351 -0.146  -1.334 -0.319  -1.144 -0.319  -0.954 -0.319  -0.764 -0.319  -0.589 -0.283  -0.455 -0.148  -0.320 -0.014  -0.154 0.044  0.036 0.044  0.225 0.044  0.415 0.044  0.463 0.186  0.463 0.376  0.623 0.407  0.812 0.407  0.826 0.583  0.826 0.773  0.826 0.963  0.805 1.132  0.615 1.132  0.425 1.132  0.235 1.132  0.045 1.132  -0.145 1.132  -0.263 1.060  -0.263 0.870  -0.326 0.706  -0.460 0.572  -0.595 0.437  -0.625 0.260  -0.625 0.070  -0.625 -0.120  -0.625 -0.310  -0.625 -0.500  -0.620 -0.687  -0.486 -0.822  -0.351 -0.956  -0.198 -1.044  -0.008 -1.044  0.182 -1.044  0.372 -1.044  0.533 -0.975  0.667 -0.840  0.801 -0.706  0.981 -0.682  1.171 -0.682  1.361 -0.682  1.551 -0.682
2#app#app18#app1818/e  -0.894 -0.014  -0.705 -0.014  -0.516 -0.014  -0.327 -0.014  -0.301 0.149  -0.245 0.282  -0.056 0.282  0.133 0.282  0.313 0.304  0.446 0.437  0.580 0.571  0.766 0.579  0.884 0.649  0.884 0.838  0.884 1.027  0.840 1.172  0.651 1.172  0.462 1.172  0.273 1.172  0.084 1.172  -0.005 1.071  -0.005 0.882  -0.186 0.875  -0.301 0.801  -0.301 0.612  -0.457 0.579  -0.597 0.530  -0.597 0.341  -0.597 0.152  -0.597 -0.036  -0.597 -0.225  -0.702 -0.310  -0.890 -0.310  -0.894 -0.496  -0.838 -0.662  -0.705 -0.796  -0.597 -0.940  -0.597 -1.129  -0.479 -1.199  -0.290 -1.199  -0.101 -1.199  0.088 -1.199  0.277 -1.199  0.466 -1.199  0.635 -1.152  0.769 -1.018  0.884 -0.877  0.884 -0.688  0.992 -0.607  1.181 -0.607
2#app#app18#app1818/p  -0.528 0.914  -0.528 1.088  -0.528 0.888  -0.528 0.689  -0.491 0.504  -0.350 0.363  -0.341 0.167  -0.341 -0.032  -0.341 -0.232  -0.314 -0.420  -0.173 -0.561  -0.155 -0.754  -0.155 -0.953  -0.142 -1.140  0.032 -1.166  0.032 -1.365  0.032 -1.565  0.032 -1.764  0.021 -1.810  -0.007 -1.612  -0.035 -1.415  -0.063 -1.217  -0.092 -1.020  -0.120 -0.822  -0.148 -0.624  -0.176 -0.427  -0.205 -0.229  -0.233 -0.032  -0.261 0.166  -0.289 0.364  -0.318 0.561  -0.341 0.759  -0.341 0.959  -0.284 1.101  -0.105 1.151  0.038 1.287  0.238 1.287  0.438 1.287  0.592 1.243  0.650 1.101  0.779 1.030  0.779 0.830  0.779 0.631  0.779 0.431  0.779 0.232  0.644 0.167  0.592 0.019  0.431 -0.020  0.232 -0.020  0.032 -0.020
2#app#app18#app1818/v  -1.078 0.860  -1.078 1.002  -1.078 1.144  -1.078 1.072  -1.078 0.930  -1.006 0.860  -0.864 0.860  -0.760 0.823  -0.760 0.681  -0.758 0.540  -0.657 0.440  -0.557 0.339  -0.457 0.239  -0.441 0.103  -0.441 -0.038  -0.356 -0.095  -0.214 -0.095  -0.123 -0.146  -0.123 -0.287  -0.123 -0.429  -0.123 -0.571  -0.123 -0.713  -0.036 -0.819  0.064 -0.919  0.165 -1.020  0.196 -1.149  0.196 -1.291  0.259 -1.369  0.401 -1.369  0.514 -1.340  0.514 -1.198  0.514 -1.056  0.514 -0.914  0.514 -0.773  0.514 -0.631  0.514 -0.489  0.514 -0.347  0.514 -0.205  0.514 -0.063  0.514 0.079  0.514 0.221  0.514 0.362  0.514 0.504  0.514 0.646  0.514 0.788  0.584 0.860  0.725 0.860  0.833 0.895  0.833 1.037  0.833 1.179
2#app#app18#app1818/e  -0.915 0.047  -0.806 0.155  -0.698 0.263  -0.589 0.372  -0.438 0.376  -0.284 0.376  -0.131 0.376  0.022 0.376  0.073 0.479  0.073 0.632  0.153 0.705  0.306 0.705  0.402 0.763  0.402 0.916  0.366 1.034  0.213 1.034  0.059 1.034  -0.094 1.034  -0.247 1.034  -0.401 1.034  -0.554 1.034  -0.586 0.912  -0.586 0.759  -0.586 0.606  -0.586 0.452  -0.586 0.299  -0.586 0.146  -0.586 -0.008  -0.586 -0.161  -0.586 -0.314  -0.586 -0.468  -0.586 -0.621  -0.586 -0.774  -0.586 -0.927  -0.445 -0.941  -0.292 -0.941  -0.139 -0.941  0.014 -0.941  0.168 -0.941  0.321 -0.941  0.474 -0.941  0.628 -0.941  0.781 -0.941  0.934 -0.941  1.080 -0.921  1.188 -0.812  1.296 -0.704  1.411 -0.612  1.565 -0.612  1.718 -0.612
2#app#app18#app1818/x  -1.227 0.511  -1.227 0.295  -1.227 0.326  -1.227 0.480  -1.227 0.264  -1.073 0.203  -0.857 0.203  -0.641 0.203  -0.610 0.017  -0.518 -0.106  -0.302 -0.106  -0.149 -0.259  0.004 -0.411  0.218 -0.414  0.434 -0.414  0.642 -0.433  0.795 -0.586  0.932 -0.745  0.932 -0.961  0.914 -0.886  0.887 -0.672  0.860 -0.458  0.833 -0.243  0.806 -0.029  0.780 0.185  0.753 0.399  0.726 0.614  0.699 0.828  0.673 1.042  0.646 1.256  0.623 1.402  0.623 1.186  0.465 1.128  0.315 1.062  0.315 0.846  0.126 0.819  0.006 0.723  0.006 0.507  0.006 0.291  -0.084 0.112  -0.236 -0.040  -0.302 -0.229  -0.302 -0.445  -0.302 -0.661  -0.456 -0.723  -0.610 -0.784  -0.610 -1.000  -0.610 -1.216  -0.610 -1.432  -0.610 -1.648
2#app#app18#app1818/i  -0.169 1.414  -0.077 1.414  0.016 1.414  0.108 1.414  0.200 1.414  0.242 1.364  0.242 1.272  0.242 1.180  0.242 1.088  0.233 1.004  0.141 1.004  0.049 1.004  -0.043 1.004  -0.135 1.004  -0.169 0.945  -0.169 0.853  -0.169 0.761  -0.169 0.669  -0.169 0.577  -0.169 0.484  -0.169 0.392  -0.169 0.300  -0.169 0.208  -0.169 0.116  -0.169 0.023  -0.169 -0.069  -0.169 -0.161  -0.169 -0.253  -0.169 -0.345  -0.169 -0.437  -0.169 -0.530  -0.169 -0.622  -0.169 -0.714  -0.169 -0.806  -0.169 -0.898  -0.169 -0.990  -0.135 -1.049  -0.043 -1.049  0.049 -1.049  0.141 -1.049  0.233 -1.049  0.242 -1.133  0.242 -1.225  0.242 -1.317  0.242 -1.409  0.242 -1.418  0.242 -1.326  0.242 -1.233  0.242 -1.141  0.242 -1.049
2#app#app18#app1818/n  -1.050 -1.327  -1.050 -1.164  -1.050 -1.000  -1.050 -0.837  -1.050 -0.673  -1.050 -0.509  -1.050 -0.346  -1.050 -0.182  -1.050 -0.019  -1.050 0.145  -1.050 0.308  -1.031 0.454  -0.868 0.454  -0.753 0.405  -0.753 0.242  -0.674 0.157  -0.510 0.157  -0.456 0.048  -0.456 -0.116  -0.317 -0.140  -0.159 -0.146  -0.159 -0.309  -0.123 -0.437  0.041 -0.437  0.138 -0.503  0.138 -0.667  0.235 -0.734  0.398 -0.734  0.435 -0.606  0.435 -0.443  0.592 -0.437  0.731 -0.412  0.731 -0.249  0.786 -0.140  0.950 -0.140  1.028 -0.055  1.028 0.109  0.913 0.157  0.750 0.157  0.731 0.302  0.731 0.466  0.731 0.630  0.731 0.793  0.731 0.957  0.731 1.120  0.731 1.284  0.731 1.241  0.731 1.078  0.865 1.048  1.028 1.048
2#app#app18#app1818/g  -0.137 0.818  -0.137 1.021  -0.184 1.177  -0.388 1.177  -0.591 1.177  -0.675 1.058  -0.818 0.997  -0.855 0.831  -0.855 0.628  -0.855 0.425  -0.796 0.280  -0.675 0.198  -0.570 0.101  -0.367 0.101  -0.208 0.209  -0.035 0.280  0.042 0.406  0.042 0.609  0.165 0.761  0.222 0.941  0.222 1.144  0.051 1.177  0.057 0.997  0.222 0.959  0.222 0.756  0.222 0.553  0.222 0.349  0.355 0.280  0.401 0.123  0.402 -0.080  0.546 -0.224  0.580 -0.412  0.580 -0.616  0.580 -0.819  0.580 -1.022  0.580 -1.225  0.514 -1.401  0.401 -1.557  0.334 -1.693  0.131 -1.693  -0.038 -1.612  -0.137 -1.450  -0.137 -1.247  -0.137 -1.044  -0.137 -0.841  -0.137 -0.638  0.045 -0.615  0.188 -0.471  0.377 -0.438  0.580 -0.438
2#app#app18#app1818/m  -0.826 0.839  -1.041 0.839  -1.061 0.645  -1.061 0.431  -1.061 0.216  -0.965 0.041  -0.826 -0.115  -0.826 -0.330  -0.826 -0.544  -0.826 -0.758  -0.826 -0.972  -0.826 -1.187  -0.826 -1.137  -0.826 -0.922  -0.826 -0.708  -0.826 -0.494  -0.826 -0.280  -0.794 -0.098  -0.592 -0.085  -0.592 0.129  -0.592 0.343  -0.405 0.371  -0.358 0.538  -0.211 0.605  -0.124 0.478  -0.017 0.371  0.111 0.284  0.111 0.069  0.111 -0.145  0.111 -0.305  0.118 -0.098  0.332 -0.098  0.345 0.104  0.527 0.136  0.579 0.298  0.579 0.513  0.701 0.605  0.813 0.707  0.813 0.757  0.875 0.605  1.047 0.563  1.047 0.348  1.050 0.136  1.264 0.136  1.282 -0.060  1.282 -0.275  1.282 -0.489  1.378 -0.663  1.516 -0.780  1.516 -0.566
