2#tos#f2#f2038066/%  0.712 1.521  0.557 1.522  0.505 1.285  0.423 1.046  0.320 0.811  0.159 0.610  0.084 0.365  -0.012 0.125  -0.194 -0.058  -0.323 -0.275  -0.335 -0.531  -0.483 -0.725  -0.570 -0.954  -0.632 -1.152  -0.609 -0.895  -0.586 -0.637  -0.562 -0.380  -0.539 -0.123  -0.515 0.134  -0.492 0.392  -0.570 0.472  -0.780 0.322  -0.989 0.212  -1.200 0.123  -1.307 0.305  -1.253 0.540  -1.100 0.735  -0.903 0.796  -0.644 0.796  -0.386 0.796  -0.323 0.557  -0.323 0.299  -0.406 0.123  -0.298 -0.016  -0.049 -0.085  0.200 -0.154  0.449 -0.224  0.698 -0.293  0.947 -0.362  1.196 -0.431  1.437 -0.506  1.226 -0.592  1.137 -0.807  0.935 -0.912  0.677 -0.912  0.671 -0.672  0.776 -0.440  1.024 -0.394  1.126 -0.550  1.126 -0.809
2#tos#f2#f2038066/'  0.916 1.332  0.916 1.257  0.891 1.206  0.815 1.206  0.790 1.156  0.790 1.081  0.790 1.006  0.766 0.954  0.691 0.954  0.630 0.920  0.576 0.867  0.523 0.813  0.470 0.760  0.416 0.707  0.363 0.654  0.310 0.600  0.273 0.537  0.249 0.466  0.225 0.394  0.202 0.323  0.178 0.251  0.142 0.190  0.075 0.156  0.008 0.123  -0.060 0.089  -0.092 0.033  -0.092 -0.042  -0.092 -0.118  -0.102 -0.189  -0.155 -0.242  -0.208 -0.295  -0.261 -0.349  -0.315 -0.402  -0.368 -0.455  -0.421 -0.508  -0.469 -0.564  -0.469 -0.639  -0.469 -0.714  -0.469 -0.790  -0.501 -0.855  -0.542 -0.918  -0.584 -0.981  -0.626 -1.043  -0.668 -1.106  -0.710 -1.169  -0.760 -1.225  -0.813 -1.278  -0.866 -1.331  -0.920 -1.384  -0.973 -1.438
2#tos#f2#f2038066/*  -0.882 0.945  -1.152 0.945  -1.114 0.918  -0.854 0.874  -0.612 0.753  -0.382 0.612  -0.166 0.450  -0.012 0.234  0.191 0.081  0.378 -0.089  0.509 -0.319  0.661 -0.480  0.792 -0.672  0.903 -0.897  0.910 -0.998  0.903 -0.748  0.917 -0.478  0.931 -0.209  0.945 0.061  0.959 0.331  0.974 0.601  0.988 0.871  1.002 1.141  0.766 1.173  0.544 1.056  0.464 0.812  0.394 0.563  0.203 0.372  0.080 0.132  -0.082 -0.084  -0.223 -0.304  -0.277 -0.559  -0.488 -0.725  -0.650 -0.938  -0.710 -1.149  -0.813 -1.062  -0.956 -0.833  -1.099 -0.604  -1.242 -0.375  -1.469 -0.369  -1.306 -0.304  -1.044 -0.239  -0.778 -0.198  -0.508 -0.198  -0.264 -0.089  0.004 -0.076  0.269 -0.027  0.539 -0.027  0.799 0.038  1.061 0.088
2#tos#f2#f2038066/+  -1.256 -0.004  -1.394 -0.073  -1.512 -0.190  -1.670 -0.212  -1.579 -0.282  -1.419 -0.243  -1.261 -0.191  -1.102 -0.143  -0.936 -0.132  -0.774 -0.092  -0.610 -0.073  -0.443 -0.073  -0.301 0.007  -0.152 0.066  0.015 0.066  0.182 0.066  0.348 0.066  0.513 0.076  0.672 0.129  0.837 0.135  1.004 0.135  1.171 0.135  1.186 0.201  1.072 0.324  0.959 0.446  0.846 0.568  0.732 0.690  0.619 0.812  0.505 0.934  0.392 1.057  0.248 1.109  0.081 1.109  -0.004 1.027  0.022 0.864  0.063 0.702  0.092 0.540  0.135 0.380  0.135 0.214  0.135 0.047  0.135 -0.120  0.135 -0.287  0.180 -0.443  0.204 -0.604  0.204 -0.770  0.225 -0.929  0.274 -1.075  0.274 -1.242  0.274 -1.409  0.274 -1.575  0.274 -1.742
2#tos#f2#f2038066/  -0.733 0.302  -0.733 0.212  -0.802 0.192  -0.843 0.144  -0.866 0.066  -0.940 0.017  -1.015 -0.033  -1.089 -0.082  -1.164 -0.132  -1.251 -0.139  -1.340 -0.139  -1.359 -0.139  -1.269 -0.139  -1.180 -0.139  -1.091 -0.139  -1.001 -0.139  -0.912 -0.139  -0.822 -0.139  -0.733 -0.139  -0.643 -0.139  -0.554 -0.139  -0.467 -0.124  -0.382 -0.095  -0.297 -0.067  -0.212 -0.039  -0.124 -0.029  -0.035 -0.029  0.054 -0.029  0.144 -0.029  0.233 -0.029  0.323 -0.029  0.369 0.014  0.392 0.081  0.481 0.081  0.570 0.081  0.660 0.081  0.749 0.081  0.839 0.081  0.928 0.081  1.018 0.081  1.107 0.081  1.197 0.081  1.286 0.081  1.375 0.081  1.465 0.081  1.554 0.081  1.644 0.081  1.733 0.081  1.823 0.081  1.912 0.081
2#tos#f2#f2038066/;  -0.169 1.499  -0.174 1.425  -0.253 1.425  -0.315 1.409  -0.315 1.331  -0.315 1.252  -0.347 1.206  -0.351 1.206  -0.273 1.206  -0.221 1.163  -0.186 1.093  -0.157 1.020  -0.135 0.945  -0.113 0.869  -0.091 0.794  -0.069 0.719  -0.047 0.643  -0.024 0.568  -0.002 0.493  0.020 0.417  0.042 0.342  0.064 0.267  0.086 0.191  0.108 0.116  0.131 0.041  0.153 -0.035  0.175 -0.110  0.197 -0.185  0.197 -0.264  0.197 -0.342  0.197 -0.421  0.197 -0.499  0.224 -0.551  0.270 -0.583  0.270 -0.662  0.270 -0.740  0.270 -0.819  0.232 -0.882  0.197 -0.945  0.197 -1.024  0.197 -1.102  0.166 -1.168  0.110 -1.223  0.055 -1.279  -0.015 -1.316  -0.085 -1.351  -0.112 -1.420  -0.131 -1.497  -0.150 -1.573  -0.169 -1.649
2#tos#f2#f2038066/=  -0.984 0.686  -1.140 0.686  -1.258 0.593  -1.377 0.505  -1.341 0.505  -1.185 0.505  -1.030 0.505  -0.876 0.514  -0.737 0.583  -0.584 0.595  -0.428 0.595  -0.272 0.595  -0.116 0.595  0.033 0.633  0.181 0.682  0.336 0.686  0.492 0.686  0.648 0.686  0.804 0.686  0.960 0.686  1.115 0.686  1.271 0.686  1.144 0.647  1.027 0.544  0.911 0.441  0.794 0.338  0.677 0.235  0.560 0.132  0.443 0.029  0.326 -0.074  0.210 -0.177  0.093 -0.281  -0.024 -0.384  -0.141 -0.487  -0.258 -0.590  -0.382 -0.672  -0.535 -0.677  -0.622 -0.807  -0.708 -0.936  -0.581 -1.009  -0.431 -1.034  -0.275 -1.034  -0.119 -1.034  0.036 -1.034  0.192 -1.034  0.348 -1.034  0.497 -1.012  0.627 -0.925  0.761 -0.853  0.916 -0.853
2#tos#f2#f2038066/?  -0.230 0.289  -0.366 0.289  -0.502 0.289  -0.537 0.188  -0.673 0.188  -0.756 0.248  -0.878 0.309  -0.938 0.408  -0.938 0.544  -0.888 0.629  -0.823 0.726  -0.726 0.815  -0.639 0.896  -0.503 0.896  -0.379 0.947  -0.243 0.947  -0.113 0.985  0.021 0.997  0.157 0.997  0.276 0.980  0.327 0.896  0.464 0.896  0.579 0.876  0.583 0.742  0.696 0.666  0.731 0.549  0.731 0.413  0.719 0.289  0.657 0.195  0.605 0.087  0.479 0.054  0.377 -0.028  0.322 -0.147  0.252 -0.264  0.154 -0.342  0.074 -0.420  -0.013 -0.470  -0.059 -0.583  -0.054 -0.708  0.021 -0.821  0.096 -0.934  0.172 -1.047  0.247 -1.160  0.323 -1.274  0.326 -1.408  0.289 -1.532  0.207 -1.641  0.175 -1.766  0.074 -1.801  0.124 -1.886
2#tos#f2#f2038066/[  -0.613 0.965  -0.647 0.842  -0.775 0.778  -0.739 0.753  -0.595 0.753  -0.452 0.753  -0.308 0.753  -0.165 0.753  -0.022 0.755  0.114 0.801  0.257 0.806  0.400 0.806  0.542 0.819  0.679 0.859  0.822 0.859  0.925 0.819  0.795 0.798  0.652 0.791  0.508 0.783  0.365 0.775  0.222 0.767  0.079 0.759  -0.065 0.753  -0.202 0.739  -0.295 0.634  -0.295 0.491  -0.295 0.347  -0.295 0.204  -0.295 0.060  -0.295 -0.083  -0.295 -0.227  -0.295 -0.370  -0.295 -0.513  -0.295 -0.657  -0.295 -0.800  -0.295 -0.944  -0.295 -1.087  -0.281 -1.196  -0.203 -1.104  -0.295 -1.155  -0.330 -1.263  -0.222 -1.263  -0.079 -1.263  0.065 -1.263  0.208 -1.263  0.352 -1.263  0.495 -1.263  0.638 -1.263  0.782 -1.263  0.925 -1.263
2#tos#f2#f2038066/^  -0.897 -0.814  -1.013 -0.832  -1.120 -0.886  -1.183 -0.984  -1.178 -1.055  -1.138 -0.975  -1.029 -0.946  -0.977 -0.848  -0.939 -0.737  -0.885 -0.629  -0.831 -0.522  -0.729 -0.492  -0.656 -0.446  -0.656 -0.325  -0.623 -0.219  -0.528 -0.147  -0.421 -0.094  -0.391 0.013  -0.306 0.098  -0.254 0.197  -0.215 0.308  -0.165 0.417  -0.127 0.531  -0.081 0.633  -0.013 0.685  -0.013 0.805  0.010 0.920  0.064 1.028  0.099 1.115  0.148 1.044  0.148 0.924  0.198 0.824  0.306 0.794  0.361 0.689  0.389 0.576  0.476 0.509  0.577 0.446  0.650 0.352  0.704 0.245  0.791 0.207  0.791 0.086  0.811 -0.023  0.911 -0.090  1.011 -0.157  1.099 -0.238  1.203 -0.296  1.315 -0.332  1.355 -0.412  1.434 -0.453  1.515 -0.492
2#tos#f2#f2038066/{  0.406 1.467  0.322 1.471  0.271 1.509  0.225 1.467  0.136 1.467  0.090 1.425  0.015 1.403  -0.016 1.322  -0.045 1.240  -0.059 1.154  -0.059 1.066  -0.059 0.977  -0.059 0.888  -0.035 0.809  -0.016 0.728  -0.016 0.640  0.015 0.559  0.026 0.473  0.026 0.384  0.026 0.295  0.026 0.207  0.026 0.118  -0.016 0.072  -0.016 -0.017  -0.067 -0.055  -0.156 -0.055  -0.244 -0.055  -0.228 -0.076  -0.217 -0.162  -0.185 -0.243  -0.185 -0.332  -0.185 -0.420  -0.185 -0.509  -0.185 -0.598  -0.185 -0.686  -0.185 -0.775  -0.185 -0.864  -0.185 -0.952  -0.185 -1.041  -0.138 -1.086  -0.110 -1.170  -0.082 -1.239  -0.000 -1.268  0.043 -1.323  0.132 -1.323  0.177 -1.373  0.261 -1.401  0.349 -1.408  0.428 -1.386  0.491 -1.323
