1c#apa#apa15#app1586/s  0.494 0.813  0.401 0.906  0.307 1.000  0.182 1.020  0.049 1.020  -0.083 1.020  -0.216 1.020  -0.349 1.020  -0.481 1.020  -0.593 0.969  -0.687 0.875  -0.780 0.781  -0.874 0.687  -0.968 0.593  -1.062 0.499  -1.156 0.406  -1.041 0.398  -0.911 0.383  -0.785 0.341  -0.659 0.299  -0.533 0.257  -0.407 0.215  -0.279 0.191  -0.146 0.191  -0.013 0.191  0.117 0.179  0.243 0.137  0.369 0.095  0.495 0.053  0.621 0.011  0.749 -0.016  0.882 -0.016  0.909 -0.122  0.909 -0.255  0.909 -0.388  0.880 -0.516  0.838 -0.641  0.796 -0.767  0.754 -0.893  0.713 -1.019  0.604 -1.052  0.473 -1.063  0.355 -1.122  0.236 -1.181  0.117 -1.241  -0.011 -1.259  -0.144 -1.259  -0.276 -1.259  -0.409 -1.259  -0.542 -1.259
1c#apa#apa15#app1586/c  0.455 0.777  0.382 0.850  0.309 0.923  0.236 0.996  0.214 1.090  0.214 1.193  0.177 1.259  0.073 1.259  -0.029 1.257  -0.102 1.184  -0.175 1.111  -0.248 1.038  -0.302 0.951  -0.348 0.859  -0.394 0.767  -0.441 0.674  -0.487 0.582  -0.533 0.489  -0.579 0.397  -0.625 0.305  -0.671 0.212  -0.718 0.120  -0.751 0.025  -0.751 -0.079  -0.751 -0.182  -0.751 -0.285  -0.751 -0.388  -0.707 -0.473  -0.634 -0.546  -0.561 -0.620  -0.481 -0.680  -0.383 -0.713  -0.285 -0.746  -0.187 -0.778  -0.089 -0.811  0.009 -0.844  0.107 -0.876  0.205 -0.909  0.306 -0.894  0.407 -0.873  0.509 -0.853  0.610 -0.833  0.711 -0.813  0.812 -0.792  0.914 -0.772  1.015 -0.752  1.116 -0.731  1.217 -0.711  1.319 -0.691  1.420 -0.671
1c#apa#apa15#app1586/r  -0.505 0.114  -0.505 -0.009  -0.505 -0.131  -0.505 -0.254  -0.505 -0.377  -0.505 -0.500  -0.505 -0.622  -0.421 -0.710  -0.335 -0.797  -0.248 -0.884  -0.161 -0.971  -0.135 -1.083  -0.135 -1.205  -0.135 -1.328  -0.135 -1.283  -0.135 -1.160  -0.135 -1.038  -0.193 -0.939  -0.280 -0.852  -0.366 -0.765  -0.453 -0.679  -0.505 -0.577  -0.505 -0.455  -0.505 -0.332  -0.505 -0.209  -0.505 -0.086  -0.505 0.036  -0.505 0.159  -0.505 0.282  -0.505 0.405  -0.475 0.515  -0.388 0.601  -0.301 0.688  -0.215 0.775  -0.125 0.855  -0.002 0.855  0.121 0.855  0.243 0.855  0.366 0.855  0.489 0.855  0.612 0.855  0.734 0.855  0.857 0.855  0.980 0.855  1.103 0.855  1.225 0.855  1.348 0.855  1.471 0.855  1.594 0.855  1.716 0.855
1c#apa#apa15#app1586/e  -1.123 -0.640  -1.123 -0.482  -1.123 -0.324  -0.992 -0.246  -0.851 -0.175  -0.709 -0.105  -0.568 -0.034  -0.421 0.017  -0.263 0.017  -0.105 0.017  0.054 0.017  0.206 0.032  0.318 0.144  0.430 0.255  0.542 0.367  0.654 0.479  0.766 0.591  0.849 0.715  0.849 0.874  0.824 1.016  0.682 1.087  0.540 1.158  0.399 1.229  0.257 1.299  0.131 1.272  0.020 1.160  -0.092 1.048  -0.204 0.936  -0.316 0.824  -0.428 0.712  -0.466 0.569  -0.466 0.411  -0.466 0.252  -0.466 0.094  -0.466 -0.064  -0.466 -0.223  -0.435 -0.374  -0.364 -0.515  -0.293 -0.657  -0.222 -0.798  -0.152 -0.940  -0.024 -1.025  0.117 -1.096  0.259 -1.167  0.400 -1.238  0.545 -1.298  0.703 -1.298  0.861 -1.298  1.020 -1.298  1.178 -1.298
1c#apa#apa15#app1586/a  0.859 0.369  0.859 0.524  0.844 0.669  0.705 0.739  0.567 0.808  0.428 0.877  0.290 0.947  0.137 0.954  -0.018 0.954  -0.173 0.954  -0.323 0.942  -0.433 0.833  -0.543 0.723  -0.652 0.614  -0.762 0.504  -0.871 0.394  -0.981 0.285  -1.090 0.175  -1.189 0.061  -1.189 -0.094  -1.189 -0.249  -1.189 -0.404  -1.189 -0.558  -1.189 -0.713  -1.123 -0.802  -0.968 -0.802  -0.813 -0.802  -0.658 -0.802  -0.508 -0.770  -0.361 -0.721  -0.214 -0.672  -0.067 -0.623  0.080 -0.574  0.227 -0.525  0.321 -0.415  0.390 -0.277  0.460 -0.138  0.529 0.001  0.567 0.147  0.567 0.302  0.606 0.290  0.675 0.152  0.745 0.013  0.814 -0.125  0.897 -0.254  1.007 -0.364  1.116 -0.473  1.226 -0.583  1.335 -0.692  1.445 -0.802
1c#apa#apa15#app1586/m  -1.155 -0.783  -1.262 -0.676  -1.330 -0.553  -1.330 -0.401  -1.330 -0.250  -1.330 -0.099  -1.330 0.052  -1.330 0.204  -1.330 0.355  -1.264 0.441  -1.115 0.454  -0.972 0.502  -0.828 0.550  -0.685 0.597  -0.546 0.573  -0.411 0.505  -0.275 0.441  -0.124 0.441  -0.047 0.321  0.021 0.185  0.068 0.045  0.068 -0.106  0.068 -0.257  0.068 -0.409  0.068 -0.560  0.068 -0.711  0.068 -0.703  0.108 -0.568  0.215 -0.461  0.243 -0.322  0.243 -0.170  0.243 -0.019  0.243 0.132  0.243 0.284  0.243 0.435  0.346 0.543  0.467 0.615  0.592 0.589  0.595 0.439  0.730 0.372  0.865 0.304  0.988 0.219  1.095 0.112  1.202 0.005  1.303 -0.106  1.370 -0.242  1.438 -0.377  1.506 -0.512  1.573 -0.647  1.641 -0.783
1c#apa#apa15#app1586/e  -0.593 -0.259  -0.593 -0.131  -0.593 -0.003  -0.529 0.099  -0.439 0.190  -0.348 0.281  -0.257 0.371  -0.167 0.462  -0.076 0.553  -0.003 0.651  -0.003 0.779  -0.003 0.907  -0.084 1.002  -0.175 1.093  -0.266 1.183  -0.380 1.216  -0.509 1.216  -0.593 1.172  -0.593 1.043  -0.593 0.915  -0.593 0.787  -0.593 0.659  -0.593 0.530  -0.593 0.402  -0.593 0.274  -0.593 0.145  -0.593 0.017  -0.593 -0.111  -0.593 -0.239  -0.516 -0.336  -0.425 -0.427  -0.335 -0.517  -0.244 -0.608  -0.153 -0.699  -0.063 -0.789  0.041 -0.849  0.169 -0.849  0.297 -0.849  0.426 -0.849  0.554 -0.849  0.682 -0.849  0.811 -0.849  0.939 -0.849  1.067 -0.849  1.193 -0.841  1.308 -0.784  1.423 -0.726  1.538 -0.669  1.652 -0.612  1.767 -0.554
1c#apa#apa15#app1586/d  0.146 2.124  0.146 1.962  0.146 1.800  0.146 1.638  0.146 1.477  0.146 1.315  0.146 1.153  0.146 0.991  0.146 0.829  0.146 0.667  0.146 0.505  0.146 0.343  0.146 0.181  0.158 0.021  0.209 -0.132  0.261 -0.286  0.312 -0.439  0.367 -0.591  0.440 -0.736  0.512 -0.881  0.559 -0.918  0.559 -0.756  0.559 -0.594  0.559 -0.432  0.559 -0.270  0.537 -0.115  0.447 0.020  0.357 0.155  0.267 0.289  0.178 0.424  0.041 0.471  -0.121 0.471  -0.283 0.471  -0.445 0.471  -0.516 0.346  -0.567 0.192  -0.618 0.038  -0.669 -0.115  -0.680 -0.275  -0.680 -0.437  -0.680 -0.599  -0.680 -0.761  -0.680 -0.923  -0.680 -1.085  -0.622 -1.210  -0.477 -1.283  -0.332 -1.355  -0.178 -1.388  -0.016 -1.388  0.146 -1.388
1c#apa#apa15#app1586/a  0.256 0.432  0.256 0.586  0.224 0.732  0.155 0.870  0.087 1.008  0.015 1.142  -0.139 1.142  -0.293 1.142  -0.447 1.142  -0.601 1.142  -0.720 1.085  -0.789 0.947  -0.858 0.809  -0.927 0.671  -0.928 0.517  -0.928 0.363  -0.928 0.209  -0.928 0.055  -0.928 -0.099  -0.928 -0.253  -0.928 -0.408  -0.882 -0.516  -0.727 -0.516  -0.573 -0.516  -0.423 -0.500  -0.285 -0.431  -0.147 -0.362  -0.009 -0.293  0.106 -0.193  0.215 -0.084  0.256 0.053  0.256 0.207  0.256 0.362  0.256 0.348  0.256 0.194  0.256 0.039  0.256 -0.115  0.256 -0.269  0.256 -0.423  0.307 -0.550  0.436 -0.635  0.564 -0.721  0.692 -0.806  0.820 -0.892  0.949 -0.977  1.092 -1.031  1.239 -1.080  1.385 -1.129  1.531 -1.177  1.677 -1.226
1c#apa#apa15#app1586/t  -0.619 1.518  -0.619 1.359  -0.619 1.199  -0.619 1.039  -0.619 0.879  -0.619 0.720  -0.619 0.560  -0.581 0.409  -0.509 0.266  -0.438 0.123  -0.366 -0.020  -0.314 -0.170  -0.264 -0.322  -0.213 -0.474  -0.163 -0.625  -0.112 -0.777  -0.102 -0.935  -0.102 -1.094  -0.102 -1.254  -0.102 -1.414  -0.102 -1.574  0.050 -1.582  0.173 -1.531  0.224 -1.380  0.274 -1.228  0.325 -1.077  0.375 -0.925  0.426 -0.774  0.476 -0.622  0.527 -0.471  0.577 -0.319  0.628 -0.167  0.678 -0.016  0.729 0.136  0.779 0.287  0.830 0.439  0.880 0.590  0.931 0.742  0.773 0.743  0.614 0.743  0.454 0.743  0.294 0.743  0.134 0.743  -0.025 0.743  -0.185 0.743  -0.345 0.743  -0.505 0.743  -0.651 0.711  -0.764 0.598  -0.877 0.485
1c#apa#apa15#app1586/h  -0.736 1.986  -0.736 1.848  -0.736 1.711  -0.736 1.573  -0.736 1.436  -0.705 1.302  -0.672 1.168  -0.639 1.035  -0.605 0.901  -0.572 0.768  -0.529 0.637  -0.468 0.514  -0.406 0.391  -0.355 0.265  -0.328 0.130  -0.301 -0.005  -0.274 -0.140  -0.247 -0.275  -0.220 -0.410  -0.193 -0.545  -0.175 -0.681  -0.175 -0.819  -0.175 -0.956  -0.175 -1.094  -0.148 -1.167  -0.051 -1.069  0.012 -0.958  0.012 -0.820  0.012 -0.682  0.012 -0.545  0.012 -0.407  0.012 -0.269  0.069 -0.145  0.130 -0.022  0.192 0.101  0.199 0.237  0.271 0.303  0.402 0.287  0.499 0.189  0.597 0.092  0.694 -0.005  0.771 -0.114  0.804 -0.248  0.838 -0.381  0.871 -0.515  0.904 -0.648  0.938 -0.782  0.947 -0.918  0.947 -1.056  0.947 -1.194
