2#tos#f1#f1052063/#  -0.834 0.259  -1.137 0.046  -0.886 -0.079  -0.487 0.072  -0.064 0.189  0.239 0.328  0.681 0.328  1.048 0.485  0.792 0.415  0.438 0.150  0.085 -0.116  -0.269 -0.381  -0.623 -0.646  -0.973 -0.800  -0.737 -0.830  -0.428 -0.578  0.014 -0.578  0.434 -0.495  0.853 -0.438  1.033 -0.247  0.778 0.114  0.524 0.476  0.269 0.838  0.015 1.199  -0.206 1.571  -0.485 1.431  -0.485 0.989  -0.485 0.547  -0.485 0.105  -0.479 -0.337  -0.415 -0.774  -0.415 -1.216  -0.415 -1.658  -0.323 -1.775  -0.245 -1.340  -0.166 -0.905  -0.088 -0.470  -0.010 -0.035  0.069 0.401  0.147 0.836  0.225 1.271  0.226 1.653  0.282 1.515  0.393 1.094  0.421 0.657  0.421 0.215  0.421 -0.227  0.421 -0.669  0.421 -1.111  0.491 -1.484
2#tos#f1#f1052063/$  0.709 0.667  0.512 0.786  0.283 0.861  0.036 0.864  -0.157 0.811  -0.315 0.722  -0.433 0.540  -0.415 0.296  -0.315 0.131  -0.100 0.076  0.118 0.048  0.331 -0.018  0.512 -0.098  0.591 -0.266  0.670 -0.464  0.631 -0.695  0.540 -0.881  0.439 -1.066  0.281 -1.185  0.034 -1.185  -0.208 -1.173  -0.394 -1.019  -0.473 -0.805  -0.444 -0.560  -0.399 -0.318  -0.353 -0.075  -0.308 0.168  -0.262 0.410  -0.217 0.653  -0.171 0.896  -0.126 1.138  -0.080 1.381  -0.035 1.624  -0.057 1.810  -0.079 1.585  -0.039 1.347  -0.039 1.100  -0.039 0.853  -0.039 0.606  -0.039 0.359  -0.039 0.113  -0.039 -0.134  -0.039 -0.381  -0.039 -0.628  -0.037 -0.874  0.000 -1.113  0.000 -1.359  0.000 -1.606  0.000 -1.853  0.040 -2.091
2#tos#f1#f1052063/%  -0.443 1.068  -0.579 0.958  -0.744 0.834  -0.744 0.603  -0.612 0.504  -0.402 0.562  -0.292 0.725  -0.255 0.918  -0.432 0.993  -0.230 1.047  -0.006 1.102  0.218 1.158  0.442 1.214  0.666 1.270  0.889 1.326  0.781 1.220  0.670 1.020  0.531 0.849  0.387 0.678  0.251 0.499  0.085 0.342  0.009 0.147  -0.127 -0.035  -0.262 -0.221  -0.406 -0.401  -0.518 -0.594  -0.606 -0.788  -0.706 -0.978  -0.819 -1.127  -0.892 -1.336  -0.941 -1.415  -0.762 -1.274  -0.580 -1.132  -0.398 -0.990  -0.216 -0.848  -0.034 -0.706  0.147 -0.565  0.329 -0.423  0.511 -0.281  0.592 -0.173  0.498 -0.310  0.385 -0.428  0.308 -0.627  0.272 -0.842  0.419 -0.926  0.619 -0.854  0.709 -0.669  0.837 -0.522  0.804 -0.324  0.649 -0.249
2#tos#f1#f1052063/'  0.004 1.350  0.004 1.256  -0.057 1.188  -0.123 1.122  -0.189 1.056  -0.280 1.049  -0.220 1.049  -0.147 1.000  -0.074 0.949  0.019 0.949  0.113 0.949  0.206 0.949  0.299 0.949  0.305 0.861  0.386 0.848  0.480 0.848  0.506 0.781  0.445 0.748  0.405 0.694  0.405 0.601  0.405 0.507  0.405 0.414  0.405 0.320  0.405 0.227  0.405 0.134  0.405 0.040  0.405 -0.053  0.340 -0.120  0.280 -0.191  0.228 -0.269  0.177 -0.347  0.125 -0.425  0.054 -0.480  -0.030 -0.522  -0.105 -0.573  -0.147 -0.656  -0.188 -0.740  -0.230 -0.824  -0.272 -0.907  -0.296 -0.995  -0.296 -1.088  -0.296 -1.182  -0.313 -1.265  -0.396 -1.307  -0.480 -1.349  -0.564 -1.390  -0.647 -1.432  -0.714 -1.491  -0.756 -1.574  -0.798 -1.658
2#tos#f1#f1052063/(  0.458 1.337  0.378 1.337  0.305 1.331  0.271 1.286  0.191 1.286  0.112 1.286  0.053 1.237  -0.012 1.213  -0.048 1.142  -0.114 1.102  -0.154 1.047  -0.212 1.021  -0.256 0.955  -0.300 0.888  -0.307 0.811  -0.318 0.733  -0.337 0.656  -0.356 0.579  -0.358 0.500  -0.358 0.421  -0.358 0.341  -0.358 0.262  -0.358 0.183  -0.354 0.104  -0.318 0.033  -0.283 -0.038  -0.256 -0.111  -0.256 -0.190  -0.204 -0.248  -0.185 -0.325  -0.165 -0.402  -0.154 -0.480  -0.135 -0.556  -0.110 -0.632  -0.062 -0.693  -0.023 -0.761  0.013 -0.832  0.048 -0.903  0.103 -0.960  0.159 -1.016  0.203 -1.078  0.236 -1.143  0.292 -1.200  0.348 -1.256  0.417 -1.294  0.491 -1.315  0.553 -1.358  0.622 -1.396  0.693 -1.432  0.764 -1.467
2#tos#f1#f1052063/*  0.184 1.799  -0.085 1.779  -0.085 1.489  -0.085 1.200  -0.081 0.911  -0.018 0.631  -0.018 0.342  -0.018 0.052  -0.018 -0.237  -0.009 -0.526  0.049 -0.808  0.117 -1.087  0.117 -1.377  0.034 -1.360  -0.111 -1.109  -0.257 -0.859  -0.402 -0.609  -0.547 -0.358  -0.693 -0.108  -0.838 0.143  -0.984 0.393  -1.162 0.587  -1.365 0.461  -1.168 0.317  -0.883 0.306  -0.678 0.101  -0.431 -0.043  -0.162 -0.151  0.033 -0.323  0.218 -0.514  0.454 -0.646  0.561 -0.828  0.691 -0.587  0.804 -0.320  0.916 -0.053  1.029 0.214  1.142 0.480  1.255 0.747  1.299 0.991  1.041 0.895  0.843 0.714  0.637 0.525  0.423 0.391  0.294 0.132  0.114 -0.090  -0.056 -0.318  -0.288 -0.492  -0.422 -0.726  -0.630 -0.906  -0.759 -1.165
2#tos#f1#f1052063/,  0.136 1.373  0.066 1.303  -0.004 1.233  -0.050 1.145  -0.094 1.056  -0.139 0.968  -0.154 1.003  -0.154 1.063  -0.154 0.964  -0.081 0.938  0.018 0.938  0.117 0.938  0.136 0.857  0.171 0.793  0.270 0.793  0.281 0.705  0.323 0.647  0.422 0.647  0.521 0.647  0.572 0.598  0.572 0.499  0.572 0.400  0.525 0.326  0.442 0.271  0.360 0.216  0.277 0.161  0.195 0.106  0.136 0.038  0.136 -0.061  0.136 -0.160  0.136 -0.260  0.136 -0.359  0.136 -0.458  0.097 -0.533  0.008 -0.577  -0.080 -0.621  -0.161 -0.673  -0.206 -0.762  -0.250 -0.851  -0.295 -0.940  -0.327 -1.033  -0.359 -1.127  -0.390 -1.221  -0.421 -1.315  -0.459 -1.406  -0.514 -1.489  -0.569 -1.571  -0.624 -1.654  -0.679 -1.736  -0.734 -1.819
2#tos#f1#f1052063/.  0.308 1.551  0.308 1.219  0.308 0.887  0.308 0.556  0.047 0.484  -0.284 0.484  -0.616 0.484  -0.948 0.484  -1.280 0.484  -1.612 0.484  -1.710 0.484  -1.378 0.484  -1.047 0.484  -0.715 0.484  -0.383 0.484  -0.051 0.484  0.281 0.484  0.613 0.484  0.738 0.484  0.406 0.484  0.308 0.250  0.276 -0.050  -0.056 -0.050  -0.388 -0.050  -0.720 -0.050  -1.052 -0.050  -1.203 -0.050  -0.871 -0.050  -0.540 -0.050  -0.208 -0.050  0.124 -0.050  0.456 -0.050  0.788 -0.050  0.841 -0.328  0.764 -0.583  0.433 -0.583  0.101 -0.583  -0.226 -0.578  -0.226 -0.246  -0.091 -0.050  0.241 -0.050  0.545 -0.168  0.842 -0.317  1.138 -0.465  1.345 -0.644  1.196 -0.941  1.048 -1.237  0.899 -1.534  0.639 -1.651  0.308 -1.651
2#tos#f1#f1052063/  0.753 1.437  0.707 1.410  0.660 1.384  0.628 1.343  0.613 1.285  0.592 1.218  0.552 1.158  0.515 1.095  0.492 1.026  0.467 0.957  0.434 0.892  0.402 0.827  0.357 0.775  0.288 0.752  0.240 0.714  0.240 0.641  0.240 0.568  0.201 0.511  0.150 0.460  0.099 0.407  0.085 0.336  0.071 0.264  0.056 0.193  0.035 0.123  0.012 0.054  -0.011 -0.015  -0.034 -0.085  -0.072 -0.146  -0.116 -0.205  -0.159 -0.263  -0.181 -0.329  -0.186 -0.401  -0.209 -0.470  -0.232 -0.539  -0.255 -0.609  -0.280 -0.677  -0.313 -0.742  -0.334 -0.812  -0.352 -0.882  -0.373 -0.951  -0.425 -1.003  -0.477 -1.054  -0.517 -1.113  -0.540 -1.182  -0.566 -1.250  -0.599 -1.315  -0.648 -1.341  -0.648 -1.414  -0.671 -1.483  -0.694 -1.552
2#tos#f1#f1052063/?  -0.083 0.276  -0.206 0.276  -0.329 0.276  -0.451 0.276  -0.574 0.276  -0.677 0.325  -0.733 0.433  -0.798 0.494  -0.845 0.569  -0.845 0.692  -0.845 0.815  -0.729 0.821  -0.618 0.840  -0.550 0.929  -0.428 0.929  -0.305 0.929  -0.182 0.929  -0.060 0.929  0.060 0.952  0.179 0.982  0.302 0.984  0.424 0.984  0.475 0.901  0.539 0.797  0.570 0.688  0.570 0.565  0.533 0.457  0.515 0.342  0.466 0.231  0.407 0.164  0.356 0.062  0.298 -0.036  0.221 -0.127  0.154 -0.228  0.080 -0.324  0.087 -0.445  0.146 -0.552  0.196 -0.656  0.210 -0.778  0.225 -0.900  0.239 -1.022  0.253 -1.144  0.268 -1.265  0.282 -1.387  0.296 -1.509  0.219 -1.599  0.132 -1.686  0.080 -1.787  0.179 -1.837  0.298 -1.846
2#tos#f1#f1052063/@  0.593 -1.174  0.542 -1.298  0.441 -1.371  0.273 -1.377  0.149 -1.428  -0.025 -1.428  -0.118 -1.346  -0.252 -1.276  -0.376 -1.225  -0.423 -1.098  -0.474 -0.974  -0.525 -0.812  -0.545 -0.645  -0.576 -0.483  -0.677 -0.411  -0.677 -0.236  -0.677 -0.061  -0.677 0.113  -0.677 0.288  -0.626 0.441  -0.525 0.553  -0.465 0.715  -0.372 0.822  -0.311 0.971  -0.259 1.124  -0.202 1.265  -0.118 1.355  0.045 1.367  0.199 1.418  0.363 1.393  0.476 1.316  0.593 1.199  0.631 1.062  0.644 0.901  0.644 0.726  0.644 0.552  0.644 0.377  0.644 0.203  0.596 0.048  0.580 -0.120  0.484 -0.259  0.363 -0.324  0.198 -0.361  0.023 -0.361  -0.118 -0.328  -0.123 -0.158  -0.169 -0.030  -0.084 0.080  0.063 0.147  0.238 0.147
