1b#tos#f2#f2014061/B  -0.072 1.502  -0.160 1.320  -0.160 1.050  -0.160 0.781  -0.160 0.511  -0.160 0.241  -0.160 -0.029  -0.160 -0.298  -0.173 -0.566  -0.203 -0.832  -0.203 -1.102  -0.203 -1.372  -0.203 -1.642  -0.203 -1.649  -0.207 -1.380  -0.225 -1.111  -0.243 -0.841  -0.262 -0.572  -0.280 -0.303  -0.298 -0.034  -0.316 0.235  -0.335 0.504  -0.353 0.773  -0.371 1.042  -0.494 1.196  -0.361 1.327  -0.102 1.371  0.161 1.342  0.407 1.269  0.618 1.152  0.672 0.936  0.530 0.754  0.330 0.596  0.117 0.432  -0.129 0.339  -0.386 0.277  -0.276 0.277  -0.006 0.277  0.264 0.277  0.439 0.145  0.654 0.058  0.783 -0.130  0.803 -0.394  0.757 -0.644  0.589 -0.851  0.407 -1.038  0.239 -1.245  -0.025 -1.255  -0.255 -1.350  -0.466 -1.343
1b#tos#f2#f2014061/E  -0.389 1.196  -0.646 1.186  -0.558 1.144  -0.306 1.089  -0.047 1.083  0.212 1.083  0.471 1.083  0.730 1.083  0.988 1.083  0.880 1.053  0.621 1.070  0.363 1.086  0.105 1.103  -0.154 1.120  -0.351 1.059  -0.427 0.876  -0.465 0.626  -0.465 0.367  -0.427 0.113  -0.408 -0.144  -0.389 -0.401  -0.389 -0.660  -0.389 -0.919  -0.389 -1.178  -0.351 -1.432  -0.348 -1.350  -0.343 -1.092  -0.337 -0.833  -0.331 -0.574  -0.325 -0.315  -0.319 -0.056  -0.339 0.177  -0.411 0.139  -0.166 0.174  0.091 0.177  0.341 0.139  0.600 0.139  0.693 0.041  0.529 -0.159  0.364 -0.359  0.200 -0.559  0.036 -0.759  -0.131 -0.955  -0.310 -1.067  -0.197 -1.106  0.062 -1.106  0.321 -1.106  0.580 -1.106  0.839 -1.106  1.082 -1.144
1b#tos#f2#f2014061/F  -0.385 1.031  -0.579 0.905  -0.520 0.872  -0.298 0.930  -0.064 0.952  0.176 0.952  0.416 0.952  0.656 0.952  0.895 0.952  1.135 0.952  1.086 0.912  0.846 0.912  0.606 0.912  0.366 0.912  0.127 0.912  -0.113 0.912  -0.352 0.900  -0.540 0.795  -0.544 0.558  -0.537 0.318  -0.504 0.082  -0.504 -0.158  -0.504 -0.398  -0.504 -0.638  -0.467 -0.873  -0.465 -1.113  -0.465 -1.353  -0.465 -1.593  -0.433 -1.801  -0.383 -1.768  -0.371 -1.529  -0.359 -1.289  -0.346 -1.049  -0.334 -0.810  -0.322 -0.570  -0.309 -0.331  -0.459 -0.245  -0.390 -0.245  -0.159 -0.205  0.081 -0.205  0.321 -0.205  0.533 -0.177  0.628 0.042  0.729 0.260  0.692 0.296  0.644 0.082  0.520 -0.098  0.435 -0.302  0.409 -0.532  0.373 -0.764
1b#tos#f2#f2014061/G  0.531 1.127  0.413 1.085  0.213 1.127  -0.005 1.127  -0.222 1.127  -0.434 1.100  -0.639 1.035  -0.809 0.919  -0.952 0.772  -1.079 0.597  -1.168 0.416  -1.200 0.203  -1.210 -0.013  -1.210 -0.230  -1.153 -0.437  -1.076 -0.641  -1.008 -0.847  -0.878 -0.939  -0.718 -1.028  -0.510 -1.070  -0.292 -1.070  -0.085 -1.028  0.089 -0.945  0.199 -0.807  0.361 -0.697  0.473 -0.538  0.531 -0.333  0.572 -0.157  0.443 0.018  0.314 0.194  0.186 0.369  0.018 0.449  -0.151 0.422  0.066 0.422  0.284 0.422  0.501 0.422  0.719 0.422  0.936 0.422  1.154 0.422  1.020 0.385  0.807 0.339  0.600 0.284  0.489 0.129  0.489 -0.089  0.489 -0.306  0.572 -0.489  0.572 -0.707  0.572 -0.924  0.572 -1.142  0.614 -1.318
1b#tos#f2#f2014061/H  -0.441 1.108  -0.636 1.113  -0.676 0.998  -0.676 0.797  -0.676 0.597  -0.714 0.405  -0.723 0.206  -0.754 0.009  -0.754 -0.192  -0.754 -0.392  -0.754 -0.593  -0.754 -0.793  -0.754 -0.994  -0.754 -1.194  -0.754 -1.323  -0.713 -1.127  -0.672 -0.931  -0.631 -0.734  -0.589 -0.538  -0.548 -0.342  -0.507 -0.146  -0.465 0.050  -0.520 0.169  -0.552 0.169  -0.353 0.174  -0.175 0.247  0.023 0.277  0.222 0.286  0.423 0.286  0.623 0.286  0.814 0.297  0.831 0.497  0.849 0.697  0.866 0.896  0.883 1.096  0.782 1.187  0.656 1.112  0.656 0.911  0.656 0.711  0.656 0.511  0.663 0.312  0.720 0.121  0.734 -0.078  0.734 -0.278  0.734 -0.479  0.734 -0.679  0.734 -0.880  0.752 -1.078  0.774 -1.276  0.774 -1.476
1b#tos#f2#f2014061/K  -0.351 1.752  -0.475 1.629  -0.516 1.426  -0.516 1.214  -0.516 1.001  -0.516 0.788  -0.516 0.576  -0.516 0.363  -0.516 0.150  -0.516 -0.062  -0.516 -0.275  -0.516 -0.487  -0.516 -0.700  -0.516 -0.913  -0.516 -1.125  -0.516 -1.338  -0.516 -1.550  -0.464 -1.524  -0.376 -1.330  -0.288 -1.137  -0.200 -0.943  -0.112 -0.750  -0.023 -0.556  0.065 -0.363  0.153 -0.169  0.241 0.024  0.329 0.218  0.418 0.411  0.506 0.605  0.594 0.798  0.682 0.991  0.765 1.161  0.594 1.085  0.426 0.958  0.293 0.801  0.124 0.698  -0.026 0.547  -0.193 0.418  -0.346 0.305  -0.329 0.170  -0.158 0.057  -0.020 -0.067  0.162 -0.175  0.328 -0.291  0.494 -0.423  0.656 -0.559  0.830 -0.678  0.991 -0.807  1.152 -0.908  1.303 -1.018
1b#tos#f2#f2014061/L  -0.461 1.620  -0.502 1.575  -0.502 1.488  -0.502 1.401  -0.502 1.314  -0.502 1.227  -0.502 1.141  -0.502 1.054  -0.502 0.967  -0.502 0.880  -0.502 0.793  -0.502 0.706  -0.502 0.620  -0.502 0.533  -0.502 0.446  -0.502 0.359  -0.489 0.275  -0.461 0.195  -0.461 0.108  -0.461 0.022  -0.461 -0.065  -0.461 -0.152  -0.461 -0.239  -0.461 -0.326  -0.423 -0.397  -0.420 -0.482  -0.420 -0.569  -0.385 -0.641  -0.300 -0.647  -0.213 -0.647  -0.127 -0.647  -0.040 -0.647  0.047 -0.647  0.134 -0.647  0.221 -0.647  0.308 -0.647  0.394 -0.647  0.481 -0.647  0.568 -0.647  0.652 -0.627  0.737 -0.606  0.824 -0.606  0.910 -0.606  0.997 -0.606  1.084 -0.606  1.171 -0.606  1.258 -0.606  1.345 -0.606  1.431 -0.606  1.477 -0.647
1b#tos#f2#f2014061/M  -0.426 1.279  -0.524 1.141  -0.524 0.931  -0.524 0.720  -0.493 0.513  -0.491 0.302  -0.491 0.092  -0.491 -0.118  -0.491 -0.329  -0.491 -0.539  -0.491 -0.749  -0.543 -0.951  -0.556 -1.159  -0.581 -1.364  -0.589 -1.572  -0.573 -1.431  -0.554 -1.221  -0.535 -1.012  -0.516 -0.802  -0.498 -0.593  -0.479 -0.383  -0.460 -0.174  -0.441 0.036  -0.422 0.245  -0.404 0.455  -0.385 0.664  -0.366 0.874  -0.523 0.922  -0.457 0.890  -0.301 0.769  -0.167 0.632  -0.038 0.487  0.088 0.342  0.157 0.174  0.329 0.173  0.416 0.346  0.556 0.490  0.740 0.572  0.834 0.724  0.967 0.803  1.004 0.715  1.032 0.510  1.032 0.299  1.032 0.089  1.065 -0.116  1.087 -0.321  1.097 -0.529  1.129 -0.732  1.129 -0.942  1.129 -1.152
1b#tos#f2#f2014061/N  -0.681 1.278  -0.792 1.126  -0.755 0.899  -0.755 0.636  -0.755 0.373  -0.755 0.109  -0.755 -0.154  -0.755 -0.417  -0.755 -0.680  -0.755 -0.944  -0.755 -1.207  -0.747 -1.159  -0.734 -0.896  -0.722 -0.633  -0.709 -0.370  -0.696 -0.106  -0.684 0.157  -0.671 0.420  -0.658 0.683  -0.645 0.946  -0.787 0.982  -0.627 0.817  -0.464 0.627  -0.348 0.390  -0.170 0.197  -0.035 -0.024  0.092 -0.215  0.291 -0.377  0.442 -0.578  0.573 -0.767  0.721 -0.965  0.838 -1.116  0.833 -0.953  0.825 -0.690  0.816 -0.427  0.807 -0.164  0.799 0.099  0.790 0.363  0.781 0.626  0.773 0.889  0.764 1.152  0.690 1.045  0.706 0.784  0.727 0.524  0.727 0.261  0.727 -0.003  0.801 -0.244  0.801 -0.507  0.801 -0.770  0.838 -1.018
1b#tos#f2#f2014061/S  0.680 0.854  0.642 0.875  0.571 0.966  0.491 1.045  0.410 1.136  0.282 1.160  0.194 1.236  0.068 1.274  -0.067 1.274  -0.201 1.274  -0.298 1.236  -0.426 1.197  -0.447 1.083  -0.503 1.004  -0.541 0.884  -0.541 0.749  -0.536 0.616  -0.482 0.501  -0.426 0.401  -0.311 0.358  -0.268 0.244  -0.143 0.206  -0.040 0.127  0.049 0.053  0.184 0.053  0.318 0.053  0.410 -0.017  0.515 -0.087  0.567 -0.177  0.604 -0.297  0.604 -0.432  0.604 -0.567  0.604 -0.702  0.558 -0.809  0.504 -0.908  0.386 -0.966  0.302 -1.053  0.282 -1.168  0.147 -1.168  0.050 -1.206  -0.047 -1.244  -0.182 -1.244  -0.317 -1.244  -0.388 -1.180  -0.464 -1.093  -0.549 -1.036  -0.617 -0.924  -0.691 -0.862  -0.770 -0.806  -0.770 -0.672
1b#tos#f2#f2014061/V  -0.718 1.114  -0.847 1.114  -0.975 1.114  -0.945 1.102  -0.849 1.043  -0.849 0.914  -0.841 0.787  -0.793 0.667  -0.730 0.558  -0.639 0.467  -0.631 0.342  -0.604 0.218  -0.557 0.099  -0.514 -0.023  -0.473 -0.145  -0.415 -0.258  -0.354 -0.371  -0.312 -0.492  -0.264 -0.612  -0.237 -0.735  -0.191 -0.839  -0.106 -0.922  -0.058 -1.031  -0.019 -1.144  0.025 -1.229  0.068 -1.314  0.112 -1.355  0.146 -1.231  0.200 -1.148  0.223 -1.022  0.266 -0.902  0.332 -0.792  0.374 -0.675  0.374 -0.546  0.395 -0.420  0.435 -0.299  0.502 -0.189  0.565 -0.077  0.623 0.038  0.636 0.164  0.636 0.292  0.636 0.421  0.639 0.549  0.724 0.642  0.729 0.769  0.767 0.882  0.811 0.967  0.811 1.095  0.904 1.169  0.986 1.245
