3#apa#apa02#app0258/O  -0.019 1.193  -0.141 1.185  -0.157 1.071  -0.286 1.071  -0.384 1.039  -0.412 0.921  -0.504 0.829  -0.596 0.738  -0.687 0.646  -0.749 0.542  -0.785 0.427  -0.871 0.333  -0.871 0.203  -0.871 0.074  -0.871 -0.056  -0.871 -0.186  -0.871 -0.315  -0.871 -0.445  -0.871 -0.575  -0.821 -0.684  -0.729 -0.775  -0.637 -0.867  -0.511 -0.876  -0.418 -0.964  -0.303 -0.998  -0.173 -0.998  -0.043 -0.998  0.087 -0.998  0.216 -0.998  0.346 -0.998  0.354 -0.876  0.479 -0.865  0.571 -0.774  0.589 -0.652  0.668 -0.555  0.711 -0.443  0.765 -0.336  0.833 -0.234  0.852 -0.109  0.910 0.007  0.955 0.126  0.955 0.256  0.923 0.373  0.833 0.465  0.833 0.595  0.820 0.719  0.728 0.811  0.711 0.933  0.597 0.949  0.589 1.071
3#apa#apa02#app0258/N  -0.957 -0.942  -0.957 -1.028  -0.957 -0.875  -0.957 -0.721  -0.863 -0.607  -0.837 -0.464  -0.837 -0.311  -0.837 -0.157  -0.837 -0.004  -0.837 0.149  -0.806 0.290  -0.717 0.406  -0.717 0.560  -0.717 0.713  -0.710 0.859  -0.597 0.819  -0.597 0.665  -0.597 0.512  -0.497 0.400  -0.477 0.255  -0.460 0.105  -0.391 -0.032  -0.357 -0.177  -0.357 -0.331  -0.256 -0.442  -0.230 -0.581  -0.117 -0.621  -0.065 -0.753  0.060 -0.821  0.214 -0.821  0.367 -0.821  0.520 -0.821  0.653 -0.772  0.762 -0.663  0.844 -0.544  0.894 -0.411  0.964 -0.287  1.026 -0.159  1.084 -0.030  1.084 0.124  1.084 0.277  1.084 0.430  1.084 0.584  1.084 0.737  1.056 0.873  0.919 0.942  0.794 1.029  0.724 1.153  0.637 1.219  0.604 1.099
3#apa#apa02#app0258/T  0.269 0.644  0.269 0.493  0.269 0.342  0.269 0.191  0.186 0.074  0.147 -0.061  0.147 -0.212  0.147 -0.363  0.147 -0.514  0.083 -0.638  0.026 -0.766  0.026 -0.917  0.026 -1.068  0.026 -1.219  -0.040 -1.304  -0.096 -1.399  -0.097 -1.545  -0.152 -1.404  -0.207 -1.264  -0.261 -1.123  -0.316 -0.982  -0.371 -0.841  -0.426 -0.701  -0.480 -0.560  -0.535 -0.419  -0.590 -0.278  -0.645 -0.137  -0.699 0.003  -0.754 0.144  -0.809 0.285  -0.863 0.426  -0.918 0.566  -0.880 0.644  -0.729 0.644  -0.615 0.733  -0.478 0.765  -0.327 0.765  -0.175 0.765  -0.024 0.765  0.127 0.765  0.277 0.769  0.412 0.837  0.551 0.887  0.702 0.887  0.853 0.887  1.004 0.887  1.155 0.887  1.306 0.887  1.457 0.887  1.608 0.887
3#apa#apa02#app0258/H  -0.705 1.162  -0.705 0.901  -0.705 0.641  -0.705 0.380  -0.719 0.123  -0.831 -0.111  -0.831 -0.372  -0.842 -0.629  -0.960 -0.862  -1.084 -1.071  -1.084 -1.331  -0.955 -1.180  -0.806 -0.966  -0.657 -0.752  -0.509 -0.538  -0.360 -0.325  -0.211 -0.111  -0.062 0.103  0.086 0.317  0.235 0.531  0.384 0.745  0.533 0.958  0.681 1.172  0.830 1.386  0.938 1.468  0.938 1.208  0.938 0.947  0.938 0.687  0.938 0.426  0.938 0.166  0.938 -0.095  0.848 -0.318  0.811 -0.563  0.685 -0.771  0.653 -1.019  0.465 -1.028  0.272 -0.852  0.079 -0.677  -0.114 -0.502  -0.306 -0.327  -0.499 -0.151  -0.692 0.024  -0.759 0.151  -0.499 0.151  -0.238 0.151  0.022 0.151  0.283 0.151  0.543 0.151  0.804 0.151  1.064 0.151
3#apa#apa02#app0258/E  -0.092 0.881  -0.171 0.680  -0.249 0.478  -0.387 0.293  -0.528 0.144  -0.609 -0.029  -0.717 -0.235  -0.830 -0.422  -0.953 -0.605  -0.953 -0.839  -0.953 -1.073  -0.855 -1.209  -0.744 -1.332  -0.510 -1.332  -0.295 -1.288  -0.093 -1.209  0.140 -1.209  0.346 -1.140  0.547 -1.062  0.575 -0.900  0.401 -0.743  0.227 -0.587  0.053 -0.430  -0.120 -0.274  -0.294 -0.117  -0.468 0.039  -0.584 0.066  -0.395 0.021  -0.284 -0.102  -0.050 -0.102  0.183 -0.102  0.417 -0.102  0.651 -0.102  0.885 -0.102  1.119 -0.102  0.985 0.050  0.820 0.215  0.654 0.381  0.489 0.546  0.323 0.712  0.158 0.877  -0.007 1.042  -0.173 1.208  -0.338 1.373  -0.104 1.373  0.130 1.373  0.313 1.250  0.547 1.250  0.781 1.250  1.014 1.250
3#apa#apa02#app0258/V  -0.361 1.290  -0.361 1.410  -0.365 1.290  -0.482 1.284  -0.482 1.161  -0.490 1.041  -0.577 0.953  -0.603 0.841  -0.603 0.718  -0.603 0.595  -0.603 0.471  -0.603 0.348  -0.603 0.225  -0.603 0.101  -0.603 -0.022  -0.603 -0.145  -0.603 -0.268  -0.603 -0.392  -0.555 -0.503  -0.500 -0.614  -0.482 -0.733  -0.482 -0.856  -0.420 -0.954  -0.361 -1.053  -0.331 -1.163  -0.244 -1.251  -0.122 -1.255  0.001 -1.255  0.089 -1.169  0.176 -1.082  0.263 -0.994  0.350 -0.907  0.437 -0.820  0.511 -0.723  0.566 -0.613  0.609 -0.500  0.609 -0.376  0.609 -0.253  0.609 -0.130  0.625 -0.010  0.680 0.100  0.730 0.212  0.730 0.335  0.730 0.458  0.738 0.579  0.793 0.690  0.848 0.800  0.851 0.923  0.851 1.046  0.851 1.169
3#apa#apa02#app0258/E  -0.003 1.207  -0.087 1.066  -0.171 0.925  -0.285 0.815  -0.423 0.646  -0.568 0.564  -0.589 0.360  -0.709 0.255  -0.843 0.085  -0.850 -0.137  -0.850 -0.362  -0.850 -0.587  -0.820 -0.799  -0.661 -0.959  -0.568 -1.145  -0.427 -1.229  -0.307 -1.334  -0.144 -1.397  0.002 -1.476  0.227 -1.476  0.311 -1.334  0.536 -1.334  0.562 -1.135  0.475 -0.940  0.337 -0.762  0.198 -0.584  0.060 -0.407  -0.078 -0.229  -0.216 -0.051  -0.354 0.126  -0.319 0.219  -0.150 0.084  0.051 0.024  0.239 -0.063  0.464 -0.063  0.690 -0.063  0.915 -0.063  0.889 0.057  0.749 0.233  0.608 0.409  0.467 0.584  0.327 0.760  0.186 0.936  0.046 1.112  -0.095 1.287  0.001 1.345  0.169 1.207  0.394 1.207  0.619 1.207  0.844 1.207
3#apa#apa02#app0258/L  0.222 1.731  0.222 1.637  0.171 1.565  0.106 1.498  0.106 1.405  0.055 1.333  -0.009 1.266  -0.009 1.172  -0.009 1.079  -0.009 0.986  -0.040 0.923  -0.125 0.914  -0.125 0.821  -0.181 0.751  -0.240 0.682  -0.240 0.588  -0.240 0.495  -0.240 0.402  -0.266 0.319  -0.332 0.253  -0.356 0.169  -0.383 0.087  -0.449 0.021  -0.471 -0.063  -0.471 -0.157  -0.471 -0.250  -0.471 -0.343  -0.471 -0.437  -0.471 -0.530  -0.471 -0.624  -0.471 -0.717  -0.470 -0.810  -0.404 -0.876  -0.331 -0.924  -0.237 -0.924  -0.144 -0.924  -0.050 -0.924  0.043 -0.924  0.136 -0.924  0.230 -0.924  0.323 -0.924  0.417 -0.924  0.510 -0.924  0.603 -0.924  0.696 -0.920  0.785 -0.891  0.873 -0.861  0.962 -0.832  1.052 -0.809  1.145 -0.809
3#apa#apa02#app0258/V  -0.931 0.982  -0.816 0.993  -0.793 1.097  -0.700 1.131  -0.700 1.258  -0.660 1.288  -0.585 1.193  -0.585 1.066  -0.585 0.939  -0.546 0.828  -0.469 0.733  -0.469 0.606  -0.469 0.480  -0.469 0.353  -0.469 0.226  -0.469 0.099  -0.469 -0.028  -0.469 -0.154  -0.469 -0.281  -0.467 -0.408  -0.411 -0.521  -0.354 -0.635  -0.354 -0.761  -0.344 -0.886  -0.287 -0.999  -0.221 -1.098  -0.122 -1.126  -0.083 -1.213  0.044 -1.213  0.109 -1.151  0.182 -1.098  0.284 -1.038  0.340 -0.934  0.393 -0.840  0.506 -0.784  0.571 -0.697  0.571 -0.570  0.613 -0.456  0.684 -0.350  0.754 -0.245  0.802 -0.133  0.802 -0.006  0.802 0.121  0.835 0.240  0.892 0.353  0.917 0.474  0.917 0.601  0.917 0.728  0.917 0.855  0.917 0.982
3#apa#apa02#app0258/E  -0.149 0.983  -0.025 1.079  -0.092 0.983  -0.189 0.858  -0.370 0.763  -0.526 0.606  -0.670 0.441  -0.769 0.243  -0.834 0.049  -0.897 -0.146  -0.897 -0.367  -0.897 -0.588  -0.877 -0.804  -0.778 -1.001  -0.615 -1.137  -0.519 -1.261  -0.298 -1.261  -0.098 -1.312  0.092 -1.386  0.313 -1.386  0.515 -1.304  0.724 -1.259  0.822 -1.137  0.725 -0.986  0.585 -0.815  0.445 -0.644  0.305 -0.473  0.165 -0.302  0.026 -0.131  -0.114 0.040  -0.254 0.211  -0.209 0.110  -0.113 -0.014  0.108 -0.014  0.225 -0.119  0.426 -0.139  0.646 -0.139  0.659 -0.010  0.560 0.187  0.462 0.385  0.363 0.582  0.264 0.780  0.165 0.978  0.066 1.175  -0.042 1.357  -0.036 1.357  0.100 1.272  0.282 1.233  0.503 1.233  0.724 1.233
3#apa#apa02#app0258/T  0.601 0.902  0.601 0.733  0.601 0.564  0.601 0.395  0.601 0.226  0.601 0.057  0.601 -0.111  0.554 -0.261  0.477 -0.398  0.477 -0.567  0.459 -0.728  0.352 -0.853  0.352 -1.022  0.304 -1.180  0.229 -1.331  0.228 -1.499  0.183 -1.504  0.096 -1.359  0.009 -1.215  -0.078 -1.070  -0.165 -0.925  -0.252 -0.780  -0.338 -0.635  -0.425 -0.491  -0.512 -0.346  -0.599 -0.201  -0.686 -0.056  -0.773 0.089  -0.860 0.234  -0.947 0.378  -1.034 0.523  -1.120 0.668  -1.207 0.813  -1.196 0.902  -1.027 0.902  -0.867 0.880  -0.740 0.778  -0.571 0.778  -0.403 0.778  -0.244 0.753  -0.116 0.654  0.053 0.654  0.209 0.601  0.361 0.530  0.530 0.530  0.699 0.530  0.853 0.466  1.007 0.405  1.176 0.405  1.345 0.405
