1d#tos#f2#f2064063/\"  -0.764 -0.231  -0.960 -0.098  -1.142 0.045  -1.215 0.252  -1.138 0.391  -0.858 0.391  -0.695 0.232  -0.787 0.039  -1.060 -0.024  -1.247 0.069  -1.247 0.349  -1.008 0.391  -0.764 0.355  -0.764 0.074  -0.833 -0.137  -0.833 -0.417  -0.971 -0.612  -1.109 -0.755  -1.109 -1.035  -1.018 -1.124  -0.801 -0.947  -0.583 -0.771  -0.366 -0.594  -0.148 -0.417  0.070 -0.240  0.287 -0.063  0.505 0.113  0.722 0.290  0.940 0.467  1.028 0.598  0.894 0.452  0.756 0.472  0.841 0.667  0.894 0.440  0.820 0.460  1.032 0.391  0.890 0.252  0.687 0.191  0.768 0.391  1.043 0.379  1.101 0.123  0.963 -0.019  0.728 0.073  0.702 0.322  0.963 0.302  1.101 0.160  1.101 -0.121  1.029 -0.369  0.801 -0.442  0.756 -0.715
1d#tos#f2#f2064063/(  0.255 1.510  0.177 1.510  0.100 1.510  0.053 1.479  0.016 1.424  -0.054 1.389  -0.081 1.329  -0.081 1.251  -0.129 1.193  -0.165 1.126  -0.189 1.052  -0.214 0.979  -0.216 0.901  -0.216 0.823  -0.216 0.746  -0.216 0.668  -0.216 0.590  -0.216 0.512  -0.216 0.435  -0.216 0.357  -0.216 0.279  -0.216 0.201  -0.216 0.124  -0.216 0.046  -0.216 -0.032  -0.216 -0.110  -0.216 -0.188  -0.216 -0.265  -0.200 -0.339  -0.165 -0.409  -0.120 -0.471  -0.081 -0.533  -0.081 -0.610  -0.081 -0.688  -0.081 -0.766  -0.024 -0.808  0.046 -0.843  0.054 -0.916  0.089 -0.985  0.126 -1.053  0.181 -1.108  0.255 -1.116  0.323 -1.126  0.344 -1.183  0.421 -1.183  0.457 -1.225  0.494 -1.287  0.549 -1.342  0.604 -1.397  0.659 -1.452
1d#tos#f2#f2064063/+  -0.034 0.066  -0.221 0.066  -0.407 0.066  -0.593 0.066  -0.779 0.066  -0.965 0.066  -1.152 0.066  -1.338 0.066  -1.524 0.066  -1.465 0.190  -1.279 0.190  -1.093 0.190  -0.907 0.190  -0.721 0.190  -0.534 0.190  -0.348 0.190  -0.162 0.190  0.018 0.217  0.185 0.300  0.367 0.315  0.553 0.315  0.740 0.315  0.926 0.315  1.112 0.315  1.298 0.315  1.432 0.327  1.266 0.410  1.099 0.493  0.933 0.577  0.766 0.660  0.600 0.743  0.433 0.827  0.267 0.910  0.090 0.933  0.090 0.746  0.090 0.560  0.090 0.374  0.090 0.188  0.090 0.002  0.090 -0.185  0.090 -0.371  0.090 -0.557  0.090 -0.743  0.090 -0.929  0.090 -1.116  0.090 -1.302  0.090 -1.488  0.090 -1.674  0.090 -1.860  0.090 -2.047
1d#tos#f2#f2064063/.  1.378 0.592  1.178 0.592  1.150 0.419  1.150 0.218  1.150 0.018  1.150 -0.183  1.150 -0.384  1.114 -0.548  0.922 -0.557  0.922 -0.758  0.740 -0.776  0.555 -0.845  0.376 -0.935  0.191 -1.004  -0.007 -0.995  -0.187 -0.905  -0.366 -0.815  -0.558 -0.776  -0.758 -0.776  -0.902 -0.718  -0.923 -0.526  -1.065 -0.385  -1.130 -0.211  -1.130 -0.010  -1.130 0.191  -1.130 0.391  -1.130 0.592  -0.988 0.734  -0.823 0.820  -0.622 0.820  -0.429 0.837  -0.287 0.979  -0.115 1.048  0.086 1.048  0.287 1.048  0.466 1.027  0.466 0.827  0.466 0.626  0.466 0.425  0.466 0.225  0.354 0.136  0.238 0.051  0.198 -0.132  0.056 -0.274  -0.126 -0.320  -0.327 -0.320  -0.528 -0.320  -0.674 -0.265  -0.674 -0.064  -0.674 0.136
1d#tos#f2#f2064063/  0.977 1.382  0.920 1.325  0.851 1.300  0.771 1.300  0.710 1.266  0.666 1.200  0.622 1.133  0.577 1.067  0.549 0.993  0.524 0.917  0.499 0.842  0.477 0.765  0.458 0.688  0.438 0.610  0.419 0.533  0.375 0.487  0.296 0.487  0.216 0.487  0.158 0.460  0.143 0.382  0.127 0.304  0.111 0.226  0.096 0.148  0.071 0.080  -0.009 0.080  -0.085 0.074  -0.129 0.007  -0.173 -0.059  -0.217 -0.125  -0.251 -0.196  -0.271 -0.273  -0.290 -0.351  -0.309 -0.428  -0.325 -0.506  -0.325 -0.586  -0.325 -0.665  -0.335 -0.738  -0.406 -0.774  -0.478 -0.810  -0.549 -0.845  -0.620 -0.881  -0.650 -0.942  -0.650 -1.022  -0.650 -1.102  -0.650 -1.182  -0.650 -1.261  -0.650 -1.341  -0.650 -1.421  -0.675 -1.490  -0.731 -1.546
1d#tos#f2#f2064063/:  0.376 1.659  0.250 1.659  0.124 1.659  0.035 1.650  0.148 1.594  0.267 1.569  0.299 1.463  0.315 1.339  0.331 1.214  0.346 1.090  0.362 0.965  0.377 0.840  0.393 0.716  0.408 0.591  0.424 0.467  0.440 0.342  0.455 0.217  0.418 0.139  0.293 0.139  0.286 0.020  0.286 -0.106  0.274 -0.219  0.148 -0.219  0.107 -0.304  0.076 -0.397  -0.050 -0.397  -0.071 -0.293  -0.020 -0.219  0.018 -0.306  -0.105 -0.308  -0.231 -0.308  -0.322 -0.308  -0.197 -0.308  -0.071 -0.308  0.018 -0.344  0.018 -0.470  -0.091 -0.487  -0.161 -0.542  -0.162 -0.667  -0.250 -0.756  -0.250 -0.882  -0.250 -1.007  -0.271 -1.112  -0.396 -1.112  -0.521 -1.115  -0.610 -1.204  -0.699 -1.292  -0.811 -1.348  -0.876 -1.434  -0.876 -1.559
1d#tos#f2#f2064063/<  0.822 1.555  0.752 1.485  0.735 1.394  0.675 1.320  0.587 1.294  0.510 1.243  0.440 1.173  0.370 1.103  0.301 1.034  0.231 0.964  0.161 0.894  0.125 0.811  0.083 0.729  0.014 0.660  -0.059 0.596  -0.154 0.585  -0.236 0.530  -0.318 0.476  -0.398 0.420  -0.411 0.335  -0.486 0.310  -0.486 0.212  -0.533 0.160  -0.631 0.160  -0.660 0.090  -0.579 0.073  -0.570 -0.019  -0.526 -0.107  -0.478 -0.189  -0.381 -0.197  -0.293 -0.241  -0.224 -0.297  -0.224 -0.396  -0.224 -0.494  -0.224 -0.593  -0.164 -0.654  -0.076 -0.698  -0.050 -0.781  -0.050 -0.879  0.039 -0.891  0.062 -0.986  0.086 -1.082  0.110 -1.177  0.142 -1.270  0.186 -1.358  0.253 -1.409  0.352 -1.409  0.451 -1.409  0.473 -1.485  0.473 -1.584
1d#tos#f2#f2064063/>  -0.734 0.898  -0.861 0.898  -0.988 0.898  -1.115 0.898  -1.210 0.898  -1.083 0.898  -0.956 0.898  -0.898 0.829  -0.875 0.711  -0.773 0.652  -0.646 0.652  -0.519 0.652  -0.402 0.609  -0.284 0.570  -0.157 0.570  -0.030 0.570  0.091 0.560  0.148 0.446  0.250 0.406  0.377 0.406  0.503 0.402  0.617 0.345  0.739 0.324  0.859 0.301  0.965 0.230  1.070 0.160  1.152 0.114  1.060 0.078  0.949 0.040  0.840 -0.004  0.742 -0.032  0.742 -0.159  0.623 -0.168  0.552 -0.245  0.512 -0.366  0.442 -0.468  0.326 -0.496  0.199 -0.496  0.137 -0.586  0.097 -0.707  0.057 -0.827  0.017 -0.948  -0.073 -1.026  -0.160 -1.099  -0.160 -1.226  -0.214 -1.340  -0.305 -1.398  -0.432 -1.398  -0.538 -1.448  -0.652 -1.480
1d#tos#f2#f2064063/?  -0.476 1.078  -0.594 1.078  -0.662 1.027  -0.681 1.027  -0.562 1.027  -0.443 1.027  -0.325 1.027  -0.206 1.027  -0.088 1.027  0.031 1.027  0.149 1.027  0.259 1.005  0.344 0.925  0.455 0.892  0.561 0.839  0.676 0.823  0.747 0.745  0.798 0.678  0.704 0.628  0.600 0.572  0.508 0.500  0.410 0.436  0.326 0.352  0.242 0.268  0.126 0.263  0.025 0.238  -0.012 0.126  -0.018 0.008  -0.124 -0.043  -0.192 -0.094  -0.221 -0.183  -0.221 -0.302  -0.171 -0.399  -0.108 -0.462  -0.067 -0.564  -0.050 -0.681  -0.033 -0.799  -0.016 -0.916  0.000 -1.033  0.017 -1.151  0.031 -1.265  -0.088 -1.265  -0.170 -1.301  -0.172 -1.418  -0.291 -1.418  -0.339 -1.418  -0.220 -1.418  -0.119 -1.436  -0.119 -1.554  -0.221 -1.571
1d#tos#f2#f2064063/[  0.884 1.088  0.857 1.157  0.761 1.157  0.666 1.157  0.580 1.132  0.503 1.088  0.425 1.045  0.340 1.019  0.244 1.019  0.148 1.019  0.052 1.019  -0.029 0.996  -0.072 0.910  -0.149 0.880  -0.245 0.880  -0.341 0.880  -0.367 0.811  -0.434 0.781  -0.394 0.702  -0.364 0.618  -0.364 0.522  -0.364 0.427  -0.364 0.331  -0.364 0.235  -0.364 0.139  -0.364 0.043  -0.350 -0.049  -0.307 -0.135  -0.295 -0.228  -0.295 -0.323  -0.295 -0.419  -0.295 -0.515  -0.295 -0.611  -0.295 -0.707  -0.295 -0.802  -0.295 -0.898  -0.295 -0.994  -0.266 -1.061  -0.226 -1.116  -0.213 -1.200  -0.117 -1.200  -0.021 -1.200  0.074 -1.200  0.170 -1.200  0.266 -1.200  0.362 -1.200  0.458 -1.200  0.553 -1.200  0.649 -1.200  0.745 -1.200
1d#tos#f2#f2064063/~  -1.015 -0.105  -1.015 -0.218  -1.097 -0.249  -1.195 -0.285  -1.293 -0.322  -1.304 -0.219  -1.304 -0.105  -1.304 0.008  -1.294 0.112  -1.181 0.112  -1.068 0.112  -1.015 0.172  -1.015 0.285  -0.945 0.329  -0.831 0.329  -0.718 0.329  -0.653 0.377  -0.636 0.473  -0.523 0.473  -0.409 0.473  -0.316 0.425  -0.292 0.322  -0.244 0.257  -0.131 0.257  -0.075 0.199  -0.075 0.086  -0.008 0.040  0.106 0.040  0.147 -0.033  0.260 -0.033  0.348 -0.094  0.359 -0.203  0.359 -0.316  0.466 -0.322  0.580 -0.322  0.648 -0.367  0.734 -0.394  0.847 -0.394  0.961 -0.394  1.074 -0.394  1.187 -0.394  1.298 -0.391  1.312 -0.280  1.348 -0.173  1.412 -0.105  1.450 -0.025  1.515 0.061  1.515 0.175  1.515 0.288  1.515 0.401
