3#apb#apb08#app0802/S  0.681 0.993  0.691 1.091  0.648 1.186  0.615 1.286  0.533 1.346  0.435 1.371  0.331 1.371  0.231 1.339  0.143 1.287  0.064 1.217  -0.014 1.147  -0.077 1.064  -0.137 0.979  -0.197 0.893  -0.258 0.807  -0.318 0.721  -0.372 0.632  -0.415 0.536  -0.456 0.440  -0.485 0.339  -0.500 0.237  -0.500 0.132  -0.484 0.034  -0.405 -0.035  -0.327 -0.104  -0.238 -0.160  -0.148 -0.213  -0.057 -0.265  0.034 -0.316  0.126 -0.367  0.218 -0.417  0.312 -0.464  0.406 -0.511  0.470 -0.592  0.521 -0.682  0.530 -0.783  0.497 -0.882  0.422 -0.953  0.334 -1.008  0.238 -1.049  0.143 -1.095  0.049 -1.141  -0.052 -1.156  -0.157 -1.156  -0.261 -1.156  -0.366 -1.156  -0.471 -1.156  -0.576 -1.156  -0.662 -1.200  -0.737 -1.275
3#apb#apb08#app0802/c  0.031 1.242  0.103 1.197  0.050 1.197  -0.040 1.197  -0.128 1.180  -0.216 1.158  -0.286 1.106  -0.350 1.042  -0.414 0.978  -0.480 0.917  -0.558 0.871  -0.635 0.824  -0.703 0.769  -0.744 0.688  -0.783 0.607  -0.783 0.517  -0.783 0.427  -0.783 0.336  -0.765 0.250  -0.730 0.167  -0.694 0.084  -0.659 0.001  -0.613 -0.077  -0.563 -0.152  -0.513 -0.227  -0.463 -0.302  -0.413 -0.377  -0.354 -0.442  -0.271 -0.479  -0.189 -0.515  -0.106 -0.552  -0.024 -0.589  0.059 -0.623  0.144 -0.654  0.229 -0.685  0.314 -0.716  0.399 -0.747  0.484 -0.778  0.567 -0.813  0.647 -0.853  0.729 -0.877  0.813 -0.843  0.897 -0.810  0.979 -0.773  1.060 -0.732  1.140 -0.692  1.222 -0.654  1.308 -0.625  1.393 -0.596  1.479 -0.568
3#apb#apb08#app0802/h  -0.410 -1.146  -0.273 -1.081  -0.169 -0.962  -0.116 -0.817  -0.088 -0.661  -0.085 -0.502  -0.085 -0.344  -0.089 -0.185  -0.098 -0.027  -0.107 0.132  -0.116 0.290  -0.124 0.449  -0.133 0.607  -0.159 0.763  -0.194 0.918  -0.228 1.073  -0.273 1.225  -0.320 1.377  -0.368 1.528  -0.432 1.667  -0.469 1.580  -0.441 1.424  -0.413 1.268  -0.403 1.109  -0.394 0.951  -0.386 0.792  -0.378 0.634  -0.370 0.475  -0.362 0.317  -0.353 0.158  -0.345 -0.000  -0.337 -0.159  -0.329 -0.317  -0.320 -0.476  -0.312 -0.634  -0.274 -0.771  -0.131 -0.726  -0.004 -0.632  0.142 -0.570  0.292 -0.520  0.442 -0.467  0.590 -0.431  0.736 -0.494  0.878 -0.564  0.975 -0.688  1.064 -0.819  1.142 -0.957  1.196 -1.105  1.216 -1.262  1.216 -1.421
3#apb#apb08#app0802/e  -1.042 0.420  -0.913 0.317  -0.781 0.219  -0.640 0.134  -0.499 0.049  -0.355 -0.027  -0.191 -0.027  -0.026 -0.027  0.139 -0.027  0.299 0.004  0.455 0.056  0.611 0.108  0.748 0.199  0.883 0.293  0.974 0.430  1.061 0.570  1.100 0.729  0.975 0.833  0.843 0.932  0.702 1.017  0.545 1.045  0.381 1.044  0.220 1.008  0.059 0.972  -0.090 0.909  -0.230 0.821  -0.370 0.734  -0.513 0.652  -0.656 0.571  -0.769 0.453  -0.874 0.327  -0.958 0.186  -0.986 0.031  -0.963 -0.132  -0.912 -0.286  -0.838 -0.434  -0.728 -0.552  -0.604 -0.661  -0.480 -0.769  -0.349 -0.870  -0.218 -0.968  -0.082 -1.061  0.074 -1.113  0.232 -1.157  0.394 -1.187  0.559 -1.187  0.718 -1.152  0.874 -1.100  1.032 -1.142  1.191 -1.187
3#apb#apb08#app0802/d  -0.105 -0.528  0.036 -0.398  0.132 -0.280  -0.061 -0.280  -0.250 -0.306  -0.432 -0.369  -0.600 -0.460  -0.735 -0.595  -0.768 -0.777  -0.731 -0.961  -0.625 -1.121  -0.479 -1.239  -0.288 -1.247  -0.131 -1.142  0.012 -1.013  0.141 -0.870  0.259 -0.719  0.369 -0.560  0.463 -0.394  0.516 -0.209  0.554 -0.023  0.532 0.169  0.509 0.360  0.475 0.550  0.438 0.739  0.400 0.928  0.353 1.115  0.304 1.301  0.255 1.487  0.175 1.663  0.101 1.840  -0.031 1.778  -0.133 1.614  -0.205 1.437  -0.266 1.254  -0.322 1.069  -0.359 0.882  -0.373 0.689  -0.364 0.499  -0.324 0.310  -0.271 0.125  -0.198 -0.053  -0.125 -0.231  -0.033 -0.400  0.066 -0.565  0.171 -0.727  0.293 -0.876  0.416 -1.024  0.544 -1.168  0.697 -1.275
3#apb#apb08#app0802/u  -1.384 0.789  -1.310 0.716  -1.222 0.664  -1.175 0.570  -1.129 0.477  -1.082 0.384  -1.035 0.290  -0.989 0.197  -0.945 0.103  -0.928 -0.000  -0.911 -0.103  -0.860 -0.192  -0.799 -0.277  -0.738 -0.362  -0.675 -0.444  -0.608 -0.524  -0.541 -0.605  -0.460 -0.667  -0.367 -0.714  -0.274 -0.761  -0.179 -0.805  -0.078 -0.830  0.023 -0.855  0.124 -0.881  0.225 -0.857  0.327 -0.832  0.428 -0.807  0.502 -0.737  0.570 -0.658  0.637 -0.578  0.696 -0.494  0.735 -0.397  0.774 -0.300  0.813 -0.203  0.846 -0.105  0.855 -0.001  0.865 0.103  0.874 0.207  0.883 0.311  0.859 0.412  0.833 0.513  0.808 0.614  0.783 0.716  0.756 0.817  0.728 0.917  0.699 1.017  0.636 1.084  0.535 1.108  0.469 1.032  0.406 0.949
3#apb#apb08#app0802/l  -0.463 1.636  -0.437 1.572  -0.411 1.507  -0.385 1.442  -0.360 1.377  -0.334 1.312  -0.319 1.245  -0.307 1.176  -0.296 1.107  -0.284 1.038  -0.273 0.969  -0.261 0.900  -0.247 0.832  -0.233 0.764  -0.218 0.696  -0.203 0.627  -0.189 0.559  -0.174 0.491  -0.160 0.423  -0.141 0.356  -0.122 0.288  -0.102 0.221  -0.083 0.154  -0.064 0.087  -0.045 0.020  -0.026 -0.047  -0.002 -0.113  0.022 -0.178  0.047 -0.243  0.071 -0.309  0.096 -0.374  0.120 -0.439  0.145 -0.505  0.169 -0.570  0.191 -0.636  0.209 -0.704  0.227 -0.771  0.246 -0.838  0.264 -0.906  0.282 -0.973  0.302 -1.040  0.321 -1.107  0.340 -1.174  0.358 -1.242  0.375 -1.309  0.392 -1.377  0.409 -1.445  0.450 -1.487  0.519 -1.500  0.587 -1.514
3#apb#apb08#app0802/e  -1.405 0.384  -1.304 0.233  -1.172 0.116  -1.014 0.026  -0.846 -0.043  -0.678 -0.110  -0.502 -0.155  -0.325 -0.194  -0.145 -0.215  0.035 -0.224  0.208 -0.171  0.380 -0.114  0.516 0.005  0.653 0.125  0.736 0.285  0.801 0.450  0.783 0.631  0.756 0.809  0.682 0.975  0.592 1.126  0.435 1.217  0.254 1.217  0.092 1.152  -0.059 1.052  -0.206 0.946  -0.350 0.834  -0.488 0.718  -0.610 0.583  -0.731 0.448  -0.828 0.297  -0.901 0.131  -0.934 -0.043  -0.934 -0.225  -0.848 -0.383  -0.733 -0.516  -0.574 -0.603  -0.415 -0.690  -0.251 -0.767  -0.086 -0.843  0.079 -0.919  0.259 -0.936  0.440 -0.953  0.616 -0.917  0.791 -0.867  0.965 -0.817  1.129 -0.739  1.289 -0.655  1.419 -0.539  1.300 -0.530  1.130 -0.594
3#apb#apb08#app0802/s  0.754 1.179  0.732 1.267  0.635 1.302  0.539 1.340  0.436 1.341  0.333 1.341  0.235 1.314  0.141 1.271  0.047 1.228  -0.044 1.180  -0.132 1.125  -0.219 1.070  -0.274 0.982  -0.328 0.894  -0.378 0.804  -0.425 0.712  -0.461 0.617  -0.461 0.514  -0.445 0.414  -0.403 0.319  -0.361 0.225  -0.298 0.144  -0.230 0.066  -0.162 -0.011  -0.082 -0.077  -0.002 -0.142  0.078 -0.207  0.153 -0.278  0.218 -0.358  0.282 -0.439  0.347 -0.520  0.402 -0.607  0.457 -0.695  0.503 -0.787  0.538 -0.883  0.532 -0.983  0.440 -1.030  0.347 -1.074  0.252 -1.115  0.154 -1.143  0.051 -1.143  -0.052 -1.143  -0.156 -1.143  -0.254 -1.123  -0.344 -1.073  -0.435 -1.023  -0.524 -0.972  -0.614 -0.920  -0.710 -0.885  -0.812 -0.873
3#apb#apb08#app0802/h  -0.299 -1.093  -0.273 -1.037  -0.293 -0.873  -0.317 -0.710  -0.331 -0.545  -0.342 -0.380  -0.354 -0.216  -0.377 -0.052  -0.401 0.111  -0.424 0.275  -0.449 0.438  -0.473 0.602  -0.498 0.765  -0.513 0.930  -0.525 1.094  -0.531 1.259  -0.526 1.424  -0.481 1.583  -0.351 1.512  -0.335 1.348  -0.328 1.183  -0.340 1.018  -0.352 0.854  -0.365 0.689  -0.377 0.524  -0.389 0.359  -0.402 0.195  -0.414 0.030  -0.426 -0.135  -0.438 -0.300  -0.451 -0.464  -0.453 -0.630  -0.326 -0.599  -0.178 -0.526  -0.027 -0.462  0.097 -0.353  0.234 -0.264  0.386 -0.199  0.539 -0.138  0.703 -0.125  0.868 -0.114  1.025 -0.151  1.121 -0.286  1.165 -0.442  1.192 -0.605  1.207 -0.769  1.218 -0.934  1.211 -1.098  1.197 -1.263  1.197 -1.428
3#apb#apb08#app0802/a  0.160 0.561  0.262 0.663  0.300 0.792  0.211 0.872  0.088 0.943  -0.028 1.030  -0.144 1.117  -0.270 1.171  -0.415 1.171  -0.537 1.123  -0.630 1.012  -0.722 0.901  -0.807 0.784  -0.891 0.667  -0.973 0.548  -1.038 0.419  -1.102 0.289  -1.108 0.146  -1.108 0.002  -1.108 -0.143  -1.059 -0.275  -0.987 -0.400  -0.912 -0.522  -0.780 -0.581  -0.648 -0.639  -0.516 -0.698  -0.373 -0.706  -0.229 -0.706  -0.084 -0.706  0.060 -0.706  0.204 -0.687  0.347 -0.666  0.477 -0.610  0.601 -0.535  0.664 -0.412  0.710 -0.275  0.723 -0.133  0.757 0.002  0.817 0.128  0.776 0.232  0.813 0.102  0.817 -0.043  0.817 -0.187  0.837 -0.330  0.857 -0.473  0.888 -0.614  0.933 -0.751  0.997 -0.880  1.115 -0.960  1.239 -1.035
