3#app#app25#app2544/f  1.476 1.258  1.305 1.258  1.133 1.258  0.962 1.258  0.790 1.258  0.690 1.186  0.604 1.101  0.533 1.000  0.419 0.943  0.247 0.943  0.219 0.800  0.062 0.786  0.062 0.614  0.062 0.443  0.062 0.272  0.062 0.100  0.062 -0.071  0.062 -0.243  0.062 -0.414  0.062 -0.586  0.062 -0.757  0.062 -0.929  -0.096 -0.942  -0.253 -0.957  -0.253 -1.070  -0.296 -0.942  -0.410 -1.000  -0.482 -1.100  -0.567 -1.186  -0.668 -1.257  -0.724 -1.372  -0.711 -1.285  -0.694 -1.114  -0.677 -0.944  -0.660 -0.773  -0.643 -0.602  -0.626 -0.432  -0.609 -0.261  -0.592 -0.091  -0.575 0.080  -0.501 0.224  -0.410 0.357  -0.353 0.472  -0.181 0.472  -0.010 0.472  0.161 0.472  0.219 0.358  0.347 0.315  0.519 0.315  0.690 0.315
3#app#app25#app2544/o  0.316 0.424  0.190 0.550  0.054 0.651  -0.124 0.651  -0.302 0.651  -0.364 0.534  -0.431 0.424  -0.591 0.405  -0.591 0.227  -0.591 0.049  -0.690 -0.029  -0.868 -0.029  -1.044 -0.032  -1.044 -0.210  -1.044 -0.388  -1.044 -0.566  -1.044 -0.744  -1.044 -0.922  -1.044 -1.100  -0.928 -1.162  -0.750 -1.162  -0.578 -1.149  -0.452 -1.024  -0.310 -0.936  -0.137 -0.931  -0.137 -0.753  -0.003 -0.709  0.150 -0.648  0.276 -0.523  0.437 -0.482  0.615 -0.482  0.769 -0.459  0.769 -0.281  0.877 -0.147  1.003 -0.022  1.129 0.104  1.222 0.244  1.222 0.422  1.222 0.600  1.222 0.778  1.144 0.877  0.966 0.877  0.788 0.877  0.610 0.877  0.432 0.877  0.254 0.877  0.080 0.868  -0.046 0.742  -0.186 0.651  -0.364 0.651
3#app#app25#app2544/x  -1.115 1.003  -0.904 1.003  -0.692 1.003  -0.679 0.806  -0.544 0.650  -0.461 0.474  -0.399 0.288  -0.250 0.139  -0.243 -0.070  -0.105 -0.224  -0.025 -0.402  0.066 -0.522  0.277 -0.522  0.411 -0.599  0.411 -0.811  0.475 -0.958  0.628 -1.015  0.679 -1.176  0.846 -1.132  0.846 -0.921  0.846 -0.710  0.846 -0.498  0.846 -0.287  0.846 -0.076  0.846 0.135  0.846 0.346  0.846 0.557  0.846 0.769  0.846 0.980  0.846 1.191  0.719 1.093  0.628 0.919  0.551 0.785  0.411 0.715  0.347 0.568  0.152 0.527  0.003 0.378  -0.025 0.179  -0.190 0.132  -0.243 -0.026  -0.394 -0.086  -0.461 -0.230  -0.598 -0.304  -0.810 -0.304  -1.021 -0.304  -1.115 -0.421  -1.193 -0.600  -1.346 -0.740  -1.551 -0.747  -1.551 -0.958
3#app#app25#app2544/y  -0.054 1.122  -0.231 1.122  -0.408 1.122  -0.420 0.958  -0.420 0.782  -0.420 0.605  -0.565 0.573  -0.603 0.435  -0.603 0.258  -0.603 0.081  -0.484 0.024  -0.308 0.024  -0.131 0.024  0.046 0.024  0.222 0.024  0.399 0.024  0.495 0.104  0.569 0.207  0.746 0.207  0.922 0.207  1.044 0.262  1.044 0.439  1.074 0.603  1.199 0.728  1.227 0.893  1.129 0.853  0.996 0.737  0.863 0.621  0.730 0.504  0.597 0.388  0.464 0.272  0.331 0.155  0.198 0.039  0.065 -0.077  -0.068 -0.194  -0.200 -0.310  -0.237 -0.215  -0.237 -0.280  -0.237 -0.457  -0.346 -0.525  -0.420 -0.627  -0.488 -0.776  -0.613 -0.901  -0.738 -1.026  -0.786 -1.182  -0.858 -1.329  -0.970 -1.460  -0.970 -1.636  -0.970 -1.800  -0.970 -1.624
3#app#app25#app2544/z  -0.667 1.427  -0.646 1.637  -0.415 1.637  -0.191 1.609  0.016 1.505  0.173 1.371  0.250 1.217  0.427 1.129  0.530 0.922  0.593 0.706  0.593 0.475  0.460 0.377  0.383 0.222  0.259 0.043  0.095 -0.121  -0.081 -0.253  -0.312 -0.253  -0.543 -0.253  -0.667 -0.360  -0.667 -0.592  -0.817 -0.673  -1.048 -0.673  -1.087 -0.865  -0.874 -0.883  -0.643 -0.883  -0.412 -0.883  -0.247 -0.950  -0.160 -1.093  0.071 -1.093  0.303 -1.093  0.534 -1.093  0.765 -1.093  0.996 -1.093  0.852 -0.952  0.678 -0.800  0.504 -0.648  0.330 -0.496  0.156 -0.343  -0.018 -0.191  -0.192 -0.039  -0.366 0.113  -0.540 0.266  -0.605 0.377  -0.374 0.377  -0.143 0.377  0.088 0.377  0.319 0.377  0.551 0.377  0.782 0.377  1.013 0.377
3#app#app25#app2544/u  -0.255 1.396  -0.399 1.252  -0.543 1.108  -0.687 0.964  -0.703 0.768  -0.863 0.724  -0.928 0.585  -1.046 0.499  -1.152 0.402  -1.152 0.198  -1.152 -0.005  -1.152 -0.209  -1.152 -0.412  -1.152 -0.616  -1.152 -0.820  -0.975 -0.846  -0.817 -0.736  -0.673 -0.592  -0.529 -0.448  -0.346 -0.398  -0.143 -0.398  0.034 -0.333  0.178 -0.189  0.375 -0.173  0.532 -0.060  0.690 0.051  0.893 0.051  1.091 0.057  1.091 0.260  1.091 0.464  1.259 0.499  1.315 0.647  1.188 0.724  1.091 0.617  1.091 0.414  1.026 0.275  0.822 0.275  0.642 0.251  0.639 0.051  0.436 0.051  0.418 -0.135  0.253 -0.173  0.194 -0.318  0.194 -0.522  0.090 -0.622  -0.031 -0.705  -0.031 -0.908  0.011 -1.070  0.194 -1.050  0.194 -0.846
3#app#app25#app2544/l  0.922 1.697  0.843 1.618  0.765 1.539  0.686 1.460  0.675 1.354  0.675 1.242  0.624 1.152  0.546 1.073  0.467 0.994  0.427 0.899  0.427 0.787  0.396 0.707  0.285 0.707  0.180 0.700  0.180 0.589  0.180 0.477  0.086 0.460  -0.025 0.460  -0.067 0.391  -0.067 0.279  -0.067 0.168  -0.067 0.056  -0.087 -0.035  -0.199 -0.035  -0.310 -0.035  -0.391 -0.111  -0.469 -0.190  -0.548 -0.268  -0.627 -0.347  -0.706 -0.426  -0.785 -0.505  -0.810 -0.606  -0.810 -0.717  -0.810 -0.829  -0.810 -0.940  -0.783 -1.025  -0.672 -1.025  -0.560 -1.025  -0.449 -1.025  -0.337 -1.025  -0.226 -1.025  -0.114 -1.025  -0.022 -0.979  0.057 -0.900  0.136 -0.822  0.229 -0.777  0.341 -0.777  0.452 -0.777  0.563 -0.777  0.675 -0.777
3#app#app25#app2544/u  -0.092 1.408  -0.310 1.408  -0.351 1.230  -0.488 1.149  -0.610 1.053  -0.610 0.835  -0.625 0.632  -0.843 0.632  -0.868 0.440  -0.868 0.222  -0.980 0.115  -1.127 0.044  -1.127 -0.174  -1.127 -0.392  -1.127 -0.610  -0.959 -0.660  -0.868 -0.787  -0.782 -0.919  -0.577 -0.887  -0.423 -0.733  -0.269 -0.578  -0.115 -0.424  0.039 -0.270  0.205 -0.143  0.423 -0.143  0.577 0.009  0.683 0.184  0.703 0.393  0.857 0.548  1.011 0.702  1.165 0.856  1.200 0.722  1.072 0.632  0.854 0.632  0.683 0.585  0.679 0.369  0.525 0.215  0.370 0.061  0.216 -0.093  0.166 -0.290  0.060 -0.402  -0.092 -0.468  -0.092 -0.686  -0.092 -0.904  0.110 -0.919  0.328 -0.919  0.546 -0.919  0.764 -0.919  0.982 -0.919  1.200 -0.919
3#app#app25#app2544/s  0.950 0.980  0.950 1.120  0.883 1.192  0.743 1.192  0.603 1.192  0.464 1.192  0.324 1.192  0.185 1.192  0.045 1.192  -0.094 1.192  -0.198 1.105  -0.297 1.006  -0.323 0.878  -0.323 0.738  -0.323 0.599  -0.420 0.556  -0.511 0.556  -0.371 0.556  -0.232 0.556  -0.111 0.537  -0.111 0.398  -0.025 0.344  0.092 0.334  -0.007 0.236  -0.105 0.137  0.021 0.132  0.101 0.072  0.101 -0.067  0.101 -0.207  0.155 -0.293  0.295 -0.293  0.313 -0.413  0.313 -0.553  0.313 -0.693  0.313 -0.832  0.313 -0.972  0.313 -1.111  0.203 -1.141  0.101 -1.178  0.101 -1.318  -0.003 -1.353  -0.143 -1.353  -0.282 -1.353  -0.393 -1.283  -0.492 -1.184  -0.535 -1.063  -0.541 -0.929  -0.680 -0.929  -0.820 -0.929  -0.959 -0.929
3#app#app25#app2544/q  1.168 1.077  1.018 1.152  0.868 1.227  0.643 1.227  0.418 1.227  0.215 1.175  0.031 1.077  -0.147 0.963  -0.207 0.776  -0.334 0.679  -0.356 0.476  -0.484 0.379  -0.313 0.326  -0.088 0.326  0.137 0.326  0.362 0.326  0.437 0.476  0.567 0.571  0.717 0.646  0.811 0.776  0.717 0.758  0.624 0.626  0.549 0.476  0.351 0.410  0.192 0.251  -0.001 0.176  -0.170 0.040  -0.239 -0.125  -0.426 -0.216  -0.585 -0.375  -0.744 -0.534  -0.797 -0.738  -0.935 -0.905  -1.009 -1.100  -1.085 -1.293  -1.044 -1.476  -0.819 -1.476  -0.635 -1.436  -0.519 -1.326  -0.350 -1.192  -0.147 -1.139  0.031 -1.026  0.116 -0.886  0.312 -0.830  0.417 -0.649  0.417 -0.424  0.341 -0.275  0.116 -0.274  0.041 -0.125  -0.184 -0.125
3#app#app25#app2544/u  0.122 0.915  -0.072 0.915  -0.111 0.761  -0.225 0.682  -0.419 0.682  -0.613 0.682  -0.806 0.682  -0.811 0.493  -0.960 0.448  -1.045 0.339  -1.114 0.215  -1.278 0.185  -1.278 -0.008  -1.461 -0.018  -1.511 -0.162  -1.511 -0.356  -1.447 -0.485  -1.253 -0.485  -1.060 -0.485  -0.866 -0.485  -0.673 -0.485  -0.479 -0.485  -0.285 -0.485  -0.097 -0.471  0.039 -0.334  0.199 -0.252  0.392 -0.252  0.586 -0.252  0.779 -0.252  0.822 -0.100  0.822 0.093  0.894 0.215  1.078 0.238  1.215 0.375  1.288 0.538  1.253 0.647  1.117 0.510  1.055 0.342  0.988 0.215  0.803 0.196  0.666 0.059  0.589 -0.103  0.544 -0.252  0.355 -0.257  0.355 -0.450  0.355 -0.644  0.474 -0.718  0.668 -0.718  0.862 -0.718  1.055 -0.718
