3#apa#apa12#app1299/a  0.545 0.948  0.487 0.815  0.297 0.815  0.240 0.948  0.050 0.948  -0.095 1.057  -0.275 1.080  -0.465 1.080  -0.614 0.981  -0.749 0.846  -0.883 0.712  -1.017 0.578  -1.058 0.405  -1.177 0.264  -1.177 0.074  -1.177 -0.116  -1.177 -0.306  -1.177 -0.496  -1.146 -0.673  -1.011 -0.807  -0.863 -0.906  -0.673 -0.906  -0.492 -0.884  -0.348 -0.774  -0.158 -0.774  -0.012 -0.668  0.123 -0.534  0.257 -0.399  0.391 -0.265  0.440 -0.112  0.545 -0.026  0.545 0.164  0.613 0.285  0.677 0.411  0.626 0.550  0.545 0.659  0.412 0.649  0.412 0.459  0.307 0.313  0.280 0.134  0.280 -0.056  0.374 -0.206  0.415 -0.380  0.549 -0.514  0.684 -0.648  0.818 -0.782  0.956 -0.906  1.125 -0.957  1.282 -1.039  1.471 -1.039
3#apa#apa12#app1299/q  0.379 1.032  0.295 1.115  0.211 1.197  0.047 1.201  -0.120 1.201  -0.252 1.116  -0.380 1.078  -0.465 0.995  -0.549 0.912  -0.657 0.839  -0.718 0.698  -0.802 0.615  -0.802 0.448  -0.802 0.281  -0.750 0.136  -0.596 0.104  -0.429 0.104  -0.297 0.187  -0.165 0.272  -0.095 0.388  0.023 0.506  0.126 0.631  0.199 0.767  0.211 0.930  0.211 0.967  0.166 0.819  0.126 0.668  0.126 0.501  0.126 0.334  0.126 0.167  0.126 -0.000  0.126 -0.167  0.126 -0.334  0.126 -0.501  0.126 -0.668  0.126 -0.835  0.126 -1.002  0.126 -1.169  0.126 -1.336  0.126 -1.503  0.128 -1.669  0.211 -1.585  0.211 -1.418  0.295 -1.335  0.374 -1.416  0.494 -1.302  0.548 -1.157  0.633 -1.075  0.634 -0.909  0.717 -0.825
3#apa#apa12#app1299/u  -1.191 0.826  -1.316 0.810  -1.316 0.669  -1.316 0.527  -1.316 0.386  -1.316 0.245  -1.316 0.103  -1.237 -0.005  -1.191 -0.128  -1.191 -0.269  -1.082 -0.301  -1.066 -0.426  -0.966 -0.526  -0.835 -0.551  -0.816 -0.673  -0.677 -0.676  -0.536 -0.676  -0.395 -0.676  -0.253 -0.676  -0.112 -0.676  -0.064 -0.583  0.045 -0.551  0.186 -0.550  0.198 -0.414  0.298 -0.314  0.398 -0.214  0.436 -0.089  0.539 -0.050  0.561 0.069  0.657 0.170  0.687 0.300  0.768 0.407  0.812 0.530  0.812 0.672  0.812 0.813  0.809 0.951  0.687 0.932  0.687 0.791  0.687 0.649  0.687 0.508  0.687 0.367  0.687 0.225  0.803 0.200  0.812 0.068  0.828 -0.067  0.928 -0.167  0.937 -0.304  0.951 -0.440  1.051 -0.540  1.062 -0.676
3#apa#apa12#app1299/i  -0.210 0.246  -0.089 0.246  0.010 0.193  0.096 0.107  0.124 -0.002  0.124 -0.123  0.124 -0.244  0.124 -0.365  0.124 -0.486  0.124 -0.607  0.124 -0.728  0.124 -0.850  0.124 -0.971  0.124 -1.092  0.124 -1.213  0.124 -1.334  0.124 -1.455  0.124 -1.576  0.114 -1.486  0.102 -1.366  0.090 -1.246  0.078 -1.125  0.066 -1.005  0.054 -0.884  0.042 -0.764  0.029 -0.643  0.017 -0.523  0.005 -0.402  -0.007 -0.282  -0.019 -0.161  -0.031 -0.041  -0.043 0.080  -0.055 0.200  -0.067 0.320  -0.079 0.441  -0.091 0.561  -0.103 0.682  -0.115 0.802  -0.127 0.923  -0.139 1.043  -0.151 1.164  -0.163 1.284  -0.175 1.405  -0.187 1.525  -0.199 1.646  -0.193 1.749  -0.072 1.749  -0.043 1.657  -0.043 1.536  -0.043 1.415
3#apa#apa12#app1299/c  0.267 1.123  0.267 0.977  0.364 0.871  0.422 0.749  0.422 0.604  0.422 0.458  0.422 0.312  0.422 0.218  0.422 0.364  0.422 0.510  0.422 0.656  0.278 0.657  0.267 0.792  0.267 0.938  0.267 1.084  0.160 1.123  0.014 1.123  -0.105 1.060  -0.198 0.953  -0.204 0.812  -0.350 0.812  -0.353 0.670  -0.447 0.563  -0.550 0.460  -0.653 0.357  -0.663 0.215  -0.786 0.192  -0.819 0.079  -0.819 -0.067  -0.819 -0.213  -0.819 -0.359  -0.819 -0.504  -0.819 -0.650  -0.761 -0.739  -0.663 -0.787  -0.625 -0.894  -0.487 -0.915  -0.384 -1.018  -0.251 -1.049  -0.105 -1.049  0.040 -1.049  0.186 -1.049  0.332 -1.049  0.478 -1.049  0.624 -1.049  0.770 -1.049  0.916 -1.049  1.061 -1.049  1.207 -1.049  1.353 -1.049
3#apa#apa12#app1299/k  -1.119 1.780  -1.053 1.648  -0.987 1.516  -0.920 1.384  -0.854 1.252  -0.788 1.120  -0.722 0.987  -0.722 0.789  -0.722 0.591  -0.590 0.447  -0.590 0.249  -0.590 0.051  -0.590 -0.148  -0.488 -0.304  -0.458 -0.489  -0.389 -0.541  -0.235 -0.415  -0.082 -0.290  0.072 -0.164  0.225 -0.039  0.379 0.087  0.532 0.212  0.686 0.338  0.839 0.463  0.992 0.589  0.933 0.459  0.735 0.459  0.687 0.283  0.525 0.195  0.335 0.187  0.261 0.063  0.103 -0.036  -0.037 -0.177  -0.216 -0.223  -0.368 -0.334  -0.458 -0.442  -0.590 -0.508  -0.482 -0.598  -0.283 -0.598  -0.085 -0.598  0.113 -0.598  0.203 -0.707  0.378 -0.730  0.467 -0.839  0.642 -0.862  0.731 -0.971  0.894 -1.025  1.050 -1.126  1.248 -1.126  1.392 -1.259
3#apa#apa12#app1299/b  -0.372 1.882  -0.372 1.692  -0.372 1.502  -0.372 1.311  -0.372 1.121  -0.372 0.930  -0.372 0.740  -0.372 0.550  -0.372 0.359  -0.372 0.169  -0.372 -0.022  -0.372 -0.212  -0.372 -0.403  -0.372 -0.593  -0.372 -0.783  -0.253 -0.896  -0.293 -0.710  -0.333 -0.524  -0.373 -0.337  -0.413 -0.151  -0.453 0.035  -0.492 0.221  -0.532 0.407  -0.572 0.594  -0.612 0.780  -0.434 0.790  -0.244 0.790  -0.054 0.790  0.137 0.790  0.327 0.790  0.396 0.668  0.555 0.592  0.604 0.422  0.721 0.280  0.787 0.117  0.842 -0.051  0.923 -0.222  0.964 -0.403  0.964 -0.593  0.964 -0.784  0.842 -0.853  0.783 -1.029  0.668 -1.152  0.478 -1.153  0.409 -1.274  0.218 -1.274  0.028 -1.274  -0.162 -1.274  -0.323 -1.201  -0.493 -1.152
3#apa#apa12#app1299/r  -0.661 0.143  -0.661 0.012  -0.558 -0.017  -0.500 -0.091  -0.455 -0.178  -0.340 -0.194  -0.340 -0.326  -0.340 -0.458  -0.276 -0.563  -0.183 -0.656  -0.179 -0.787  -0.110 -0.890  -0.018 -0.984  -0.018 -1.115  -0.018 -1.247  0.058 -1.302  0.108 -1.268  0.015 -1.175  -0.018 -1.057  -0.074 -0.981  -0.179 -0.954  -0.179 -0.823  -0.271 -0.729  -0.340 -0.626  -0.345 -0.499  -0.477 -0.499  -0.500 -0.391  -0.500 -0.259  -0.500 -0.127  -0.500 0.004  -0.500 0.136  -0.412 0.231  -0.319 0.325  -0.226 0.418  -0.120 0.494  -0.003 0.553  0.115 0.612  0.214 0.697  0.306 0.792  0.365 0.909  0.423 1.027  0.493 1.137  0.587 1.230  0.703 1.268  0.835 1.268  0.960 1.283  1.053 1.376  1.164 1.428  1.295 1.428  1.427 1.428
3#apa#apa12#app1299/o  -0.743 0.673  -0.834 0.582  -0.877 0.472  -0.938 0.406  -1.010 0.349  -1.010 0.221  -1.010 0.093  -1.010 -0.035  -1.010 -0.163  -1.010 -0.291  -0.994 -0.413  -0.904 -0.503  -0.877 -0.620  -0.817 -0.724  -0.726 -0.814  -0.636 -0.905  -0.518 -0.931  -0.390 -0.931  -0.262 -0.931  -0.134 -0.931  -0.075 -0.862  -0.012 -0.797  0.117 -0.797  0.245 -0.797  0.359 -0.764  0.450 -0.674  0.574 -0.664  0.594 -0.555  0.666 -0.457  0.757 -0.367  0.847 -0.276  0.938 -0.186  0.995 -0.081  0.995 0.047  0.995 0.175  0.995 0.304  0.976 0.424  0.885 0.515  0.861 0.633  0.799 0.735  0.708 0.826  0.618 0.916  0.499 0.940  0.460 1.029  0.377 1.074  0.249 1.074  0.121 1.074  0.012 1.027  -0.080 0.940  -0.208 0.940
3#apa#apa12#app1299/w  -1.371 0.479  -1.371 0.551  -1.311 0.479  -1.269 0.389  -1.269 0.256  -1.235 0.138  -1.167 0.034  -1.167 -0.098  -1.167 -0.230  -1.048 -0.253  -0.963 -0.350  -0.922 -0.441  -0.790 -0.441  -0.657 -0.441  -0.627 -0.339  -0.512 -0.297  -0.419 -0.204  -0.350 -0.100  -0.285 -0.032  -0.247 0.062  -0.247 0.194  -0.247 0.222  -0.247 0.090  -0.247 -0.042  -0.247 -0.174  -0.198 -0.286  -0.145 -0.396  -0.083 -0.503  0.032 -0.543  0.164 -0.543  0.296 -0.543  0.429 -0.543  0.534 -0.478  0.651 -0.441  0.750 -0.363  0.873 -0.339  0.967 -0.248  1.061 -0.155  1.183 -0.133  1.205 -0.010  1.285 0.089  1.285 0.221  1.285 0.353  1.285 0.485  1.259 0.607  1.183 0.707  1.129 0.785  1.081 0.870  1.000 0.968  0.877 0.989
3#apa#apa12#app1299/n  -1.042 0.818  -1.042 0.655  -1.042 0.493  -0.947 0.425  -0.911 0.298  -0.884 0.162  -0.779 0.104  -0.779 -0.059  -0.779 -0.222  -0.758 -0.363  -0.648 -0.416  -0.648 -0.579  -0.648 -0.742  -0.648 -0.904  -0.614 -1.053  -0.517 -1.125  -0.517 -0.962  -0.517 -0.799  -0.517 -0.636  -0.517 -0.474  -0.480 -0.326  -0.386 -0.202  -0.386 -0.040  -0.320 0.096  -0.254 0.232  -0.254 0.394  -0.123 0.426  -0.100 0.579  0.018 0.687  0.139 0.729  0.205 0.851  0.350 0.924  0.402 1.055  0.539 1.081  0.691 1.054  0.795 0.935  0.795 0.772  0.795 0.609  0.795 0.446  0.858 0.299  0.927 0.152  0.927 -0.011  0.927 -0.174  1.001 -0.306  1.058 -0.445  1.058 -0.608  1.068 -0.766  1.183 -0.881  1.205 -1.035  1.320 -1.150
