2#app#app18#app1860/A  -0.786 -0.992  -0.796 -1.197  -0.991 -1.176  -0.991 -0.960  -0.991 -0.745  -0.953 -0.544  -0.801 -0.392  -0.786 -0.182  -0.694 0.012  -0.598 0.205  -0.581 0.416  -0.447 0.577  -0.375 0.763  -0.251 0.854  -0.170 0.989  -0.024 1.059  0.035 1.216  0.153 1.383  0.306 1.535  0.445 1.657  0.445 1.441  0.445 1.225  0.445 1.009  0.445 0.794  0.445 0.578  0.445 0.362  0.445 0.146  0.445 -0.069  0.445 -0.285  0.445 -0.501  0.445 -0.717  0.445 -0.932  0.445 -1.148  0.445 -1.364  0.622 -1.403  0.530 -1.258  0.392 -1.093  0.254 -0.927  0.116 -0.761  -0.022 -0.595  -0.160 -0.430  -0.299 -0.264  -0.375 -0.076  -0.269 0.034  -0.087 0.116  0.078 0.239  0.293 0.239  0.490 0.284  0.643 0.436  0.856 0.444
2#app#app18#app1860/c  0.318 0.717  0.461 0.717  0.579 0.692  0.579 0.549  0.530 0.455  0.386 0.455  0.318 0.530  0.318 0.673  0.318 0.816  0.318 0.960  0.193 0.979  0.050 0.979  -0.094 0.979  -0.237 0.979  -0.380 0.979  -0.468 0.923  -0.468 0.780  -0.549 0.717  -0.692 0.717  -0.730 0.611  -0.730 0.468  -0.822 0.363  -0.923 0.261  -0.992 0.146  -0.992 0.003  -0.992 -0.140  -0.992 -0.284  -0.992 -0.427  -0.992 -0.571  -0.870 -0.592  -0.728 -0.595  -0.626 -0.696  -0.525 -0.797  -0.405 -0.854  -0.262 -0.854  -0.119 -0.854  0.025 -0.854  0.168 -0.854  0.312 -0.854  0.455 -0.854  0.598 -0.854  0.742 -0.854  0.841 -0.810  0.841 -0.667  0.910 -0.592  1.053 -0.592  1.197 -0.592  1.340 -0.592  1.365 -0.474  1.365 -0.331
2#app#app18#app1860/q  0.049 1.167  -0.016 1.016  -0.102 1.146  -0.297 1.167  -0.403 1.057  -0.554 0.992  -0.643 0.865  -0.707 0.712  -0.856 0.557  -0.856 0.341  -0.759 0.165  -0.566 0.111  -0.350 0.111  -0.134 0.111  -0.069 0.262  0.147 0.262  0.173 0.422  0.138 0.635  0.102 0.848  0.067 1.061  0.158 1.167  0.049 1.190  0.049 1.229  0.049 1.013  0.049 0.797  0.049 0.581  0.049 0.365  0.049 0.149  -0.076 -0.015  -0.102 -0.220  -0.102 -0.436  -0.102 -0.652  -0.102 -0.868  -0.102 -1.084  -0.102 -1.300  -0.102 -1.516  0.049 -1.581  0.147 -1.699  0.363 -1.699  0.502 -1.622  0.644 -1.548  0.653 -1.341  0.653 -1.125  0.653 -0.909  0.653 -0.693  0.535 -0.526  0.489 -0.329  0.330 -0.191  0.200 -0.105  0.049 -0.040
2#app#app18#app1860/u  -0.689 1.079  -0.871 1.079  -0.920 0.946  -0.979 0.789  -1.108 0.660  -1.150 0.496  -1.150 0.314  -1.150 0.132  -1.150 -0.049  -1.150 -0.231  -1.150 -0.413  -1.089 -0.534  -0.908 -0.534  -0.726 -0.534  -0.544 -0.534  -0.362 -0.534  -0.229 -0.486  -0.229 -0.304  -0.047 -0.303  0.002 -0.171  0.086 -0.073  0.232 -0.038  0.232 0.144  0.232 0.326  0.232 0.507  0.232 0.689  0.232 0.871  0.232 1.053  0.232 0.923  0.232 0.741  0.174 0.618  0.002 0.608  0.002 0.427  0.002 0.245  0.002 0.063  0.002 -0.119  0.002 -0.300  0.128 -0.430  0.257 -0.558  0.385 -0.687  0.535 -0.764  0.717 -0.764  0.898 -0.764  1.080 -0.764  1.230 -0.688  1.359 -0.559  1.530 -0.534  1.614 -0.436  1.663 -0.303  1.845 -0.303
2#app#app18#app1860/i  -0.193 1.073  -0.102 1.164  -0.011 1.254  0.071 1.342  -0.058 1.342  -0.186 1.342  -0.193 1.220  -0.193 1.091  -0.303 1.073  -0.432 1.073  -0.462 0.975  -0.462 0.846  -0.462 0.717  -0.462 0.589  -0.536 0.534  -0.665 0.534  -0.731 0.472  -0.731 0.344  -0.731 0.215  -0.731 0.086  -0.731 -0.042  -0.731 -0.171  -0.731 -0.299  -0.731 -0.428  -0.717 -0.542  -0.588 -0.542  -0.462 -0.545  -0.462 -0.673  -0.462 -0.802  -0.343 -0.811  -0.214 -0.811  -0.086 -0.811  0.043 -0.811  0.171 -0.811  0.300 -0.811  0.429 -0.811  0.557 -0.811  0.614 -0.740  0.614 -0.611  0.674 -0.542  0.802 -0.542  0.931 -0.542  1.060 -0.542  1.152 -0.506  1.152 -0.378  1.152 -0.297  1.152 -0.425  1.140 -0.542  1.012 -0.542  0.883 -0.542
2#app#app18#app1860/r  -0.352 0.566  -0.352 0.433  -0.352 0.299  -0.352 0.166  -0.352 0.033  -0.352 -0.100  -0.352 -0.233  -0.352 -0.366  -0.352 -0.500  -0.352 -0.633  -0.352 -0.766  -0.352 -0.899  -0.352 -1.032  -0.352 -1.165  -0.352 -1.299  -0.352 -1.432  -0.352 -1.538  -0.352 -1.405  -0.352 -1.271  -0.352 -1.138  -0.352 -1.005  -0.352 -0.872  -0.352 -0.739  -0.352 -0.606  -0.352 -0.473  -0.352 -0.339  -0.352 -0.206  -0.352 -0.073  -0.352 0.060  -0.352 0.193  -0.334 0.319  -0.240 0.413  -0.146 0.507  -0.088 0.616  -0.088 0.749  -0.035 0.830  0.098 0.830  0.215 0.868  0.309 0.963  0.404 1.057  0.521 1.095  0.654 1.095  0.787 1.095  0.920 1.095  1.029 1.036  1.124 0.942  1.218 0.848  1.312 0.754  1.406 0.660  1.500 0.566
2#app#app18#app1860/e  -0.413 0.386  -0.574 0.386  -0.734 0.386  -0.756 0.386  -0.603 0.369  -0.489 0.255  -0.360 0.179  -0.199 0.179  -0.039 0.179  0.086 0.266  0.199 0.379  0.357 0.386  0.487 0.460  0.601 0.574  0.619 0.727  0.555 0.861  0.442 0.975  0.293 1.004  0.133 1.004  -0.028 1.004  -0.188 1.004  -0.349 1.004  -0.481 0.936  -0.595 0.823  -0.745 0.798  -0.826 0.718  -0.826 0.557  -0.826 0.397  -0.826 0.236  -0.826 0.076  -0.784 -0.068  -0.671 -0.182  -0.557 -0.295  -0.444 -0.409  -0.330 -0.522  -0.217 -0.636  -0.103 -0.749  0.015 -0.852  0.175 -0.852  0.298 -0.944  0.411 -1.058  0.572 -1.058  0.732 -1.058  0.825 -1.126  0.847 -1.265  1.008 -1.265  1.168 -1.265  1.237 -1.173  1.283 -1.058  1.444 -1.058
2#app#app18#app1860/2  -0.595 0.512  -0.595 0.669  -0.729 0.691  -0.663 0.691  -0.595 0.780  -0.529 0.870  -0.416 0.914  -0.395 1.049  -0.238 1.049  -0.082 1.049  -0.058 1.182  0.052 1.228  0.209 1.228  0.365 1.228  0.479 1.186  0.499 1.049  0.656 1.049  0.658 0.896  0.658 0.739  0.582 0.614  0.479 0.500  0.479 0.344  0.333 0.333  0.213 0.246  0.121 0.127  0.117 -0.025  -0.039 -0.025  -0.058 -0.163  -0.173 -0.204  -0.237 -0.297  -0.307 -0.383  -0.416 -0.431  -0.416 -0.587  -0.419 -0.741  -0.575 -0.741  -0.595 -0.878  -0.481 -0.920  -0.416 -1.012  -0.347 -1.099  -0.237 -1.146  -0.213 -1.278  -0.056 -1.278  0.100 -1.278  0.121 -1.143  0.234 -1.099  0.391 -1.099  0.547 -1.099  0.704 -1.099  0.860 -1.099  1.017 -1.099
2#app#app18#app1860/%  -0.832 0.594  -0.806 0.594  -0.939 0.753  -1.165 0.594  -1.311 0.447  -1.470 0.314  -1.470 0.022  -1.311 -0.111  -1.110 -0.203  -0.818 -0.203  -0.526 -0.203  -0.354 -0.082  -0.195 0.144  -0.196 0.436  -0.354 0.662  -0.556 0.753  -0.509 0.815  -0.235 0.917  0.038 1.020  0.312 1.123  0.586 1.225  0.443 1.023  0.427 0.737  0.283 0.504  0.124 0.371  -0.015 0.136  -0.139 -0.044  -0.195 -0.280  -0.343 -0.511  -0.472 -0.681  -0.514 -0.932  -0.302 -0.961  -0.069 -0.786  0.165 -0.611  0.399 -0.435  0.633 -0.260  0.867 -0.085  0.697 -0.044  0.462 -0.184  0.443 -0.468  0.443 -0.760  0.495 -1.000  0.788 -1.000  1.080 -1.000  1.240 -0.868  1.399 -0.735  1.399 -0.443  1.346 -0.203  1.213 -0.044  0.921 -0.044
2#app#app18#app1860/M  -0.829 0.065  -0.885 0.246  -1.010 0.359  -0.841 0.427  -0.829 0.202  -0.829 -0.035  -0.829 -0.273  -0.829 -0.510  -0.829 -0.747  -0.829 -0.985  -0.829 -1.222  -0.829 -1.307  -0.829 -1.069  -0.829 -0.832  -0.829 -0.595  -0.829 -0.357  -0.829 -0.120  -0.776 0.065  -0.648 0.174  -0.648 0.411  -0.619 0.637  -0.445 0.789  -0.286 0.711  -0.152 0.608  -0.105 0.418  -0.039 0.246  0.076 0.124  0.202 -0.061  0.257 -0.275  0.292 -0.478  0.438 -0.387  0.438 -0.149  0.438 0.088  0.518 0.246  0.619 0.382  0.619 0.619  0.619 0.856  0.743 0.970  0.800 1.150  0.855 0.970  0.981 0.859  0.981 0.622  0.981 0.384  0.981 0.147  1.091 -0.045  1.162 -0.253  1.162 -0.490  1.162 -0.727  1.287 -0.840  1.343 -1.021
2#app#app18#app1860/I  0.261 0.789  0.032 0.752  0.032 0.487  0.032 0.221  0.032 -0.044  0.032 -0.309  0.032 -0.575  0.032 -0.840  0.095 -1.043  0.210 -0.958  0.073 -0.730  -0.063 -0.503  -0.200 -0.275  -0.336 -0.047  -0.473 0.180  -0.610 0.408  -0.746 0.635  -0.883 0.863  -1.019 1.090  -1.113 1.163  -0.993 1.018  -0.728 1.018  -0.462 1.018  -0.197 1.018  0.069 1.018  0.334 1.018  0.599 1.018  0.865 1.018  1.130 1.018  1.022 0.863  0.834 0.675  0.646 0.487  0.459 0.300  0.271 0.112  0.083 -0.076  -0.104 -0.263  -0.292 -0.451  -0.480 -0.639  -0.667 -0.826  -0.855 -1.014  -0.725 -0.884  -0.489 -0.814  -0.223 -0.814  0.032 -0.824  0.079 -1.043  0.344 -1.043  0.609 -1.043  0.875 -1.043  1.140 -1.043  1.405 -1.043
