1c#app#app08#app0892/b  -0.808 1.706  -0.882 1.797  -0.898 1.648  -0.808 1.521  -0.808 1.356  -0.808 1.191  -0.746 1.041  -0.718 0.883  -0.680 0.728  -0.612 0.578  -0.560 0.422  -0.496 0.270  -0.447 0.118  -0.435 -0.045  -0.383 -0.201  -0.311 -0.348  -0.220 -0.485  -0.138 -0.627  -0.085 -0.780  -0.063 -0.935  0.005 -1.071  0.005 -0.951  -0.020 -0.797  -0.085 -0.660  -0.085 -0.495  -0.085 -0.330  -0.085 -0.166  -0.085 -0.001  -0.085 0.164  0.005 0.291  0.015 0.451  0.095 0.583  0.220 0.622  0.379 0.609  0.496 0.493  0.612 0.376  0.665 0.233  0.781 0.117  0.868 -0.021  0.908 -0.176  0.908 -0.340  0.908 -0.505  0.908 -0.670  0.863 -0.824  0.772 -0.959  0.656 -1.075  0.589 -1.184  0.425 -1.184  0.260 -1.184  0.095 -1.184
1c#app#app08#app0892/o  -0.997 0.273  -0.902 0.178  -0.852 0.065  -0.799 -0.016  -0.708 -0.059  -0.708 -0.193  -0.708 -0.328  -0.708 -0.462  -0.708 -0.596  -0.708 -0.730  -0.708 -0.865  -0.627 -0.966  -0.563 -1.073  -0.530 -1.175  -0.395 -1.175  -0.261 -1.175  -0.127 -1.175  0.007 -1.175  0.105 -1.086  0.200 -0.991  0.295 -0.896  0.359 -0.779  0.419 -0.659  0.496 -0.551  0.590 -0.456  0.685 -0.361  0.740 -0.249  0.740 -0.115  0.765 0.009  0.860 0.104  0.885 0.228  0.885 0.362  0.885 0.496  0.855 0.623  0.795 0.744  0.731 0.861  0.636 0.956  0.596 1.074  0.530 1.142  0.395 1.142  0.261 1.142  0.127 1.142  -0.001 1.125  -0.095 1.030  -0.190 0.935  -0.290 0.852  -0.423 0.848  -0.518 0.753  -0.613 0.658  -0.708 0.563
1c#app#app08#app0892/x  0.665 1.469  0.524 1.328  0.484 1.145  0.484 0.945  0.357 0.798  0.248 0.634  0.159 0.456  0.069 0.277  -0.020 0.099  -0.109 -0.080  -0.198 -0.258  -0.274 -0.443  -0.337 -0.632  -0.400 -0.821  -0.480 -1.003  -0.569 -1.182  -0.602 -1.374  -0.602 -1.573  -0.583 -1.446  -0.560 -1.248  -0.536 -1.050  -0.513 -0.852  -0.490 -0.653  -0.466 -0.455  -0.443 -0.257  -0.420 -0.059  -0.396 0.139  -0.373 0.338  -0.350 0.536  -0.326 0.734  -0.303 0.932  -0.280 1.130  -0.256 1.328  -0.240 1.411  -0.186 1.233  -0.059 1.086  -0.031 0.898  0.110 0.757  0.122 0.563  0.136 0.369  0.277 0.228  0.303 0.039  0.384 -0.141  0.473 -0.320  0.608 -0.465  0.749 -0.607  0.890 -0.748  1.030 -0.890  1.119 -1.068  1.208 -1.247
1c#app#app08#app0892/s  0.425 1.286  0.338 1.199  0.226 1.170  0.103 1.170  -0.020 1.170  -0.112 1.095  -0.211 1.025  -0.321 0.970  -0.437 0.939  -0.553 0.912  -0.664 0.857  -0.764 0.789  -0.854 0.709  -0.960 0.692  -0.960 0.569  -0.928 0.478  -0.845 0.438  -0.811 0.329  -0.722 0.247  -0.599 0.247  -0.476 0.247  -0.356 0.234  -0.246 0.179  -0.134 0.132  -0.011 0.132  0.112 0.132  0.223 0.102  0.310 0.016  0.427 -0.023  0.544 -0.062  0.659 -0.103  0.746 -0.190  0.833 -0.277  0.886 -0.378  0.886 -0.501  0.886 -0.624  0.886 -0.747  0.807 -0.791  0.710 -0.852  0.623 -0.939  0.534 -1.025  0.424 -1.080  0.314 -1.135  0.226 -1.220  0.117 -1.253  -0.006 -1.253  -0.129 -1.253  -0.252 -1.253  -0.376 -1.253  -0.499 -1.253
1c#app#app08#app0892/a  0.867 1.215  0.691 1.215  0.519 1.199  0.362 1.121  0.201 1.058  0.025 1.058  -0.130 1.008  -0.259 0.889  -0.416 0.811  -0.569 0.727  -0.693 0.602  -0.712 0.434  -0.830 0.308  -0.955 0.183  -1.079 0.059  -1.185 -0.073  -1.185 -0.249  -1.185 -0.424  -1.150 -0.592  -1.071 -0.749  -0.949 -0.836  -0.773 -0.836  -0.598 -0.836  -0.460 -0.743  -0.336 -0.619  -0.212 -0.495  -0.088 -0.370  0.078 -0.355  0.096 -0.187  0.220 -0.063  0.304 0.090  0.383 0.248  0.393 0.421  0.393 0.597  0.372 0.720  0.247 0.596  0.235 0.425  0.235 0.249  0.235 0.074  0.274 -0.086  0.393 -0.213  0.411 -0.381  0.536 -0.505  0.660 -0.630  0.784 -0.754  0.908 -0.878  1.033 -1.002  1.157 -1.127  1.322 -1.152  1.498 -1.152
1c#app#app08#app0892/i  0.022 0.358  0.021 0.241  -0.096 0.239  -0.096 0.121  -0.096 0.002  -0.096 -0.117  -0.096 -0.235  -0.096 -0.354  -0.096 -0.472  -0.096 -0.591  -0.096 -0.710  -0.096 -0.828  -0.096 -0.947  -0.096 -1.065  -0.088 -1.175  0.022 -1.185  0.022 -1.303  0.022 -1.422  0.022 -1.518  0.027 -1.399  0.032 -1.281  0.037 -1.162  0.042 -1.044  0.047 -0.925  0.052 -0.807  0.057 -0.688  0.061 -0.570  0.066 -0.451  0.071 -0.333  0.076 -0.214  0.081 -0.096  0.086 0.023  0.091 0.141  0.096 0.260  0.101 0.378  0.106 0.497  0.111 0.615  0.116 0.734  0.121 0.852  0.126 0.971  0.131 1.089  0.136 1.208  0.122 1.319  0.039 1.403  -0.045 1.487  -0.096 1.584  -0.130 1.689  -0.214 1.773  -0.214 1.891  -0.214 2.010
1c#app#app08#app0892/d  0.404 -0.004  0.254 0.103  0.063 0.094  -0.111 0.007  -0.284 -0.048  -0.440 -0.158  -0.603 -0.260  -0.669 -0.426  -0.801 -0.565  -0.884 -0.725  -0.884 -0.919  -0.884 -1.113  -0.798 -1.271  -0.657 -1.399  -0.463 -1.399  -0.269 -1.399  -0.092 -1.358  0.045 -1.221  0.182 -1.084  0.213 -0.897  0.275 -0.713  0.353 -0.536  0.404 -0.354  0.404 -0.160  0.404 0.034  0.348 0.215  0.297 0.396  0.297 0.590  0.297 0.784  0.297 0.978  0.251 1.161  0.189 1.340  0.125 1.519  0.082 1.703  0.006 1.821  -0.025 1.658  -0.025 1.464  -0.025 1.270  -0.025 1.076  -0.025 0.882  0.007 0.691  0.045 0.501  0.082 0.311  0.124 0.127  0.189 -0.052  0.284 -0.206  0.375 -0.376  0.496 -0.525  0.557 -0.694  0.618 -0.862
1c#app#app08#app0892/t  0.228 1.523  0.228 1.345  0.228 1.167  0.228 0.989  0.228 0.811  0.228 0.633  0.228 0.455  0.228 0.276  0.314 0.134  0.414 -0.002  0.414 -0.180  0.414 -0.359  0.422 -0.533  0.548 -0.659  0.601 -0.816  0.696 -0.898  0.787 -0.985  0.787 -1.163  0.787 -1.341  0.739 -1.417  0.602 -1.303  0.465 -1.189  0.328 -1.075  0.192 -0.961  0.055 -0.847  -0.082 -0.733  -0.219 -0.619  -0.355 -0.505  -0.492 -0.391  -0.629 -0.277  -0.766 -0.163  -0.903 -0.049  -1.039 0.065  -1.176 0.179  -1.313 0.293  -1.445 0.405  -1.267 0.405  -1.098 0.460  -0.929 0.516  -0.760 0.573  -0.585 0.592  -0.407 0.592  -0.229 0.592  -0.051 0.592  0.127 0.592  0.305 0.592  0.483 0.592  0.655 0.619  0.814 0.698  0.973 0.778
1c#app#app08#app0892/s  0.985 0.883  0.860 0.883  0.820 0.968  0.774 1.048  0.649 1.048  0.524 1.048  0.399 1.048  0.274 1.048  0.149 1.048  0.024 1.048  -0.101 1.048  -0.210 1.007  -0.298 0.918  -0.401 0.849  -0.512 0.793  -0.624 0.738  -0.745 0.718  -0.828 0.676  -0.828 0.551  -0.828 0.426  -0.741 0.388  -0.663 0.341  -0.655 0.224  -0.530 0.224  -0.498 0.130  -0.460 0.021  -0.372 -0.068  -0.284 -0.156  -0.195 -0.244  -0.081 -0.271  0.039 -0.292  0.151 -0.348  0.263 -0.404  0.364 -0.474  0.453 -0.563  0.562 -0.600  0.655 -0.633  0.655 -0.758  0.655 -0.883  0.600 -0.985  0.511 -1.073  0.395 -1.095  0.276 -1.119  0.164 -1.175  0.052 -1.231  -0.066 -1.259  -0.185 -1.275  -0.273 -1.364  -0.373 -1.424  -0.498 -1.424
1c#app#app08#app0892/n  -0.871 0.761  -0.871 0.596  -1.033 0.594  -1.038 0.433  -1.038 0.268  -0.927 0.148  -0.832 0.016  -0.759 -0.132  -0.703 -0.284  -0.676 -0.437  -0.559 -0.554  -0.536 -0.710  -0.536 -0.875  -0.408 -0.911  -0.369 -1.038  -0.369 -1.203  -0.369 -1.124  -0.369 -0.959  -0.369 -0.794  -0.369 -0.628  -0.369 -0.463  -0.290 -0.331  -0.202 -0.202  -0.202 -0.037  -0.202 0.128  -0.202 0.293  -0.202 0.458  -0.202 0.623  -0.202 0.788  -0.202 0.953  -0.179 1.095  -0.014 1.095  0.151 1.095  0.316 1.095  0.467 1.081  0.476 0.919  0.593 0.803  0.682 0.666  0.756 0.519  0.802 0.364  0.844 0.217  0.961 0.100  1.077 -0.017  1.136 -0.157  1.136 -0.322  1.136 -0.488  1.136 -0.653  1.188 -0.796  1.303 -0.913  1.303 -1.079
1c#app#app08#app0892/o  -0.466 0.572  -0.616 0.572  -0.731 0.490  -0.831 0.382  -0.831 0.233  -0.831 0.084  -0.831 -0.066  -0.831 -0.215  -0.831 -0.364  -0.831 -0.513  -0.731 -0.621  -0.648 -0.736  -0.648 -0.885  -0.515 -0.952  -0.381 -1.019  -0.244 -1.067  -0.094 -1.067  0.055 -1.067  0.204 -1.067  0.327 -1.003  0.432 -0.898  0.576 -0.885  0.725 -0.885  0.809 -0.820  0.832 -0.680  0.937 -0.574  0.991 -0.447  0.991 -0.298  0.991 -0.149  0.991 0.000  0.991 0.149  0.991 0.299  0.950 0.431  0.845 0.536  0.809 0.671  0.743 0.754  0.603 0.778  0.498 0.883  0.371 0.936  0.222 0.936  0.072 0.936  -0.077 0.936  -0.190 0.849  -0.300 0.754  -0.449 0.754  -0.598 0.754  -0.747 0.754  -0.831 0.688  -0.864 0.572  -1.013 0.572
