3#apa#apa20#app2006/[  0.745 0.887  0.720 0.984  0.673 1.071  0.619 1.156  0.523 1.181  0.443 1.246  0.336 1.246  0.229 1.246  0.122 1.246  0.019 1.237  -0.062 1.174  -0.169 1.174  -0.204 1.102  -0.259 1.051  -0.331 1.016  -0.331 0.909  -0.331 0.802  -0.331 0.695  -0.272 0.613  -0.252 0.513  -0.204 0.417  -0.188 0.314  -0.116 0.237  -0.116 0.130  -0.116 0.023  -0.116 -0.084  -0.116 -0.190  -0.116 -0.297  -0.116 -0.404  -0.164 -0.500  -0.188 -0.601  -0.188 -0.708  -0.225 -0.799  -0.301 -0.875  -0.331 -0.969  -0.401 -1.047  -0.403 -1.153  -0.471 -1.192  -0.381 -1.170  -0.295 -1.121  -0.188 -1.121  -0.111 -1.049  -0.004 -1.049  0.103 -1.049  0.210 -1.049  0.317 -1.049  0.424 -1.049  0.531 -1.049  0.638 -1.049  0.745 -1.049
3#apa#apa20#app2006/(  0.675 1.159  0.596 1.159  0.565 1.208  0.547 1.270  0.468 1.270  0.388 1.270  0.318 1.245  0.262 1.189  0.195 1.159  0.117 1.154  0.061 1.098  0.007 1.040  -0.029 0.969  -0.064 0.897  -0.100 0.826  -0.100 0.746  -0.122 0.672  -0.157 0.601  -0.193 0.529  -0.239 0.466  -0.296 0.410  -0.321 0.340  -0.321 0.261  -0.321 0.181  -0.321 0.101  -0.321 0.022  -0.321 -0.058  -0.321 -0.138  -0.321 -0.217  -0.321 -0.297  -0.321 -0.377  -0.321 -0.456  -0.306 -0.532  -0.270 -0.604  -0.234 -0.675  -0.192 -0.741  -0.136 -0.798  -0.100 -0.862  -0.100 -0.942  -0.065 -1.013  -0.029 -1.085  0.006 -1.156  0.060 -1.214  0.116 -1.271  0.172 -1.327  0.229 -1.383  0.285 -1.440  0.341 -1.496  0.398 -1.552  0.454 -1.609
3#apa#apa20#app2006/6  0.008 1.256  0.008 1.388  0.008 1.521  0.008 1.654  -0.095 1.684  -0.200 1.618  -0.278 1.518  -0.284 1.387  -0.343 1.268  -0.402 1.150  -0.420 1.021  -0.420 0.889  -0.471 0.777  -0.563 0.683  -0.563 0.550  -0.563 0.417  -0.563 0.285  -0.563 0.152  -0.563 0.020  -0.563 -0.113  -0.510 -0.223  -0.420 -0.319  -0.420 -0.451  -0.420 -0.584  -0.336 -0.682  -0.243 -0.776  -0.149 -0.869  -0.022 -0.883  0.008 -0.986  0.100 -1.026  0.233 -1.026  0.366 -1.026  0.498 -1.026  0.615 -0.989  0.709 -0.895  0.837 -0.883  0.863 -0.777  0.863 -0.645  0.863 -0.512  0.863 -0.380  0.797 -0.313  0.665 -0.313  0.532 -0.313  0.400 -0.313  0.267 -0.313  0.139 -0.324  0.045 -0.418  -0.048 -0.511  -0.135 -0.608  -0.135 -0.741
3#apa#apa20#app2006/)  -0.787 1.321  -0.710 1.321  -0.633 1.321  -0.558 1.306  -0.485 1.282  -0.412 1.258  -0.339 1.233  -0.280 1.186  -0.226 1.132  -0.171 1.077  -0.117 1.023  -0.063 0.968  -0.008 0.914  0.046 0.859  0.051 0.784  0.075 0.713  0.110 0.644  0.144 0.575  0.199 0.521  0.237 0.460  0.237 0.383  0.237 0.306  0.267 0.236  0.302 0.167  0.330 0.097  0.330 0.020  0.330 -0.057  0.330 -0.134  0.330 -0.211  0.323 -0.288  0.305 -0.362  0.286 -0.437  0.267 -0.512  0.248 -0.586  0.237 -0.662  0.231 -0.738  0.197 -0.807  0.162 -0.875  0.128 -0.944  0.093 -1.013  0.059 -1.082  0.010 -1.140  -0.043 -1.196  -0.043 -1.273  -0.088 -1.331  -0.142 -1.385  -0.197 -1.440  -0.229 -1.503  -0.245 -1.564  -0.322 -1.564
3#apa#apa20#app2006/(  0.643 1.115  0.643 1.192  0.592 1.219  0.515 1.219  0.438 1.219  0.361 1.219  0.284 1.219  0.207 1.219  0.129 1.219  0.121 1.151  0.092 1.086  0.037 1.031  -0.018 0.977  -0.072 0.922  -0.088 0.851  -0.088 0.774  -0.088 0.697  -0.143 0.643  -0.192 0.586  -0.192 0.509  -0.192 0.431  -0.192 0.354  -0.192 0.277  -0.192 0.200  -0.192 0.123  -0.192 0.046  -0.192 -0.032  -0.192 -0.109  -0.192 -0.186  -0.192 -0.263  -0.192 -0.340  -0.192 -0.417  -0.192 -0.495  -0.192 -0.572  -0.192 -0.649  -0.192 -0.726  -0.182 -0.802  -0.163 -0.877  -0.145 -0.952  -0.126 -1.027  -0.107 -1.102  -0.088 -1.176  -0.055 -1.246  -0.020 -1.315  0.014 -1.384  0.068 -1.439  0.122 -1.494  0.156 -1.563  0.191 -1.632  0.225 -1.701
3#apa#apa20#app2006/7  -0.904 0.668  -0.904 0.762  -0.946 0.814  -1.040 0.814  -1.051 0.898  -1.020 0.961  -0.926 0.961  -0.853 0.910  -0.786 0.843  -0.704 0.814  -0.609 0.814  -0.515 0.814  -0.433 0.784  -0.367 0.717  -0.293 0.668  -0.199 0.668  -0.108 0.647  -0.018 0.617  0.071 0.587  0.161 0.557  0.250 0.528  0.343 0.521  0.417 0.500  0.417 0.406  0.479 0.374  0.564 0.364  0.564 0.270  0.564 0.176  0.564 0.081  0.564 -0.013  0.564 -0.107  0.564 -0.202  0.564 -0.296  0.564 -0.390  0.564 -0.485  0.532 -0.571  0.490 -0.656  0.448 -0.740  0.417 -0.827  0.417 -0.921  0.369 -0.996  0.303 -1.063  0.270 -1.144  0.270 -1.238  0.206 -1.306  0.140 -1.372  0.073 -1.439  0.006 -1.506  -0.023 -1.588  -0.023 -1.682
3#apa#apa20#app2006/)  -0.912 1.010  -0.912 1.092  -0.912 1.174  -0.836 1.179  -0.754 1.179  -0.672 1.179  -0.590 1.179  -0.527 1.134  -0.470 1.076  -0.412 1.018  -0.341 0.979  -0.268 0.942  -0.203 0.894  -0.145 0.836  -0.087 0.778  -0.030 0.721  0.025 0.660  0.062 0.587  0.098 0.514  0.165 0.472  0.238 0.435  0.273 0.375  0.273 0.293  0.290 0.215  0.327 0.142  0.366 0.071  0.424 0.013  0.443 -0.061  0.443 -0.142  0.443 -0.224  0.443 -0.306  0.443 -0.388  0.443 -0.469  0.443 -0.551  0.443 -0.633  0.420 -0.705  0.362 -0.763  0.358 -0.843  0.358 -0.925  0.309 -0.986  0.251 -1.044  0.193 -1.102  0.135 -1.160  0.077 -1.217  0.020 -1.275  -0.038 -1.333  -0.065 -1.404  -0.094 -1.473  -0.150 -1.532  -0.150 -1.614
3#apa#apa20#app2006/(  0.545 1.407  0.470 1.407  0.395 1.407  0.329 1.397  0.329 1.322  0.278 1.299  0.208 1.286  0.155 1.233  0.102 1.180  0.049 1.127  0.006 1.070  0.006 0.994  -0.019 0.925  -0.053 0.858  -0.086 0.791  -0.102 0.720  -0.102 0.645  -0.102 0.570  -0.114 0.496  -0.132 0.423  -0.150 0.351  -0.169 0.278  -0.187 0.205  -0.205 0.132  -0.210 0.058  -0.210 -0.017  -0.210 -0.092  -0.210 -0.167  -0.210 -0.242  -0.210 -0.317  -0.210 -0.392  -0.210 -0.467  -0.207 -0.541  -0.173 -0.609  -0.140 -0.676  -0.106 -0.743  -0.102 -0.817  -0.102 -0.892  -0.102 -0.967  -0.049 -1.020  0.004 -1.073  0.006 -1.147  0.006 -1.222  0.011 -1.295  0.064 -1.348  0.117 -1.401  0.170 -1.454  0.223 -1.507  0.276 -1.560  0.329 -1.613
3#apa#apa20#app2006/8  -0.415 1.103  -0.629 1.103  -0.688 0.948  -0.688 0.735  -0.688 0.521  -0.688 0.307  -0.551 0.150  -0.394 0.014  -0.181 0.014  0.033 0.014  0.212 0.097  0.363 0.248  0.514 0.399  0.538 0.603  0.452 0.781  0.397 0.972  0.246 1.123  0.080 1.239  -0.096 1.329  -0.291 1.375  -0.415 1.287  -0.383 1.076  -0.341 0.867  -0.299 0.657  -0.257 0.448  -0.215 0.238  -0.173 0.029  -0.203 -0.122  -0.415 -0.123  -0.494 -0.258  -0.551 -0.414  -0.551 -0.628  -0.551 -0.842  -0.469 -1.021  -0.354 -1.198  -0.233 -1.348  -0.055 -1.435  0.138 -1.484  0.352 -1.484  0.517 -1.368  0.723 -1.348  0.810 -1.221  0.946 -1.064  0.946 -0.851  0.946 -0.637  0.898 -0.435  0.798 -0.247  0.636 -0.122  0.456 -0.041  0.265 0.014
3#apa#apa20#app2006/)  -0.641 1.296  -0.641 1.374  -0.578 1.389  -0.549 1.341  -0.516 1.296  -0.444 1.283  -0.389 1.229  -0.334 1.174  -0.279 1.119  -0.242 1.052  -0.207 0.982  -0.169 0.916  -0.114 0.861  -0.051 0.817  0.018 0.782  0.087 0.747  0.127 0.683  0.162 0.614  0.190 0.543  0.190 0.466  0.190 0.388  0.218 0.317  0.252 0.248  0.282 0.178  0.282 0.100  0.282 0.023  0.282 -0.055  0.282 -0.132  0.282 -0.210  0.282 -0.287  0.282 -0.365  0.282 -0.442  0.282 -0.520  0.282 -0.597  0.282 -0.675  0.274 -0.750  0.239 -0.820  0.205 -0.889  0.170 -0.958  0.135 -1.028  0.101 -1.097  0.097 -1.174  0.048 -1.221  -0.021 -1.255  -0.087 -1.292  -0.087 -1.369  -0.117 -1.440  -0.152 -1.509  -0.194 -1.565  -0.272 -1.565
3#apa#apa20#app2006/(  0.472 1.171  0.472 1.248  0.415 1.268  0.375 1.304  0.359 1.365  0.282 1.365  0.227 1.313  0.172 1.259  0.118 1.204  0.085 1.141  0.078 1.067  0.024 1.013  -0.024 0.954  -0.058 0.885  -0.093 0.816  -0.109 0.744  -0.109 0.667  -0.109 0.590  -0.109 0.513  -0.149 0.453  -0.203 0.399  -0.206 0.323  -0.206 0.246  -0.206 0.169  -0.206 0.093  -0.206 0.016  -0.206 -0.061  -0.206 -0.138  -0.206 -0.215  -0.206 -0.291  -0.206 -0.368  -0.206 -0.445  -0.206 -0.522  -0.206 -0.599  -0.206 -0.675  -0.206 -0.752  -0.178 -0.822  -0.144 -0.891  -0.109 -0.960  -0.075 -1.028  -0.041 -1.097  -0.006 -1.166  0.028 -1.234  0.062 -1.303  0.104 -1.367  0.158 -1.421  0.212 -1.475  0.267 -1.530  0.321 -1.584  0.375 -1.638
