1c#app#app14#app1428/f  0.807 1.142  0.807 1.277  0.678 1.282  0.544 1.282  0.444 1.366  0.333 1.422  0.199 1.422  0.064 1.422  -0.070 1.422  -0.170 1.387  -0.191 1.262  -0.286 1.167  -0.381 1.072  -0.450 0.966  -0.450 0.831  -0.450 0.697  -0.450 0.563  -0.450 0.428  -0.450 0.294  -0.446 0.161  -0.351 0.066  -0.310 -0.051  -0.310 -0.186  -0.263 -0.301  -0.170 -0.396  -0.170 -0.531  -0.077 -0.626  -0.031 -0.742  0.014 -0.857  0.109 -0.952  0.109 -1.087  0.109 -1.221  0.109 -1.355  0.109 -1.490  0.137 -1.400  0.169 -1.270  0.202 -1.140  0.234 -1.009  0.267 -0.879  0.299 -0.749  0.332 -0.618  0.365 -0.488  0.351 -0.393  0.217 -0.393  0.083 -0.393  -0.052 -0.393  -0.170 -0.409  -0.181 -0.533  -0.315 -0.533  -0.450 -0.533
1c#app#app14#app1428/y  -0.571 0.868  -0.571 0.740  -0.459 0.725  -0.428 0.628  -0.347 0.582  -0.285 0.516  -0.249 0.404  -0.159 0.313  -0.069 0.223  0.029 0.154  0.148 0.167  0.192 0.286  0.237 0.406  0.282 0.525  0.327 0.644  0.371 0.763  0.416 0.883  0.461 1.002  0.506 1.121  0.550 1.241  0.571 1.227  0.571 1.100  0.544 0.984  0.454 0.894  0.364 0.803  0.286 0.709  0.286 0.581  0.286 0.454  0.206 0.360  0.143 0.258  0.143 0.131  0.139 0.004  0.082 -0.110  0.025 -0.224  -0.050 -0.324  -0.140 -0.414  -0.143 -0.541  -0.143 -0.668  -0.184 -0.786  -0.241 -0.900  -0.285 -1.017  -0.285 -1.144  -0.285 -1.272  -0.285 -1.399  -0.335 -1.515  -0.392 -1.629  -0.428 -1.747  -0.428 -1.875  -0.428 -2.002  -0.428 -2.130
1c#app#app14#app1428/a  -0.015 0.044  0.181 0.044  0.310 0.110  0.310 0.305  0.310 0.500  0.310 0.695  0.310 0.890  0.245 1.019  0.050 1.019  -0.145 1.019  -0.340 1.019  -0.535 1.019  -0.664 0.953  -0.664 0.758  -0.796 0.694  -0.990 0.693  -1.128 0.555  -1.266 0.417  -1.314 0.242  -1.314 0.047  -1.314 -0.148  -1.252 -0.280  -1.057 -0.280  -0.989 -0.408  -0.989 -0.603  -0.797 -0.605  -0.602 -0.605  -0.406 -0.605  -0.211 -0.605  -0.016 -0.605  -0.015 -0.412  0.049 -0.280  0.244 -0.280  0.439 -0.280  0.634 -0.280  0.635 -0.087  0.572 0.044  0.377 0.044  0.310 -0.084  0.310 -0.280  0.505 -0.280  0.635 -0.345  0.635 -0.540  0.765 -0.605  0.960 -0.605  1.155 -0.605  1.350 -0.605  1.545 -0.605  1.740 -0.605  1.935 -0.605
1c#app#app14#app1428/m  -1.026 0.453  -0.826 0.453  -0.781 0.298  -0.781 0.319  -0.848 0.453  -1.026 0.431  -1.026 0.231  -1.026 0.031  -1.026 -0.169  -1.026 -0.370  -1.026 -0.570  -1.026 -0.770  -1.026 -0.970  -1.026 -0.862  -0.916 -0.771  -0.781 -0.706  -0.767 -0.512  -0.625 -0.370  -0.536 -0.207  -0.536 -0.006  -0.536 0.194  -0.351 0.208  -0.292 0.350  -0.292 0.550  -0.240 0.698  -0.047 0.691  -0.047 0.490  0.116 0.453  0.198 0.335  0.198 0.135  0.198 -0.066  0.198 -0.266  0.198 -0.466  0.338 -0.526  0.443 -0.431  0.494 -0.281  0.688 -0.275  0.688 -0.075  0.803 0.078  0.944 0.220  1.086 0.361  1.178 0.523  1.196 0.680  1.337 0.538  1.423 0.374  1.423 0.173  1.423 -0.027  1.558 -0.171  1.668 -0.326  1.668 -0.526
1c#app#app14#app1428/e  -0.260 -0.095  -0.119 -0.095  0.004 -0.078  0.004 0.062  0.038 0.169  0.178 0.169  0.319 0.169  0.459 0.169  0.580 0.216  0.679 0.316  0.778 0.415  0.911 0.433  1.052 0.433  1.060 0.565  1.060 0.706  1.060 0.846  1.034 0.960  0.893 0.960  0.753 0.960  0.612 0.960  0.472 0.960  0.332 0.960  0.191 0.960  0.051 0.960  -0.062 0.894  -0.161 0.795  -0.261 0.695  -0.360 0.596  -0.459 0.497  -0.524 0.383  -0.524 0.243  -0.570 0.122  -0.670 0.022  -0.769 -0.077  -0.787 -0.210  -0.787 -0.350  -0.787 -0.490  -0.787 -0.631  -0.787 -0.771  -0.787 -0.912  -0.787 -1.052  -0.746 -1.151  -0.605 -1.151  -0.482 -1.192  -0.383 -1.291  -0.284 -1.391  -0.153 -1.415  -0.013 -1.415  0.128 -1.415  0.268 -1.415
1c#app#app14#app1428/o  -0.982 0.192  -0.808 0.192  -0.700 0.258  -0.700 0.432  -0.607 0.568  -0.484 0.691  -0.337 0.756  -0.163 0.756  -0.137 0.903  -0.097 1.038  0.077 1.038  0.251 1.038  0.425 1.038  0.599 1.038  0.709 0.974  0.709 0.800  0.838 0.756  0.990 0.734  0.990 0.560  0.990 0.386  0.990 0.212  0.990 0.038  0.958 -0.122  0.835 -0.245  0.712 -0.368  0.709 -0.541  0.709 -0.715  0.709 -0.888  0.581 -0.935  0.413 -0.949  0.290 -1.072  0.167 -1.195  0.002 -1.217  -0.172 -1.217  -0.346 -1.217  -0.520 -1.217  -0.694 -1.217  -0.700 -1.049  -0.700 -0.875  -0.700 -0.701  -0.700 -0.528  -0.700 -0.354  -0.700 -0.180  -0.700 -0.006  -0.700 0.168  -0.700 0.342  -0.658 0.474  -0.485 0.474  -0.311 0.474  -0.137 0.474
1c#app#app14#app1428/u  -0.996 0.822  -0.996 0.727  -0.996 0.631  -0.996 0.535  -0.996 0.440  -0.996 0.344  -0.996 0.248  -0.996 0.153  -0.996 0.057  -0.996 -0.038  -0.996 -0.134  -0.996 -0.230  -0.996 -0.325  -0.996 -0.421  -0.996 -0.517  -0.920 -0.537  -0.825 -0.537  -0.729 -0.537  -0.633 -0.537  -0.538 -0.537  -0.442 -0.537  -0.346 -0.537  -0.251 -0.537  -0.155 -0.537  -0.060 -0.537  0.036 -0.537  0.132 -0.537  0.227 -0.537  0.323 -0.537  0.402 -0.497  0.470 -0.430  0.537 -0.362  0.605 -0.294  0.673 -0.227  0.740 -0.159  0.808 -0.091  0.876 -0.024  0.906 0.059  0.906 0.155  0.906 0.250  0.954 0.326  1.021 0.394  1.089 0.461  1.157 0.529  1.178 0.616  1.178 0.711  1.178 0.807  1.178 0.903  1.178 0.998  1.178 1.094
1c#app#app14#app1428/r  -0.365 -0.096  -0.444 -0.175  -0.523 -0.255  -0.603 -0.334  -0.607 -0.444  -0.607 -0.556  -0.607 -0.668  -0.607 -0.780  -0.607 -0.892  -0.607 -1.005  -0.607 -1.117  -0.607 -1.229  -0.607 -1.276  -0.607 -1.164  -0.593 -1.066  -0.481 -1.066  -0.369 -1.066  -0.365 -0.958  -0.365 -0.846  -0.365 -0.733  -0.365 -0.621  -0.314 -0.530  -0.235 -0.451  -0.156 -0.372  -0.122 -0.273  -0.122 -0.161  -0.122 -0.049  -0.122 0.063  -0.102 0.166  -0.023 0.246  0.056 0.325  0.120 0.411  0.120 0.523  0.123 0.634  0.202 0.713  0.281 0.792  0.360 0.872  0.362 0.983  0.362 1.095  0.454 1.116  0.566 1.116  0.678 1.116  0.790 1.116  0.902 1.116  1.014 1.116  1.090 1.079  1.090 0.967  1.108 0.873  1.220 0.873  1.332 0.873
1c#app#app14#app1428/r  -0.750 0.521  -0.660 0.431  -0.569 0.340  -0.551 0.219  -0.551 0.091  -0.551 -0.038  -0.551 -0.166  -0.551 -0.295  -0.551 -0.423  -0.498 -0.530  -0.408 -0.621  -0.351 -0.726  -0.351 -0.854  -0.351 -0.983  -0.351 -1.111  -0.351 -1.239  -0.351 -1.368  -0.337 -1.464  -0.246 -1.373  -0.156 -1.282  -0.151 -1.156  -0.151 -1.027  -0.151 -0.899  -0.151 -0.771  -0.151 -0.642  -0.151 -0.514  -0.151 -0.385  -0.151 -0.257  -0.151 -0.128  -0.151 0.000  -0.146 0.127  -0.055 0.217  0.036 0.308  0.049 0.431  0.049 0.559  0.049 0.688  0.116 0.788  0.207 0.879  0.318 0.921  0.447 0.921  0.449 1.047  0.504 1.121  0.632 1.121  0.760 1.121  0.889 1.121  1.017 1.121  1.146 1.121  1.267 1.103  1.357 1.012  1.448 0.921
1c#app#app14#app1428/i  -0.209 0.462  -0.081 0.462  -0.101 0.462  -0.209 0.442  -0.209 0.314  -0.209 0.187  -0.181 0.071  -0.091 -0.020  -0.028 -0.121  -0.028 -0.249  -0.028 -0.376  -0.028 -0.504  -0.028 -0.631  -0.028 -0.759  -0.028 -0.887  -0.028 -1.014  -0.028 -1.142  -0.028 -1.270  -0.028 -1.397  -0.028 -1.525  0.089 -1.536  0.151 -1.473  0.144 -1.345  0.136 -1.218  0.129 -1.090  0.122 -0.963  0.115 -0.836  0.108 -0.708  0.101 -0.581  0.094 -0.453  0.087 -0.326  0.080 -0.198  0.073 -0.071  0.066 0.056  0.059 0.184  0.051 0.311  0.044 0.439  0.037 0.566  0.030 0.694  0.023 0.821  0.016 0.949  0.009 1.076  0.002 1.203  -0.005 1.331  -0.012 1.458  -0.019 1.586  -0.026 1.713  -0.028 1.841  -0.028 1.968  -0.028 2.096
1c#app#app14#app1428/e  -0.479 0.329  -0.385 0.235  -0.291 0.141  -0.232 0.131  -0.232 0.263  -0.165 0.329  -0.032 0.329  0.076 0.389  0.170 0.483  0.264 0.577  0.358 0.671  0.451 0.765  0.510 0.873  0.510 1.006  0.510 1.139  0.510 1.272  0.424 1.318  0.291 1.318  0.189 1.244  0.095 1.150  0.001 1.056  -0.093 0.962  -0.187 0.868  -0.280 0.775  -0.374 0.681  -0.468 0.587  -0.479 0.458  -0.479 0.326  -0.479 0.193  -0.479 0.060  -0.479 -0.073  -0.479 -0.205  -0.479 -0.338  -0.479 -0.471  -0.479 -0.604  -0.424 -0.714  -0.331 -0.808  -0.237 -0.902  -0.143 -0.995  -0.049 -1.089  0.016 -1.195  0.016 -1.328  0.075 -1.401  0.208 -1.401  0.341 -1.401  0.473 -1.401  0.606 -1.401  0.739 -1.401  0.872 -1.401  1.004 -1.401
