1c#apa#apa10#app1025/h  0.095 1.391  0.044 1.494  -0.007 1.597  -0.059 1.699  -0.094 1.734  -0.094 1.619  -0.102 1.505  -0.115 1.391  -0.128 1.277  -0.140 1.163  -0.153 1.049  -0.166 0.934  -0.178 0.820  -0.191 0.706  -0.204 0.592  -0.217 0.478  -0.229 0.364  -0.242 0.250  -0.255 0.136  -0.267 0.022  -0.280 -0.092  -0.283 -0.207  -0.283 -0.321  -0.283 -0.436  -0.299 -0.548  -0.335 -0.657  -0.372 -0.766  -0.408 -0.875  -0.444 -0.984  -0.455 -1.086  -0.373 -1.168  -0.292 -1.249  -0.227 -1.173  -0.163 -1.078  -0.099 -0.982  -0.036 -0.887  0.028 -0.791  0.092 -0.696  0.172 -0.614  0.253 -0.533  0.334 -0.451  0.415 -0.370  0.506 -0.312  0.620 -0.312  0.714 -0.363  0.795 -0.444  0.852 -0.535  0.852 -0.650  0.852 -0.765  0.852 -0.879
1c#apa#apa10#app1025/e  -0.147 0.163  -0.311 0.245  -0.475 0.327  -0.639 0.409  -0.755 0.412  -0.755 0.229  -0.637 0.163  -0.453 0.163  -0.270 0.163  -0.086 0.163  0.097 0.163  0.281 0.163  0.464 0.163  0.648 0.163  0.812 0.210  0.941 0.340  1.071 0.470  1.201 0.600  1.331 0.729  1.247 0.771  1.063 0.771  0.880 0.771  0.696 0.771  0.513 0.771  0.329 0.771  0.146 0.771  -0.038 0.771  -0.221 0.771  -0.405 0.771  -0.527 0.656  -0.629 0.504  -0.731 0.351  -0.832 0.198  -0.934 0.046  -1.036 -0.107  -1.058 -0.284  -1.042 -0.461  -0.913 -0.590  -0.783 -0.720  -0.653 -0.850  -0.523 -0.980  -0.371 -1.068  -0.191 -1.104  -0.012 -1.140  0.168 -1.176  0.348 -1.212  0.528 -1.248  0.708 -1.284  0.888 -1.320  1.068 -1.356
1c#apa#apa10#app1025/s  -1.255 0.107  -1.255 -0.029  -1.255 -0.166  -1.255 -0.302  -1.255 -0.359  -1.255 -0.223  -1.202 -0.119  -1.079 -0.058  -0.957 0.003  -0.835 0.064  -0.716 0.129  -0.602 0.205  -0.488 0.280  -0.375 0.356  -0.261 0.432  -0.148 0.508  -0.034 0.583  0.089 0.639  0.219 0.683  0.348 0.726  0.478 0.769  0.607 0.812  0.737 0.855  0.871 0.867  1.008 0.867  1.109 0.781  1.205 0.685  1.265 0.580  1.222 0.450  1.179 0.321  1.136 0.191  1.093 0.062  1.050 -0.068  0.975 -0.170  0.853 -0.231  0.731 -0.292  0.609 -0.353  0.489 -0.418  0.375 -0.494  0.262 -0.570  0.148 -0.645  0.035 -0.721  -0.079 -0.797  -0.193 -0.872  -0.319 -0.906  -0.456 -0.906  -0.592 -0.906  -0.729 -0.906  -0.749 -0.789  -0.749 -0.652
1c#apa#apa10#app1025/o  -0.664 -0.507  -0.664 -0.615  -0.664 -0.723  -0.638 -0.820  -0.561 -0.896  -0.485 -0.972  -0.409 -1.049  -0.314 -1.079  -0.206 -1.079  -0.098 -1.079  0.010 -1.079  0.118 -1.079  0.216 -1.056  0.292 -0.980  0.369 -0.904  0.445 -0.828  0.521 -0.751  0.597 -0.675  0.674 -0.599  0.750 -0.523  0.765 -0.421  0.765 -0.313  0.765 -0.205  0.765 -0.098  0.765 0.010  0.765 0.118  0.765 0.226  0.765 0.334  0.700 0.415  0.624 0.491  0.548 0.567  0.471 0.643  0.395 0.720  0.319 0.796  0.243 0.872  0.155 0.922  0.048 0.922  -0.060 0.922  -0.168 0.922  -0.276 0.922  -0.384 0.922  -0.492 0.922  -0.599 0.922  -0.707 0.922  -0.815 0.922  -0.923 0.922  -1.007 0.865  -1.083 0.788  -1.160 0.712  -1.236 0.636
1c#apa#apa10#app1025/o  -0.125 0.391  -0.269 0.391  -0.412 0.391  -0.534 0.339  -0.635 0.238  -0.737 0.137  -0.838 0.036  -0.840 -0.107  -0.840 -0.250  -0.840 -0.393  -0.840 -0.537  -0.840 -0.680  -0.840 -0.823  -0.840 -0.966  -0.770 -1.039  -0.626 -1.039  -0.483 -1.039  -0.340 -1.039  -0.197 -1.039  -0.053 -1.039  0.090 -1.039  0.233 -1.038  0.334 -0.937  0.435 -0.836  0.537 -0.734  0.638 -0.633  0.739 -0.532  0.841 -0.430  0.942 -0.329  0.947 -0.188  0.947 -0.045  0.947 0.099  0.947 0.242  0.947 0.385  0.947 0.529  0.947 0.672  0.887 0.778  0.759 0.842  0.631 0.906  0.502 0.970  0.374 1.034  0.246 1.098  0.111 1.065  -0.025 1.020  -0.161 0.975  -0.297 0.929  -0.432 0.884  -0.568 0.839  -0.704 0.793  -0.840 0.748
1c#apa#apa10#app1025/n  0.562 -0.051  0.428 0.016  0.294 0.082  0.161 0.149  0.027 0.216  -0.107 0.283  -0.150 0.203  -0.150 0.054  -0.181 -0.083  -0.287 -0.189  -0.393 -0.294  -0.499 -0.400  -0.550 -0.540  -0.597 -0.681  -0.645 -0.823  -0.692 -0.965  -0.739 -1.107  -0.787 -1.249  -0.834 -1.391  -0.835 -1.421  -0.768 -1.288  -0.701 -1.154  -0.634 -1.020  -0.568 -0.886  -0.503 -0.752  -0.467 -0.607  -0.431 -0.461  -0.394 -0.316  -0.358 -0.171  -0.322 -0.026  -0.285 0.119  -0.249 0.264  -0.213 0.409  -0.177 0.554  -0.122 0.689  -0.016 0.795  0.090 0.901  0.196 1.006  0.341 1.017  0.490 1.017  0.640 1.017  0.790 1.017  0.939 1.017  1.089 1.017  1.238 1.017  1.274 0.903  1.274 0.753  1.274 0.604  1.274 0.454  1.274 0.305
1c#apa#apa10#app1025/t  0.464 1.674  0.314 1.598  0.163 1.523  0.023 1.434  -0.079 1.299  -0.180 1.164  -0.281 1.029  -0.382 0.894  -0.484 0.759  -0.585 0.624  -0.660 0.474  -0.736 0.323  -0.804 0.169  -0.845 0.005  -0.886 -0.158  -0.926 -0.322  -0.967 -0.486  -0.994 -0.645  -0.875 -0.765  -0.756 -0.884  -0.637 -1.003  -0.489 -1.055  -0.321 -1.055  -0.152 -1.055  0.017 -1.055  0.186 -1.055  0.338 -1.000  0.478 -0.906  0.618 -0.813  0.759 -0.719  0.900 -0.627  1.051 -0.552  1.202 -0.476  1.253 -0.406  1.095 -0.347  0.937 -0.288  0.779 -0.228  0.621 -0.169  0.463 -0.110  0.305 -0.051  0.147 0.009  -0.011 0.068  -0.169 0.127  -0.327 0.186  -0.292 0.287  -0.173 0.406  -0.016 0.464  0.144 0.517  0.304 0.571  0.464 0.624
1c#apa#apa10#app1025/o  0.811 0.276  0.645 0.276  0.480 0.276  0.314 0.276  0.149 0.276  0.005 0.298  0.005 0.463  0.005 0.629  -0.110 0.679  -0.275 0.679  -0.428 0.648  -0.545 0.531  -0.662 0.414  -0.779 0.297  -0.896 0.180  -1.013 0.063  -1.130 -0.054  -1.203 -0.189  -1.203 -0.354  -1.203 -0.520  -1.203 -0.685  -1.203 -0.850  -1.119 -0.932  -0.953 -0.932  -0.788 -0.932  -0.622 -0.932  -0.457 -0.932  -0.291 -0.932  -0.126 -0.932  0.036 -0.916  0.184 -0.842  0.332 -0.768  0.480 -0.694  0.627 -0.620  0.775 -0.546  0.867 -0.416  0.941 -0.268  1.015 -0.120  1.089 0.028  1.163 0.176  1.176 0.314  1.059 0.431  0.942 0.548  0.825 0.665  0.708 0.782  0.591 0.898  0.474 1.015  0.336 1.082  0.171 1.082  0.005 1.082
1c#apa#apa10#app1025/o  -0.190 0.431  -0.287 0.528  -0.383 0.624  -0.483 0.700  -0.606 0.639  -0.728 0.578  -0.850 0.516  -0.973 0.455  -1.022 0.349  -1.022 0.212  -1.022 0.075  -1.022 -0.062  -1.022 -0.198  -1.022 -0.335  -1.022 -0.472  -1.022 -0.609  -0.962 -0.708  -0.839 -0.770  -0.717 -0.831  -0.595 -0.892  -0.472 -0.953  -0.336 -0.956  -0.199 -0.956  -0.076 -0.899  0.046 -0.837  0.169 -0.776  0.291 -0.715  0.413 -0.654  0.536 -0.593  0.658 -0.532  0.780 -0.470  0.903 -0.409  1.003 -0.317  1.100 -0.221  1.196 -0.124  1.197 0.013  1.197 0.150  1.197 0.286  1.197 0.423  1.081 0.489  0.959 0.550  0.836 0.611  0.714 0.672  0.589 0.726  0.459 0.769  0.329 0.812  0.199 0.856  0.070 0.899  -0.060 0.942  -0.190 0.985
1c#apa#apa10#app1025/k  -0.082 1.718  -0.082 1.898  -0.152 1.779  -0.233 1.617  -0.284 1.449  -0.284 1.269  -0.284 1.089  -0.284 0.908  -0.284 0.728  -0.315 0.551  -0.350 0.374  -0.386 0.197  -0.421 0.020  -0.456 -0.157  -0.505 -0.326  -0.633 -0.454  -0.689 -0.611  -0.689 -0.791  -0.689 -0.971  -0.689 -1.085  -0.689 -0.905  -0.689 -0.725  -0.636 -0.553  -0.579 -0.382  -0.522 -0.211  -0.438 -0.057  -0.310 0.071  -0.183 0.198  -0.048 0.316  0.113 0.397  0.274 0.477  0.449 0.502  0.629 0.502  0.809 0.502  0.931 0.444  0.920 0.265  0.863 0.094  0.806 -0.077  0.749 -0.248  0.646 -0.391  0.518 -0.518  0.391 -0.646  0.239 -0.713  0.149 -0.769  0.230 -0.931  0.310 -1.092  0.474 -1.119  0.654 -1.119  0.804 -1.194  0.931 -1.321
1c#apa#apa10#app1025/e  -0.256 -0.239  -0.370 -0.125  -0.484 -0.011  -0.357 0.003  -0.196 0.003  -0.034 0.003  0.127 0.003  0.288 0.003  0.450 0.003  0.611 0.003  0.766 0.029  0.911 0.102  1.055 0.174  1.199 0.246  1.127 0.390  1.055 0.535  0.982 0.679  0.957 0.834  0.934 0.973  0.773 0.973  0.611 0.973  0.450 0.973  0.289 0.973  0.127 0.973  -0.033 0.967  -0.186 0.916  -0.339 0.865  -0.492 0.814  -0.645 0.763  -0.741 0.670  -0.741 0.509  -0.785 0.355  -0.836 0.201  -0.887 0.048  -0.938 -0.105  -0.977 -0.258  -0.926 -0.411  -0.875 -0.564  -0.824 -0.717  -0.773 -0.870  -0.687 -0.993  -0.543 -1.065  -0.399 -1.138  -0.254 -1.209  -0.093 -1.209  0.069 -1.209  0.230 -1.209  0.391 -1.209  0.553 -1.209  0.714 -1.209
