2#app#app11#app1152/a  -0.773 0.901  -0.683 0.996  -0.594 1.091  -0.488 1.169  -0.393 1.258  -0.209 1.258  -0.061 1.346  0.033 1.258  0.218 1.258  0.371 1.185  0.477 1.044  0.495 0.864  0.566 0.697  0.566 0.513  0.566 0.329  0.566 0.144  0.566 -0.040  0.566 -0.224  0.566 -0.408  0.566 -0.592  0.655 -0.670  0.744 -0.523  0.744 -0.339  0.671 -0.185  0.655 -0.007  0.576 0.098  0.506 0.247  0.371 0.366  0.187 0.366  0.003 0.366  -0.172 0.342  -0.302 0.212  -0.460 0.121  -0.608 0.056  -0.667 -0.119  -0.776 -0.262  -0.862 -0.411  -0.951 -0.558  -0.951 -0.742  -0.951 -0.926  -0.890 -1.096  -0.739 -1.151  -0.567 -1.179  -0.408 -1.240  -0.224 -1.240  -0.051 -1.192  0.124 -1.151  0.297 -1.107  0.471 -1.062  0.655 -1.062
2#app#app11#app1152/q  0.325 0.888  0.325 1.040  0.223 1.090  0.138 1.157  -0.014 1.157  -0.166 1.157  -0.250 1.090  -0.402 1.090  -0.513 0.992  -0.621 0.884  -0.728 0.777  -0.788 0.650  -0.818 0.510  -0.818 0.359  -0.812 0.209  -0.704 0.102  -0.628 0.014  -0.517 -0.085  -0.380 -0.120  -0.228 -0.120  -0.076 -0.120  0.002 -0.039  0.130 0.021  0.190 0.147  0.316 0.207  0.376 0.335  0.450 0.466  0.505 0.597  0.527 0.740  0.456 0.687  0.377 0.604  0.322 0.475  0.274 0.331  0.258 0.181  0.258 0.030  0.227 -0.115  0.190 -0.258  0.190 -0.410  0.190 -0.562  0.190 -0.714  0.190 -0.866  0.190 -1.018  0.190 -1.170  0.190 -1.321  0.190 -1.473  0.190 -1.625  0.190 -1.777  0.190 -1.929  0.245 -2.058  0.258 -2.205
2#app#app11#app1152/u  -0.858 0.792  -0.858 0.689  -0.858 0.586  -0.929 0.513  -0.962 0.424  -0.962 0.321  -0.962 0.218  -0.962 0.115  -0.962 0.012  -0.962 -0.091  -0.962 -0.194  -0.962 -0.297  -0.962 -0.399  -0.919 -0.459  -0.858 -0.501  -0.818 -0.563  -0.726 -0.591  -0.653 -0.664  -0.581 -0.736  -0.492 -0.772  -0.389 -0.772  -0.287 -0.772  -0.184 -0.772  -0.081 -0.772  0.008 -0.739  0.082 -0.667  0.184 -0.667  0.257 -0.594  0.347 -0.563  0.393 -0.506  0.432 -0.419  0.505 -0.346  0.578 -0.274  0.601 -0.180  0.650 -0.098  0.713 -0.019  0.745 0.078  0.778 0.176  0.811 0.273  0.857 0.365  0.903 0.458  0.914 0.558  0.948 0.653  0.994 0.745  1.018 0.842  1.018 0.945  1.051 1.034  1.122 1.107  1.122 1.210  1.122 1.313
2#app#app11#app1152/i  -0.049 1.717  -0.049 1.646  -0.049 1.575  -0.049 1.504  -0.049 1.433  -0.049 1.362  -0.049 1.292  -0.049 1.221  -0.049 1.150  -0.049 1.079  -0.049 1.008  -0.049 0.937  -0.049 0.866  -0.049 0.795  -0.049 0.724  -0.049 0.653  -0.049 0.582  -0.049 0.511  -0.049 0.441  -0.049 0.370  -0.049 0.299  -0.049 0.228  -0.049 0.157  -0.049 0.086  -0.049 0.015  -0.049 -0.056  -0.049 -0.127  -0.049 -0.198  -0.049 -0.269  -0.049 -0.339  -0.049 -0.410  -0.049 -0.481  -0.049 -0.552  -0.049 -0.623  -0.049 -0.694  -0.049 -0.765  -0.013 -0.821  0.037 -0.871  0.087 -0.921  0.118 -0.980  0.118 -1.050  0.118 -1.121  0.118 -1.192  0.118 -1.263  0.118 -1.334  0.118 -1.405  0.134 -1.469  0.184 -1.519  0.234 -1.569  0.284 -1.620
2#app#app11#app1152/c  0.736 1.037  0.736 1.138  0.736 1.239  0.647 1.250  0.546 1.250  0.445 1.250  0.345 1.250  0.244 1.250  0.162 1.206  0.087 1.144  -0.007 1.137  -0.008 1.037  -0.079 0.966  -0.136 0.885  -0.181 0.795  -0.231 0.708  -0.302 0.637  -0.325 0.546  -0.369 0.463  -0.431 0.389  -0.431 0.288  -0.432 0.188  -0.503 0.117  -0.538 0.030  -0.538 -0.070  -0.538 -0.171  -0.538 -0.272  -0.538 -0.372  -0.538 -0.473  -0.538 -0.573  -0.538 -0.674  -0.538 -0.774  -0.536 -0.874  -0.465 -0.946  -0.394 -1.017  -0.322 -1.085  -0.221 -1.085  -0.121 -1.085  -0.020 -1.085  0.081 -1.085  0.157 -1.027  0.238 -0.979  0.335 -0.967  0.425 -0.922  0.515 -0.877  0.605 -0.832  0.695 -0.787  0.791 -0.767  0.877 -0.732  0.948 -0.661
2#app#app11#app1152/k  -0.715 1.295  -0.715 1.060  -0.715 0.825  -0.715 0.590  -0.715 0.355  -0.715 0.120  -0.715 -0.115  -0.715 -0.350  -0.715 -0.584  -0.715 -0.819  -0.649 -1.039  -0.610 -1.264  -0.526 -1.177  -0.411 -0.972  -0.296 -0.767  -0.181 -0.562  -0.067 -0.357  0.048 -0.152  0.163 0.053  0.278 0.258  0.393 0.463  0.507 0.667  0.622 0.872  0.737 1.077  0.852 1.282  0.743 1.190  0.544 1.154  0.396 1.042  0.291 0.875  0.107 0.753  -0.059 0.587  -0.225 0.421  -0.326 0.246  -0.456 0.141  -0.586 0.036  -0.716 -0.070  -0.882 -0.236  -0.750 -0.278  -0.515 -0.278  -0.280 -0.278  -0.045 -0.278  0.183 -0.308  0.400 -0.383  0.608 -0.448  0.805 -0.540  1.012 -0.618  1.212 -0.737  1.409 -0.829  1.611 -0.908  1.803 -1.013
2#app#app11#app1152/b  -0.499 2.013  -0.499 1.839  -0.520 1.670  -0.574 1.508  -0.574 1.334  -0.574 1.160  -0.574 0.985  -0.574 0.811  -0.574 0.637  -0.574 0.462  -0.574 0.288  -0.574 0.114  -0.574 -0.061  -0.574 -0.235  -0.565 -0.407  -0.499 -0.566  -0.499 -0.740  -0.447 -0.790  -0.423 -0.625  -0.348 -0.482  -0.348 -0.308  -0.326 -0.143  -0.273 0.010  -0.224 0.135  -0.125 0.210  -0.032 0.301  0.102 0.376  0.217 0.436  0.360 0.511  0.503 0.436  0.677 0.436  0.836 0.370  0.977 0.286  1.004 0.138  1.079 -0.005  1.079 -0.179  1.041 -0.316  1.004 -0.453  0.943 -0.602  0.820 -0.725  0.703 -0.851  0.626 -0.994  0.482 -1.067  0.336 -1.134  0.165 -1.142  0.002 -1.092  -0.123 -1.024  -0.188 -0.900  -0.357 -0.858  -0.348 -0.766
2#app#app11#app1152/r  -0.935 0.353  -0.799 0.353  -0.789 0.227  -0.706 0.125  -0.643 0.015  -0.617 -0.110  -0.521 -0.206  -0.497 -0.332  -0.432 -0.441  -0.352 -0.544  -0.352 -0.680  -0.349 -0.815  -0.253 -0.911  -0.206 -1.028  -0.206 -1.164  -0.206 -1.300  -0.206 -1.355  -0.206 -1.219  -0.206 -1.083  -0.214 -0.951  -0.310 -0.854  -0.352 -0.736  -0.352 -0.600  -0.352 -0.464  -0.352 -0.328  -0.390 -0.230  -0.497 -0.202  -0.497 -0.066  -0.497 0.070  -0.497 0.206  -0.363 0.208  -0.352 0.333  -0.270 0.435  -0.161 0.499  -0.035 0.524  0.061 0.620  0.187 0.645  0.323 0.645  0.435 0.703  0.535 0.791  0.671 0.791  0.807 0.791  0.943 0.791  1.044 0.874  1.154 0.936  1.290 0.936  1.426 0.936  1.562 0.936  1.698 0.936  1.834 0.936
2#app#app11#app1152/o  -0.036 0.939  -0.172 0.939  -0.283 0.878  -0.405 0.845  -0.437 0.725  -0.546 0.659  -0.596 0.573  -0.690 0.531  -0.744 0.417  -0.783 0.297  -0.871 0.197  -0.876 0.064  -0.876 -0.073  -0.930 -0.196  -0.970 -0.323  -0.970 -0.459  -0.930 -0.555  -0.876 -0.638  -0.854 -0.764  -0.783 -0.871  -0.728 -0.984  -0.608 -1.022  -0.471 -1.022  -0.335 -1.022  -0.199 -1.022  -0.063 -1.022  0.041 -0.946  0.137 -0.849  0.255 -0.783  0.369 -0.711  0.465 -0.615  0.561 -0.519  0.657 -0.422  0.754 -0.326  0.869 -0.275  0.946 -0.180  1.015 -0.064  1.085 0.043  1.085 0.179  1.085 0.315  1.085 0.451  1.069 0.581  0.973 0.677  0.868 0.752  0.740 0.785  0.618 0.845  0.520 0.939  0.398 0.972  0.287 1.032  0.151 1.032
2#app#app11#app1152/w  -1.230 0.609  -1.230 0.449  -1.316 0.325  -1.329 0.170  -1.329 0.010  -1.283 -0.131  -1.230 -0.268  -1.197 -0.415  -1.130 -0.547  -1.041 -0.670  -0.885 -0.680  -0.725 -0.680  -0.635 -0.610  -0.543 -0.489  -0.500 -0.346  -0.386 -0.233  -0.337 -0.094  -0.301 0.051  -0.238 0.185  -0.215 0.335  -0.139 0.464  -0.124 0.609  -0.040 0.685  -0.040 0.771  -0.040 0.611  -0.139 0.492  -0.139 0.332  -0.139 0.172  -0.067 0.042  -0.040 -0.107  0.019 -0.243  0.063 -0.382  0.159 -0.447  0.284 -0.482  0.357 -0.568  0.504 -0.581  0.664 -0.581  0.804 -0.531  0.943 -0.482  1.051 -0.371  1.102 -0.232  1.150 -0.092  1.249 0.026  1.249 0.186  1.344 0.307  1.349 0.465  1.448 0.526  1.448 0.686  1.448 0.846  1.349 0.907
2#app#app11#app1152/n  -0.825 0.813  -0.825 0.668  -0.825 0.523  -0.825 0.379  -0.825 0.234  -0.825 0.090  -0.825 -0.055  -0.825 -0.199  -0.825 -0.344  -0.825 -0.488  -0.825 -0.633  -0.825 -0.778  -0.751 -0.848  -0.706 -0.948  -0.706 -0.840  -0.706 -0.696  -0.664 -0.569  -0.588 -0.456  -0.588 -0.311  -0.588 -0.167  -0.588 -0.022  -0.469 0.004  -0.469 0.148  -0.469 0.293  -0.399 0.408  -0.350 0.533  -0.248 0.575  -0.141 0.666  -0.113 0.799  0.017 0.813  0.162 0.813  0.307 0.813  0.451 0.813  0.596 0.813  0.699 0.712  0.801 0.610  0.836 0.480  0.954 0.454  0.954 0.309  0.993 0.181  1.073 0.069  1.098 -0.069  1.163 -0.198  1.191 -0.336  1.191 -0.481  1.191 -0.625  1.191 -0.770  1.191 -0.915  1.191 -1.059  1.191 -1.204
2#app#app11#app1152/f  0.898 0.863  0.869 1.028  0.791 1.174  0.654 1.271  0.549 1.348  0.422 1.433  0.286 1.475  0.109 1.475  -0.044 1.416  -0.189 1.339  -0.287 1.241  -0.350 1.086  -0.393 0.919  -0.393 0.741  -0.393 0.564  -0.393 0.387  -0.393 0.210  -0.393 0.032  -0.367 -0.139  -0.325 -0.306  -0.325 -0.484  -0.251 -0.643  -0.172 -0.802  -0.121 -0.967  -0.074 -1.134  0.010 -1.243  0.091 -1.379  0.268 -1.379  0.218 -1.250  0.085 -1.133  -0.048 -1.016  -0.181 -0.898  -0.314 -0.781  -0.447 -0.664  -0.580 -0.547  -0.713 -0.429  -0.846 -0.312  -0.793 -0.352  -0.640 -0.292  -0.482 -0.245  -0.314 -0.224  -0.137 -0.224  0.041 -0.224  0.211 -0.194  0.379 -0.156  0.556 -0.156  0.734 -0.156  0.887 -0.098  1.060 -0.088  1.238 -0.088
