1b#app#app06#app0637/Z  -0.862 1.205  -0.737 1.268  -0.575 1.331  -0.412 1.393  -0.228 1.416  -0.047 1.456  0.141 1.456  0.204 1.331  0.266 1.204  0.266 1.016  0.237 0.835  0.181 0.660  0.097 0.492  0.069 0.311  -0.015 0.143  -0.084 -0.032  -0.157 -0.204  -0.241 -0.373  -0.325 -0.541  -0.409 -0.709  -0.486 -0.868  -0.549 -1.030  -0.470 -1.176  -0.282 -1.176  -0.094 -1.176  0.094 -1.176  0.274 -1.140  0.455 -1.112  0.628 -1.050  0.805 -1.000  0.980 -0.963  1.152 -0.925  1.092 -0.854  0.932 -0.754  0.773 -0.655  0.614 -0.555  0.454 -0.455  0.295 -0.356  0.135 -0.256  -0.024 -0.156  -0.183 -0.057  -0.343 0.043  -0.502 0.142  -0.662 0.242  -0.781 0.346  -0.674 0.453  -0.486 0.453  -0.361 0.516  -0.173 0.516  0.015 0.516
1b#app#app06#app0637/A  -0.585 1.593  -0.475 1.395  -0.392 1.142  -0.322 0.882  -0.261 0.621  -0.190 0.361  -0.190 0.090  -0.124 -0.171  -0.068 -0.429  -0.059 -0.698  0.007 -0.953  0.007 -1.224  0.007 -1.496  0.007 -1.767  -0.059 -1.650  -0.124 -1.394  -0.190 -1.150  -0.245 -0.886  -0.322 -0.631  -0.388 -0.371  -0.388 -0.100  -0.454 0.161  -0.454 0.432  -0.454 0.703  -0.454 0.974  -0.394 1.238  -0.322 1.481  -0.255 1.725  -0.090 1.589  0.004 1.336  0.139 1.120  0.187 0.863  0.308 0.624  0.353 0.360  0.453 0.109  0.547 -0.145  0.648 -0.396  0.726 -0.640  0.863 -0.854  0.978 -0.966  0.738 -0.840  0.497 -0.714  0.257 -0.588  0.017 -0.462  -0.223 -0.336  -0.327 -0.190  -0.089 -0.101  0.161 -0.031  0.392 0.107  0.600 0.276
1b#app#app06#app0637/P  -0.336 0.884  -0.245 0.768  -0.183 0.598  -0.070 0.456  -0.044 0.272  0.040 0.108  0.112 -0.062  0.189 -0.234  0.224 -0.409  0.323 -0.567  0.372 -0.749  0.397 -0.934  0.430 -1.115  0.463 -1.296  0.530 -1.456  0.530 -1.645  0.411 -1.715  0.274 -1.592  0.130 -1.490  0.034 -1.338  -0.070 -1.181  -0.154 -1.013  -0.239 -0.844  -0.323 -0.676  -0.386 -0.499  -0.464 -0.327  -0.483 -0.142  -0.545 0.035  -0.603 0.210  -0.603 0.399  -0.603 0.587  -0.539 0.749  -0.500 0.921  -0.461 1.093  -0.336 1.230  -0.269 1.352  -0.183 1.504  -0.013 1.551  0.142 1.472  0.197 1.306  0.296 1.153  0.330 0.972  0.397 0.799  0.397 0.611  0.397 0.423  0.397 0.234  0.330 0.061  0.263 -0.099  0.119 -0.182  -0.070 -0.182
1b#app#app06#app0637/K  -0.903 1.355  -0.903 1.157  -0.803 1.058  -0.803 0.860  -0.717 0.682  -0.602 0.528  -0.587 0.336  -0.502 0.172  -0.448 -0.004  -0.342 -0.169  -0.298 -0.357  -0.209 -0.535  -0.100 -0.690  -0.004 -0.849  0.000 -1.045  0.064 -1.218  0.101 -1.401  0.024 -1.335  -0.083 -1.167  -0.189 -1.000  -0.296 -0.832  -0.403 -0.665  -0.509 -0.497  -0.602 -0.325  -0.502 -0.227  -0.502 -0.029  -0.502 0.170  -0.418 0.334  -0.301 0.484  -0.280 0.674  -0.139 0.814  -0.100 0.996  -0.000 1.154  0.140 1.294  0.201 1.243  0.201 1.044  0.201 0.846  0.201 0.647  0.203 0.450  0.344 0.309  0.409 0.136  0.498 -0.041  0.636 -0.184  0.776 -0.324  0.946 -0.393  1.086 -0.534  1.259 -0.629  1.439 -0.685  1.607 -0.755  1.707 -0.854
1b#app#app06#app0637/A  -0.163 1.476  -0.063 1.256  -0.063 0.995  -0.063 0.734  -0.063 0.473  -0.063 0.212  -0.052 -0.046  0.037 -0.286  0.037 -0.548  0.037 -0.809  0.037 -1.070  0.037 -1.331  0.037 -1.592  -0.063 -1.811  -0.163 -1.676  -0.263 -1.456  -0.263 -1.195  -0.363 -0.975  -0.363 -0.714  -0.377 -0.455  -0.428 -0.199  -0.463 0.059  -0.463 0.320  -0.463 0.581  -0.463 0.842  -0.463 1.103  -0.379 1.344  -0.345 1.594  -0.159 1.776  -0.017 1.630  0.075 1.400  0.137 1.154  0.219 0.912  0.307 0.667  0.411 0.428  0.437 0.173  0.510 -0.071  0.582 -0.315  0.637 -0.563  0.737 -0.783  0.722 -1.012  0.520 -0.846  0.318 -0.681  0.116 -0.516  -0.086 -0.350  -0.288 -0.185  -0.198 -0.124  -0.003 0.036  0.219 0.167  0.437 0.276
1b#app#app06#app0637/P  -0.294 0.432  -0.207 0.348  -0.207 0.178  -0.131 0.085  -0.069 -0.053  -0.034 -0.209  -0.020 -0.376  0.057 -0.526  0.139 -0.662  0.201 -0.818  0.226 -0.982  0.275 -1.140  0.312 -1.301  0.399 -1.435  0.399 -1.605  0.370 -1.705  0.311 -1.559  0.191 -1.439  0.071 -1.319  0.052 -1.157  -0.044 -1.026  -0.139 -0.884  -0.207 -0.735  -0.226 -0.570  -0.294 -0.416  -0.340 -0.257  -0.416 -0.105  -0.467 0.053  -0.467 0.223  -0.467 0.393  -0.467 0.563  -0.467 0.733  -0.412 0.890  -0.371 1.048  -0.294 1.186  -0.192 1.314  -0.121 1.454  -0.004 1.558  0.166 1.558  0.312 1.534  0.327 1.370  0.399 1.230  0.399 1.060  0.399 0.890  0.399 0.720  0.336 0.565  0.312 0.401  0.231 0.264  0.111 0.144  -0.034 0.085
1b#app#app06#app0637/O  -0.540 0.569  -0.540 0.710  -0.522 0.843  -0.423 0.942  -0.286 0.953  -0.284 1.092  -0.261 1.209  -0.120 1.209  0.020 1.209  0.143 1.166  0.243 1.067  0.342 0.967  0.442 0.868  0.484 0.744  0.550 0.631  0.612 0.516  0.659 0.394  0.741 0.287  0.741 0.147  0.776 0.021  0.869 -0.082  0.869 -0.223  0.869 -0.363  0.869 -0.504  0.841 -0.638  0.778 -0.764  0.741 -0.896  0.692 -1.017  0.584 -1.096  0.443 -1.096  0.303 -1.096  0.162 -1.096  0.021 -1.096  -0.120 -1.096  -0.260 -1.096  -0.367 -1.013  -0.489 -0.968  -0.540 -0.879  -0.612 -0.768  -0.696 -0.657  -0.759 -0.531  -0.796 -0.399  -0.796 -0.258  -0.796 -0.117  -0.796 0.023  -0.796 0.164  -0.796 0.305  -0.794 0.445  -0.731 0.571  -0.668 0.697
1b#app#app06#app0637/W  -1.318 0.645  -1.318 0.454  -1.312 0.266  -1.177 0.131  -1.052 -0.011  -0.967 -0.182  -0.844 -0.326  -0.796 -0.497  -0.698 -0.647  -0.592 -0.773  -0.450 -0.875  -0.450 -1.066  -0.326 -1.133  -0.249 -1.292  -0.202 -1.216  -0.202 -1.025  -0.202 -0.835  -0.202 -0.644  -0.202 -0.453  -0.202 -0.262  -0.202 -0.071  -0.202 0.120  -0.202 0.311  -0.202 0.502  -0.080 0.642  0.047 0.582  0.138 0.430  0.171 0.252  0.171 0.061  0.295 -0.006  0.295 -0.197  0.295 -0.387  0.370 -0.547  0.419 -0.718  0.465 -0.798  0.543 -0.639  0.543 -0.448  0.543 -0.257  0.543 -0.066  0.543 0.124  0.543 0.315  0.592 0.495  0.667 0.668  0.730 0.832  0.816 0.995  0.863 1.180  0.909 1.365  0.945 1.543  1.039 1.695  1.163 1.762
1b#app#app06#app0637/K  -0.871 1.284  -0.743 1.203  -0.743 0.994  -0.692 0.797  -0.615 0.605  -0.562 0.409  -0.487 0.217  -0.487 0.008  -0.422 -0.191  -0.360 -0.389  -0.360 -0.599  -0.328 -0.795  -0.232 -0.964  -0.213 -1.165  -0.104 -1.329  -0.105 -1.523  -0.146 -1.318  -0.187 -1.113  -0.228 -0.908  -0.269 -0.703  -0.310 -0.497  -0.351 -0.292  -0.232 -0.212  -0.232 -0.003  -0.232 0.206  -0.122 0.370  -0.079 0.566  0.015 0.753  0.108 0.940  0.231 1.106  0.378 1.254  0.526 1.402  0.657 1.527  0.564 1.340  0.470 1.153  0.377 0.965  0.283 0.778  0.190 0.591  0.096 0.404  0.024 0.212  0.025 0.003  0.152 -0.153  0.231 -0.330  0.379 -0.478  0.527 -0.626  0.664 -0.778  0.732 -0.959  0.880 -1.107  1.028 -1.255  1.176 -1.403
1b#app#app06#app0637/E  -0.172 0.803  -0.172 0.526  -0.172 0.250  -0.150 -0.022  -0.074 -0.281  -0.074 -0.558  0.023 -0.794  0.105 -1.037  0.219 -1.267  0.217 -1.344  0.090 -1.120  -0.112 -0.978  -0.270 -0.755  -0.400 -0.532  -0.523 -0.292  -0.661 -0.062  -0.728 0.187  -0.758 0.451  -0.843 0.693  -0.856 0.964  -0.758 1.200  -0.661 1.380  -0.394 1.389  -0.157 1.292  0.079 1.194  0.341 1.255  0.581 1.361  0.685 1.453  0.534 1.220  0.384 0.988  0.234 0.755  0.083 0.523  -0.067 0.291  -0.217 0.058  -0.367 -0.173  -0.143 -0.046  0.082 0.080  0.319 0.217  0.596 0.217  0.654 0.202  0.536 -0.049  0.418 -0.299  0.300 -0.550  0.182 -0.800  0.065 -1.051  -0.053 -1.301  0.113 -1.444  0.389 -1.444  0.650 -1.404  0.903 -1.346
1b#app#app06#app0637/R  -0.290 1.187  -0.204 1.057  -0.204 0.840  -0.204 0.623  -0.204 0.406  -0.204 0.189  -0.126 -0.010  -0.107 -0.222  -0.030 -0.421  0.048 -0.619  0.057 -0.834  0.057 -1.051  0.144 -1.232  0.113 -1.418  -0.030 -1.293  -0.174 -1.187  -0.282 -1.001  -0.377 -0.822  -0.464 -0.641  -0.551 -0.460  -0.610 -0.257  -0.638 -0.046  -0.638 0.171  -0.638 0.387  -0.638 0.604  -0.607 0.814  -0.551 1.018  -0.456 1.195  -0.360 1.369  -0.174 1.477  0.019 1.534  0.148 1.443  0.318 1.347  0.357 1.147  0.404 0.950  0.404 0.733  0.404 0.516  0.318 0.335  0.231 0.154  0.084 -0.002  -0.026 -0.120  0.128 -0.273  0.281 -0.426  0.373 -0.605  0.526 -0.759  0.578 -0.954  0.736 -1.055  0.857 -1.167  1.012 -1.288  1.186 -1.331
