1c#tos#t2#t2064064/a  0.479 -0.094  0.439 -0.164  0.523 -0.050  0.550 0.110  0.592 0.273  0.620 0.438  0.620 0.610  0.551 0.753  0.479 0.895  0.357 1.017  0.209 1.101  0.038 1.107  -0.134 1.107  -0.306 1.107  -0.467 1.080  -0.588 0.959  -0.725 0.858  -0.861 0.756  -0.942 0.605  -1.063 0.483  -1.075 0.316  -1.139 0.164  -1.217 0.015  -1.217 -0.157  -1.217 -0.329  -1.217 -0.501  -1.147 -0.657  -0.977 -0.659  -0.805 -0.659  -0.633 -0.659  -0.460 -0.659  -0.291 -0.652  -0.170 -0.530  -0.032 -0.447  0.115 -0.387  0.237 -0.265  0.325 -0.164  0.408 -0.034  0.408 -0.043  0.408 -0.215  0.408 -0.387  0.408 -0.559  0.522 -0.659  0.694 -0.659  0.795 -0.730  0.967 -0.730  1.139 -0.730  1.311 -0.730  1.467 -0.660  1.610 -0.588
1c#tos#t2#t2064064/b  0.551 1.988  0.435 2.038  0.424 1.860  0.319 1.721  0.296 1.547  0.196 1.394  0.115 1.231  0.033 1.068  0.016 0.889  -0.028 0.712  -0.073 0.535  -0.176 0.392  -0.202 0.221  -0.239 0.043  -0.314 -0.120  -0.393 -0.281  -0.434 -0.458  -0.434 -0.640  -0.434 -0.823  -0.468 -0.984  -0.549 -1.115  -0.549 -1.099  -0.549 -0.917  -0.549 -0.735  -0.549 -0.552  -0.456 -0.409  -0.386 -0.244  -0.352 -0.073  -0.260 0.071  -0.143 0.137  -0.037 0.275  0.132 0.330  0.306 0.366  0.488 0.366  0.670 0.366  0.841 0.355  0.841 0.172  0.841 -0.010  0.815 -0.181  0.725 -0.326  0.598 -0.456  0.448 -0.554  0.317 -0.680  0.188 -0.808  0.054 -0.931  -0.100 -1.024  -0.278 -1.050  -0.411 -1.153  -0.565 -1.198  -0.723 -1.256
1c#tos#t2#t2064064/d  0.695 1.733  0.574 1.782  0.497 1.688  0.497 1.517  0.475 1.349  0.448 1.182  0.448 1.011  0.448 0.840  0.448 0.669  0.448 0.498  0.448 0.328  0.448 0.157  0.448 -0.014  0.448 -0.185  0.448 -0.355  0.448 -0.526  0.448 -0.697  0.448 -0.868  0.448 -1.038  0.448 -0.963  0.448 -0.792  0.448 -0.622  0.434 -0.453  0.398 -0.288  0.373 -0.121  0.289 0.023  0.250 0.184  0.200 0.334  0.098 0.432  -0.049 0.498  -0.200 0.546  -0.371 0.546  -0.542 0.546  -0.692 0.496  -0.800 0.425  -0.914 0.310  -0.937 0.154  -0.946 -0.015  -0.987 -0.176  -0.987 -0.347  -0.953 -0.510  -0.937 -0.677  -0.846 -0.810  -0.713 -0.914  -0.655 -1.054  -0.502 -1.130  -0.341 -1.185  -0.170 -1.185  0.001 -1.185  0.151 -1.136
1c#tos#t2#t2064064/f  -0.563 0.267  -0.711 0.267  -0.852 0.225  -0.778 0.213  -0.629 0.213  -0.481 0.213  -0.333 0.213  -0.185 0.213  -0.037 0.213  0.111 0.213  0.260 0.213  0.408 0.213  0.556 0.213  0.704 0.213  0.847 0.219  0.873 0.365  0.900 0.511  0.926 0.656  0.953 0.802  0.846 0.883  0.731 0.917  0.583 0.917  0.452 0.945  0.360 1.051  0.218 1.079  0.070 1.079  -0.078 1.079  -0.130 0.983  -0.184 0.857  -0.184 0.709  -0.184 0.561  -0.184 0.413  -0.184 0.265  -0.184 0.116  -0.184 -0.032  -0.180 -0.179  -0.133 -0.320  -0.130 -0.467  -0.130 -0.615  -0.130 -0.764  -0.130 -0.912  -0.130 -1.060  -0.159 -1.201  -0.184 -1.343  -0.278 -1.453  -0.292 -1.595  -0.343 -1.731  -0.420 -1.846  -0.535 -1.926  -0.563 -2.063
1c#tos#t2#t2064064/g  0.473 0.414  0.419 0.554  0.474 0.738  0.527 0.919  0.527 1.112  0.450 1.282  0.344 1.419  0.154 1.435  -0.039 1.435  -0.227 1.399  -0.394 1.305  -0.494 1.149  -0.548 0.978  -0.548 0.784  -0.548 0.591  -0.454 0.427  -0.288 0.360  -0.095 0.360  0.098 0.361  0.204 0.489  0.257 0.629  0.312 0.449  0.366 0.278  0.366 0.085  0.366 -0.109  0.366 -0.302  0.366 -0.495  0.261 -0.657  0.258 -0.849  0.258 -1.043  0.156 -1.193  0.043 -1.340  -0.064 -1.467  -0.235 -1.521  -0.429 -1.521  -0.622 -1.521  -0.757 -1.425  -0.763 -1.234  -0.763 -1.040  -0.704 -0.871  -0.568 -0.734  -0.431 -0.598  -0.294 -0.461  -0.158 -0.324  -0.010 -0.204  0.161 -0.113  0.336 -0.070  0.475 -0.016  0.620 0.063  0.796 0.092
1c#tos#t2#t2064064/h  -0.169 1.792  -0.325 1.792  -0.393 1.704  -0.393 1.547  -0.393 1.391  -0.393 1.235  -0.393 1.079  -0.393 0.922  -0.415 0.768  -0.440 0.614  -0.449 0.458  -0.449 0.302  -0.449 0.145  -0.449 -0.011  -0.449 -0.167  -0.449 -0.324  -0.449 -0.480  -0.449 -0.636  -0.449 -0.793  -0.449 -0.949  -0.449 -1.105  -0.505 -1.248  -0.505 -1.176  -0.505 -1.020  -0.455 -0.879  -0.393 -0.741  -0.393 -0.585  -0.376 -0.438  -0.246 -0.351  -0.225 -0.206  -0.169 -0.105  -0.169 0.051  -0.085 0.182  -0.001 0.306  0.103 0.391  0.236 0.447  0.393 0.447  0.480 0.359  0.563 0.269  0.612 0.121  0.679 -0.009  0.728 -0.145  0.795 -0.259  0.873 -0.383  0.957 -0.510  1.064 -0.622  1.113 -0.730  1.213 -0.786  1.361 -0.822  1.512 -0.842
1c#tos#t2#t2064064/i  0.125 0.324  -0.009 0.324  -0.033 0.318  -0.033 0.184  -0.033 0.049  -0.033 -0.086  -0.033 -0.220  0.012 -0.344  0.020 -0.477  0.020 -0.612  0.020 -0.746  0.020 -0.881  0.020 -1.015  0.020 -1.150  0.020 -1.285  0.028 -1.412  0.073 -1.501  0.086 -1.622  0.175 -1.579  0.166 -1.445  0.157 -1.311  0.148 -1.176  0.139 -1.042  0.129 -0.908  0.120 -0.773  0.111 -0.639  0.102 -0.505  0.093 -0.370  0.084 -0.236  0.075 -0.102  0.066 0.032  0.057 0.167  0.048 0.301  0.038 0.435  0.029 0.570  0.020 0.704  0.011 0.838  0.002 0.972  -0.007 1.107  -0.016 1.241  -0.025 1.375  -0.060 1.482  -0.190 1.477  -0.190 1.342  -0.254 1.271  -0.296 1.364  -0.296 1.499  -0.243 1.488  -0.243 1.353  -0.243 1.219
1c#tos#t2#t2064064/k  -0.393 2.114  -0.510 2.040  -0.482 1.854  -0.452 1.668  -0.452 1.477  -0.452 1.286  -0.452 1.096  -0.452 0.905  -0.452 0.714  -0.452 0.523  -0.452 0.333  -0.452 0.142  -0.452 -0.049  -0.452 -0.240  -0.452 -0.431  -0.452 -0.621  -0.452 -0.812  -0.452 -1.003  -0.427 -1.183  -0.393 -1.360  -0.352 -1.509  -0.259 -1.353  -0.176 -1.182  -0.092 -1.010  -0.009 -0.839  0.075 -0.667  0.158 -0.496  0.242 -0.324  0.325 -0.152  0.409 0.019  0.492 0.191  0.576 0.362  0.659 0.534  0.659 0.653  0.499 0.552  0.364 0.417  0.229 0.282  0.127 0.127  -0.049 0.065  -0.218 0.001  -0.140 -0.133  0.046 -0.165  0.120 -0.282  0.304 -0.310  0.423 -0.427  0.606 -0.458  0.737 -0.523  0.920 -0.574  1.068 -0.617  1.243 -0.633
1c#tos#t2#t2064064/l  0.198 1.558  0.126 1.558  0.054 1.558  0.016 1.525  0.016 1.453  0.016 1.381  0.016 1.310  0.016 1.238  0.016 1.166  0.016 1.095  0.016 1.023  0.016 0.951  0.016 0.880  0.016 0.808  0.016 0.736  0.016 0.665  0.016 0.593  0.016 0.521  0.016 0.450  0.016 0.378  0.016 0.306  0.016 0.235  0.016 0.163  0.016 0.091  0.016 0.020  0.016 -0.052  0.016 -0.124  0.016 -0.195  0.016 -0.267  0.016 -0.338  0.016 -0.410  -0.026 -0.440  -0.045 -0.493  -0.045 -0.565  -0.045 -0.636  -0.045 -0.708  -0.045 -0.780  -0.045 -0.851  -0.045 -0.923  -0.045 -0.995  -0.045 -1.066  -0.045 -1.138  -0.045 -1.210  -0.045 -1.281  -0.045 -1.353  -0.045 -1.424  -0.045 -1.496  -0.045 -1.568  -0.045 -1.639  -0.045 -1.711
1c#tos#t2#t2064064/m  -1.218 -0.577  -1.286 -0.682  -1.429 -0.650  -1.395 -0.490  -1.376 -0.324  -1.324 -0.158  -1.314 0.013  -1.180 0.109  -1.112 0.216  -1.054 0.337  -0.989 0.496  -0.895 0.640  -0.733 0.690  -0.611 0.637  -0.532 0.542  -0.477 0.407  -0.373 0.307  -0.373 0.133  -0.373 -0.041  -0.373 -0.215  -0.357 -0.383  -0.321 -0.542  -0.243 -0.485  -0.215 -0.328  -0.162 -0.166  -0.113 -0.003  -0.004 0.126  0.094 0.260  0.154 0.378  0.269 0.406  0.337 0.246  0.380 0.080  0.418 -0.085  0.418 -0.260  0.471 -0.381  0.580 -0.357  0.658 -0.201  0.735 -0.045  0.735 0.129  0.823 0.215  0.946 0.298  1.045 0.373  1.209 0.363  1.262 0.242  1.366 0.111  1.420 -0.041  1.473 -0.194  1.528 -0.315  1.670 -0.411  1.843 -0.419
1c#tos#t2#t2064064/p  -0.008 1.353  -0.210 1.306  -0.227 1.103  -0.227 0.889  -0.227 0.676  -0.227 0.462  -0.227 0.249  -0.227 0.035  -0.227 -0.179  -0.227 -0.392  -0.227 -0.606  -0.227 -0.819  -0.227 -1.033  -0.218 -1.245  -0.172 -1.451  -0.117 -1.652  -0.062 -1.842  -0.008 -1.863  -0.008 -1.650  -0.008 -1.436  -0.008 -1.223  -0.008 -1.009  -0.008 -0.796  -0.008 -0.582  -0.008 -0.369  -0.008 -0.155  -0.008 0.059  -0.008 0.272  -0.014 0.483  -0.153 0.586  -0.328 0.657  -0.446 0.829  -0.500 1.020  -0.446 1.178  -0.254 1.257  -0.050 1.298  0.163 1.298  0.364 1.243  0.536 1.166  0.595 0.971  0.652 0.774  0.704 0.577  0.704 0.363  0.611 0.181  0.540 -0.016  0.452 -0.202  0.292 -0.293  0.178 -0.454  -0.013 -0.509  -0.227 -0.509
