1c#apa#apa19#app1962/w  -0.905 0.919  -0.964 1.022  -1.019 0.908  -1.111 0.784  -1.111 0.622  -1.111 0.460  -1.111 0.298  -1.111 0.136  -1.111 -0.026  -1.111 -0.188  -1.111 -0.351  -1.046 -0.486  -0.932 -0.600  -0.817 -0.715  -0.661 -0.730  -0.499 -0.730  -0.383 -0.619  -0.287 -0.497  -0.226 -0.360  -0.184 -0.215  -0.081 -0.096  -0.081 0.066  -0.081 0.228  -0.081 0.390  -0.081 0.461  -0.081 0.298  -0.081 0.136  -0.081 -0.026  -0.047 -0.180  0.027 -0.323  0.142 -0.438  0.257 -0.552  0.331 -0.684  0.447 -0.730  0.609 -0.730  0.771 -0.730  0.924 -0.691  1.052 -0.608  1.052 -0.446  1.149 -0.324  1.155 -0.164  1.155 -0.002  1.155 0.160  1.155 0.322  1.155 0.484  1.093 0.632  1.052 0.784  1.033 0.938  0.949 1.066  0.846 1.125
1c#apa#apa19#app1962/a  -0.918 0.481  -0.918 0.692  -0.918 0.902  -0.918 1.113  -0.782 1.264  -0.597 1.325  -0.415 1.394  -0.204 1.394  -0.035 1.294  0.114 1.145  0.301 1.089  0.386 0.913  0.507 0.752  0.517 0.546  0.517 0.336  0.517 0.125  0.341 0.090  0.131 0.090  -0.058 0.143  -0.236 0.220  -0.447 0.220  -0.657 0.220  -0.788 0.063  -0.894 -0.041  -0.918 -0.227  -0.918 -0.438  -0.918 -0.649  -0.800 -0.811  -0.652 -0.959  -0.503 -1.108  -0.336 -1.215  -0.125 -1.215  0.085 -1.215  0.246 -1.094  0.395 -0.945  0.534 -0.789  0.628 -0.601  0.647 -0.395  0.647 -0.184  0.647 0.026  0.543 0.194  0.386 0.178  0.386 -0.033  0.517 -0.190  0.517 -0.400  0.647 -0.480  0.738 -0.653  0.908 -0.717  0.982 -0.897  1.169 -0.954
1c#apa#apa19#app1962/r  -0.561 0.438  -0.470 0.348  -0.396 0.251  -0.396 0.123  -0.396 -0.004  -0.396 -0.132  -0.396 -0.259  -0.396 -0.387  -0.396 -0.514  -0.396 -0.642  -0.396 -0.769  -0.396 -0.897  -0.396 -1.024  -0.396 -1.152  -0.321 -1.203  -0.232 -1.242  -0.230 -1.367  -0.102 -1.367  0.025 -1.367  0.096 -1.311  0.096 -1.183  0.096 -1.056  0.096 -0.928  0.096 -0.801  0.079 -0.677  0.022 -0.563  -0.035 -0.449  -0.068 -0.329  -0.068 -0.202  -0.068 -0.074  -0.068 0.053  -0.068 0.181  -0.068 0.308  -0.068 0.436  -0.068 0.563  -0.068 0.691  -0.068 0.818  -0.057 0.941  0.033 1.031  0.096 1.133  0.097 1.259  0.225 1.259  0.352 1.259  0.480 1.259  0.607 1.259  0.735 1.259  0.862 1.259  0.990 1.259  1.117 1.259  1.245 1.259
1c#apa#apa19#app1962/m  -1.093 0.725  -1.047 0.522  -0.981 0.323  -0.981 0.108  -0.981 -0.107  -0.981 -0.321  -0.884 -0.496  -0.868 -0.704  -0.868 -0.919  -0.868 -1.013  -0.868 -0.798  -0.868 -0.584  -0.868 -0.369  -0.868 -0.154  -0.868 0.060  -0.868 0.275  -0.868 0.490  -0.724 0.645  -0.543 0.725  -0.355 0.662  -0.203 0.510  -0.131 0.325  -0.059 0.141  0.070 -0.028  0.143 -0.225  0.143 -0.440  0.143 -0.654  0.049 -0.642  0.031 -0.435  0.031 -0.220  0.031 -0.005  0.051 0.204  0.143 0.397  0.222 0.579  0.256 0.780  0.400 0.869  0.581 0.950  0.769 0.887  0.841 0.702  0.930 0.524  0.965 0.318  1.061 0.126  1.155 -0.067  1.155 -0.281  1.155 -0.496  1.242 -0.624  1.267 -0.659  1.447 -0.624  1.645 -0.583  1.717 -0.399
1c#apa#apa19#app1962/c  0.762 0.631  0.863 0.631  0.883 0.712  0.839 0.796  0.768 0.867  0.696 0.939  0.624 1.011  0.553 1.082  0.465 1.115  0.363 1.115  0.262 1.115  0.161 1.115  0.059 1.115  0.036 1.037  -0.016 0.968  -0.107 0.923  -0.197 0.877  -0.271 0.808  -0.327 0.730  -0.328 0.629  -0.374 0.539  -0.419 0.448  -0.449 0.354  -0.449 0.252  -0.449 0.151  -0.517 0.078  -0.570 -0.002  -0.570 -0.103  -0.570 -0.204  -0.570 -0.306  -0.570 -0.407  -0.570 -0.508  -0.570 -0.610  -0.570 -0.711  -0.570 -0.812  -0.505 -0.887  -0.429 -0.953  -0.338 -0.998  -0.248 -1.043  -0.167 -1.103  -0.096 -1.175  0.001 -1.185  0.103 -1.185  0.204 -1.185  0.305 -1.185  0.404 -1.179  0.476 -1.108  0.559 -1.064  0.661 -1.064  0.762 -1.064
1c#apa#apa19#app1962/u  -0.725 1.150  -0.725 1.040  -0.725 0.930  -0.737 0.824  -0.815 0.746  -0.882 0.663  -0.882 0.553  -0.882 0.442  -0.882 0.332  -0.882 0.222  -0.882 0.111  -0.882 0.001  -0.882 -0.110  -0.882 -0.220  -0.851 -0.323  -0.802 -0.422  -0.752 -0.521  -0.690 -0.611  -0.612 -0.689  -0.534 -0.767  -0.456 -0.845  -0.365 -0.890  -0.254 -0.890  -0.144 -0.890  -0.033 -0.890  0.077 -0.890  0.188 -0.890  0.274 -0.833  0.352 -0.755  0.454 -0.733  0.554 -0.710  0.633 -0.632  0.698 -0.546  0.733 -0.441  0.768 -0.336  0.803 -0.232  0.838 -0.127  0.845 -0.018  0.845 0.093  0.845 0.203  0.845 0.314  0.845 0.424  0.845 0.534  0.845 0.645  0.845 0.755  0.845 0.866  0.845 0.976  0.845 1.086  0.798 1.150  0.688 1.150
1c#apa#apa19#app1962/p  -0.308 0.099  -0.308 -0.062  -0.303 -0.222  -0.231 -0.366  -0.204 -0.520  -0.204 -0.681  -0.204 -0.842  -0.174 -0.996  -0.102 -1.140  -0.101 -1.301  -0.101 -1.462  -0.101 -1.623  -0.204 -1.642  -0.259 -1.504  -0.308 -1.363  -0.355 -1.210  -0.406 -1.057  -0.412 -0.897  -0.412 -0.736  -0.412 -0.575  -0.412 -0.414  -0.412 -0.253  -0.412 -0.091  -0.412 0.070  -0.399 0.228  -0.327 0.372  -0.255 0.516  -0.204 0.665  -0.204 0.826  -0.132 0.970  -0.101 1.123  0.033 1.202  0.106 1.318  0.203 1.439  0.361 1.446  0.521 1.445  0.635 1.331  0.749 1.217  0.831 1.090  0.831 0.929  0.831 0.768  0.827 0.608  0.755 0.464  0.657 0.339  0.521 0.255  0.385 0.171  0.261 0.073  0.116 0.001  -0.043 -0.004  -0.204 -0.004
1c#apa#apa19#app1962/s  -0.085 0.425  -0.085 0.555  -0.085 0.685  -0.129 0.772  -0.259 0.772  -0.317 0.889  -0.375 1.006  -0.435 1.119  -0.566 1.119  -0.670 1.183  -0.762 1.276  -0.780 1.188  -0.780 1.057  -0.780 0.927  -0.780 0.796  -0.674 0.772  -0.562 0.728  -0.469 0.635  -0.377 0.543  -0.285 0.451  -0.193 0.359  -0.100 0.266  0.024 0.251  0.147 0.222  0.264 0.163  0.380 0.105  0.484 0.029  0.577 -0.063  0.693 -0.097  0.812 -0.125  0.904 -0.217  0.958 -0.325  0.958 -0.456  0.958 -0.586  0.958 -0.716  0.902 -0.792  0.775 -0.800  0.683 -0.892  0.583 -0.965  0.453 -0.965  0.356 -1.046  0.263 -1.138  0.133 -1.139  0.003 -1.139  -0.128 -1.139  -0.258 -1.139  -0.388 -1.139  -0.519 -1.139  -0.649 -1.139  -0.780 -1.139
1c#apa#apa19#app1962/o  0.379 0.928  0.244 0.928  0.146 1.018  0.034 1.071  -0.101 1.071  -0.236 1.071  -0.336 1.036  -0.363 0.928  -0.495 0.920  -0.616 0.860  -0.736 0.799  -0.765 0.682  -0.832 0.575  -0.908 0.472  -0.908 0.337  -0.908 0.202  -0.908 0.068  -0.908 -0.067  -0.908 -0.202  -0.908 -0.337  -0.908 -0.471  -0.833 -0.575  -0.738 -0.671  -0.643 -0.766  -0.547 -0.861  -0.441 -0.930  -0.306 -0.930  -0.172 -0.930  -0.037 -0.930  0.098 -0.930  0.233 -0.930  0.367 -0.930  0.502 -0.930  0.637 -0.930  0.740 -0.854  0.847 -0.787  0.950 -0.755  0.950 -0.620  0.950 -0.486  0.950 -0.351  0.950 -0.216  0.950 -0.081  0.950 0.053  0.898 0.176  0.837 0.296  0.760 0.404  0.664 0.499  0.569 0.595  0.474 0.690  0.379 0.785
1c#apa#apa19#app1962/f  0.071 1.780  -0.027 1.878  -0.162 1.885  -0.284 1.843  -0.347 1.731  -0.347 1.593  -0.347 1.454  -0.347 1.316  -0.347 1.177  -0.347 1.039  -0.347 0.901  -0.313 0.770  -0.251 0.646  -0.243 0.510  -0.221 0.377  -0.159 0.253  -0.138 0.119  -0.082 -0.006  -0.020 -0.130  0.042 -0.253  0.071 -0.385  0.147 -0.492  0.176 -0.619  0.176 -0.757  0.203 -0.889  0.265 -1.013  0.280 -1.148  0.280 -1.286  0.235 -1.306  0.143 -1.202  0.051 -1.099  -0.041 -0.995  -0.133 -0.892  -0.225 -0.788  -0.317 -0.685  -0.409 -0.581  -0.501 -0.478  -0.501 -0.416  -0.363 -0.416  -0.260 -0.329  -0.129 -0.311  0.009 -0.311  0.148 -0.311  0.286 -0.311  0.424 -0.311  0.563 -0.311  0.701 -0.311  0.840 -0.311  0.978 -0.311  1.117 -0.311
1c#apa#apa19#app1962/b  0.102 2.193  -0.038 2.140  -0.072 1.993  -0.117 1.842  -0.158 1.690  -0.158 1.529  -0.158 1.368  -0.158 1.206  -0.158 1.045  -0.158 0.883  -0.158 0.722  -0.158 0.560  -0.158 0.399  -0.158 0.237  -0.158 0.076  -0.158 -0.086  -0.158 -0.247  -0.158 -0.409  -0.158 -0.570  -0.158 -0.732  -0.120 -0.877  -0.072 -1.019  -0.072 -1.180  -0.121 -1.223  -0.174 -1.084  -0.245 -0.952  -0.245 -0.790  -0.300 -0.642  -0.332 -0.488  -0.332 -0.326  -0.332 -0.165  -0.332 -0.003  -0.273 0.144  -0.175 0.270  -0.021 0.287  0.141 0.287  0.294 0.268  0.408 0.154  0.495 0.020  0.535 -0.132  0.601 -0.278  0.622 -0.435  0.622 -0.596  0.622 -0.758  0.541 -0.839  0.425 -0.949  0.311 -1.063  0.165 -1.099  0.090 -1.186  -0.072 -1.186
