1d#tos#f2#f2014061/!  0.143 1.606  0.070 1.606  0.010 1.575  -0.009 1.511  -0.009 1.438  -0.009 1.365  -0.009 1.292  -0.009 1.219  -0.009 1.146  -0.009 1.073  -0.009 1.001  -0.009 0.928  -0.009 0.855  -0.009 0.782  -0.043 0.742  -0.060 0.687  -0.060 0.614  -0.060 0.542  -0.060 0.469  -0.042 0.400  -0.009 0.335  -0.009 0.262  -0.009 0.189  -0.009 0.116  -0.009 0.044  -0.009 -0.029  -0.009 -0.102  -0.009 -0.175  -0.009 -0.248  -0.009 -0.321  -0.007 -0.393  0.001 -0.466  0.009 -0.538  0.017 -0.610  0.025 -0.683  0.033 -0.755  0.041 -0.828  0.049 -0.900  0.057 -0.972  0.065 -1.045  0.073 -1.117  0.081 -1.190  0.089 -1.262  0.092 -1.335  0.026 -1.341  -0.026 -1.375  -0.059 -1.440  -0.091 -1.505  -0.111 -1.573  -0.060 -1.595
1d#tos#f2#f2014061/\"  -0.616 1.107  -0.616 0.926  -0.616 0.746  -0.616 0.565  -0.616 0.384  -0.631 0.210  -0.759 0.082  -0.792 -0.085  -0.792 -0.266  -0.792 -0.447  -0.792 -0.627  -0.792 -0.808  -0.792 -0.989  -0.792 -1.169  -0.792 -1.350  -0.710 -1.216  -0.621 -1.058  -0.533 -0.901  -0.444 -0.743  -0.355 -0.586  -0.267 -0.428  -0.178 -0.271  -0.090 -0.113  -0.001 0.045  0.088 0.202  0.176 0.360  0.265 0.517  0.354 0.675  0.442 0.832  0.531 0.990  0.619 1.147  0.708 1.305  0.795 1.457  0.791 1.278  0.691 1.127  0.591 0.977  0.490 0.826  0.442 0.660  0.442 0.479  0.442 0.299  0.442 0.118  0.442 -0.063  0.442 -0.243  0.527 -0.389  0.619 -0.532  0.619 -0.713  0.619 -0.893  0.664 -1.055  0.792 -1.183  0.972 -1.186
1d#tos#f2#f2014061/#  -0.938 0.646  -1.188 0.473  -0.767 0.473  -0.359 0.530  0.063 0.530  0.484 0.530  0.882 0.588  0.752 0.519  0.368 0.345  -0.017 0.172  -0.401 -0.002  -0.785 -0.175  -1.054 -0.362  -0.892 -0.391  -0.471 -0.391  -0.049 -0.391  0.372 -0.391  0.794 -0.391  1.178 -0.374  0.902 -0.056  0.626 0.263  0.350 0.581  0.074 0.900  -0.202 1.218  -0.535 1.303  -0.535 0.996  -0.535 0.575  -0.535 0.153  -0.478 -0.261  -0.478 -0.683  -0.420 -1.090  -0.420 -1.512  -0.376 -1.889  -0.257 -1.494  -0.149 -1.087  -0.040 -0.680  0.069 -0.273  0.177 0.135  0.286 0.542  0.394 0.949  0.503 1.356  0.399 1.464  0.386 1.048  0.386 0.626  0.386 0.205  0.386 -0.217  0.386 -0.638  0.386 -1.060  0.386 -1.481  0.502 -1.831
1d#tos#f2#f2014061/&  0.793 -1.259  0.634 -1.355  0.464 -1.365  0.293 -1.237  0.102 -1.113  -0.096 -0.993  -0.232 -0.833  -0.379 -0.723  -0.505 -0.514  -0.536 -0.290  -0.612 -0.066  -0.695 0.155  -0.695 0.411  -0.695 0.666  -0.695 0.922  -0.599 1.081  -0.536 1.304  -0.456 1.524  -0.238 1.655  0.009 1.652  0.183 1.506  0.296 1.312  0.361 1.120  0.262 0.897  0.155 0.707  0.055 0.513  -0.122 0.420  -0.270 0.281  -0.430 0.123  -0.536 -0.089  -0.749 -0.163  -0.749 -0.418  -0.802 -0.620  -0.681 -0.795  -0.464 -0.887  -0.230 -0.940  -0.007 -0.833  0.206 -0.730  0.368 -0.554  0.472 -0.383  0.581 -0.215  0.609 -0.069  0.664 0.180  0.537 0.283  0.402 0.230  0.582 0.124  0.678 -0.036  0.911 -0.089  1.123 -0.195  1.272 -0.302
1d#tos#f2#f2014061/,  0.622 1.264  0.585 1.189  0.547 1.113  0.509 1.038  0.472 0.963  0.388 0.962  0.331 0.973  0.391 1.032  0.450 1.092  0.416 1.113  0.332 1.113  0.248 1.113  0.169 1.108  0.169 1.024  0.169 0.940  0.169 0.856  0.169 0.771  0.169 0.687  0.169 0.603  0.169 0.519  0.169 0.435  0.167 0.351  0.140 0.271  0.113 0.191  0.087 0.112  0.060 0.032  0.034 -0.048  0.003 -0.126  -0.035 -0.201  -0.073 -0.277  -0.110 -0.352  -0.148 -0.427  -0.185 -0.502  -0.223 -0.578  -0.261 -0.653  -0.315 -0.701  -0.400 -0.701  -0.436 -0.749  -0.436 -0.833  -0.436 -0.917  -0.436 -1.001  -0.436 -1.085  -0.436 -1.169  -0.436 -1.254  -0.436 -1.338  -0.436 -1.422  -0.436 -1.506  -0.436 -1.590  -0.436 -1.674  -0.436 -1.758
1d#tos#f2#f2014061/.  0.134 1.719  0.134 1.646  0.134 1.574  0.134 1.501  0.134 1.429  0.134 1.356  0.134 1.284  0.134 1.212  0.134 1.139  0.134 1.067  0.134 0.994  0.134 0.922  0.134 0.850  0.134 0.777  0.134 0.705  0.134 0.632  0.134 0.560  0.134 0.487  0.134 0.415  0.134 0.343  0.134 0.270  0.134 0.198  0.134 0.125  0.134 0.053  0.134 -0.019  0.134 -0.092  0.134 -0.164  0.134 -0.237  0.134 -0.309  0.134 -0.382  0.134 -0.454  0.134 -0.526  0.134 -0.599  0.134 -0.671  0.099 -0.729  0.047 -0.780  -0.004 -0.831  -0.055 -0.882  -0.106 -0.934  -0.157 -0.985  -0.209 -1.036  -0.260 -1.087  -0.311 -1.138  -0.362 -1.190  -0.413 -1.241  -0.465 -1.292  -0.516 -1.343  -0.567 -1.394  -0.618 -1.446  -0.670 -1.497
1d#tos#f2#f2014061/;  0.043 1.908  0.023 1.806  -0.039 1.721  -0.039 1.711  -0.024 1.667  -0.002 1.558  0.020 1.450  0.041 1.342  0.063 1.234  0.085 1.126  0.106 1.018  0.128 0.909  0.149 0.801  0.171 0.693  0.193 0.585  0.214 0.477  0.236 0.369  0.258 0.260  0.279 0.152  0.301 0.044  0.323 -0.064  0.344 -0.172  0.366 -0.281  0.348 -0.386  0.313 -0.491  0.252 -0.560  0.142 -0.560  0.032 -0.560  -0.039 -0.520  -0.039 -0.410  0.057 -0.395  0.126 -0.437  0.126 -0.547  0.028 -0.560  -0.039 -0.516  0.033 -0.477  0.043 -0.577  0.043 -0.688  0.043 -0.798  -0.059 -0.806  -0.155 -0.840  -0.241 -0.907  -0.339 -0.957  -0.368 -1.049  -0.474 -1.053  -0.532 -1.105  -0.532 -1.216  -0.559 -1.300  -0.669 -1.300  -0.779 -1.300
1d#tos#f2#f2014061/<  0.525 1.438  0.525 1.339  0.490 1.275  0.391 1.275  0.362 1.205  0.301 1.167  0.211 1.138  0.128 1.083  0.091 1.004  -0.001 0.967  -0.093 0.930  -0.181 0.890  -0.181 0.791  -0.265 0.744  -0.354 0.700  -0.398 0.628  -0.398 0.529  -0.458 0.455  -0.528 0.385  -0.614 0.353  -0.615 0.254  -0.678 0.181  -0.723 0.101  -0.778 0.056  -0.723 0.011  -0.719 -0.086  -0.649 -0.156  -0.564 -0.190  -0.475 -0.233  -0.400 -0.296  -0.355 -0.384  -0.270 -0.407  -0.206 -0.464  -0.151 -0.545  -0.081 -0.615  0.010 -0.652  0.104 -0.679  0.202 -0.682  0.257 -0.765  0.314 -0.845  0.403 -0.889  0.454 -0.971  0.526 -1.032  0.597 -1.094  0.645 -1.179  0.720 -1.243  0.803 -1.298  0.851 -1.372  0.937 -1.385  1.014 -1.439
1d#tos#f2#f2014061/=  -0.856 0.868  -0.953 0.783  -1.096 0.676  -1.245 0.573  -1.155 0.480  -0.972 0.480  -0.789 0.480  -0.607 0.480  -0.426 0.494  -0.253 0.552  -0.074 0.577  0.109 0.577  0.291 0.577  0.474 0.577  0.640 0.618  0.799 0.674  0.982 0.674  1.085 0.754  1.122 0.737  0.963 0.646  0.805 0.556  0.646 0.465  0.487 0.374  0.329 0.284  0.170 0.193  0.011 0.103  -0.147 0.012  -0.306 -0.079  -0.464 -0.169  -0.623 -0.260  -0.782 -0.351  -0.953 -0.393  -1.035 -0.557  -1.117 -0.720  -1.034 -0.782  -0.851 -0.782  -0.668 -0.782  -0.486 -0.782  -0.303 -0.782  -0.120 -0.782  0.063 -0.782  0.245 -0.782  0.428 -0.782  0.611 -0.782  0.765 -0.713  0.936 -0.685  1.119 -0.685  1.279 -0.662  1.387 -0.587  1.570 -0.587
1d#tos#f2#f2014061/?  -0.497 0.837  -0.590 0.823  -0.590 0.715  -0.680 0.697  -0.684 0.801  -0.684 0.909  -0.645 0.978  -0.590 1.031  -0.522 1.071  -0.414 1.071  -0.307 1.071  -0.199 1.071  -0.091 1.071  -0.029 1.025  0.078 1.025  0.158 0.969  0.215 0.910  0.252 0.811  0.298 0.750  0.384 0.705  0.394 0.601  0.439 0.512  0.485 0.451  0.485 0.343  0.485 0.235  0.436 0.158  0.350 0.094  0.298 0.035  0.283 -0.066  0.235 -0.145  0.158 -0.175  0.117 -0.274  0.065 -0.361  0.065 -0.469  0.018 -0.530  0.018 -0.638  -0.029 -0.726  -0.029 -0.834  -0.028 -0.942  0.020 -1.038  0.068 -1.135  0.117 -1.231  0.165 -1.328  0.213 -1.424  0.230 -1.501  0.122 -1.501  0.108 -1.595  -0.000 -1.595  -0.076 -1.627  -0.076 -1.641
1d#tos#f2#f2014061/@  0.501 -1.269  0.430 -1.396  0.258 -1.396  0.096 -1.422  -0.070 -1.438  -0.243 -1.438  -0.299 -1.289  -0.402 -1.208  -0.509 -1.129  -0.509 -0.957  -0.593 -0.836  -0.593 -0.663  -0.636 -0.508  -0.717 -0.386  -0.720 -0.215  -0.720 -0.042  -0.720 0.130  -0.720 0.303  -0.622 0.405  -0.582 0.553  -0.509 0.695  -0.509 0.868  -0.425 0.981  -0.325 1.063  -0.253 1.196  -0.137 1.299  0.019 1.341  0.181 1.384  0.348 1.369  0.417 1.225  0.544 1.154  0.565 0.994  0.628 0.860  0.670 0.698  0.681 0.530  0.712 0.370  0.677 0.212  0.670 0.042  0.670 -0.131  0.628 -0.286  0.554 -0.385  0.467 -0.497  0.303 -0.511  0.130 -0.511  0.095 -0.358  0.080 -0.191  0.080 -0.019  0.080 0.154  0.122 0.285  0.207 0.373
