1c#tos#f2#f2034065/b  -0.369 2.040  -0.528 1.994  -0.595 1.844  -0.595 1.667  -0.595 1.489  -0.595 1.311  -0.538 1.147  -0.538 0.969  -0.538 0.792  -0.489 0.635  -0.376 0.498  -0.312 0.340  -0.312 0.162  -0.307 -0.015  -0.264 -0.187  -0.235 -0.361  -0.199 -0.534  -0.131 -0.684  -0.086 -0.843  -0.030 -0.964  -0.073 -0.886  -0.131 -0.718  -0.190 -0.550  -0.248 -0.383  -0.307 -0.215  -0.365 -0.047  -0.423 0.121  -0.482 0.289  -0.305 0.289  -0.127 0.289  0.051 0.289  0.225 0.274  0.393 0.232  0.560 0.207  0.704 0.156  0.733 0.007  0.874 -0.030  0.930 -0.184  1.043 -0.292  1.043 -0.470  1.020 -0.638  0.926 -0.784  0.752 -0.793  0.626 -0.919  0.487 -1.010  0.326 -1.050  0.163 -1.115  -0.014 -1.123  -0.191 -1.123  -0.369 -1.123
1c#tos#f2#f2034065/c  0.718 1.168  0.612 1.168  0.525 1.150  0.466 1.103  0.361 1.103  0.258 1.098  0.164 1.051  0.061 1.039  -0.035 1.009  -0.122 0.950  -0.181 0.877  -0.256 0.847  -0.361 0.847  -0.438 0.818  -0.438 0.713  -0.479 0.634  -0.570 0.583  -0.617 0.489  -0.695 0.452  -0.695 0.347  -0.695 0.241  -0.743 0.156  -0.759 0.058  -0.759 -0.047  -0.759 -0.152  -0.759 -0.257  -0.759 -0.363  -0.695 -0.441  -0.663 -0.533  -0.589 -0.607  -0.515 -0.682  -0.440 -0.756  -0.336 -0.758  -0.231 -0.758  -0.126 -0.758  -0.021 -0.758  0.084 -0.758  0.189 -0.758  0.294 -0.758  0.399 -0.758  0.504 -0.758  0.610 -0.758  0.715 -0.758  0.809 -0.785  0.898 -0.823  1.003 -0.823  1.108 -0.823  1.214 -0.823  1.319 -0.823  1.424 -0.823
1c#tos#f2#f2034065/d  0.363 2.192  0.268 2.087  0.268 1.923  0.268 1.759  0.268 1.595  0.268 1.431  0.268 1.267  0.268 1.103  0.268 0.939  0.268 0.775  0.268 0.611  0.268 0.447  0.268 0.283  0.268 0.119  0.268 -0.045  0.268 -0.209  0.306 -0.364  0.315 -0.526  0.368 -0.681  0.411 -0.835  0.411 -0.999  0.359 -0.854  0.305 -0.699  0.252 -0.544  0.198 -0.389  0.144 -0.234  0.091 -0.079  0.037 0.076  -0.017 0.231  -0.081 0.332  -0.245 0.332  -0.379 0.258  -0.530 0.219  -0.677 0.146  -0.761 0.019  -0.782 -0.137  -0.791 -0.297  -0.877 -0.425  -0.877 -0.589  -0.877 -0.753  -0.784 -0.860  -0.638 -0.933  -0.479 -0.956  -0.315 -0.956  -0.151 -0.956  0.013 -0.956  0.177 -0.956  0.341 -0.956  0.505 -0.956  0.649 -1.004
1c#tos#f2#f2034065/e  -0.897 0.038  -1.076 0.025  -0.990 -0.081  -0.823 -0.140  -0.632 -0.140  -0.441 -0.140  -0.249 -0.140  -0.058 -0.140  0.134 -0.140  0.325 -0.140  0.458 -0.045  0.620 0.038  0.801 0.085  0.945 0.141  1.121 0.157  1.183 0.321  1.183 0.513  1.124 0.679  0.945 0.692  0.813 0.751  0.695 0.870  0.513 0.908  0.386 0.989  0.194 0.989  0.012 1.043  -0.179 1.049  -0.367 1.027  -0.493 0.930  -0.600 0.846  -0.749 0.761  -0.779 0.592  -0.779 0.400  -0.838 0.233  -0.889 0.054  -0.957 -0.121  -0.957 -0.313  -0.821 -0.438  -0.748 -0.556  -0.668 -0.711  -0.502 -0.787  -0.361 -0.913  -0.184 -0.927  -0.097 -1.032  0.094 -1.032  0.286 -1.032  0.477 -1.032  0.668 -1.032  0.860 -1.032  1.051 -1.032  1.243 -1.032
1c#tos#f2#f2034065/f  0.914 0.740  0.830 0.815  0.786 0.956  0.747 1.109  0.693 1.252  0.569 1.335  0.455 1.398  0.365 1.490  0.206 1.490  0.047 1.490  -0.080 1.414  -0.170 1.310  -0.210 1.161  -0.254 1.012  -0.254 0.854  -0.254 0.695  -0.254 0.536  -0.254 0.378  -0.254 0.219  -0.208 0.069  -0.170 -0.074  -0.170 -0.233  -0.119 -0.373  -0.069 -0.523  -0.045 -0.678  -0.045 -0.837  -0.045 -0.995  -0.045 -1.154  -0.087 -1.296  -0.137 -1.414  -0.219 -1.278  -0.300 -1.141  -0.382 -1.005  -0.464 -0.869  -0.545 -0.733  -0.627 -0.597  -0.709 -0.461  -0.824 -0.386  -0.733 -0.427  -0.575 -0.427  -0.416 -0.427  -0.258 -0.437  -0.104 -0.469  0.055 -0.469  0.214 -0.469  0.363 -0.506  0.521 -0.511  0.680 -0.511  0.838 -0.511  0.997 -0.511
1c#tos#f2#f2034065/g  0.075 0.033  -0.227 0.033  -0.519 0.080  -0.649 0.303  -0.760 0.560  -0.667 0.831  -0.445 1.026  -0.159 1.106  0.137 1.147  0.371 1.036  0.629 0.928  0.741 0.702  0.744 0.402  0.600 0.224  0.320 0.145  0.020 0.142  -0.230 0.089  -0.426 -0.051  -0.633 -0.189  -0.778 -0.412  -0.871 -0.622  -0.859 -0.913  -0.816 -1.172  -0.578 -1.303  -0.275 -1.303  0.028 -1.303  0.331 -1.303  0.634 -1.303  0.812 -1.136  0.911 -0.932  0.849 -0.691  0.620 -0.567  0.343 -0.490  0.045 -0.468  -0.258 -0.468  -0.552 -0.503  -0.816 -0.591  -0.857 -0.729  -0.662 -0.497  -0.467 -0.264  -0.273 -0.032  -0.078 0.200  0.116 0.432  0.311 0.664  0.505 0.897  0.700 1.129  0.850 1.255  0.580 1.147  0.674 1.307  0.911 1.426
1c#tos#f2#f2034065/k  -0.206 2.163  -0.395 2.140  -0.395 1.927  -0.395 1.715  -0.395 1.503  -0.395 1.291  -0.395 1.079  -0.395 0.867  -0.434 0.661  -0.458 0.453  -0.458 0.241  -0.458 0.028  -0.458 -0.184  -0.458 -0.396  -0.458 -0.608  -0.458 -0.820  -0.427 -1.019  -0.332 -1.155  -0.197 -1.073  -0.077 -0.898  0.044 -0.724  0.164 -0.549  0.285 -0.374  0.405 -0.200  0.526 -0.025  0.646 0.150  0.767 0.324  0.887 0.499  0.963 0.650  0.803 0.525  0.643 0.398  0.494 0.335  0.313 0.248  0.131 0.140  -0.058 0.048  -0.143 -0.102  -0.225 -0.232  -0.438 -0.232  -0.521 -0.398  -0.626 -0.554  -0.663 -0.673  -0.454 -0.696  -0.249 -0.736  -0.037 -0.736  0.175 -0.736  0.388 -0.736  0.595 -0.758  0.784 -0.853  0.930 -0.927  1.117 -0.988
1c#tos#f2#f2034065/m  -0.464 1.364  -0.701 1.364  -0.721 1.147  -0.721 0.910  -0.721 0.673  -0.721 0.436  -0.721 0.199  -0.721 -0.038  -0.721 -0.275  -0.757 -0.504  -0.785 -0.734  -0.787 -0.921  -0.800 -0.684  -0.813 -0.447  -0.826 -0.211  -0.839 0.026  -0.903 0.209  -1.042 0.307  -0.926 0.466  -0.753 0.530  -0.516 0.530  -0.279 0.530  -0.042 0.530  0.195 0.530  0.241 0.339  0.241 0.102  0.241 -0.135  0.239 -0.371  0.117 -0.557  0.113 -0.793  0.113 -0.734  0.113 -0.497  0.113 -0.260  0.113 -0.023  0.113 0.214  0.113 0.451  0.335 0.466  0.538 0.578  0.755 0.578  0.879 0.466  1.052 0.401  1.194 0.227  1.232 -0.003  1.268 -0.234  1.268 -0.471  1.204 -0.681  1.204 -0.918  1.138 -1.140  1.075 -1.351  1.075 -1.588
1c#tos#f2#f2034065/o  -0.192 0.857  -0.336 0.857  -0.481 0.857  -0.625 0.857  -0.731 0.764  -0.834 0.663  -0.955 0.593  -0.955 0.449  -0.955 0.304  -1.011 0.173  -1.019 0.030  -1.019 -0.114  -1.008 -0.257  -0.962 -0.394  -0.955 -0.537  -0.893 -0.667  -0.878 -0.802  -0.741 -0.848  -0.599 -0.861  -0.454 -0.861  -0.310 -0.861  -0.165 -0.861  -0.021 -0.861  0.124 -0.861  0.266 -0.842  0.406 -0.807  0.550 -0.797  0.677 -0.756  0.779 -0.654  0.891 -0.564  1.011 -0.483  1.107 -0.377  1.188 -0.256  1.272 -0.145  1.272 0.000  1.272 0.145  1.142 0.160  1.040 0.263  0.932 0.356  0.795 0.401  0.684 0.491  0.560 0.539  0.418 0.562  0.278 0.597  0.254 0.723  0.117 0.730  -0.028 0.730  -0.161 0.778  -0.302 0.794  -0.446 0.794
1c#tos#f2#f2034065/p  -0.227 1.698  -0.349 1.612  -0.349 1.403  -0.349 1.195  -0.349 0.986  -0.349 0.778  -0.391 0.579  -0.410 0.375  -0.410 0.167  -0.410 -0.042  -0.410 -0.250  -0.410 -0.459  -0.410 -0.667  -0.410 -0.876  -0.398 -1.082  -0.349 -1.283  -0.349 -1.491  -0.319 -1.687  -0.226 -1.699  -0.221 -1.490  -0.217 -1.282  -0.212 -1.073  -0.208 -0.865  -0.204 -0.656  -0.199 -0.448  -0.195 -0.239  -0.190 -0.031  -0.186 0.178  -0.181 0.386  -0.177 0.594  -0.173 0.803  -0.168 1.011  -0.060 1.028  0.148 1.028  0.330 0.962  0.525 0.906  0.702 0.830  0.785 0.649  0.964 0.601  1.034 0.438  1.053 0.237  1.053 0.029  1.007 -0.147  0.868 -0.254  0.671 -0.323  0.476 -0.385  0.276 -0.436  0.068 -0.436  -0.141 -0.436  -0.349 -0.436
1c#tos#f2#f2034065/r  -0.632 0.961  -0.703 0.904  -0.703 0.776  -0.703 0.647  -0.698 0.520  -0.641 0.406  -0.632 0.279  -0.632 0.151  -0.632 0.023  -0.632 -0.105  -0.578 -0.221  -0.560 -0.345  -0.560 -0.473  -0.560 -0.602  -0.560 -0.730  -0.560 -0.858  -0.560 -0.987  -0.560 -1.115  -0.560 -1.134  -0.560 -1.006  -0.560 -0.877  -0.570 -0.759  -0.632 -0.692  -0.632 -0.564  -0.599 -0.456  -0.489 -0.396  -0.445 -0.286  -0.417 -0.169  -0.344 -0.114  -0.216 -0.114  -0.202 0.001  -0.175 0.110  -0.054 0.150  0.065 0.199  0.182 0.244  0.306 0.270  0.428 0.311  0.551 0.334  0.667 0.387  0.795 0.387  0.924 0.387  1.052 0.387  1.153 0.453  1.249 0.531  1.377 0.531  1.506 0.531  1.634 0.531  1.762 0.531  1.891 0.531  2.019 0.531
