2#apb#apb04#app0417/.  -0.012 -1.461  -0.129 -1.344  -0.246 -1.227  -0.363 -1.110  -0.480 -0.993  -0.520 -0.844  -0.520 -0.679  -0.520 -0.514  -0.520 -0.348  -0.520 -0.183  -0.520 -0.017  -0.520 0.148  -0.520 0.314  -0.520 0.479  -0.520 0.644  -0.471 0.789  -0.354 0.906  -0.351 1.071  -0.351 1.236  -0.351 1.401  -0.245 1.312  -0.182 1.323  -0.182 1.489  -0.182 1.519  -0.182 1.354  -0.139 1.206  -0.022 1.089  0.017 0.931  0.050 0.769  0.082 0.606  0.115 0.444  0.147 0.282  0.185 0.121  0.225 -0.040  0.265 -0.200  0.305 -0.361  0.248 -0.445  0.157 -0.519  0.157 -0.685  0.157 -0.850  0.157 -0.890  0.213 -0.802  0.370 -0.855  0.527 -0.907  0.681 -0.941  0.813 -0.842  0.945 -0.743  1.078 -0.644  1.210 -0.544  1.342 -0.445
2#apb#apb04#app0417/,  0.144 0.254  0.110 0.355  0.119 0.426  0.071 0.463  0.028 0.428  -0.036 0.514  -0.100 0.599  -0.142 0.618  -0.203 0.659  -0.279 0.734  -0.371 0.770  -0.429 0.818  -0.429 0.925  -0.418 1.030  -0.385 1.131  -0.371 1.236  -0.371 1.343  -0.371 1.236  -0.312 1.149  -0.248 1.064  -0.192 0.974  -0.161 0.872  -0.131 0.770  -0.100 0.668  -0.069 0.565  -0.039 0.463  -0.008 0.361  0.022 0.259  0.053 0.157  0.084 0.054  0.114 -0.048  0.145 -0.150  0.162 -0.255  0.180 -0.361  0.197 -0.466  0.215 -0.571  0.232 -0.676  0.250 -0.782  0.266 -0.887  0.281 -0.993  0.296 -1.098  0.312 -1.204  0.305 -1.310  0.290 -1.415  0.275 -1.521  0.260 -1.626  0.232 -1.729  0.203 -1.832  0.173 -1.934  0.144 -2.037
2#apb#apb04#app0417/;  0.065 1.199  0.065 1.239  -0.001 1.343  -0.044 1.534  -0.077 1.731  -0.122 1.697  -0.142 1.499  -0.141 1.300  -0.089 1.113  0.069 1.040  0.239 1.134  0.303 1.092  0.300 0.892  0.296 0.693  0.293 0.493  0.289 0.293  0.286 0.094  0.283 -0.106  0.279 -0.305  0.276 -0.505  0.166 -0.488  0.199 -0.322  0.070 -0.354  -0.048 -0.515  -0.083 -0.687  -0.039 -0.543  0.070 -0.377  0.172 -0.206  0.261 -0.027  0.395 0.109  0.251 0.001  0.135 -0.160  0.273 -0.200  0.319 -0.179  0.319 -0.159  0.261 -0.105  0.188 0.030  0.025 0.030  -0.083 -0.084  -0.137 -0.276  -0.200 -0.466  -0.241 -0.661  -0.287 -0.855  -0.345 -1.046  -0.437 -1.223  -0.520 -1.403  -0.595 -1.589  -0.723 -1.742  -0.839 -1.904  -0.954 -2.067
2#apb#apb04#app0417/:  0.004 0.837  0.004 0.938  0.004 1.040  0.046 1.129  0.102 1.213  0.157 1.298  0.121 1.279  0.074 1.191  0.049 1.092  0.009 0.999  -0.036 0.908  -0.072 0.815  -0.105 0.766  -0.047 0.849  -0.002 0.939  0.075 1.004  0.156 1.065  0.150 0.967  0.143 0.866  0.136 0.764  0.128 0.663  0.121 0.562  0.114 0.460  0.107 0.359  0.099 0.258  0.092 0.157  0.085 0.055  0.078 -0.046  0.070 -0.147  0.063 -0.249  0.056 -0.350  0.049 -0.451  0.042 -0.553  0.034 -0.654  0.027 -0.755  0.020 -0.856  0.013 -0.958  0.005 -1.059  -0.023 -0.994  -0.093 -0.990  -0.141 -1.075  -0.179 -1.169  -0.206 -1.267  -0.231 -1.365  -0.255 -1.464  -0.263 -1.564  -0.263 -1.666  -0.234 -1.695  -0.171 -1.615  -0.110 -1.534
2#apb#apb04#app0417/$  0.927 0.527  0.991 0.614  0.867 0.737  0.645 0.805  0.384 0.799  0.136 0.724  -0.101 0.612  -0.308 0.505  -0.444 0.331  -0.335 0.173  -0.120 0.098  0.090 0.058  0.304 -0.025  0.494 -0.171  0.606 -0.318  0.625 -0.534  0.498 -0.759  0.284 -0.909  0.050 -1.027  -0.198 -1.101  -0.461 -1.101  -0.692 -0.989  -0.877 -0.805  -0.978 -0.570  -1.049 -0.317  -0.951 -0.174  -0.764 0.010  -0.578 0.194  -0.391 0.379  -0.205 0.563  -0.018 0.747  0.168 0.931  0.355 1.116  0.541 1.300  0.728 1.484  0.687 1.430  0.590 1.188  0.474 0.953  0.382 0.708  0.290 0.462  0.198 0.217  0.109 -0.030  0.022 -0.277  -0.068 -0.523  -0.180 -0.761  -0.291 -0.998  -0.405 -1.234  -0.532 -1.464  -0.669 -1.686  -0.829 -1.894
2#apb#apb04#app0417/#  -0.330 1.173  -0.379 0.909  -0.416 0.505  -0.506 0.106  -0.595 -0.293  -0.729 -0.678  -0.833 -0.805  -0.578 -0.486  -0.322 -0.167  -0.066 0.152  0.190 0.471  0.446 0.790  0.702 1.109  0.957 1.428  0.897 1.325  0.775 0.935  0.643 0.548  0.596 0.143  0.555 -0.264  0.508 -0.670  0.417 -1.066  0.347 -1.212  0.031 -0.953  -0.286 -0.694  -0.602 -0.435  -0.919 -0.177  -1.235 0.082  -1.216 0.301  -0.808 0.293  -0.400 0.297  0.009 0.282  0.417 0.282  0.826 0.295  1.232 0.337  1.635 0.407  1.690 0.376  1.297 0.261  0.904 0.147  0.512 0.032  0.119 -0.082  -0.273 -0.197  -0.666 -0.311  -1.059 -0.426  -1.451 -0.540  -1.361 -0.586  -0.952 -0.586  -0.543 -0.586  -0.134 -0.586  0.274 -0.601  0.682 -0.586
2#apb#apb04#app0417/&  0.803 -0.756  0.702 -0.627  0.538 -0.490  0.369 -0.360  0.170 -0.239  0.035 -0.051  -0.070 0.156  -0.178 0.361  -0.301 0.564  -0.432 0.750  -0.450 0.984  -0.436 1.220  -0.436 1.459  -0.436 1.698  -0.281 1.742  -0.093 1.645  0.029 1.475  0.184 1.340  0.339 1.192  0.401 1.002  0.509 0.816  0.552 0.645  0.573 0.412  0.563 0.185  0.510 -0.010  0.474 -0.238  0.416 -0.383  0.377 -0.565  0.296 -0.724  0.164 -0.879  0.004 -1.021  -0.174 -1.099  -0.388 -1.152  -0.593 -1.083  -0.746 -0.941  -0.907 -0.788  -1.036 -0.601  -1.094 -0.393  -1.094 -0.164  -0.903 -0.078  -0.685 -0.138  -0.461 -0.194  -0.223 -0.185  0.014 -0.194  0.207 -0.295  0.318 -0.502  0.516 -0.629  0.697 -0.768  0.813 -0.931  0.842 -1.162
2#apb#apb04#app0417/!  0.163 1.190  0.114 1.214  0.114 1.309  0.064 1.388  0.023 1.462  0.002 1.536  -0.033 1.559  -0.026 1.496  -0.047 1.403  -0.065 1.311  -0.084 1.218  -0.074 1.124  -0.064 1.031  -0.050 0.937  -0.033 0.844  -0.016 0.751  -0.010 0.658  -0.010 0.563  -0.007 0.469  0.002 0.375  0.012 0.281  0.035 0.190  0.064 0.100  0.090 0.009  0.118 -0.081  0.160 -0.165  0.163 -0.259  0.163 -0.353  0.212 -0.418  0.191 -0.459  0.161 -0.548  0.131 -0.638  0.101 -0.727  0.071 -0.817  0.041 -0.906  0.011 -0.996  -0.018 -1.086  -0.048 -1.175  -0.060 -1.151  -0.064 -1.061  -0.125 -1.108  -0.189 -1.160  -0.269 -1.196  -0.316 -1.230  -0.225 -1.206  -0.141 -1.163  -0.065 -1.108  -0.060 -1.083  -0.049 -1.116  -0.060 -1.209
2#apb#apb04#app0417/?  -0.547 0.776  -0.569 0.886  -0.527 0.930  -0.551 0.996  -0.460 1.062  -0.351 1.085  -0.243 1.105  -0.141 1.152  -0.029 1.171  0.082 1.153  0.195 1.151  0.300 1.119  0.395 1.072  0.487 1.008  0.570 0.933  0.621 0.837  0.675 0.747  0.731 0.664  0.709 0.555  0.709 0.442  0.689 0.337  0.616 0.253  0.551 0.167  0.460 0.099  0.370 0.031  0.267 -0.009  0.156 -0.031  0.048 -0.061  -0.021 -0.063  -0.129 -0.083  -0.191 -0.165  -0.272 -0.239  -0.334 -0.331  -0.371 -0.420  -0.349 -0.511  -0.305 -0.610  -0.261 -0.696  -0.210 -0.781  -0.190 -0.892  -0.170 -1.003  -0.149 -1.114  -0.129 -1.225  -0.109 -1.337  -0.089 -1.448  -0.164 -1.432  -0.248 -1.384  -0.305 -1.426  -0.391 -1.460  -0.458 -1.472  -0.371 -1.538
2#apb#apb04#app0417/  0.475 1.445  0.436 1.503  0.421 1.506  0.410 1.440  0.419 1.378  0.404 1.310  0.388 1.241  0.370 1.173  0.350 1.106  0.330 1.039  0.310 0.971  0.298 0.902  0.285 0.833  0.272 0.764  0.259 0.695  0.246 0.626  0.229 0.557  0.212 0.489  0.194 0.421  0.176 0.353  0.158 0.285  0.140 0.217  0.122 0.150  0.100 0.083  0.079 0.016  0.058 -0.051  0.036 -0.118  0.015 -0.185  -0.006 -0.252  -0.028 -0.319  -0.054 -0.384  -0.085 -0.447  -0.117 -0.510  -0.148 -0.573  -0.180 -0.636  -0.211 -0.699  -0.242 -0.762  -0.274 -0.824  -0.306 -0.887  -0.339 -0.949  -0.371 -1.011  -0.404 -1.073  -0.437 -1.136  -0.470 -1.198  -0.503 -1.260  -0.536 -1.322  -0.570 -1.384  -0.603 -1.446  -0.636 -1.507  -0.670 -1.569
2#apb#apb04#app0417/'  0.411 0.516  0.438 0.596  0.464 0.675  0.491 0.755  0.518 0.835  0.525 0.917  0.525 1.001  0.525 1.085  0.525 1.169  0.525 1.253  0.445 1.257  0.380 1.218  0.328 1.152  0.275 1.087  0.223 1.021  0.177 0.952  0.150 0.872  0.124 0.793  0.097 0.713  0.070 0.633  0.044 0.554  0.017 0.474  -0.013 0.396  -0.044 0.318  -0.075 0.240  -0.107 0.162  -0.138 0.084  -0.169 0.006  -0.200 -0.072  -0.224 -0.152  -0.241 -0.235  -0.257 -0.317  -0.273 -0.400  -0.290 -0.482  -0.306 -0.564  -0.323 -0.647  -0.330 -0.730  -0.330 -0.814  -0.330 -0.898  -0.330 -0.982  -0.330 -1.066  -0.330 -1.150  -0.330 -1.234  -0.330 -1.318  -0.330 -1.402  -0.330 -1.486  -0.330 -1.570  -0.330 -1.654  -0.330 -1.738  -0.330 -1.822
