3#apb#apb40#app4055/D  0.288 1.072  0.156 0.948  0.072 0.779  0.009 0.602  -0.058 0.426  -0.144 0.259  -0.230 0.091  -0.324 -0.072  -0.422 -0.232  -0.522 -0.392  -0.634 -0.543  -0.752 -0.690  -0.879 -0.829  -0.931 -0.795  -0.846 -0.627  -0.759 -0.460  -0.671 -0.294  -0.580 -0.129  -0.488 0.035  -0.395 0.199  -0.297 0.360  -0.200 0.521  -0.091 0.675  0.018 0.828  0.139 0.972  0.263 1.114  0.405 1.238  0.576 1.309  0.756 1.277  0.894 1.156  0.982 0.994  1.029 0.811  1.036 0.623  1.034 0.436  0.991 0.253  0.936 0.074  0.852 -0.095  0.758 -0.257  0.636 -0.401  0.513 -0.543  0.386 -0.682  0.255 -0.816  0.111 -0.938  -0.037 -1.054  -0.204 -1.141  -0.374 -1.221  -0.550 -1.279  -0.738 -1.274  -0.912 -1.203  -1.058 -1.085
3#apb#apb40#app4055/o  -1.511 -0.633  -1.462 -0.452  -1.361 -0.300  -1.202 -0.200  -1.031 -0.121  -0.872 -0.021  -0.719 0.089  -0.566 0.199  -0.413 0.310  -0.261 0.420  -0.105 0.526  0.053 0.628  0.201 0.742  0.312 0.894  0.337 0.973  0.223 0.823  0.108 0.674  0.006 0.516  -0.089 0.353  -0.184 0.190  -0.280 0.028  -0.356 -0.144  -0.427 -0.319  -0.498 -0.493  -0.538 -0.674  -0.538 -0.862  -0.533 -1.049  -0.407 -1.189  -0.253 -1.282  -0.070 -1.324  0.098 -1.241  0.264 -1.153  0.415 -1.041  0.559 -0.920  0.701 -0.797  0.802 -0.638  0.903 -0.478  0.977 -0.308  1.023 -0.125  1.058 0.058  1.015 0.241  0.971 0.424  0.898 0.596  0.807 0.761  0.715 0.926  0.576 1.053  0.421 1.146  0.234 1.160  0.061 1.089  -0.062 0.946
3#apb#apb40#app4055/r  -1.242 -1.232  -1.303 -1.174  -1.241 -1.065  -1.185 -0.953  -1.129 -0.842  -1.069 -0.733  -1.006 -0.625  -0.943 -0.517  -0.879 -0.409  -0.807 -0.308  -0.735 -0.206  -0.663 -0.104  -0.592 -0.001  -0.527 0.106  -0.463 0.212  -0.398 0.319  -0.333 0.426  -0.256 0.524  -0.178 0.621  -0.099 0.718  -0.021 0.816  0.070 0.899  0.173 0.970  0.276 1.040  0.388 1.091  0.510 1.121  0.630 1.128  0.748 1.089  0.816 0.997  0.860 0.880  0.888 0.760  0.894 0.635  0.900 0.511  0.870 0.392  0.824 0.276  0.777 0.160  0.716 0.052  0.651 -0.056  0.587 -0.163  0.506 -0.257  0.421 -0.348  0.335 -0.439  0.247 -0.528  0.159 -0.616  0.094 -0.722  0.112 -0.840  0.218 -0.894  0.341 -0.904  0.466 -0.904  0.591 -0.904
3#apb#apb40#app4055/o  -1.296 -0.897  -1.323 -0.678  -1.284 -0.586  -1.092 -0.466  -0.900 -0.347  -0.729 -0.199  -0.554 -0.056  -0.383 0.091  -0.245 0.270  -0.265 0.466  -0.435 0.327  -0.572 0.147  -0.713 -0.030  -0.831 -0.221  -0.923 -0.428  -0.968 -0.649  -0.948 -0.871  -0.821 -1.046  -0.611 -1.089  -0.389 -1.058  -0.173 -0.992  0.030 -0.894  0.224 -0.778  0.414 -0.655  0.597 -0.522  0.774 -0.382  0.934 -0.222  1.067 -0.042  1.176 0.156  1.211 0.376  1.209 0.600  1.126 0.810  0.999 0.994  0.779 1.043  0.553 1.043  0.341 0.966  0.133 0.877  -0.072 0.781  -0.268 0.668  -0.452 0.538  -0.510 0.329  -0.319 0.226  -0.094 0.204  0.132 0.204  0.357 0.217  0.579 0.263  0.801 0.308  1.022 0.355  1.244 0.402  1.465 0.449
3#apb#apb40#app4055/t  -1.690 -1.370  -1.523 -1.243  -1.313 -1.126  -1.110 -0.993  -0.904 -0.865  -0.708 -0.723  -0.518 -0.572  -0.340 -0.408  -0.165 -0.240  -0.004 -0.059  0.157 0.122  0.318 0.304  0.479 0.486  0.599 0.695  0.714 0.909  0.812 1.131  0.879 1.361  0.833 1.454  0.706 1.247  0.578 1.041  0.445 0.838  0.312 0.635  0.178 0.433  0.045 0.231  -0.080 0.023  -0.170 -0.202  -0.212 -0.440  -0.225 -0.682  -0.209 -0.923  -0.100 -1.125  0.112 -1.222  0.338 -1.157  0.533 -1.013  0.555 -0.848  0.384 -0.677  0.212 -0.505  0.041 -0.334  -0.131 -0.162  -0.302 0.009  -0.474 0.181  -0.645 0.352  -0.743 0.557  -0.554 0.668  -0.312 0.663  -0.070 0.651  0.172 0.634  0.414 0.610  0.654 0.580  0.895 0.552  1.136 0.524
3#apb#apb40#app4055/h  -1.109 -0.980  -1.031 -0.945  -0.879 -0.809  -0.725 -0.676  -0.574 -0.539  -0.425 -0.401  -0.283 -0.255  -0.147 -0.104  -0.016 0.051  0.093 0.224  0.202 0.396  0.308 0.570  0.411 0.745  0.514 0.921  0.604 1.103  0.688 1.289  0.771 1.475  0.843 1.665  0.837 1.755  0.719 1.589  0.604 1.421  0.495 1.249  0.385 1.077  0.282 0.902  0.186 0.723  0.090 0.543  -0.003 0.362  -0.089 0.177  -0.175 -0.007  -0.265 -0.190  -0.363 -0.368  -0.458 -0.549  -0.540 -0.735  -0.646 -0.906  -0.759 -1.073  -0.811 -1.171  -0.701 -1.000  -0.544 -0.871  -0.384 -0.744  -0.220 -0.624  -0.049 -0.513  0.092 -0.367  0.242 -0.230  0.405 -0.109  0.519 -0.191  0.494 -0.391  0.431 -0.584  0.353 -0.772  0.314 -0.971  0.318 -1.163
3#apb#apb40#app4055/y  -0.236 1.148  -0.222 1.324  -0.321 1.309  -0.426 1.167  -0.511 1.012  -0.590 0.854  -0.636 0.683  -0.655 0.510  -0.627 0.337  -0.512 0.215  -0.338 0.203  -0.167 0.248  -0.009 0.324  0.142 0.416  0.280 0.527  0.411 0.645  0.526 0.780  0.609 0.935  0.690 1.092  0.796 1.231  0.805 1.089  0.781 0.914  0.751 0.739  0.704 0.569  0.654 0.399  0.604 0.229  0.553 0.060  0.502 -0.110  0.447 -0.278  0.390 -0.445  0.333 -0.613  0.264 -0.775  0.184 -0.934  0.105 -1.092  -0.001 -1.233  -0.115 -1.368  -0.240 -1.493  -0.389 -1.581  -0.559 -1.576  -0.633 -1.418  -0.664 -1.247  -0.664 -1.070  -0.653 -0.895  -0.582 -0.733  -0.511 -0.571  -0.365 -0.474  -0.215 -0.380  -0.058 -0.299  0.103 -0.224  0.263 -0.149
3#apb#apb40#app4055/E  0.748 0.751  0.780 0.923  0.878 1.068  0.998 1.197  0.976 1.298  0.806 1.257  0.641 1.195  0.482 1.120  0.324 1.042  0.172 0.953  0.028 0.852  -0.114 0.747  -0.238 0.623  -0.362 0.497  -0.467 0.356  -0.569 0.212  -0.661 0.062  -0.622 -0.094  -0.457 -0.119  -0.286 -0.084  -0.119 -0.028  0.044 0.036  0.203 0.113  0.362 0.190  0.522 0.264  0.681 0.338  0.837 0.421  0.725 0.438  0.561 0.373  0.399 0.305  0.243 0.225  0.101 0.120  -0.035 0.008  -0.164 -0.112  -0.288 -0.237  -0.409 -0.365  -0.523 -0.499  -0.628 -0.640  -0.726 -0.787  -0.815 -0.938  -0.897 -1.095  -0.919 -1.265  -0.850 -1.413  -0.696 -1.467  -0.520 -1.467  -0.355 -1.410  -0.191 -1.345  -0.028 -1.278  0.133 -1.207  0.295 -1.136
3#apb#apb40#app4055/m  -0.809 1.031  -0.640 1.157  -0.416 1.069  -0.325 0.853  -0.341 0.607  -0.423 0.372  -0.543 0.154  -0.676 -0.057  -0.812 -0.266  -0.954 -0.471  -1.106 -0.670  -1.269 -0.858  -1.456 -0.966  -1.363 -0.738  -1.210 -0.541  -1.044 -0.355  -0.871 -0.175  -0.693 0.000  -0.510 0.169  -0.318 0.329  -0.119 0.479  0.092 0.612  0.314 0.725  0.503 0.712  0.471 0.469  0.360 0.245  0.237 0.028  0.103 -0.182  -0.022 -0.398  -0.151 -0.611  -0.280 -0.824  -0.415 -0.858  -0.319 -0.630  -0.153 -0.444  0.034 -0.279  0.231 -0.127  0.436 0.017  0.631 0.172  0.833 0.318  1.035 0.465  1.247 0.595  1.479 0.684  1.577 0.525  1.498 0.292  1.379 0.072  1.233 -0.130  1.086 -0.332  0.937 -0.532  0.797 -0.739  0.725 -0.968
3#apb#apb40#app4055/m  -1.156 0.654  -1.018 0.866  -0.783 0.999  -0.532 1.095  -0.269 1.149  -0.031 1.076  0.048 0.846  -0.012 0.592  -0.143 0.356  -0.306 0.142  -0.481 -0.063  -0.664 -0.260  -0.851 -0.455  -1.041 -0.646  -1.222 -0.846  -1.423 -1.024  -1.386 -0.879  -1.206 -0.680  -1.009 -0.496  -0.802 -0.324  -0.597 -0.148  -0.398 0.034  -0.195 0.211  0.017 0.377  0.253 0.507  0.491 0.634  0.729 0.606  0.713 0.349  0.583 0.112  0.422 -0.104  0.248 -0.309  0.063 -0.505  -0.106 -0.716  -0.279 -0.922  -0.302 -0.795  -0.159 -0.566  0.004 -0.352  0.176 -0.144  0.358 0.055  0.559 0.234  0.789 0.374  1.039 0.473  1.303 0.519  1.529 0.411  1.521 0.153  1.412 -0.093  1.243 -0.302  1.071 -0.510  0.908 -0.725  0.891 -0.956
3#apb#apb40#app4055/a  0.882 0.762  1.002 0.899  0.987 1.071  0.831 1.106  0.661 1.060  0.500 0.975  0.339 0.890  0.184 0.796  0.029 0.702  -0.127 0.608  -0.282 0.514  -0.425 0.401  -0.567 0.289  -0.710 0.177  -0.853 0.064  -0.984 -0.061  -1.106 -0.195  -1.229 -0.329  -1.346 -0.467  -1.436 -0.625  -1.483 -0.794  -1.413 -0.932  -1.245 -0.908  -1.075 -0.844  -0.912 -0.764  -0.749 -0.683  -0.587 -0.601  -0.431 -0.509  -0.278 -0.411  -0.125 -0.313  0.025 -0.211  0.156 -0.085  0.288 0.040  0.415 0.169  0.529 0.311  0.642 0.453  0.769 0.582  0.866 0.607  0.795 0.440  0.701 0.285  0.606 0.130  0.518 -0.028  0.444 -0.194  0.392 -0.363  0.417 -0.543  0.540 -0.657  0.698 -0.746  0.871 -0.731  1.048 -0.690  1.225 -0.649
