1c#apa#apa13#app1394/v  -1.258 0.760  -1.258 0.657  -1.197 0.579  -1.137 0.500  -1.137 0.397  -1.064 0.324  -1.016 0.241  -1.003 0.143  -0.930 0.070  -0.895 -0.019  -0.870 -0.112  -0.796 -0.185  -0.774 -0.279  -0.736 -0.367  -0.663 -0.440  -0.590 -0.513  -0.517 -0.586  -0.444 -0.659  -0.354 -0.691  -0.262 -0.720  -0.189 -0.793  -0.116 -0.866  -0.041 -0.933  0.063 -0.933  0.166 -0.933  0.247 -0.879  0.320 -0.806  0.393 -0.733  0.455 -0.652  0.501 -0.560  0.547 -0.467  0.594 -0.375  0.640 -0.282  0.677 -0.188  0.677 -0.085  0.677 0.019  0.739 0.096  0.798 0.175  0.798 0.279  0.798 0.382  0.798 0.485  0.798 0.589  0.798 0.692  0.798 0.795  0.798 0.899  0.798 1.002  0.798 1.105  0.798 1.209  0.846 1.292  0.919 1.365
1c#apa#apa13#app1394/e  -0.772 -0.351  -0.609 -0.351  -0.447 -0.351  -0.404 -0.231  -0.255 -0.202  -0.133 -0.106  -0.037 -0.039  0.038 0.092  0.153 0.207  0.268 0.322  0.331 0.458  0.331 0.620  0.439 0.738  0.453 0.895  0.410 1.039  0.281 1.119  0.119 1.119  -0.044 1.119  -0.201 1.098  -0.346 1.026  -0.473 0.927  -0.588 0.813  -0.703 0.698  -0.818 0.583  -0.919 0.458  -0.991 0.313  -1.017 0.156  -1.017 -0.006  -1.017 -0.169  -1.017 -0.331  -1.002 -0.488  -0.885 -0.596  -0.722 -0.596  -0.569 -0.636  -0.424 -0.708  -0.264 -0.718  -0.102 -0.718  0.061 -0.718  0.209 -0.657  0.357 -0.596  0.519 -0.596  0.681 -0.596  0.844 -0.596  1.006 -0.596  1.169 -0.596  1.316 -0.532  1.465 -0.473  1.627 -0.473  1.778 -0.423  1.923 -0.351
1c#apa#apa13#app1394/r  -0.602 0.147  -0.508 0.104  -0.508 -0.033  -0.467 -0.164  -0.423 -0.294  -0.414 -0.430  -0.414 -0.567  -0.414 -0.704  -0.414 -0.841  -0.414 -0.979  -0.414 -1.116  -0.326 -1.165  -0.283 -1.259  -0.169 -1.316  -0.047 -1.353  -0.014 -1.234  0.055 -1.125  0.055 -0.988  0.055 -0.851  0.000 -0.736  -0.039 -0.615  -0.127 -0.514  -0.153 -0.386  -0.229 -0.271  -0.305 -0.157  -0.398 -0.057  -0.495 0.040  -0.561 0.160  -0.602 0.287  -0.665 0.398  -0.695 0.523  -0.664 0.647  -0.553 0.710  -0.416 0.710  -0.283 0.728  -0.160 0.790  -0.026 0.804  0.111 0.804  0.248 0.804  0.385 0.804  0.522 0.804  0.660 0.804  0.792 0.831  0.923 0.874  1.056 0.897  1.193 0.897  1.331 0.897  1.468 0.897  1.605 0.897  1.742 0.897
1c#apa#apa13#app1394/u  -1.566 0.605  -1.566 0.474  -1.533 0.376  -1.451 0.326  -1.422 0.202  -1.363 0.085  -1.337 -0.040  -1.297 -0.161  -1.238 -0.279  -1.127 -0.310  -1.108 -0.423  -0.993 -0.482  -0.875 -0.539  -0.744 -0.539  -0.613 -0.539  -0.482 -0.539  -0.351 -0.539  -0.245 -0.477  -0.142 -0.399  -0.025 -0.340  0.099 -0.310  0.186 -0.238  0.245 -0.121  0.351 -0.081  0.452 -0.008  0.493 0.106  0.533 0.227  0.592 0.345  0.608 0.472  0.608 0.603  0.608 0.734  0.608 0.865  0.560 0.948  0.493 0.884  0.493 0.753  0.493 0.622  0.493 0.491  0.493 0.360  0.493 0.229  0.529 0.112  0.608 0.014  0.633 -0.106  0.726 -0.199  0.818 -0.292  0.911 -0.385  1.026 -0.424  1.147 -0.465  1.264 -0.524  1.392 -0.539  1.523 -0.539
1c#apa#apa13#app1394/n  -1.283 0.929  -1.186 0.832  -1.090 0.736  -1.068 0.609  -1.068 0.472  -1.068 0.336  -1.008 0.225  -0.961 0.108  -0.961 -0.028  -0.961 -0.165  -0.961 -0.301  -0.961 -0.437  -0.884 -0.542  -0.788 -0.638  -0.669 -0.680  -0.564 -0.604  -0.491 -0.491  -0.430 -0.369  -0.337 -0.270  -0.316 -0.142  -0.220 -0.046  -0.210 0.086  -0.179 0.209  -0.083 0.306  0.010 0.405  0.071 0.527  0.144 0.640  0.241 0.736  0.337 0.833  0.434 0.929  0.570 0.929  0.648 0.870  0.648 0.734  0.648 0.598  0.648 0.461  0.648 0.325  0.648 0.189  0.648 0.053  0.648 -0.084  0.648 -0.220  0.673 -0.353  0.706 -0.485  0.739 -0.618  0.806 -0.731  0.902 -0.827  1.007 -0.913  1.128 -0.974  1.258 -1.001  1.384 -1.048  1.506 -1.109
1c#apa#apa13#app1394/o  -0.465 0.514  -0.465 0.634  -0.482 0.736  -0.602 0.736  -0.712 0.711  -0.797 0.626  -0.909 0.617  -0.909 0.497  -0.934 0.403  -1.044 0.379  -1.128 0.294  -1.131 0.175  -1.131 0.055  -1.120 -0.062  -1.066 -0.169  -1.013 -0.277  -0.959 -0.384  -0.904 -0.490  -0.819 -0.575  -0.708 -0.596  -0.588 -0.596  -0.480 -0.644  -0.372 -0.698  -0.255 -0.707  -0.135 -0.707  -0.015 -0.707  0.105 -0.707  0.225 -0.707  0.345 -0.707  0.460 -0.688  0.567 -0.635  0.675 -0.581  0.782 -0.528  0.884 -0.467  0.969 -0.383  1.054 -0.298  1.139 -0.213  1.200 -0.119  1.200 0.001  1.200 0.121  1.200 0.241  1.151 0.341  1.066 0.425  0.982 0.510  0.897 0.595  0.802 0.668  0.703 0.734  0.603 0.801  0.508 0.873  0.423 0.958
1c#apa#apa13#app1394/u  -1.346 0.852  -1.346 0.715  -1.346 0.577  -1.346 0.439  -1.346 0.301  -1.346 0.163  -1.346 0.025  -1.313 -0.099  -1.215 -0.196  -1.118 -0.294  -1.020 -0.391  -0.923 -0.488  -0.800 -0.524  -0.662 -0.524  -0.524 -0.524  -0.387 -0.524  -0.284 -0.467  -0.223 -0.344  -0.115 -0.295  -0.008 -0.220  0.089 -0.122  0.187 -0.025  0.284 0.073  0.375 0.173  0.375 0.311  0.375 0.448  0.375 0.586  0.375 0.724  0.375 0.862  0.343 0.967  0.260 0.911  0.260 0.774  0.260 0.636  0.260 0.498  0.260 0.360  0.260 0.222  0.260 0.085  0.333 -0.023  0.430 -0.121  0.528 -0.218  0.631 -0.308  0.754 -0.370  0.868 -0.444  0.973 -0.524  1.110 -0.524  1.228 -0.574  1.339 -0.639  1.476 -0.639  1.614 -0.639  1.752 -0.639
1c#apa#apa13#app1394/t  0.006 1.707  0.072 1.560  0.138 1.412  0.170 1.251  0.184 1.079  0.226 0.909  0.251 0.738  0.251 0.563  0.251 0.389  0.251 0.214  0.303 0.052  0.333 -0.115  0.333 -0.290  0.354 -0.459  0.415 -0.619  0.415 -0.794  0.415 -0.968  0.415 -1.143  0.415 -1.317  0.415 -1.492  0.342 -1.485  0.222 -1.359  0.102 -1.233  -0.019 -1.107  -0.139 -0.980  -0.260 -0.854  -0.380 -0.728  -0.501 -0.602  -0.621 -0.476  -0.742 -0.349  -0.862 -0.223  -0.983 -0.097  -1.103 0.029  -1.224 0.155  -1.238 0.236  -1.072 0.285  -0.903 0.318  -0.728 0.318  -0.572 0.396  -0.399 0.400  -0.229 0.430  -0.063 0.481  0.112 0.481  0.286 0.481  0.461 0.481  0.635 0.481  0.810 0.481  0.984 0.481  1.158 0.478  1.314 0.400
1c#apa#apa13#app1394/o  -0.132 0.974  -0.242 0.974  -0.352 0.974  -0.460 0.967  -0.538 0.889  -0.616 0.811  -0.694 0.733  -0.772 0.655  -0.774 0.546  -0.852 0.468  -0.930 0.390  -0.988 0.304  -0.988 0.193  -0.988 0.083  -0.988 -0.027  -0.988 -0.137  -0.988 -0.248  -0.966 -0.353  -0.917 -0.451  -0.851 -0.523  -0.750 -0.547  -0.672 -0.625  -0.575 -0.676  -0.476 -0.725  -0.369 -0.737  -0.259 -0.737  -0.148 -0.737  -0.038 -0.737  0.072 -0.737  0.172 -0.692  0.270 -0.643  0.378 -0.630  0.488 -0.630  0.583 -0.581  0.675 -0.520  0.767 -0.459  0.854 -0.393  0.932 -0.315  1.010 -0.237  1.072 -0.147  1.122 -0.049  1.152 0.055  1.152 0.165  1.152 0.275  1.152 0.385  1.152 0.496  1.125 0.600  1.076 0.698  1.016 0.789  0.938 0.867
1c#apa#apa13#app1394/f  -0.098 -0.258  0.109 -0.215  0.226 -0.055  0.403 0.079  0.515 0.266  0.619 0.459  0.724 0.655  0.724 0.880  0.724 1.105  0.724 1.329  0.650 1.536  0.469 1.634  0.244 1.634  0.148 1.457  0.079 1.249  -0.016 1.062  -0.016 0.837  -0.016 0.612  -0.016 0.387  -0.016 0.163  -0.016 -0.062  -0.007 -0.285  0.064 -0.498  0.104 -0.707  0.148 -0.914  0.211 -1.123  0.300 -1.315  0.313 -1.534  0.158 -1.502  -0.001 -1.343  -0.160 -1.184  -0.318 -1.025  -0.477 -0.866  -0.636 -0.707  -0.795 -0.548  -0.954 -0.389  -1.113 -0.231  -1.272 -0.072  -1.333 -0.150  -1.133 -0.176  -0.909 -0.176  -0.687 -0.145  -0.467 -0.101  -0.262 -0.011  -0.037 -0.011  0.177 0.053  0.399 0.071  0.623 0.071  0.848 0.071  1.053 -0.011
1c#apa#apa13#app1394/p  -0.083 -0.395  -0.083 -0.567  -0.006 -0.721  0.004 -0.891  0.004 -1.063  0.004 -1.236  0.069 -1.393  0.033 -1.330  -0.048 -1.178  -0.129 -1.026  -0.211 -0.874  -0.292 -0.722  -0.373 -0.570  -0.455 -0.418  -0.536 -0.267  -0.618 -0.115  -0.699 0.037  -0.780 0.189  -0.862 0.341  -0.943 0.493  -1.024 0.645  -1.106 0.797  -1.187 0.948  -1.093 0.995  -0.921 0.995  -0.749 0.995  -0.579 0.983  -0.425 0.908  -0.252 0.908  -0.080 0.908  0.083 0.853  0.251 0.822  0.419 0.799  0.583 0.745  0.738 0.672  0.893 0.595  1.054 0.554  1.176 0.432  1.221 0.278  1.221 0.106  1.221 -0.066  1.147 -0.208  1.000 -0.268  0.847 -0.321  0.692 -0.395  0.520 -0.395  0.347 -0.395  0.175 -0.395  0.003 -0.395  -0.170 -0.395
