2#apb#apb08#app0875/M  -1.191 0.339  -1.179 0.187  -1.187 0.034  -1.198 -0.118  -1.214 -0.270  -1.203 -0.422  -1.176 -0.571  -1.107 -0.707  -1.011 -0.642  -0.960 -0.499  -0.920 -0.352  -0.893 -0.202  -0.876 -0.050  -0.854 0.101  -0.816 0.249  -0.768 0.393  -0.688 0.523  -0.550 0.568  -0.438 0.481  -0.361 0.350  -0.311 0.206  -0.263 0.061  -0.216 -0.085  -0.154 -0.223  -0.080 -0.357  -0.014 -0.495  0.044 -0.636  0.133 -0.656  0.192 -0.516  0.245 -0.373  0.295 -0.229  0.345 -0.084  0.390 0.062  0.432 0.209  0.473 0.356  0.542 0.491  0.620 0.623  0.719 0.737  0.849 0.812  0.969 0.741  1.068 0.624  1.142 0.493  1.198 0.350  1.248 0.206  1.293 0.060  1.348 -0.082  1.419 -0.217  1.489 -0.353  1.556 -0.490  1.620 -0.629
2#apb#apb08#app0875/a  0.546 0.411  0.576 0.573  0.606 0.735  0.638 0.896  0.584 1.050  0.489 1.172  0.335 1.214  0.170 1.214  0.013 1.177  -0.137 1.111  -0.287 1.043  -0.411 0.935  -0.535 0.827  -0.656 0.716  -0.760 0.589  -0.865 0.462  -0.967 0.333  -1.024 0.179  -1.081 0.025  -1.128 -0.131  -1.119 -0.295  -1.109 -0.460  -1.052 -0.611  -0.975 -0.756  -0.876 -0.876  -0.719 -0.924  -0.560 -0.954  -0.396 -0.942  -0.240 -0.906  -0.105 -0.813  0.029 -0.718  0.123 -0.583  0.217 -0.448  0.268 -0.293  0.306 -0.133  0.337 0.028  0.347 0.192  0.366 0.354  0.424 0.366  0.460 0.206  0.480 0.043  0.505 -0.119  0.578 -0.266  0.652 -0.413  0.733 -0.556  0.822 -0.694  0.914 -0.830  1.031 -0.946  1.150 -1.058  1.301 -1.123
2#apb#apb08#app0875/y  -1.113 1.270  -1.113 1.111  -1.040 0.972  -0.961 0.834  -0.887 0.693  -0.813 0.553  -0.740 0.412  -0.666 0.272  -0.593 0.131  -0.515 -0.007  -0.429 -0.141  -0.346 -0.275  -0.266 -0.413  -0.169 -0.538  -0.039 -0.621  0.056 -0.529  0.088 -0.373  0.120 -0.218  0.152 -0.062  0.183 0.093  0.215 0.249  0.247 0.404  0.278 0.560  0.310 0.715  0.342 0.871  0.373 1.026  0.405 1.182  0.437 1.337  0.359 1.218  0.320 1.066  0.291 0.910  0.276 0.752  0.263 0.594  0.251 0.435  0.239 0.277  0.227 0.119  0.215 -0.039  0.212 -0.198  0.212 -0.357  0.212 -0.515  0.221 -0.673  0.242 -0.831  0.264 -0.988  0.293 -1.144  0.324 -1.299  0.355 -1.455  0.384 -1.611  0.416 -1.767  0.452 -1.921  0.457 -2.079
2#apb#apb08#app0875/3  -0.855 0.824  -0.894 0.934  -0.779 0.992  -0.637 1.010  -0.494 1.025  -0.351 1.020  -0.208 1.010  -0.065 1.000  0.077 0.980  0.218 0.957  0.359 0.932  0.489 0.872  0.588 0.780  0.572 0.646  0.481 0.541  0.367 0.456  0.234 0.402  0.099 0.353  -0.038 0.311  -0.176 0.275  -0.094 0.340  0.042 0.384  0.185 0.376  0.327 0.361  0.467 0.328  0.605 0.289  0.733 0.227  0.829 0.131  0.876 -0.004  0.898 -0.146  0.872 -0.284  0.822 -0.418  0.751 -0.542  0.660 -0.650  0.549 -0.740  0.433 -0.823  0.302 -0.882  0.172 -0.942  0.038 -0.991  -0.099 -1.035  -0.236 -1.077  -0.378 -1.096  -0.520 -1.116  -0.663 -1.123  -0.806 -1.123  -0.947 -1.104  -1.084 -1.062  -1.204 -0.984  -1.286 -0.870  -1.232 -0.746
2#apb#apb08#app0875/J  0.356 1.586  0.331 1.669  0.301 1.593  0.283 1.506  0.278 1.417  0.273 1.329  0.272 1.240  0.275 1.151  0.279 1.062  0.283 0.973  0.299 0.886  0.321 0.799  0.344 0.713  0.366 0.627  0.383 0.540  0.398 0.452  0.413 0.364  0.429 0.277  0.456 0.192  0.482 0.107  0.509 0.022  0.515 -0.066  0.515 -0.155  0.514 -0.244  0.500 -0.332  0.487 -0.420  0.456 -0.503  0.424 -0.587  0.364 -0.648  0.291 -0.699  0.210 -0.735  0.127 -0.767  0.044 -0.798  -0.044 -0.814  -0.132 -0.830  -0.220 -0.842  -0.309 -0.842  -0.398 -0.842  -0.486 -0.840  -0.573 -0.821  -0.660 -0.802  -0.747 -0.780  -0.829 -0.747  -0.912 -0.714  -0.996 -0.685  -1.081 -0.660  -1.155 -0.611  -1.165 -0.555  -1.078 -0.567  -0.994 -0.598
2#apb#apb08#app0875/u  -1.051 0.958  -1.023 1.007  -1.023 0.886  -1.060 0.771  -1.101 0.657  -1.142 0.543  -1.161 0.426  -1.161 0.305  -1.161 0.184  -1.159 0.063  -1.135 -0.056  -1.111 -0.175  -1.052 -0.278  -0.983 -0.377  -0.914 -0.476  -0.813 -0.544  -0.707 -0.600  -0.591 -0.635  -0.475 -0.670  -0.359 -0.639  -0.243 -0.606  -0.126 -0.572  -0.027 -0.508  0.063 -0.427  0.153 -0.346  0.224 -0.251  0.282 -0.144  0.339 -0.038  0.395 0.070  0.446 0.180  0.496 0.289  0.547 0.399  0.609 0.503  0.671 0.607  0.716 0.716  0.748 0.720  0.762 0.600  0.776 0.480  0.793 0.360  0.810 0.240  0.830 0.121  0.876 0.009  0.923 -0.103  0.971 -0.214  1.028 -0.320  1.086 -0.427  1.143 -0.533  1.218 -0.628  1.298 -0.718  1.378 -0.809
2#apb#apb08#app0875/n  -0.992 0.657  -0.992 0.528  -0.992 0.399  -0.985 0.270  -0.975 0.142  -0.961 0.013  -0.934 -0.113  -0.907 -0.239  -0.875 -0.364  -0.837 -0.488  -0.799 -0.611  -0.794 -0.739  -0.782 -0.864  -0.687 -0.914  -0.620 -0.803  -0.620 -0.674  -0.620 -0.545  -0.605 -0.417  -0.576 -0.292  -0.546 -0.166  -0.512 -0.042  -0.454 0.073  -0.397 0.189  -0.339 0.304  -0.277 0.418  -0.205 0.525  -0.134 0.632  -0.062 0.740  0.043 0.813  0.153 0.879  0.275 0.914  0.403 0.928  0.523 0.884  0.641 0.831  0.709 0.722  0.777 0.612  0.843 0.502  0.892 0.382  0.941 0.263  0.991 0.144  1.030 0.021  1.062 -0.104  1.093 -0.230  1.119 -0.356  1.138 -0.484  1.156 -0.611  1.170 -0.740  1.181 -0.868  1.178 -0.997  1.162 -1.125
2#apb#apb08#app0875/e  -1.005 0.028  -0.867 -0.016  -0.717 -0.024  -0.567 -0.038  -0.417 -0.038  -0.266 -0.038  -0.118 -0.010  0.030 0.020  0.154 0.099  0.270 0.195  0.387 0.290  0.507 0.382  0.622 0.477  0.689 0.612  0.755 0.748  0.806 0.889  0.820 1.033  0.762 1.164  0.634 1.244  0.486 1.255  0.340 1.237  0.205 1.169  0.070 1.102  -0.048 1.011  -0.158 0.908  -0.268 0.805  -0.365 0.691  -0.446 0.564  -0.528 0.438  -0.594 0.303  -0.646 0.161  -0.697 0.020  -0.742 -0.123  -0.742 -0.274  -0.742 -0.425  -0.698 -0.565  -0.630 -0.700  -0.541 -0.815  -0.415 -0.898  -0.290 -0.982  -0.154 -1.047  -0.015 -1.105  0.124 -1.164  0.270 -1.196  0.419 -1.221  0.567 -1.246  0.716 -1.260  0.865 -1.240  1.015 -1.220  1.164 -1.199
2#apb#apb08#app0875/1  -0.138 1.524  -0.138 1.594  -0.167 1.566  -0.167 1.497  -0.167 1.427  -0.160 1.357  -0.152 1.288  -0.144 1.218  -0.136 1.149  -0.128 1.079  -0.120 1.010  -0.111 0.941  -0.105 0.871  -0.098 0.801  -0.092 0.732  -0.086 0.662  -0.079 0.593  -0.073 0.523  -0.067 0.453  -0.060 0.384  -0.054 0.314  -0.044 0.245  -0.034 0.176  -0.024 0.107  -0.013 0.038  -0.003 -0.032  0.007 -0.101  0.018 -0.170  0.028 -0.239  0.034 -0.308  0.038 -0.378  0.042 -0.448  0.046 -0.518  0.050 -0.588  0.054 -0.657  0.058 -0.727  0.065 -0.797  0.078 -0.865  0.092 -0.934  0.106 -1.002  0.120 -1.071  0.133 -1.139  0.147 -1.208  0.161 -1.276  0.174 -1.345  0.188 -1.414  0.202 -1.482  0.221 -1.549  0.240 -1.617  0.259 -1.684
2#apb#apb08#app0875/5  0.689 1.092  0.701 1.189  0.594 1.210  0.478 1.174  0.360 1.143  0.241 1.122  0.121 1.101  0.007 1.062  -0.104 1.011  -0.215 0.961  -0.327 0.915  -0.435 0.860  -0.530 0.784  -0.623 0.706  -0.709 0.620  -0.792 0.531  -0.862 0.432  -0.919 0.325  -0.961 0.213  -0.943 0.139  -0.904 0.035  -0.795 0.089  -0.680 0.050  -0.561 0.031  -0.440 0.031  -0.318 0.031  -0.197 0.024  -0.076 0.010  0.045 -0.004  0.161 -0.039  0.275 -0.080  0.385 -0.130  0.490 -0.193  0.597 -0.251  0.701 -0.311  0.778 -0.405  0.785 -0.524  0.785 -0.645  0.739 -0.756  0.682 -0.864  0.604 -0.956  0.525 -1.049  0.439 -1.135  0.342 -1.207  0.245 -1.280  0.134 -1.331  0.024 -1.382  -0.083 -1.441  -0.196 -1.473  -0.256 -1.435
2#apb#apb08#app0875/A  -0.977 0.476  -1.015 0.348  -1.034 0.145  -1.056 -0.058  -1.086 -0.259  -1.097 -0.462  -1.085 -0.665  -1.071 -0.869  -1.028 -1.064  -0.927 -0.932  -0.843 -0.747  -0.759 -0.561  -0.682 -0.372  -0.605 -0.183  -0.532 0.007  -0.464 0.199  -0.396 0.391  -0.305 0.573  -0.197 0.746  -0.088 0.917  0.044 1.073  0.199 1.202  0.377 1.300  0.571 1.280  0.706 1.128  0.812 0.954  0.906 0.773  0.983 0.585  1.040 0.389  1.095 0.193  1.186 0.011  1.246 -0.183  1.285 -0.383  1.294 -0.584  1.228 -0.713  1.031 -0.662  0.833 -0.611  0.636 -0.560  0.438 -0.510  0.241 -0.459  0.043 -0.408  -0.154 -0.357  -0.352 -0.307  -0.549 -0.256  -0.480 -0.194  -0.283 -0.142  -0.081 -0.110  0.120 -0.081  0.317 -0.027  0.514 0.027
