3#apb#apb12#app1215/G  -0.500 0.438  -0.408 0.394  -0.333 0.450  -0.290 0.594  -0.248 0.737  -0.205 0.881  -0.196 1.025  -0.230 1.171  -0.281 1.311  -0.382 1.418  -0.482 1.340  -0.543 1.205  -0.583 1.060  -0.620 0.915  -0.649 0.768  -0.671 0.620  -0.687 0.471  -0.700 0.322  -0.712 0.172  -0.723 0.023  -0.723 -0.126  -0.709 -0.276  -0.681 -0.423  -0.643 -0.567  -0.583 -0.704  -0.501 -0.829  -0.404 -0.942  -0.293 -1.042  -0.157 -1.106  -0.024 -1.174  0.115 -1.220  0.263 -1.210  0.408 -1.171  0.526 -1.080  0.622 -0.967  0.685 -0.833  0.712 -0.687  0.699 -0.539  0.637 -0.405  0.547 -0.286  0.421 -0.214  0.400 -0.167  0.534 -0.100  0.671 -0.045  0.817 -0.008  0.960 0.035  1.107 0.065  1.227 0.148  1.344 0.237  1.464 0.323
3#apb#apb12#app1215/a  -1.075 0.249  -1.003 0.046  -0.907 -0.172  -0.841 -0.400  -0.787 -0.633  -0.732 -0.865  -0.678 -1.098  -0.686 -1.126  -0.761 -0.900  -0.795 -0.664  -0.829 -0.428  -0.865 -0.192  -0.873 0.045  -0.852 0.283  -0.823 0.520  -0.781 0.755  -0.677 0.968  -0.533 1.156  -0.344 1.297  -0.109 1.274  0.092 1.156  0.262 0.989  0.439 0.828  0.609 0.660  0.777 0.492  0.940 0.317  1.074 0.120  1.180 -0.094  1.268 -0.315  1.337 -0.543  1.376 -0.776  1.361 -0.727  1.136 -0.649  0.910 -0.572  0.684 -0.494  0.458 -0.416  0.232 -0.339  0.007 -0.261  -0.219 -0.184  -0.445 -0.106  -0.671 -0.029  -0.715 0.059  -0.477 0.065  -0.238 0.071  0.001 0.077  0.239 0.078  0.478 0.085  0.715 0.113  0.952 0.136  1.191 0.142
3#apb#apb12#app1215/y  -1.435 0.828  -1.297 0.682  -1.159 0.536  -1.022 0.390  -0.884 0.244  -0.746 0.098  -0.596 -0.032  -0.423 -0.133  -0.234 -0.198  -0.040 -0.205  0.152 -0.153  0.294 -0.011  0.425 0.140  0.542 0.303  0.657 0.467  0.772 0.632  0.848 0.815  0.903 1.008  0.977 1.194  0.995 1.391  0.916 1.379  0.781 1.240  0.703 1.056  0.620 0.874  0.507 0.709  0.393 0.544  0.279 0.378  0.166 0.213  0.158 0.019  0.212 -0.173  0.276 -0.362  0.318 -0.558  0.249 -0.502  0.134 -0.337  0.019 -0.173  -0.097 -0.009  -0.212 0.155  -0.268 0.170  -0.275 -0.030  -0.282 -0.231  -0.289 -0.431  -0.328 -0.628  -0.364 -0.825  -0.380 -1.024  -0.380 -1.225  -0.380 -1.426  -0.380 -1.626  -0.338 -1.821  -0.312 -1.746  -0.174 -1.603
3#apb#apb12#app1215/l  -0.560 1.480  -0.578 1.574  -0.509 1.506  -0.469 1.413  -0.441 1.313  -0.413 1.214  -0.396 1.114  -0.401 1.011  -0.406 0.908  -0.411 0.805  -0.416 0.702  -0.428 0.600  -0.443 0.498  -0.457 0.396  -0.471 0.294  -0.486 0.192  -0.500 0.090  -0.514 -0.013  -0.529 -0.115  -0.543 -0.217  -0.557 -0.319  -0.572 -0.421  -0.586 -0.523  -0.601 -0.625  -0.615 -0.727  -0.629 -0.829  -0.564 -0.771  -0.483 -0.708  -0.397 -0.651  -0.310 -0.596  -0.215 -0.556  -0.120 -0.517  -0.024 -0.480  0.077 -0.460  0.178 -0.440  0.279 -0.419  0.380 -0.397  0.480 -0.374  0.581 -0.351  0.683 -0.347  0.785 -0.356  0.888 -0.366  0.988 -0.388  1.089 -0.411  1.191 -0.424  1.293 -0.440  1.385 -0.483  1.489 -0.483  1.589 -0.468  1.687 -0.436
3#apb#apb12#app1215/e  -0.697 0.668  -0.720 0.499  -0.736 0.282  -0.722 0.065  -0.717 -0.152  -0.717 -0.370  -0.717 -0.587  -0.619 -0.764  -0.463 -0.915  -0.307 -1.067  -0.151 -1.218  0.013 -1.341  0.227 -1.298  0.436 -1.240  0.648 -1.196  0.850 -1.123  1.036 -1.011  1.189 -0.889  1.110 -0.723  0.907 -0.646  0.703 -0.570  0.499 -0.494  0.296 -0.417  0.092 -0.341  -0.112 -0.264  -0.316 -0.188  -0.312 -0.122  -0.102 -0.067  0.108 -0.011  0.319 0.045  0.529 0.100  0.720 0.194  0.695 0.293  0.483 0.341  0.271 0.390  0.059 0.438  -0.153 0.486  -0.366 0.534  -0.578 0.582  -0.790 0.631  -0.977 0.710  -0.897 0.842  -0.699 0.931  -0.500 1.020  -0.302 1.109  -0.103 1.198  0.095 1.287  0.294 1.376  0.492 1.465  0.700 1.527
3#apb#apb12#app1215/H  -0.775 0.675  -0.707 0.858  -0.639 1.040  -0.628 0.965  -0.633 0.770  -0.639 0.575  -0.644 0.380  -0.650 0.185  -0.659 -0.010  -0.685 -0.203  -0.710 -0.397  -0.728 -0.591  -0.744 -0.785  -0.745 -0.981  -0.735 -1.175  -0.647 -1.277  -0.560 -1.103  -0.624 -0.929  -0.711 -0.754  -0.798 -0.580  -0.886 -0.405  -0.854 -0.280  -0.662 -0.246  -0.470 -0.211  -0.278 -0.177  -0.086 -0.143  0.106 -0.107  0.296 -0.062  0.473 0.015  0.612 0.147  0.713 0.313  0.788 0.492  0.820 0.685  0.840 0.878  0.816 1.071  0.758 1.256  0.677 1.270  0.685 1.075  0.701 0.881  0.731 0.688  0.738 0.494  0.738 0.298  0.753 0.104  0.769 -0.090  0.777 -0.285  0.785 -0.480  0.794 -0.675  0.804 -0.870  0.819 -1.064  0.904 -1.231
3#apb#apb12#app1215/a  -0.766 0.474  -0.705 0.467  -0.624 0.263  -0.594 0.047  -0.567 -0.171  -0.540 -0.388  -0.513 -0.605  -0.486 -0.823  -0.458 -1.040  -0.431 -1.257  -0.476 -1.142  -0.507 -0.926  -0.523 -0.708  -0.523 -0.489  -0.523 -0.270  -0.523 -0.051  -0.523 0.169  -0.506 0.385  -0.446 0.596  -0.386 0.806  -0.310 1.012  -0.221 1.211  -0.109 1.399  0.032 1.546  0.233 1.491  0.404 1.355  0.568 1.210  0.662 1.013  0.744 0.810  0.810 0.601  0.879 0.393  0.953 0.187  1.009 -0.024  1.062 -0.237  1.136 -0.443  1.192 -0.654  1.242 -0.863  1.216 -0.782  1.005 -0.722  0.794 -0.662  0.584 -0.602  0.373 -0.543  0.162 -0.483  -0.049 -0.423  -0.259 -0.363  -0.470 -0.303  -0.681 -0.243  -0.890 -0.181  -0.832 -0.047  -0.620 0.011
3#apb#apb12#app1215/l  -0.944 1.451  -0.951 1.438  -0.909 1.354  -0.867 1.269  -0.824 1.185  -0.782 1.100  -0.753 1.011  -0.735 0.918  -0.716 0.826  -0.697 0.733  -0.674 0.642  -0.644 0.552  -0.614 0.462  -0.584 0.373  -0.553 0.284  -0.523 0.194  -0.493 0.105  -0.462 0.015  -0.432 -0.074  -0.402 -0.164  -0.371 -0.254  -0.341 -0.343  -0.311 -0.433  -0.280 -0.522  -0.250 -0.612  -0.220 -0.701  -0.189 -0.791  -0.159 -0.880  -0.110 -0.897  -0.040 -0.833  0.031 -0.770  0.101 -0.707  0.172 -0.645  0.244 -0.584  0.317 -0.524  0.393 -0.467  0.468 -0.410  0.550 -0.363  0.636 -0.325  0.722 -0.287  0.813 -0.261  0.905 -0.238  0.997 -0.220  1.091 -0.204  1.185 -0.203  1.276 -0.223  1.362 -0.249  1.434 -0.217  1.519 -0.255  1.614 -0.255
3#apb#apb12#app1215/a  -0.833 0.614  -0.882 0.444  -0.862 0.240  -0.833 0.037  -0.833 -0.168  -0.832 -0.374  -0.799 -0.576  -0.770 -0.554  -0.745 -0.350  -0.721 -0.146  -0.692 0.057  -0.658 0.259  -0.607 0.457  -0.525 0.645  -0.440 0.832  -0.349 1.016  -0.267 1.204  -0.083 1.280  0.117 1.247  0.293 1.148  0.443 1.008  0.566 0.844  0.683 0.676  0.788 0.500  0.895 0.324  1.002 0.149  1.094 -0.034  1.163 -0.227  1.220 -0.424  1.265 -0.624  1.285 -0.829  1.279 -1.033  1.244 -1.162  1.061 -1.069  0.878 -0.976  0.695 -0.882  0.512 -0.789  0.329 -0.695  0.146 -0.602  -0.037 -0.508  -0.219 -0.415  -0.402 -0.322  -0.585 -0.228  -0.768 -0.135  -0.951 -0.041  -0.858 -0.021  -0.657 0.019  -0.454 0.051  -0.249 0.062  -0.044 0.072
3#apb#apb12#app1215/H  -0.983 0.951  -0.942 1.138  -0.882 1.131  -0.853 0.942  -0.824 0.753  -0.795 0.563  -0.766 0.374  -0.737 0.184  -0.708 -0.005  -0.679 -0.195  -0.650 -0.384  -0.621 -0.573  -0.592 -0.763  -0.564 -0.952  -0.536 -1.137  -0.603 -0.958  -0.685 -0.785  -0.765 -0.611  -0.845 -0.437  -0.918 -0.260  -0.953 -0.073  -0.825 -0.004  -0.645 -0.071  -0.467 -0.143  -0.294 -0.224  -0.109 -0.269  0.081 -0.288  0.272 -0.282  0.460 -0.247  0.615 -0.138  0.744 0.005  0.795 0.188  0.807 0.379  0.788 0.570  0.749 0.757  0.711 0.944  0.704 1.135  0.720 1.041  0.738 0.851  0.764 0.661  0.798 0.472  0.826 0.283  0.850 0.093  0.867 -0.098  0.883 -0.289  0.917 -0.478  0.951 -0.666  0.993 -0.853  1.057 -1.032  1.152 -1.199
3#apb#apb12#app1215/e  -0.951 0.555  -0.819 0.593  -0.722 0.394  -0.663 0.178  -0.604 -0.037  -0.544 -0.253  -0.485 -0.468  -0.426 -0.684  -0.367 -0.900  -0.307 -1.115  -0.157 -1.260  0.056 -1.327  0.279 -1.330  0.494 -1.269  0.706 -1.199  0.908 -1.105  1.094 -0.982  1.091 -0.854  0.888 -0.762  0.684 -0.670  0.480 -0.578  0.277 -0.486  0.073 -0.393  -0.131 -0.301  -0.335 -0.212  -0.146 -0.172  0.074 -0.130  0.293 -0.088  0.513 -0.046  0.731 -0.001  0.736 0.101  0.519 0.154  0.302 0.206  0.084 0.259  -0.133 0.312  -0.350 0.364  -0.567 0.417  -0.785 0.469  -1.002 0.522  -1.064 0.595  -0.868 0.703  -0.672 0.811  -0.476 0.919  -0.280 1.026  -0.084 1.134  0.112 1.240  0.327 1.302  0.526 1.400  0.736 1.460  0.954 1.507
