1b#apb#apb05#app0561/E  -0.207 0.462  -0.189 0.654  -0.108 0.826  -0.122 0.833  -0.210 0.662  -0.303 0.493  -0.401 0.326  -0.501 0.161  -0.601 -0.004  -0.714 -0.161  -0.827 -0.317  -0.937 -0.475  -1.030 -0.644  -1.127 -0.811  -1.188 -0.976  -1.011 -1.050  -0.820 -1.056  -0.627 -1.054  -0.435 -1.034  -0.243 -1.014  -0.051 -0.995  0.140 -0.971  0.330 -0.934  0.521 -0.922  0.595 -0.950  0.435 -0.843  0.275 -0.735  0.115 -0.627  -0.045 -0.519  -0.205 -0.411  -0.356 -0.293  -0.301 -0.139  -0.134 -0.056  0.048 0.008  0.225 0.084  0.413 0.125  0.603 0.156  0.796 0.171  0.730 0.295  0.607 0.444  0.484 0.592  0.360 0.741  0.233 0.886  0.314 1.039  0.470 1.153  0.640 1.242  0.817 1.317  0.996 1.391  1.178 1.451  1.369 1.480
1b#apb#apb05#app0561/C  0.758 0.832  0.737 0.743  0.711 0.622  0.684 0.502  0.659 0.381  0.643 0.259  0.626 0.136  0.633 0.021  0.730 0.092  0.802 0.191  0.861 0.299  0.900 0.416  0.904 0.535  0.879 0.655  0.831 0.769  0.757 0.860  0.650 0.921  0.538 0.951  0.416 0.929  0.295 0.907  0.181 0.865  0.076 0.801  -0.029 0.737  -0.135 0.673  -0.236 0.604  -0.327 0.520  -0.418 0.437  -0.509 0.353  -0.599 0.270  -0.663 0.165  -0.723 0.057  -0.782 -0.051  -0.842 -0.159  -0.884 -0.274  -0.915 -0.394  -0.946 -0.513  -0.977 -0.632  -0.941 -0.750  -0.905 -0.868  -0.869 -0.986  -0.772 -1.058  -0.669 -1.126  -0.565 -1.193  -0.446 -1.216  -0.323 -1.229  -0.201 -1.242  -0.079 -1.247  0.041 -1.217  0.161 -1.187  0.280 -1.157
1b#apb#apb05#app0561/R  -0.419 0.551  -0.373 0.786  -0.316 0.976  -0.354 0.742  -0.440 0.518  -0.521 0.292  -0.602 0.066  -0.685 -0.160  -0.768 -0.385  -0.874 -0.600  -0.990 -0.810  -1.115 -1.015  -1.239 -1.219  -1.176 -1.036  -1.052 -0.831  -0.930 -0.624  -0.812 -0.415  -0.681 -0.214  -0.544 -0.017  -0.395 0.171  -0.232 0.348  -0.069 0.524  0.112 0.681  0.295 0.837  0.492 0.971  0.709 1.075  0.932 1.160  1.164 1.212  1.375 1.099  1.420 0.863  1.368 0.632  1.297 0.403  1.155 0.211  1.002 0.026  0.820 -0.131  0.638 -0.288  0.435 -0.417  0.228 -0.534  -0.007 -0.586  -0.243 -0.560  -0.376 -0.400  -0.309 -0.177  -0.153 0.001  0.056 0.099  0.223 -0.062  0.294 -0.288  0.325 -0.526  0.360 -0.763  0.423 -0.995  0.555 -1.192
1b#apb#apb05#app0561/L  0.117 1.156  0.135 1.269  0.192 1.366  0.259 1.460  0.342 1.519  0.359 1.580  0.360 1.528  0.347 1.414  0.308 1.308  0.258 1.204  0.209 1.101  0.159 0.998  0.110 0.894  0.066 0.788  0.025 0.681  -0.016 0.574  -0.057 0.467  -0.099 0.360  -0.141 0.253  -0.189 0.149  -0.236 0.045  -0.284 -0.059  -0.332 -0.164  -0.380 -0.268  -0.423 -0.374  -0.465 -0.481  -0.508 -0.587  -0.551 -0.694  -0.594 -0.800  -0.638 -0.906  -0.685 -1.010  -0.746 -1.104  -0.692 -1.142  -0.592 -1.085  -0.499 -1.019  -0.409 -0.948  -0.311 -0.889  -0.206 -0.844  -0.100 -0.799  0.004 -0.751  0.106 -0.700  0.209 -0.649  0.318 -0.614  0.428 -0.584  0.541 -0.564  0.655 -0.552  0.769 -0.556  0.875 -0.584  0.956 -0.660  1.047 -0.729
1b#apb#apb05#app0561/A  -0.005 1.028  -0.145 0.846  -0.275 0.647  -0.405 0.448  -0.528 0.245  -0.649 0.040  -0.766 -0.166  -0.873 -0.379  -0.979 -0.592  -1.090 -0.802  -1.199 -1.013  -1.259 -1.237  -1.218 -1.050  -1.112 -0.838  -0.998 -0.629  -0.857 -0.438  -0.715 -0.247  -0.563 -0.065  -0.410 0.117  -0.255 0.297  -0.093 0.471  0.069 0.645  0.232 0.819  0.407 0.978  0.587 1.134  0.780 1.267  1.003 1.351  1.161 1.213  1.190 0.977  1.118 0.751  1.043 0.526  0.957 0.304  0.866 0.085  0.775 -0.135  0.680 -0.353  0.586 -0.571  0.504 -0.794  0.428 -1.019  0.321 -1.153  0.203 -0.946  0.085 -0.740  -0.033 -0.533  -0.151 -0.327  -0.269 -0.121  -0.284 0.011  -0.047 -0.007  0.190 -0.007  0.428 0.004  0.665 -0.012  0.902 -0.033
1b#apb#apb05#app0561/M  -0.485 0.560  -0.602 0.618  -0.716 0.419  -0.816 0.213  -0.910 0.004  -1.013 -0.201  -1.121 -0.403  -1.218 -0.611  -1.307 -0.823  -1.397 -1.034  -1.389 -1.093  -1.232 -0.926  -1.078 -0.757  -0.924 -0.586  -0.781 -0.407  -0.640 -0.226  -0.499 -0.045  -0.358 0.136  -0.212 0.313  -0.065 0.489  0.077 0.669  0.215 0.853  0.296 0.884  0.214 0.670  0.128 0.458  0.040 0.246  -0.041 0.031  -0.125 -0.182  -0.217 -0.392  -0.193 -0.580  0.017 -0.504  0.204 -0.372  0.379 -0.224  0.533 -0.054  0.684 0.119  0.824 0.300  0.965 0.482  1.105 0.663  1.229 0.856  1.346 1.052  1.317 0.886  1.227 0.675  1.134 0.465  1.039 0.256  0.951 0.044  0.869 -0.170  0.774 -0.378  0.675 -0.585  0.577 -0.793  0.519 -1.014
1b#apb#apb05#app0561/S  0.160 0.585  0.239 0.703  0.317 0.820  0.397 0.937  0.480 1.051  0.566 1.164  0.648 1.278  0.587 1.340  0.448 1.320  0.317 1.267  0.186 1.214  0.056 1.160  -0.070 1.096  -0.195 1.030  -0.321 0.965  -0.438 0.887  -0.555 0.807  -0.657 0.713  -0.731 0.593  -0.731 0.461  -0.697 0.324  -0.603 0.222  -0.499 0.126  -0.387 0.042  -0.267 -0.034  -0.148 -0.110  -0.032 -0.190  0.081 -0.274  0.194 -0.359  0.308 -0.444  0.421 -0.529  0.534 -0.614  0.637 -0.708  0.719 -0.823  0.772 -0.949  0.725 -1.055  0.599 -1.119  0.462 -1.145  0.321 -1.158  0.181 -1.162  0.041 -1.143  -0.100 -1.125  -0.236 -1.091  -0.372 -1.053  -0.502 -1.001  -0.621 -0.925  -0.715 -0.820  -0.643 -0.744  -0.505 -0.752  -0.367 -0.780
1b#apb#apb05#app0561/S  0.692 0.838  0.802 0.948  0.913 1.058  1.018 1.173  1.008 1.290  0.858 1.245  0.709 1.200  0.562 1.149  0.414 1.098  0.267 1.047  0.119 0.998  -0.029 0.949  -0.177 0.900  -0.326 0.853  -0.474 0.803  -0.608 0.725  -0.640 0.626  -0.520 0.526  -0.388 0.444  -0.253 0.365  -0.118 0.287  0.017 0.210  0.153 0.133  0.275 0.036  0.396 -0.062  0.493 -0.181  0.575 -0.314  0.604 -0.462  0.604 -0.618  0.574 -0.762  0.471 -0.879  0.360 -0.985  0.211 -1.030  0.062 -1.076  -0.093 -1.080  -0.249 -1.080  -0.402 -1.058  -0.553 -1.018  -0.701 -0.970  -0.842 -0.904  -0.959 -0.806  -1.021 -0.672  -0.974 -0.531  -0.837 -0.494  -0.681 -0.494  -0.537 -0.542  -0.396 -0.607  -0.255 -0.672  -0.124 -0.756  0.004 -0.846
1b#apb#apb05#app0561/A  0.122 1.025  0.035 0.795  -0.080 0.572  -0.200 0.351  -0.322 0.131  -0.447 -0.086  -0.575 -0.302  -0.728 -0.501  -0.882 -0.699  -1.079 -0.855  -1.278 -1.008  -1.244 -0.839  -1.099 -0.636  -0.943 -0.439  -0.774 -0.253  -0.605 -0.067  -0.437 0.119  -0.270 0.306  -0.102 0.493  0.078 0.668  0.261 0.839  0.445 1.011  0.647 1.158  0.862 1.287  1.090 1.383  1.265 1.297  1.289 1.060  1.218 0.819  1.133 0.584  1.015 0.362  0.897 0.141  0.775 -0.078  0.650 -0.296  0.523 -0.513  0.390 -0.726  0.255 -0.938  0.109 -1.142  -0.075 -1.311  -0.209 -1.180  -0.321 -0.956  -0.434 -0.731  -0.546 -0.506  -0.658 -0.282  -0.711 -0.083  -0.467 -0.034  -0.216 -0.022  0.035 -0.003  0.285 0.018  0.536 0.028  0.786 0.038
1b#apb#apb05#app0561/U  -0.144 1.171  -0.173 1.051  -0.228 0.873  -0.310 0.704  -0.393 0.535  -0.476 0.367  -0.576 0.207  -0.676 0.048  -0.775 -0.111  -0.876 -0.269  -0.978 -0.427  -1.080 -0.585  -1.188 -0.739  -1.281 -0.899  -1.271 -1.060  -1.095 -0.994  -0.927 -0.910  -0.761 -0.823  -0.597 -0.731  -0.433 -0.639  -0.283 -0.527  -0.134 -0.412  0.014 -0.296  0.149 -0.166  0.285 -0.036  0.416 0.098  0.534 0.244  0.652 0.390  0.765 0.541  0.867 0.698  0.970 0.855  1.076 1.011  1.181 1.166  1.169 1.218  1.033 1.089  0.921 0.938  0.809 0.787  0.700 0.634  0.599 0.476  0.498 0.317  0.398 0.159  0.306 -0.005  0.215 -0.170  0.126 -0.335  0.076 -0.516  0.025 -0.697  0.037 -0.882  0.116 -1.044  0.265 -1.139  0.451 -1.162
1b#apb#apb05#app0561/R  -0.083 0.704  -0.211 0.571  -0.332 0.366  -0.432 0.151  -0.538 -0.061  -0.665 -0.262  -0.796 -0.460  -0.942 -0.648  -1.092 -0.832  -1.248 -1.011  -1.228 -0.890  -1.115 -0.682  -0.990 -0.479  -0.850 -0.288  -0.701 -0.103  -0.549 0.080  -0.389 0.255  -0.229 0.430  -0.061 0.598  0.126 0.744  0.313 0.891  0.508 1.025  0.716 1.139  0.930 1.238  1.165 1.273  1.358 1.185  1.345 0.956  1.253 0.737  1.105 0.555  0.941 0.384  0.753 0.239  0.558 0.104  0.353 -0.015  0.140 -0.121  -0.082 -0.200  -0.314 -0.251  -0.547 -0.297  -0.773 -0.274  -0.708 -0.111  -0.490 -0.022  -0.258 0.016  -0.024 0.000  0.186 -0.111  0.361 -0.271  0.482 -0.470  0.569 -0.691  0.634 -0.919  0.647 -1.156  0.632 -1.393  0.575 -1.623
