2#apb#apb31#app3176/D  -0.341 0.787  -0.278 0.618  -0.260 0.434  -0.254 0.249  -0.270 0.065  -0.296 -0.119  -0.325 -0.302  -0.360 -0.484  -0.395 -0.666  -0.428 -0.848  -0.472 -1.028  -0.551 -1.193  -0.641 -1.120  -0.637 -0.936  -0.626 -0.751  -0.602 -0.567  -0.578 -0.383  -0.556 -0.199  -0.535 -0.015  -0.507 0.168  -0.477 0.351  -0.446 0.534  -0.395 0.712  -0.344 0.890  -0.250 1.047  -0.141 1.197  -0.013 1.331  0.147 1.405  0.323 1.375  0.488 1.292  0.628 1.171  0.756 1.037  0.878 0.898  1.005 0.763  1.123 0.620  1.174 0.447  1.104 0.275  1.009 0.117  0.906 -0.037  0.789 -0.181  0.670 -0.323  0.543 -0.458  0.412 -0.589  0.278 -0.717  0.140 -0.841  0.002 -0.964  -0.138 -1.086  -0.280 -1.204  -0.423 -1.323  -0.558 -1.450
2#apb#apb31#app3176/r  -0.366 -0.042  -0.441 -0.147  -0.517 -0.251  -0.558 -0.372  -0.591 -0.497  -0.623 -0.622  -0.670 -0.742  -0.716 -0.862  -0.759 -0.984  -0.792 -1.109  -0.824 -1.234  -0.861 -1.357  -0.842 -1.333  -0.781 -1.219  -0.726 -1.102  -0.672 -0.985  -0.617 -0.868  -0.554 -0.756  -0.485 -0.647  -0.416 -0.538  -0.348 -0.429  -0.283 -0.317  -0.222 -0.203  -0.161 -0.089  -0.100 0.024  -0.040 0.138  0.024 0.250  0.090 0.362  0.155 0.473  0.220 0.584  0.285 0.695  0.354 0.805  0.427 0.911  0.499 1.018  0.572 1.124  0.648 1.229  0.739 1.320  0.827 1.352  0.857 1.233  0.862 1.104  0.867 0.975  0.839 0.849  0.811 0.723  0.783 0.597  0.755 0.471  0.728 0.345  0.700 0.219  0.672 0.093  0.641 -0.032  0.610 -0.158
2#apb#apb31#app3176/a  0.061 1.218  -0.119 1.277  -0.298 1.193  -0.446 1.068  -0.578 0.920  -0.693 0.762  -0.784 0.586  -0.875 0.411  -0.947 0.228  -1.011 0.041  -1.075 -0.146  -1.104 -0.340  -1.119 -0.537  -1.121 -0.734  -1.098 -0.930  -0.937 -0.995  -0.770 -0.917  -0.613 -0.797  -0.468 -0.663  -0.325 -0.527  -0.183 -0.390  -0.069 -0.229  0.040 -0.064  0.150 0.100  0.264 0.261  0.386 0.416  0.508 0.572  0.620 0.733  0.695 0.916  0.733 1.093  0.585 0.991  0.482 0.822  0.383 0.651  0.286 0.479  0.193 0.305  0.112 0.125  0.041 -0.057  0.024 -0.254  0.009 -0.451  0.021 -0.648  0.116 -0.806  0.278 -0.899  0.475 -0.899  0.664 -0.866  0.837 -0.770  1.010 -0.675  1.177 -0.570  1.336 -0.452  1.494 -0.335  1.653 -0.217
2#apb#apb31#app3176/k  0.422 1.836  0.328 1.656  0.229 1.480  0.123 1.307  0.020 1.133  -0.075 0.954  -0.170 0.775  -0.254 0.591  -0.335 0.406  -0.414 0.220  -0.486 0.030  -0.558 -0.159  -0.630 -0.348  -0.701 -0.538  -0.772 -0.727  -0.839 -0.918  -0.893 -1.113  -0.949 -1.308  -0.963 -1.474  -0.798 -1.363  -0.680 -1.198  -0.564 -1.033  -0.449 -0.866  -0.335 -0.699  -0.218 -0.533  -0.100 -0.369  0.018 -0.205  0.117 -0.028  0.212 0.151  0.328 0.315  0.461 0.468  0.608 0.604  0.774 0.720  0.956 0.811  1.152 0.854  1.242 0.738  1.104 0.596  0.928 0.496  0.745 0.411  0.566 0.317  0.394 0.209  0.231 0.090  0.074 -0.037  -0.078 -0.172  -0.169 -0.352  -0.220 -0.542  -0.132 -0.709  0.052 -0.792  0.247 -0.841  0.450 -0.845
2#apb#apb31#app3176/e  -1.138 -0.327  -1.047 -0.478  -0.910 -0.554  -0.735 -0.523  -0.572 -0.458  -0.418 -0.369  -0.266 -0.276  -0.120 -0.176  0.027 -0.075  0.161 0.042  0.294 0.160  0.410 0.293  0.506 0.443  0.601 0.593  0.692 0.746  0.719 0.913  0.692 1.088  0.599 1.223  0.445 1.305  0.267 1.317  0.107 1.262  -0.042 1.165  -0.181 1.055  -0.310 0.933  -0.440 0.811  -0.541 0.664  -0.641 0.518  -0.708 0.355  -0.755 0.184  -0.801 0.012  -0.840 -0.162  -0.878 -0.335  -0.876 -0.507  -0.820 -0.676  -0.750 -0.832  -0.590 -0.912  -0.426 -0.970  -0.248 -0.977  -0.070 -0.985  0.093 -0.922  0.253 -0.845  0.413 -0.768  0.570 -0.684  0.724 -0.595  0.879 -0.507  1.034 -0.420  1.192 -0.338  1.349 -0.255  1.486 -0.142  1.609 -0.015
2#apb#apb31#app3176/E  -0.185 1.056  -0.317 0.833  -0.404 0.589  -0.483 0.342  -0.558 0.094  -0.643 -0.151  -0.741 -0.391  -0.874 -0.613  -0.965 -0.735  -0.861 -0.498  -0.739 -0.270  -0.602 -0.049  -0.459 0.167  -0.308 0.378  -0.150 0.583  0.016 0.782  0.200 0.963  0.404 1.123  0.615 1.274  0.832 1.415  1.067 1.513  0.933 1.323  0.745 1.146  0.565 0.958  0.369 0.789  0.172 0.620  -0.025 0.452  -0.219 0.279  -0.408 0.102  -0.574 -0.092  -0.607 -0.345  -0.396 -0.375  -0.155 -0.280  0.075 -0.160  0.310 -0.049  0.551 0.043  0.804 0.100  0.986 0.013  0.873 -0.218  0.706 -0.415  0.539 -0.614  0.366 -0.807  0.179 -0.987  -0.003 -1.171  -0.183 -1.358  -0.349 -1.557  -0.369 -1.632  -0.147 -1.499  0.087 -1.388  0.324 -1.282
2#apb#apb31#app3176/n  -0.562 0.768  -0.565 0.613  -0.593 0.457  -0.631 0.302  -0.673 0.149  -0.733 0.002  -0.793 -0.146  -0.852 -0.294  -0.908 -0.443  -0.964 -0.591  -1.017 -0.741  -1.072 -0.891  -1.076 -0.865  -0.997 -0.728  -0.909 -0.596  -0.820 -0.464  -0.730 -0.332  -0.641 -0.200  -0.553 -0.068  -0.465 0.064  -0.375 0.196  -0.286 0.328  -0.184 0.449  -0.093 0.460  -0.089 0.303  -0.104 0.144  -0.123 -0.014  -0.142 -0.172  -0.125 -0.330  -0.105 -0.488  -0.051 -0.637  0.034 -0.762  0.174 -0.800  0.323 -0.745  0.435 -0.639  0.533 -0.514  0.627 -0.385  0.712 -0.251  0.797 -0.117  0.880 0.019  0.954 0.160  1.028 0.301  1.103 0.442  1.176 0.583  1.249 0.724  1.318 0.868  1.375 1.016  1.433 1.164  1.498 1.309  1.584 1.391
2#apb#apb31#app3176/g  0.222 0.890  0.152 0.979  0.080 1.075  -0.074 1.012  -0.224 0.935  -0.356 0.842  -0.442 0.696  -0.525 0.548  -0.597 0.396  -0.636 0.231  -0.669 0.065  -0.699 -0.102  -0.688 -0.269  -0.642 -0.431  -0.512 -0.484  -0.378 -0.382  -0.248 -0.274  -0.137 -0.146  -0.026 -0.018  0.080 0.114  0.183 0.249  0.285 0.384  0.385 0.521  0.483 0.659  0.581 0.797  0.652 0.951  0.722 1.105  0.784 1.220  0.635 1.146  0.540 1.010  0.462 0.860  0.397 0.704  0.334 0.546  0.279 0.386  0.231 0.224  0.208 0.056  0.185 -0.111  0.164 -0.280  0.143 -0.448  0.123 -0.616  0.080 -0.780  0.034 -0.943  -0.012 -1.106  -0.051 -1.270  -0.091 -1.435  -0.141 -1.597  -0.200 -1.755  -0.267 -1.911  -0.350 -2.058  -0.459 -2.186
2#apb#apb31#app3176/l  0.614 1.583  0.585 1.520  0.556 1.457  0.527 1.394  0.501 1.329  0.477 1.264  0.452 1.200  0.427 1.135  0.402 1.070  0.377 1.006  0.351 0.942  0.325 0.877  0.299 0.813  0.273 0.749  0.247 0.685  0.220 0.620  0.194 0.556  0.171 0.491  0.148 0.426  0.125 0.360  0.102 0.295  0.079 0.230  0.056 0.164  0.033 0.099  0.010 0.033  -0.014 -0.032  -0.038 -0.097  -0.062 -0.162  -0.087 -0.226  -0.111 -0.291  -0.135 -0.356  -0.160 -0.421  -0.184 -0.486  -0.208 -0.551  -0.233 -0.616  -0.257 -0.681  -0.281 -0.746  -0.305 -0.811  -0.329 -0.876  -0.352 -0.941  -0.376 -1.006  -0.400 -1.071  -0.424 -1.136  -0.447 -1.202  -0.469 -1.267  -0.491 -1.333  -0.513 -1.399  -0.535 -1.465  -0.556 -1.530  -0.578 -1.596
2#apb#apb31#app3176/a  0.225 1.060  0.086 0.922  -0.059 0.790  -0.208 0.664  -0.327 0.510  -0.434 0.346  -0.539 0.181  -0.624 0.004  -0.708 -0.173  -0.790 -0.351  -0.864 -0.532  -0.939 -0.713  -0.981 -0.903  -1.003 -1.098  -0.981 -1.290  -0.855 -1.407  -0.698 -1.341  -0.556 -1.207  -0.414 -1.072  -0.290 -0.920  -0.167 -0.768  -0.045 -0.615  0.071 -0.457  0.175 -0.291  0.280 -0.126  0.385 0.040  0.481 0.210  0.566 0.387  0.651 0.563  0.736 0.740  0.789 0.928  0.839 1.118  0.890 1.307  0.923 1.488  0.796 1.436  0.675 1.282  0.576 1.113  0.489 0.938  0.401 0.763  0.335 0.579  0.269 0.394  0.204 0.209  0.144 0.023  0.097 -0.167  0.049 -0.357  0.002 -0.547  -0.046 -0.737  -0.035 -0.911  0.116 -1.015  0.312 -0.997
2#apb#apb31#app3176/n  -0.318 0.874  -0.425 0.792  -0.468 0.642  -0.496 0.488  -0.519 0.333  -0.543 0.179  -0.581 0.027  -0.622 -0.124  -0.662 -0.275  -0.698 -0.427  -0.734 -0.580  -0.769 -0.732  -0.795 -0.886  -0.818 -1.041  -0.856 -1.192  -0.921 -1.332  -0.982 -1.246  -0.915 -1.105  -0.848 -0.963  -0.772 -0.827  -0.686 -0.696  -0.600 -0.565  -0.515 -0.434  -0.423 -0.308  -0.326 -0.185  -0.229 -0.062  -0.132 0.061  -0.036 0.184  0.069 0.299  0.176 0.414  0.283 0.528  0.389 0.643  0.505 0.746  0.638 0.828  0.771 0.910  0.903 0.995  1.033 1.082  1.176 1.103  1.194 0.949  1.166 0.796  1.132 0.644  1.088 0.494  1.024 0.352  0.959 0.209  0.879 0.075  0.797 -0.058  0.714 -0.191  0.632 -0.324  0.579 -0.471  0.580 -0.623
2#apb#apb31#app3176/d  -0.774 -0.551  -0.903 -0.657  -1.022 -0.772  -1.062 -0.933  -1.108 -1.093  -1.072 -1.253  -0.929 -1.229  -0.820 -1.103  -0.710 -0.977  -0.601 -0.852  -0.492 -0.726  -0.388 -0.596  -0.292 -0.460  -0.195 -0.324  -0.102 -0.186  -0.019 -0.042  0.065 0.102  0.149 0.246  0.224 0.395  0.298 0.544  0.373 0.693  0.436 0.847  0.495 1.003  0.555 1.159  0.575 1.324  0.595 1.489  0.588 1.626  0.481 1.499  0.381 1.365  0.286 1.229  0.204 1.083  0.123 0.938  0.060 0.784  0.002 0.628  -0.057 0.472  -0.097 0.310  -0.136 0.148  -0.160 -0.015  -0.160 -0.182  -0.139 -0.345  -0.076 -0.499  0.015 -0.637  0.136 -0.732  0.302 -0.740  0.458 -0.686  0.612 -0.623  0.757 -0.541  0.903 -0.460  1.048 -0.379  1.192 -0.294
2#apb#apb31#app3176/F  0.093 0.651  -0.037 0.736  -0.106 0.528  -0.170 0.315  -0.228 0.101  -0.279 -0.115  -0.325 -0.332  -0.383 -0.545  -0.449 -0.757  -0.522 -0.967  -0.621 -1.163  -0.725 -1.358  -0.813 -1.561  -0.831 -1.587  -0.759 -1.377  -0.688 -1.167  -0.617 -0.957  -0.545 -0.747  -0.474 -0.537  -0.403 -0.327  -0.331 -0.117  -0.260 0.094  -0.188 0.304  -0.117 0.514  -0.046 0.724  0.026 0.934  0.165 1.086  0.374 1.158  0.585 1.227  0.796 1.297  1.013 1.340  1.230 1.388  1.183 1.281  1.036 1.114  0.890 0.948  0.744 0.781  0.597 0.614  0.451 0.448  0.304 0.281  0.158 0.114  0.012 -0.052  -0.135 -0.219  -0.281 -0.386  -0.427 -0.552  -0.352 -0.657  -0.133 -0.624  0.083 -0.576  0.299 -0.522  0.501 -0.433  0.704 -0.341
2#apb#apb31#app3176/i  0.418 0.561  0.331 0.474  0.248 0.385  0.185 0.279  0.123 0.173  0.061 0.068  -0.002 -0.038  -0.058 -0.147  -0.101 -0.262  -0.144 -0.377  -0.192 -0.490  -0.246 -0.600  -0.299 -0.711  -0.357 -0.819  -0.415 -0.927  -0.476 -1.034  -0.540 -1.138  -0.604 -1.243  -0.671 -1.346  -0.719 -1.413  -0.665 -1.303  -0.611 -1.193  -0.557 -1.083  -0.503 -0.972  -0.449 -0.862  -0.395 -0.752  -0.341 -0.642  -0.287 -0.532  -0.232 -0.421  -0.178 -0.311  -0.124 -0.201  -0.070 -0.091  -0.016 0.019  0.038 0.130  0.092 0.240  0.146 0.350  0.200 0.460  0.255 0.571  0.309 0.681  0.363 0.791  0.417 0.901  0.471 1.011  0.525 1.122  0.579 1.232  0.633 1.342  0.687 1.452  0.742 1.562  0.796 1.673  0.844 1.771  0.789 1.661
2#apb#apb31#app3176/e  -0.348 -0.010  -0.251 -0.068  -0.121 -0.006  0.003 0.068  0.107 0.165  0.198 0.277  0.284 0.393  0.363 0.514  0.441 0.635  0.518 0.757  0.595 0.879  0.643 1.015  0.642 1.148  0.533 1.208  0.392 1.187  0.256 1.139  0.124 1.082  -0.005 1.017  -0.132 0.949  -0.241 0.855  -0.350 0.760  -0.459 0.666  -0.564 0.566  -0.668 0.467  -0.773 0.367  -0.857 0.250  -0.940 0.132  -1.007 0.007  -1.042 -0.133  -1.066 -0.272  -1.008 -0.405  -0.937 -0.528  -0.829 -0.623  -0.721 -0.719  -0.594 -0.781  -0.457 -0.826  -0.320 -0.872  -0.181 -0.911  -0.039 -0.935  0.103 -0.958  0.246 -0.982  0.388 -0.985  0.530 -0.959  0.672 -0.932  0.814 -0.906  0.948 -0.854  1.082 -0.800  1.216 -0.746  1.343 -0.678  1.471 -0.611
2#apb#apb31#app3176/l  0.474 1.608  0.488 1.541  0.493 1.471  0.498 1.402  0.497 1.333  0.481 1.266  0.465 1.198  0.449 1.130  0.432 1.063  0.409 0.997  0.386 0.932  0.363 0.867  0.339 0.801  0.316 0.736  0.293 0.670  0.268 0.605  0.243 0.541  0.217 0.476  0.192 0.411  0.166 0.347  0.141 0.282  0.115 0.218  0.090 0.153  0.063 0.089  0.036 0.025  0.009 -0.039  -0.018 -0.103  -0.045 -0.167  -0.072 -0.231  -0.099 -0.295  -0.126 -0.359  -0.153 -0.423  -0.180 -0.487  -0.208 -0.551  -0.236 -0.614  -0.265 -0.678  -0.293 -0.741  -0.321 -0.805  -0.349 -0.868  -0.378 -0.932  -0.406 -0.995  -0.434 -1.059  -0.460 -1.123  -0.484 -1.188  -0.507 -1.254  -0.531 -1.319  -0.554 -1.384  -0.578 -1.450  -0.602 -1.515  -0.625 -1.580
2#apb#apb31#app3176/d  -0.182 0.158  -0.323 0.026  -0.460 -0.111  -0.587 -0.257  -0.708 -0.407  -0.822 -0.563  -0.927 -0.725  -1.023 -0.894  -1.089 -1.074  -1.113 -1.262  -1.013 -1.367  -0.839 -1.296  -0.676 -1.192  -0.544 -1.052  -0.415 -0.907  -0.291 -0.759  -0.180 -0.601  -0.069 -0.442  0.042 -0.284  0.151 -0.125  0.261 0.035  0.364 0.198  0.446 0.373  0.528 0.548  0.586 0.731  0.622 0.921  0.649 1.112  0.649 1.305  0.633 1.496  0.544 1.627  0.383 1.533  0.249 1.394  0.152 1.227  0.058 1.058  -0.005 0.875  -0.067 0.692  -0.113 0.505  -0.155 0.316  -0.191 0.126  -0.180 -0.067  -0.160 -0.257  -0.058 -0.421  0.115 -0.485  0.303 -0.490  0.488 -0.434  0.666 -0.360  0.837 -0.271  1.002 -0.169  1.161 -0.060  1.298 0.077
2#apb#apb31#app3176/F  0.186 0.815  0.063 0.757  -0.043 0.545  -0.099 0.317  -0.151 0.087  -0.226 -0.138  -0.250 -0.372  -0.265 -0.608  -0.281 -0.844  -0.295 -1.081  -0.295 -1.317  -0.295 -1.554  -0.295 -1.778  -0.311 -1.542  -0.328 -1.306  -0.344 -1.070  -0.360 -0.834  -0.376 -0.597  -0.393 -0.361  -0.409 -0.125  -0.425 0.111  -0.442 0.347  -0.458 0.583  -0.355 0.767  -0.131 0.846  0.090 0.931  0.316 0.996  0.550 1.026  0.783 1.066  1.015 1.115  1.247 1.161  1.480 1.204  1.345 1.098  1.149 0.966  0.952 0.835  0.755 0.703  0.558 0.572  0.362 0.440  0.165 0.308  -0.032 0.177  -0.229 0.045  -0.425 -0.086  -0.622 -0.218  -0.777 -0.383  -0.839 -0.607  -0.701 -0.733  -0.472 -0.695  -0.248 -0.618  -0.031 -0.523  0.186 -0.428
