1c#tos#f2#f2038066/c  0.608 0.607  0.547 0.484  0.488 0.363  0.565 0.424  0.693 0.447  0.731 0.569  0.769 0.668  0.792 0.783  0.730 0.882  0.660 0.973  0.523 0.973  0.385 0.973  0.248 0.973  0.117 0.932  -0.016 0.897  -0.151 0.870  -0.280 0.829  -0.394 0.753  -0.504 0.670  -0.611 0.584  -0.718 0.498  -0.787 0.381  -0.894 0.298  -0.995 0.210  -1.040 0.083  -1.040 -0.055  -1.040 -0.192  -1.040 -0.330  -1.040 -0.467  -0.963 -0.541  -0.920 -0.672  -0.907 -0.798  -0.774 -0.813  -0.659 -0.889  -0.531 -0.920  -0.394 -0.920  -0.256 -0.920  -0.119 -0.920  0.019 -0.920  0.140 -0.866  0.257 -0.798  0.394 -0.798  0.532 -0.798  0.634 -0.711  0.731 -0.614  0.854 -0.553  0.977 -0.491  1.105 -0.440  1.233 -0.389  1.341 -0.309
1c#tos#f2#f2038066/d  -0.030 0.234  -0.242 0.207  -0.398 0.133  -0.553 0.234  -0.714 0.180  -0.800 -0.010  -0.894 -0.172  -1.030 -0.303  -1.082 -0.507  -1.171 -0.664  -1.135 -0.844  -0.977 -0.984  -0.806 -1.029  -0.609 -1.010  -0.480 -0.924  -0.295 -0.820  -0.171 -0.644  -0.082 -0.465  -0.013 -0.267  0.093 -0.081  0.202 0.098  0.233 0.301  0.339 0.473  0.339 0.689  0.405 0.893  0.444 1.099  0.444 1.315  0.496 1.509  0.549 1.672  0.473 1.660  0.444 1.451  0.408 1.250  0.255 1.098  0.188 0.897  0.136 0.687  0.027 0.503  0.023 0.289  -0.026 0.085  -0.030 -0.130  -0.030 -0.346  -0.030 -0.562  -0.022 -0.774  0.131 -0.926  0.326 -0.976  0.542 -0.976  0.730 -0.931  0.892 -0.804  1.034 -0.660  1.233 -0.644  1.233 -0.503
1c#tos#f2#f2038066/e  -0.240 0.801  -0.396 0.710  -0.530 0.597  -0.662 0.495  -0.703 0.327  -0.638 0.164  -0.514 0.081  -0.343 0.013  -0.164 -0.010  0.021 -0.010  0.196 0.034  0.346 0.138  0.454 0.278  0.577 0.344  0.629 0.507  0.687 0.634  0.687 0.819  0.687 1.004  0.553 1.090  0.369 1.090  0.188 1.072  0.016 1.015  -0.149 0.933  -0.314 0.850  -0.447 0.734  -0.549 0.581  -0.663 0.436  -0.805 0.323  -0.935 0.232  -0.935 0.047  -0.935 -0.138  -0.935 -0.323  -0.935 -0.508  -0.914 -0.688  -0.801 -0.827  -0.630 -0.894  -0.500 -1.024  -0.326 -1.052  -0.141 -1.052  0.044 -1.052  0.228 -1.052  0.413 -1.052  0.556 -0.951  0.727 -0.885  0.911 -0.879  1.044 -0.753  1.203 -0.668  1.364 -0.581  1.534 -0.531  1.671 -0.415
1c#tos#f2#f2038066/f  0.700 1.164  0.618 1.221  0.578 1.351  0.578 1.491  0.496 1.572  0.407 1.654  0.322 1.592  0.227 1.499  0.169 1.411  0.128 1.281  0.128 1.142  0.046 1.036  0.026 0.900  0.005 0.764  0.005 0.624  0.005 0.485  0.042 0.354  0.046 0.215  0.046 0.076  0.085 -0.057  0.087 -0.196  0.118 -0.329  0.128 -0.466  0.128 -0.605  0.128 -0.745  0.128 -0.884  0.107 -1.003  0.049 -1.084  0.005 -1.180  -0.076 -1.238  -0.201 -1.269  -0.254 -1.371  -0.376 -1.398  -0.441 -1.414  -0.430 -1.275  -0.419 -1.136  -0.407 -0.997  -0.396 -0.858  -0.385 -0.719  -0.374 -0.580  -0.362 -0.441  -0.351 -0.302  -0.340 -0.163  -0.328 -0.024  -0.348 0.060  -0.240 0.029  -0.151 -0.022  -0.019 -0.039  0.111 -0.063  0.251 -0.063
1c#tos#f2#f2038066/g  0.145 0.780  0.096 0.577  0.296 0.594  0.402 0.764  0.511 0.910  0.564 1.109  0.550 1.318  0.509 1.514  0.294 1.514  0.100 1.461  -0.085 1.389  -0.199 1.221  -0.323 1.049  -0.450 0.881  -0.532 0.683  -0.588 0.481  -0.498 0.331  -0.296 0.268  -0.093 0.204  0.122 0.204  0.312 0.266  0.427 0.433  0.396 0.571  0.302 0.450  0.302 0.235  0.302 0.020  0.302 -0.195  0.302 -0.410  0.191 -0.588  0.098 -0.777  0.093 -0.991  0.093 -1.206  0.093 -1.421  -0.064 -1.478  -0.169 -1.589  -0.343 -1.629  -0.483 -1.555  -0.663 -1.480  -0.745 -1.301  -0.745 -1.086  -0.653 -0.909  -0.599 -0.709  -0.512 -0.529  -0.297 -0.529  -0.188 -0.394  -0.045 -0.258  0.154 -0.177  0.361 -0.122  0.529 0.003  0.722 0.099
1c#tos#f2#f2038066/i  -0.084 1.377  -0.156 1.329  -0.228 1.281  -0.312 1.276  -0.277 1.276  -0.190 1.276  -0.125 1.225  -0.041 1.211  0.041 1.183  0.119 1.149  0.191 1.102  0.265 1.073  0.274 0.992  0.278 0.906  0.282 0.820  0.286 0.734  0.290 0.648  0.293 0.562  0.297 0.476  0.301 0.390  0.305 0.304  0.309 0.217  0.313 0.131  0.317 0.045  0.321 -0.041  0.285 -0.092  0.199 -0.092  0.119 -0.117  0.042 -0.155  -0.034 -0.195  -0.071 -0.244  -0.084 -0.317  -0.084 -0.403  -0.084 -0.489  -0.084 -0.575  -0.084 -0.661  -0.106 -0.742  -0.135 -0.822  -0.135 -0.908  -0.135 -0.994  -0.135 -1.080  -0.169 -1.156  -0.217 -1.228  -0.236 -1.308  -0.253 -1.391  -0.287 -1.469  -0.287 -1.555  -0.317 -1.611  -0.388 -1.626  -0.388 -1.712
1c#tos#f2#f2038066/j  0.131 1.595  0.049 1.595  -0.009 1.539  -0.035 1.468  -0.005 1.399  0.031 1.347  0.112 1.347  0.146 1.290  0.174 1.219  0.179 1.137  0.183 1.056  0.187 0.974  0.192 0.893  0.196 0.811  0.200 0.730  0.204 0.649  0.209 0.567  0.213 0.486  0.150 0.443  0.131 0.374  0.131 0.292  0.131 0.210  0.131 0.129  0.131 0.047  0.131 -0.034  0.131 -0.116  0.131 -0.198  0.131 -0.279  0.131 -0.361  0.131 -0.442  0.131 -0.524  0.131 -0.606  0.131 -0.687  0.118 -0.767  0.092 -0.844  0.066 -0.922  0.048 -1.000  0.032 -1.075  -0.026 -1.133  -0.103 -1.143  -0.148 -1.202  -0.215 -1.226  -0.297 -1.226  -0.378 -1.226  -0.450 -1.216  -0.495 -1.162  -0.561 -1.116  -0.616 -1.057  -0.659 -1.018  -0.741 -1.018
1c#tos#f2#f2038066/k  -0.477 1.949  -0.404 2.064  -0.266 1.986  -0.248 1.803  -0.248 1.617  -0.248 1.430  -0.248 1.243  -0.248 1.057  -0.268 0.872  -0.305 0.689  -0.305 0.502  -0.340 0.320  -0.362 0.136  -0.382 -0.047  -0.452 -0.221  -0.514 -0.396  -0.540 -0.578  -0.643 -0.734  -0.648 -0.919  -0.648 -1.105  -0.684 -1.256  -0.589 -1.139  -0.457 -1.007  -0.325 -0.875  -0.193 -0.743  -0.061 -0.611  0.072 -0.479  0.204 -0.347  0.336 -0.215  0.468 -0.083  0.600 0.049  0.732 0.181  0.864 0.313  0.765 0.302  0.581 0.289  0.440 0.204  0.323 0.060  0.142 0.015  -0.036 -0.015  -0.183 -0.111  -0.183 -0.283  0.004 -0.283  0.107 -0.419  0.235 -0.518  0.416 -0.564  0.555 -0.684  0.671 -0.798  0.852 -0.811  1.012 -0.864  1.126 -0.970
1c#tos#f2#f2038066/l  0.507 1.561  0.435 1.561  0.396 1.528  0.396 1.456  0.392 1.385  0.359 1.321  0.334 1.254  0.320 1.184  0.306 1.113  0.292 1.042  0.276 0.972  0.259 0.902  0.242 0.833  0.225 0.763  0.211 0.692  0.197 0.622  0.183 0.551  0.173 0.480  0.173 0.408  0.173 0.336  0.163 0.268  0.118 0.212  0.073 0.156  0.028 0.099  -0.017 0.043  -0.049 -0.017  -0.049 -0.089  -0.049 -0.161  -0.049 -0.233  -0.060 -0.303  -0.087 -0.370  -0.114 -0.436  -0.140 -0.503  -0.168 -0.569  -0.201 -0.634  -0.233 -0.698  -0.265 -0.762  -0.283 -0.832  -0.297 -0.902  -0.311 -0.973  -0.325 -1.043  -0.370 -1.097  -0.383 -1.164  -0.383 -1.236  -0.383 -1.308  -0.383 -1.380  -0.383 -1.452  -0.383 -1.523  -0.423 -1.556  -0.439 -1.500
1c#tos#f2#f2038066/m  -1.356 0.208  -1.567 0.208  -1.427 0.360  -1.262 0.525  -1.100 0.642  -0.890 0.747  -0.668 0.785  -0.449 0.821  -0.485 0.672  -0.521 0.459  -0.574 0.241  -0.640 0.026  -0.728 -0.191  -0.855 -0.312  -0.918 -0.536  -0.966 -0.763  -1.022 -0.757  -0.911 -0.591  -0.793 -0.395  -0.656 -0.205  -0.509 -0.024  -0.336 0.128  -0.121 0.173  0.018 0.358  0.184 0.524  0.389 0.635  0.540 0.765  0.592 0.583  0.515 0.371  0.404 0.165  0.258 -0.015  0.203 -0.236  0.082 -0.423  0.036 -0.646  0.120 -0.514  0.258 -0.397  0.362 -0.197  0.498 -0.014  0.695 0.056  0.815 0.248  0.946 0.355  0.982 0.136  0.982 -0.099  0.982 -0.333  0.982 -0.568  1.149 -0.668  1.369 -0.682  1.600 -0.662  1.809 -0.558  1.984 -0.404
1c#tos#f2#f2038066/n  -0.907 0.933  -0.968 0.776  -1.152 0.702  -1.303 0.627  -1.327 0.536  -1.141 0.566  -0.973 0.668  -0.799 0.762  -0.635 0.874  -0.525 1.036  -0.373 1.135  -0.267 1.263  -0.068 1.263  0.130 1.263  0.216 1.112  0.216 0.913  0.216 0.715  0.216 0.517  0.189 0.323  0.132 0.133  0.084 -0.060  0.084 -0.258  0.021 -0.446  -0.114 -0.590  -0.114 -0.788  -0.227 -0.926  -0.312 -1.079  -0.312 -1.084  -0.239 -0.903  -0.180 -0.719  -0.107 -0.543  -0.007 -0.372  0.063 -0.186  0.085 0.008  0.273 0.071  0.369 0.227  0.480 0.379  0.547 0.297  0.547 0.099  0.547 -0.100  0.498 -0.287  0.480 -0.481  0.480 -0.679  0.480 -0.878  0.500 -1.068  0.651 -1.181  0.850 -1.181  1.048 -1.181  1.240 -1.159  1.405 -1.049
