2#apb#apb32#app3253/a  0.283 0.507  0.354 0.638  0.427 0.690  0.407 0.845  0.338 0.993  0.223 1.107  0.050 1.107  -0.122 1.095  -0.277 1.035  -0.408 0.923  -0.532 0.803  -0.653 0.680  -0.748 0.536  -0.844 0.393  -0.943 0.252  -1.039 0.109  -1.076 -0.060  -1.112 -0.228  -1.118 -0.399  -1.101 -0.570  -1.098 -0.743  -1.025 -0.893  -0.902 -1.009  -0.757 -1.006  -0.611 -0.913  -0.461 -0.830  -0.331 -0.722  -0.228 -0.584  -0.136 -0.438  -0.049 -0.289  0.039 -0.140  0.127 0.008  0.213 0.157  0.290 0.312  0.373 0.463  0.471 0.604  0.606 0.712  0.701 0.601  0.703 0.429  0.708 0.256  0.722 0.084  0.739 -0.087  0.785 -0.253  0.828 -0.420  0.862 -0.589  0.896 -0.758  0.930 -0.928  1.027 -1.057  1.165 -1.160  1.303 -1.264
2#apb#apb32#app3253/b  -0.535 1.761  -0.533 1.763  -0.605 1.621  -0.605 1.463  -0.593 1.305  -0.582 1.147  -0.582 0.989  -0.573 0.831  -0.558 0.673  -0.542 0.515  -0.520 0.358  -0.523 0.201  -0.541 0.044  -0.561 -0.113  -0.582 -0.270  -0.573 -0.427  -0.589 -0.579  -0.627 -0.706  -0.598 -0.770  -0.567 -0.655  -0.535 -0.501  -0.499 -0.348  -0.441 -0.200  -0.340 -0.085  -0.247 0.042  -0.121 0.133  -0.007 0.243  0.126 0.311  0.284 0.326  0.442 0.314  0.600 0.303  0.758 0.303  0.903 0.250  1.042 0.174  1.175 0.088  1.253 -0.044  1.276 -0.198  1.238 -0.350  1.162 -0.483  1.037 -0.580  0.900 -0.657  0.757 -0.724  0.611 -0.788  0.460 -0.835  0.309 -0.882  0.157 -0.926  0.004 -0.968  -0.149 -1.011  -0.306 -1.025  -0.464 -1.037
2#apb#apb32#app3253/c  -0.143 0.074  -0.027 0.144  0.053 0.239  0.149 0.334  0.260 0.392  0.349 0.451  0.417 0.558  0.533 0.615  0.620 0.700  0.647 0.819  0.668 0.926  0.585 1.032  0.488 1.123  0.353 1.123  0.218 1.123  0.093 1.082  -0.028 1.022  -0.147 0.959  -0.266 0.895  -0.384 0.830  -0.488 0.746  -0.584 0.651  -0.679 0.556  -0.753 0.444  -0.813 0.324  -0.873 0.203  -0.934 0.082  -0.938 -0.052  -0.938 -0.187  -0.938 -0.322  -0.894 -0.448  -0.844 -0.573  -0.777 -0.687  -0.675 -0.776  -0.574 -0.864  -0.447 -0.902  -0.315 -0.928  -0.182 -0.955  -0.049 -0.975  0.086 -0.975  0.220 -0.975  0.355 -0.975  0.488 -0.953  0.619 -0.920  0.749 -0.887  0.880 -0.855  1.014 -0.835  1.148 -0.818  1.281 -0.801  1.415 -0.784
2#apb#apb32#app3253/d  -0.076 -0.380  -0.219 -0.315  -0.366 -0.234  -0.510 -0.260  -0.611 -0.393  -0.692 -0.543  -0.748 -0.702  -0.784 -0.866  -0.784 -1.036  -0.736 -1.195  -0.643 -1.335  -0.505 -1.423  -0.351 -1.410  -0.215 -1.313  -0.129 -1.167  -0.043 -1.021  0.014 -0.862  0.070 -0.702  0.116 -0.540  0.122 -0.370  0.128 -0.201  0.133 -0.032  0.126 0.138  0.116 0.307  0.106 0.476  0.096 0.645  0.096 0.815  0.096 0.985  0.096 1.154  0.086 1.323  0.070 1.492  0.058 1.661  0.058 1.810  0.058 1.640  0.058 1.471  0.080 1.303  0.104 1.135  0.133 0.968  0.168 0.802  0.202 0.636  0.240 0.471  0.296 0.311  0.351 0.150  0.407 -0.010  0.467 -0.169  0.526 -0.327  0.586 -0.486  0.647 -0.644  0.714 -0.800  0.785 -0.954
2#apb#apb32#app3253/e  -1.449 -0.592  -1.342 -0.499  -1.192 -0.443  -1.042 -0.387  -0.886 -0.350  -0.730 -0.314  -0.575 -0.278  -0.421 -0.233  -0.271 -0.178  -0.120 -0.124  0.028 -0.064  0.174 0.002  0.320 0.068  0.464 0.138  0.604 0.216  0.744 0.293  0.873 0.387  0.994 0.491  1.109 0.601  1.175 0.741  1.151 0.891  1.038 1.004  0.924 1.116  0.764 1.116  0.604 1.116  0.452 1.077  0.303 1.017  0.155 0.958  0.005 0.901  -0.145 0.845  -0.262 0.744  -0.360 0.618  -0.458 0.491  -0.534 0.352  -0.599 0.205  -0.656 0.058  -0.643 -0.102  -0.629 -0.261  -0.616 -0.421  -0.526 -0.553  -0.434 -0.684  -0.343 -0.815  -0.210 -0.899  -0.067 -0.970  0.077 -1.042  0.220 -1.112  0.365 -1.180  0.510 -1.248  0.656 -1.315  0.801 -1.383
2#apb#apb32#app3253/f  -0.181 -2.040  -0.249 -1.878  -0.295 -1.710  -0.326 -1.538  -0.347 -1.364  -0.328 -1.190  -0.309 -1.016  -0.291 -0.842  -0.274 -0.667  -0.246 -0.494  -0.218 -0.321  -0.184 -0.150  -0.134 0.018  -0.084 0.186  -0.031 0.353  0.029 0.518  0.089 0.683  0.186 0.827  0.292 0.966  0.396 1.107  0.498 1.250  0.639 1.346  0.803 1.400  0.969 1.367  1.049 1.256  0.915 1.142  0.782 1.028  0.648 0.915  0.515 0.801  0.382 0.687  0.248 0.574  0.115 0.460  -0.019 0.346  -0.152 0.233  -0.285 0.119  -0.419 0.006  -0.552 -0.108  -0.686 -0.222  -0.819 -0.335  -0.952 -0.443  -0.894 -0.328  -0.726 -0.283  -0.554 -0.267  -0.380 -0.290  -0.206 -0.314  -0.031 -0.322  0.144 -0.330  0.318 -0.349  0.490 -0.379  0.663 -0.409
2#apb#apb32#app3253/g  -0.193 0.785  -0.172 0.912  -0.172 1.042  -0.246 1.070  -0.374 1.050  -0.479 0.973  -0.575 0.887  -0.661 0.789  -0.716 0.672  -0.760 0.550  -0.787 0.423  -0.786 0.299  -0.707 0.198  -0.588 0.186  -0.464 0.223  -0.343 0.272  -0.227 0.329  -0.110 0.387  -0.008 0.466  0.092 0.550  0.194 0.631  0.298 0.709  0.402 0.786  0.519 0.845  0.644 0.866  0.736 0.804  0.711 0.682  0.665 0.560  0.618 0.438  0.577 0.315  0.539 0.191  0.501 0.066  0.465 -0.059  0.428 -0.184  0.410 -0.312  0.399 -0.442  0.388 -0.571  0.372 -0.700  0.322 -0.820  0.272 -0.941  0.221 -1.060  0.162 -1.176  0.104 -1.293  0.046 -1.409  -0.019 -1.521  -0.097 -1.623  -0.226 -1.641  -0.343 -1.697  -0.451 -1.762  -0.580 -1.744
2#apb#apb32#app3253/h  -0.949 1.682  -0.931 1.555  -0.885 1.436  -0.827 1.321  -0.770 1.206  -0.727 1.086  -0.702 0.960  -0.680 0.834  -0.660 0.707  -0.647 0.580  -0.659 0.452  -0.666 0.324  -0.656 0.195  -0.647 0.067  -0.645 -0.061  -0.645 -0.190  -0.617 -0.313  -0.571 -0.433  -0.513 -0.548  -0.447 -0.637  -0.369 -0.554  -0.312 -0.442  -0.298 -0.315  -0.272 -0.237  -0.281 -0.239  -0.271 -0.346  -0.198 -0.451  -0.095 -0.525  -0.059 -0.631  -0.010 -0.561  0.048 -0.446  0.079 -0.322  0.104 -0.196  0.176 -0.090  0.250 0.015  0.354 0.085  0.470 0.136  0.599 0.136  0.713 0.090  0.820 0.018  0.916 -0.066  1.007 -0.157  1.098 -0.248  1.158 -0.361  1.211 -0.478  1.271 -0.591  1.350 -0.692  1.421 -0.797  1.453 -0.922  1.510 -1.035
2#apb#apb32#app3253/i  -0.007 0.571  -0.060 0.464  -0.069 0.347  -0.069 0.228  -0.067 0.109  -0.060 -0.010  -0.052 -0.129  -0.045 -0.248  -0.036 -0.367  -0.009 -0.483  0.018 -0.599  0.045 -0.715  0.073 -0.831  0.098 -0.947  0.121 -1.064  0.145 -1.181  0.205 -1.283  0.271 -1.382  0.272 -1.501  0.325 -1.461  0.302 -1.344  0.279 -1.227  0.255 -1.110  0.232 -0.993  0.209 -0.876  0.186 -0.760  0.163 -0.643  0.140 -0.526  0.116 -0.409  0.093 -0.292  0.070 -0.175  0.047 -0.058  0.024 0.059  0.001 0.176  -0.023 0.293  -0.046 0.410  -0.069 0.526  -0.092 0.643  -0.115 0.760  -0.138 0.877  -0.162 0.994  -0.185 1.111  -0.208 1.228  -0.231 1.345  -0.254 1.462  -0.277 1.579  -0.301 1.696  -0.324 1.812  -0.347 1.929  -0.442 1.999
2#apb#apb32#app3253/j  0.102 0.756  0.140 0.770  0.168 0.646  0.216 0.526  0.257 0.403  0.297 0.280  0.315 0.154  0.302 0.025  0.311 -0.104  0.321 -0.233  0.338 -0.362  0.355 -0.490  0.356 -0.620  0.356 -0.749  0.385 -0.875  0.414 -1.002  0.441 -1.128  0.464 -1.256  0.469 -1.379  0.357 -1.411  0.253 -1.334  0.130 -1.293  0.007 -1.252  -0.112 -1.201  -0.220 -1.132  -0.299 -1.039  -0.297 -0.909  -0.295 -0.780  -0.293 -0.650  -0.292 -0.521  -0.290 -0.391  -0.288 -0.261  -0.287 -0.132  -0.285 -0.002  -0.283 0.127  -0.282 0.257  -0.280 0.387  -0.278 0.516  -0.276 0.646  -0.275 0.775  -0.273 0.905  -0.271 1.035  -0.270 1.164  -0.268 1.294  -0.266 1.423  -0.264 1.553  -0.263 1.683  -0.197 1.775  -0.079 1.738  0.029 1.666
2#apb#apb32#app3253/k  -1.090 1.080  -1.066 0.966  -1.019 0.800  -1.006 0.624  -0.975 0.451  -0.942 0.278  -0.910 0.104  -0.883 -0.070  -0.855 -0.244  -0.837 -0.419  -0.820 -0.594  -0.801 -0.770  -0.780 -0.945  -0.767 -1.120  -0.806 -1.250  -0.697 -1.157  -0.609 -1.004  -0.526 -0.849  -0.420 -0.709  -0.309 -0.572  -0.198 -0.435  -0.088 -0.297  0.022 -0.160  0.131 -0.021  0.231 0.124  0.332 0.268  0.432 0.413  0.547 0.546  0.668 0.675  0.789 0.802  0.938 0.897  1.085 0.994  1.229 1.095  1.113 0.991  0.982 0.874  0.850 0.757  0.718 0.640  0.586 0.524  0.454 0.407  0.322 0.290  0.190 0.173  0.095 0.040  0.126 -0.126  0.232 -0.267  0.357 -0.388  0.503 -0.486  0.650 -0.584  0.796 -0.683  0.941 -0.782  1.087 -0.882
