1c#tos#t2#t2024062/b  -0.896 0.377  -1.054 0.247  -1.132 0.161  -1.058 -0.018  -0.869 -0.112  -0.664 -0.142  -0.453 -0.132  -0.245 -0.099  -0.042 -0.052  0.152 0.004  0.265 0.174  0.462 0.252  0.627 0.366  0.767 0.524  0.837 0.707  0.837 0.919  0.837 1.130  0.794 1.332  0.710 1.460  0.498 1.460  0.296 1.417  0.139 1.284  -0.030 1.156  -0.170 1.015  -0.214 0.808  -0.291 0.613  -0.408 0.437  -0.423 0.229  -0.462 0.021  -0.480 -0.188  -0.554 -0.386  -0.592 -0.591  -0.592 -0.803  -0.592 -1.015  -0.592 -1.227  -0.515 -1.415  -0.365 -1.485  -0.181 -1.441  -0.043 -1.282  0.057 -1.096  0.183 -0.930  0.279 -0.741  0.405 -0.571  0.447 -0.364  0.476 -0.156  0.541 -0.034  0.621 -0.230  0.736 -0.402  0.898 -0.520  1.053 -0.662
1c#tos#t2#t2024062/c  0.608 0.729  0.608 0.827  0.608 0.925  0.608 1.023  0.608 1.121  0.608 1.220  0.512 1.218  0.417 1.194  0.320 1.180  0.225 1.171  0.143 1.116  0.061 1.062  -0.007 1.000  -0.007 0.902  -0.050 0.830  -0.138 0.786  -0.226 0.743  -0.288 0.671  -0.339 0.587  -0.391 0.504  -0.450 0.426  -0.508 0.347  -0.563 0.265  -0.594 0.174  -0.613 0.077  -0.623 -0.020  -0.623 -0.118  -0.623 -0.216  -0.623 -0.314  -0.623 -0.413  -0.617 -0.508  -0.547 -0.578  -0.508 -0.667  -0.471 -0.758  -0.401 -0.818  -0.313 -0.862  -0.252 -0.936  -0.187 -1.005  -0.096 -1.041  -0.004 -1.077  0.094 -1.077  0.192 -1.077  0.290 -1.077  0.388 -1.077  0.487 -1.077  0.585 -1.077  0.683 -1.077  0.781 -1.077  0.879 -1.077  0.977 -1.077
1c#tos#t2#t2024062/g  0.058 0.523  0.172 0.446  0.298 0.578  0.357 0.755  0.494 0.892  0.526 1.073  0.526 1.266  0.393 1.346  0.245 1.392  0.051 1.392  -0.098 1.281  -0.262 1.219  -0.386 1.082  -0.443 0.905  -0.443 0.712  -0.324 0.590  -0.130 0.590  0.063 0.590  0.213 0.679  0.345 0.768  0.327 0.760  0.259 0.582  0.259 0.389  0.259 0.195  0.247 0.005  0.134 -0.153  0.092 -0.333  0.063 -0.524  -0.005 -0.705  -0.009 -0.898  -0.109 -1.059  -0.109 -1.253  -0.190 -1.403  -0.268 -1.555  -0.420 -1.617  -0.614 -1.617  -0.744 -1.534  -0.777 -1.354  -0.744 -1.168  -0.623 -1.042  -0.478 -0.916  -0.445 -0.725  -0.270 -0.656  -0.101 -0.564  0.060 -0.455  0.217 -0.342  0.348 -0.201  0.497 -0.081  0.661 0.022  0.827 0.122
1c#tos#t2#t2024062/h  -0.585 0.726  -0.742 0.691  -0.585 0.628  -0.390 0.623  -0.194 0.650  -0.003 0.691  0.176 0.780  0.330 0.901  0.482 1.012  0.651 1.089  0.765 1.253  0.888 1.410  0.835 1.514  0.668 1.448  0.565 1.277  0.441 1.133  0.355 0.952  0.250 0.791  0.168 0.620  0.091 0.442  -0.046 0.298  -0.146 0.124  -0.230 -0.057  -0.300 -0.245  -0.367 -0.431  -0.495 -0.585  -0.616 -0.744  -0.727 -0.908  -0.779 -1.100  -0.894 -1.195  -0.825 -1.198  -0.735 -1.035  -0.655 -0.853  -0.553 -0.702  -0.422 -0.554  -0.305 -0.391  -0.177 -0.238  -0.068 -0.095  0.088 0.028  0.237 -0.006  0.214 -0.204  0.169 -0.390  0.169 -0.590  0.169 -0.790  0.171 -0.988  0.236 -1.153  0.402 -1.228  0.596 -1.212  0.771 -1.129  0.957 -1.057
1c#tos#t2#t2024062/i  -1.102 -1.018  -1.176 -1.135  -1.136 -1.114  -1.044 -0.996  -0.922 -0.896  -0.820 -0.797  -0.722 -0.674  -0.576 -0.619  -0.490 -0.494  -0.405 -0.359  -0.293 -0.245  -0.196 -0.119  -0.087 -0.003  -0.012 0.132  0.004 0.290  0.078 0.419  0.014 0.377  -0.027 0.223  -0.129 0.103  -0.143 -0.051  -0.207 -0.191  -0.217 -0.348  -0.217 -0.508  -0.217 -0.668  -0.217 -0.828  -0.155 -0.969  -0.037 -1.018  0.122 -1.018  0.266 -0.978  0.344 -0.847  0.364 -0.689  0.384 -0.530  0.404 -0.372  0.424 -0.213  0.444 -0.054  0.464 0.104  0.485 0.263  0.505 0.422  0.525 0.580  0.545 0.739  0.565 0.897  0.585 1.056  0.605 1.215  0.625 1.373  0.645 1.532  0.665 1.690  0.529 1.711  0.392 1.638  0.336 1.533  0.226 1.453
1c#tos#t2#t2024062/j  -0.281 1.618  -0.217 1.656  -0.152 1.618  -0.051 1.616  0.031 1.557  0.122 1.511  0.213 1.465  0.286 1.393  0.277 1.292  0.267 1.190  0.256 1.089  0.245 0.987  0.235 0.885  0.224 0.784  0.213 0.682  0.136 0.656  0.136 0.553  0.136 0.451  0.136 0.349  0.136 0.247  0.136 0.145  0.136 0.042  0.136 -0.060  0.129 -0.161  0.109 -0.262  0.098 -0.363  0.098 -0.465  0.086 -0.566  0.066 -0.666  0.027 -0.760  -0.042 -0.834  -0.091 -0.916  -0.111 -1.004  -0.205 -1.039  -0.205 -1.141  -0.271 -1.216  -0.369 -1.225  -0.434 -1.263  -0.470 -1.198  -0.470 -1.095  -0.394 -1.048  -0.337 -0.976  -0.287 -0.890  -0.215 -0.818  -0.138 -0.751  -0.053 -0.694  0.038 -0.649  0.132 -0.608  0.229 -0.575  0.326 -0.543
1c#tos#t2#t2024062/k  -0.309 1.936  -0.305 2.112  -0.222 2.014  -0.222 1.834  -0.222 1.653  -0.222 1.473  -0.222 1.293  -0.222 1.112  -0.222 0.932  -0.222 0.752  -0.222 0.571  -0.241 0.392  -0.265 0.213  -0.265 0.033  -0.265 -0.147  -0.265 -0.328  -0.288 -0.506  -0.319 -0.684  -0.353 -0.859  -0.353 -1.039  -0.353 -1.219  -0.397 -1.382  -0.382 -1.511  -0.282 -1.361  -0.182 -1.211  -0.082 -1.061  0.018 -0.911  0.118 -0.761  0.218 -0.611  0.319 -0.461  0.419 -0.311  0.519 -0.161  0.619 -0.010  0.719 0.140  0.819 0.290  0.919 0.440  0.831 0.353  0.687 0.267  0.514 0.227  0.348 0.156  0.192 0.067  0.074 -0.045  -0.094 -0.109  -0.260 -0.173  -0.266 -0.260  -0.262 -0.438  -0.117 -0.541  0.035 -0.636  0.185 -0.736  0.350 -0.788
1c#tos#t2#t2024062/l  -1.375 -1.129  -1.369 -1.220  -1.231 -1.209  -1.095 -1.180  -0.973 -1.122  -0.859 -1.044  -0.739 -0.972  -0.617 -0.907  -0.484 -0.862  -0.373 -0.780  -0.264 -0.694  -0.145 -0.622  -0.052 -0.519  0.038 -0.412  0.127 -0.305  0.221 -0.202  0.318 -0.102  0.409 0.003  0.501 0.108  0.544 0.240  0.595 0.368  0.673 0.484  0.706 0.617  0.735 0.752  0.798 0.876  0.813 1.012  0.813 1.152  0.813 1.291  0.744 1.362  0.605 1.362  0.488 1.288  0.400 1.188  0.299 1.106  0.200 1.010  0.112 0.903  0.049 0.778  -0.023 0.659  -0.042 0.524  -0.070 0.387  -0.132 0.263  -0.194 0.138  -0.220 0.005  -0.220 -0.135  -0.220 -0.274  -0.216 -0.413  -0.176 -0.546  -0.117 -0.670  -0.021 -0.769  0.053 -0.872  0.175 -0.916
1c#tos#t2#t2024062/s  -1.560 -0.709  -1.671 -0.815  -1.592 -0.815  -1.467 -0.733  -1.378 -0.585  -1.238 -0.480  -1.121 -0.352  -1.007 -0.222  -0.851 -0.143  -0.707 -0.043  -0.568 0.063  -0.431 0.173  -0.287 0.270  -0.131 0.350  0.009 0.455  0.133 0.577  0.243 0.714  0.388 0.797  0.556 0.845  0.688 0.938  0.765 1.096  0.832 1.252  0.937 1.331  0.972 1.171  0.972 0.995  0.972 0.820  0.968 0.645  0.925 0.475  0.919 0.301  0.856 0.145  0.754 0.002  0.650 -0.139  0.581 -0.299  0.516 -0.461  0.399 -0.566  0.273 -0.657  0.097 -0.657  -0.078 -0.657  -0.253 -0.657  -0.420 -0.636  -0.453 -0.474  -0.505 -0.321  -0.417 -0.234  -0.244 -0.251  -0.085 -0.321  0.066 -0.407  0.235 -0.445  0.411 -0.445  0.586 -0.445  0.761 -0.445
1c#tos#t2#t2024062/t  0.629 1.179  0.629 1.351  0.678 1.473  0.594 1.441  0.510 1.298  0.453 1.138  0.371 0.989  0.327 0.824  0.232 0.681  0.175 0.519  0.134 0.357  0.077 0.203  -0.008 0.054  -0.064 -0.104  -0.064 -0.276  -0.130 -0.420  -0.162 -0.579  -0.162 -0.750  -0.212 -0.910  -0.212 -1.082  -0.212 -1.254  -0.212 -1.425  -0.156 -1.541  0.015 -1.541  0.138 -1.591  0.309 -1.591  0.349 -1.497  0.292 -1.335  0.235 -1.173  0.178 -1.011  0.121 -0.849  0.064 -0.687  0.007 -0.525  -0.050 -0.363  -0.107 -0.202  -0.164 -0.040  -0.221 0.122  -0.278 0.284  -0.335 0.446  -0.392 0.608  -0.449 0.770  -0.506 0.932  -0.558 1.065  -0.616 0.906  -0.615 0.783  -0.445 0.776  -0.286 0.715  -0.123 0.664  0.041 0.631  0.184 0.536
1c#tos#t2#t2024062/w  -0.700 0.810  -0.730 0.964  -0.906 0.973  -0.969 0.889  -1.032 0.718  -1.060 0.537  -1.080 0.358  -1.163 0.193  -1.163 0.009  -1.163 -0.175  -1.163 -0.359  -1.163 -0.543  -1.142 -0.722  -1.046 -0.834  -0.867 -0.815  -0.690 -0.783  -0.604 -0.647  -0.457 -0.544  -0.302 -0.445  -0.154 -0.335  -0.085 -0.169  0.025 -0.021  0.097 0.145  0.179 0.302  0.278 0.455  0.327 0.627  0.364 0.796  0.328 0.761  0.327 0.577  0.225 0.457  0.225 0.273  0.225 0.089  0.225 -0.095  0.225 -0.279  0.225 -0.463  0.225 -0.648  0.276 -0.810  0.436 -0.834  0.592 -0.751  0.742 -0.643  0.899 -0.548  0.944 -0.392  0.997 -0.217  1.154 -0.144  1.190 0.037  1.303 0.117  1.335 0.292  1.408 0.454  1.458 0.626  1.406 0.759
