3#apb#apb40#app4082/E  0.919 0.904  1.006 1.068  1.120 1.220  1.210 1.388  1.149 1.512  0.959 1.508  0.787 1.433  0.621 1.338  0.467 1.226  0.313 1.113  0.165 0.993  0.019 0.870  -0.118 0.739  -0.240 0.592  -0.357 0.441  -0.454 0.277  -0.530 0.103  -0.520 -0.075  -0.336 -0.057  -0.224 0.041  -0.358 -0.095  -0.473 -0.248  -0.579 -0.406  -0.664 -0.576  -0.617 -0.662  -0.513 -0.626  -0.360 -0.528  -0.211 -0.408  -0.060 -0.292  0.089 -0.172  0.233 -0.048  0.368 0.087  0.528 0.178  0.454 0.107  0.310 -0.015  0.153 -0.122  -0.009 -0.218  -0.163 -0.329  -0.304 -0.458  -0.438 -0.593  -0.573 -0.728  -0.698 -0.871  -0.776 -1.043  -0.716 -1.198  -0.555 -1.301  -0.366 -1.319  -0.177 -1.293  0.003 -1.235  0.175 -1.153  0.345 -1.067
3#apb#apb40#app4082/a  0.836 1.239  0.877 1.384  0.803 1.509  0.684 1.525  0.544 1.469  0.434 1.368  0.324 1.264  0.215 1.161  0.111 1.053  0.027 0.928  -0.056 0.802  -0.140 0.677  -0.223 0.552  -0.307 0.427  -0.388 0.300  -0.469 0.173  -0.549 0.045  -0.630 -0.082  -0.711 -0.209  -0.785 -0.340  -0.847 -0.477  -0.910 -0.614  -0.973 -0.751  -1.013 -0.892  -1.013 -1.043  -0.939 -1.163  -0.817 -1.208  -0.673 -1.163  -0.535 -1.106  -0.409 -1.024  -0.283 -0.941  -0.157 -0.859  -0.037 -0.770  0.058 -0.653  0.153 -0.536  0.248 -0.419  0.341 -0.301  0.417 -0.171  0.493 -0.041  0.568 0.089  0.630 0.226  0.676 0.367  0.637 0.278  0.589 0.135  0.542 -0.008  0.519 -0.157  0.498 -0.306  0.476 -0.455  0.538 -0.582  0.630 -0.701
3#apb#apb40#app4082/s  -1.112 -0.777  -1.204 -0.892  -1.298 -0.865  -1.271 -0.726  -1.221 -0.587  -1.133 -0.471  -1.035 -0.361  -0.936 -0.251  -0.838 -0.141  -0.738 -0.033  -0.636 0.074  -0.534 0.181  -0.432 0.288  -0.331 0.394  -0.225 0.497  -0.119 0.599  -0.012 0.701  0.095 0.803  0.201 0.905  0.312 1.003  0.423 1.099  0.535 1.196  0.662 1.251  0.809 1.251  0.884 1.129  0.955 0.999  0.959 0.854  0.953 0.707  0.946 0.560  0.940 0.412  0.890 0.274  0.834 0.138  0.778 0.001  0.722 -0.135  0.670 -0.273  0.617 -0.411  0.565 -0.549  0.505 -0.682  0.420 -0.803  0.335 -0.923  0.232 -1.025  0.107 -1.036  -0.013 -0.950  -0.124 -0.853  -0.223 -0.745  -0.308 -0.624  -0.375 -0.495  -0.422 -0.355  -0.453 -0.213  -0.355 -0.141
3#apb#apb40#app4082/t  0.667 1.441  0.604 1.509  0.569 1.348  0.500 1.189  0.411 1.042  0.324 0.892  0.244 0.739  0.162 0.585  0.085 0.430  0.011 0.273  -0.057 0.114  -0.118 -0.049  -0.176 -0.212  -0.233 -0.376  -0.298 -0.537  -0.366 -0.697  -0.423 -0.860  -0.463 -1.029  -0.476 -1.201  -0.457 -1.372  -0.346 -1.457  -0.201 -1.362  -0.051 -1.274  0.097 -1.184  0.240 -1.086  0.381 -0.984  0.515 -0.875  0.668 -0.793  0.821 -0.725  0.968 -0.788  0.856 -0.678  0.732 -0.556  0.608 -0.435  0.484 -0.313  0.360 -0.192  0.236 -0.071  0.112 0.051  -0.012 0.172  -0.136 0.294  -0.260 0.415  -0.384 0.537  -0.507 0.658  -0.631 0.780  -0.763 0.891  -0.913 0.978  -1.010 1.049  -0.847 0.988  -0.680 0.944  -0.510 0.911  -0.339 0.878
3#apb#apb40#app4082/e  -0.619 -0.925  -0.612 -0.836  -0.534 -0.707  -0.453 -0.581  -0.372 -0.455  -0.290 -0.328  -0.187 -0.220  -0.079 -0.116  0.030 -0.013  0.138 0.091  0.246 0.196  0.347 0.307  0.447 0.419  0.548 0.530  0.648 0.642  0.735 0.764  0.822 0.887  0.908 1.010  0.949 1.151  0.973 1.299  0.867 1.391  0.740 1.349  0.612 1.270  0.484 1.191  0.357 1.112  0.252 1.005  0.148 0.896  0.044 0.788  -0.059 0.679  -0.162 0.570  -0.243 0.443  -0.324 0.317  -0.405 0.191  -0.487 0.064  -0.568 -0.062  -0.612 -0.205  -0.654 -0.349  -0.696 -0.493  -0.733 -0.638  -0.714 -0.787  -0.695 -0.936  -0.623 -1.059  -0.517 -1.165  -0.393 -1.237  -0.245 -1.263  -0.097 -1.289  0.050 -1.271  0.197 -1.240  0.344 -1.210  0.491 -1.179
3#apb#apb40#app4082/r  -0.358 -0.295  -0.385 -0.381  -0.411 -0.466  -0.437 -0.551  -0.464 -0.637  -0.496 -0.720  -0.538 -0.798  -0.581 -0.877  -0.623 -0.956  -0.665 -1.034  -0.710 -1.112  -0.764 -1.177  -0.757 -1.113  -0.722 -1.031  -0.683 -0.951  -0.631 -0.878  -0.579 -0.805  -0.527 -0.733  -0.475 -0.660  -0.424 -0.587  -0.373 -0.514  -0.325 -0.438  -0.277 -0.363  -0.229 -0.287  -0.181 -0.212  -0.133 -0.137  -0.085 -0.061  -0.037 0.014  0.011 0.089  0.058 0.165  0.105 0.241  0.151 0.318  0.198 0.394  0.244 0.470  0.291 0.546  0.338 0.623  0.389 0.695  0.452 0.758  0.515 0.822  0.578 0.885  0.642 0.948  0.705 1.011  0.768 1.074  0.835 1.133  0.902 1.192  0.970 1.251  1.046 1.286  1.135 1.286  1.225 1.286  1.314 1.286
3#apb#apb40#app4082/n  0.108 0.927  -0.020 0.866  -0.129 0.773  -0.230 0.672  -0.331 0.570  -0.414 0.453  -0.497 0.336  -0.579 0.219  -0.656 0.099  -0.733 -0.022  -0.810 -0.143  -0.889 -0.262  -0.979 -0.374  -1.068 -0.486  -1.150 -0.603  -1.220 -0.728  -1.255 -0.805  -1.159 -0.700  -1.054 -0.602  -0.949 -0.504  -0.852 -0.399  -0.759 -0.290  -0.666 -0.181  -0.573 -0.073  -0.483 0.039  -0.396 0.153  -0.309 0.267  -0.210 0.369  -0.112 0.423  -0.059 0.290  -0.025 0.152  -0.003 0.010  0.060 -0.115  0.143 -0.232  0.265 -0.304  0.391 -0.372  0.525 -0.407  0.668 -0.399  0.811 -0.391  0.936 -0.327  1.056 -0.249  1.176 -0.171  1.289 -0.084  1.401 0.006  1.511 0.097  1.568 0.228  1.625 0.359  1.663 0.496  1.679 0.638  1.696 0.781
3#apb#apb40#app4082/F  -0.121 0.512  -0.242 0.610  -0.224 0.746  -0.127 0.868  -0.015 0.974  0.113 1.064  0.242 1.150  0.375 1.231  0.509 1.310  0.644 1.388  0.780 1.465  0.785 1.363  0.738 1.215  0.686 1.068  0.635 0.921  0.586 0.773  0.540 0.624  0.493 0.475  0.447 0.327  0.402 0.178  0.357 0.029  0.312 -0.120  0.276 -0.272  0.246 -0.425  0.214 -0.577  0.164 -0.725  0.114 -0.872  0.036 -1.007  -0.058 -1.129  -0.173 -1.232  -0.325 -1.267  -0.480 -1.275  -0.633 -1.250  -0.769 -1.185  -0.882 -1.079  -0.984 -0.961  -1.066 -0.829  -1.094 -0.680  -0.974 -0.592  -0.840 -0.512  -0.707 -0.432  -0.573 -0.352  -0.462 -0.271  -0.314 -0.230  -0.158 -0.217  -0.004 -0.199  0.151 -0.179  0.305 -0.159  0.460 -0.140  0.614 -0.121
3#apb#apb40#app4082/u  -0.758 1.270  -0.662 1.188  -0.667 1.010  -0.719 0.838  -0.772 0.667  -0.824 0.495  -0.885 0.327  -0.948 0.159  -1.011 -0.009  -1.066 -0.179  -1.110 -0.353  -1.153 -0.527  -1.170 -0.704  -1.170 -0.883  -1.109 -1.050  -0.951 -1.065  -0.791 -0.985  -0.631 -0.905  -0.487 -0.799  -0.349 -0.685  -0.212 -0.570  -0.090 -0.440  0.020 -0.298  0.130 -0.157  0.229 -0.007  0.315 0.150  0.401 0.307  0.477 0.469  0.536 0.638  0.596 0.807  0.613 0.929  0.558 0.758  0.505 0.587  0.442 0.419  0.370 0.256  0.297 0.092  0.274 -0.084  0.262 -0.263  0.275 -0.441  0.381 -0.570  0.554 -0.572  0.720 -0.506  0.862 -0.398  1.000 -0.283  1.111 -0.144  1.208 0.006  1.257 0.178  1.309 0.350  1.386 0.510  1.445 0.471
3#apb#apb40#app4082/r  0.468 1.192  0.349 1.124  0.255 1.035  0.200 0.911  0.146 0.786  0.091 0.661  0.036 0.537  -0.020 0.413  -0.076 0.289  -0.132 0.165  -0.184 0.040  -0.233 -0.087  -0.281 -0.214  -0.330 -0.342  -0.378 -0.469  -0.431 -0.594  -0.485 -0.719  -0.538 -0.844  -0.592 -0.969  -0.645 -1.094  -0.697 -1.220  -0.750 -1.345  -0.769 -1.478  -0.697 -1.427  -0.627 -1.310  -0.553 -1.196  -0.471 -1.088  -0.388 -0.980  -0.306 -0.872  -0.223 -0.764  -0.163 -0.642  -0.104 -0.519  -0.046 -0.396  0.013 -0.273  0.072 -0.151  0.131 -0.028  0.190 0.094  0.249 0.217  0.308 0.340  0.367 0.462  0.426 0.585  0.482 0.708  0.538 0.832  0.594 0.956  0.650 1.081  0.709 1.203  0.777 1.321  0.891 1.372  1.024 1.366  1.154 1.329
3#apb#apb40#app4082/n  0.025 0.895  -0.084 0.734  -0.194 0.575  -0.280 0.402  -0.356 0.223  -0.436 0.047  -0.520 -0.128  -0.605 -0.303  -0.696 -0.474  -0.795 -0.641  -0.894 -0.807  -0.997 -0.972  -1.107 -1.131  -1.194 -1.197  -1.107 -1.023  -1.024 -0.848  -0.941 -0.672  -0.855 -0.499  -0.768 -0.325  -0.681 -0.152  -0.583 0.015  -0.482 0.181  -0.382 0.347  -0.264 0.500  -0.135 0.645  0.006 0.765  0.154 0.708  0.235 0.532  0.221 0.339  0.206 0.146  0.174 -0.045  0.125 -0.232  0.077 -0.420  0.036 -0.610  0.080 -0.785  0.257 -0.810  0.420 -0.705  0.573 -0.587  0.719 -0.459  0.835 -0.308  0.919 -0.133  1.002 0.042  1.049 0.230  1.094 0.418  1.135 0.608  1.168 0.799  1.200 0.990  1.222 1.182  1.232 1.376  1.217 1.568
