2#apb#apb13#app1356/A  -0.112 0.830  -0.092 1.103  0.009 1.358  0.111 1.583  0.001 1.435  -0.121 1.188  -0.278 0.961  -0.424 0.725  -0.556 0.482  -0.658 0.225  -0.750 -0.036  -0.827 -0.302  -0.887 -0.572  -0.958 -0.839  -1.004 -1.112  -1.004 -1.389  -0.803 -1.404  -0.580 -1.240  -0.457 -0.995  -0.344 -0.742  -0.232 -0.489  -0.119 -0.236  -0.007 0.017  0.106 0.270  0.218 0.523  0.330 0.776  0.399 1.027  0.282 1.262  0.255 1.302  0.351 1.042  0.408 0.772  0.444 0.498  0.478 0.223  0.515 -0.051  0.535 -0.328  0.560 -0.604  0.580 -0.880  0.547 -1.153  0.436 -1.404  0.546 -1.357  0.419 -1.110  0.292 -0.864  0.165 -0.618  0.038 -0.372  -0.089 -0.126  -0.085 0.045  0.181 0.092  0.450 0.161  0.727 0.161  1.004 0.161
2#apb#apb13#app1356/B  -0.086 0.958  -0.199 1.009  -0.308 0.806  -0.365 0.580  -0.427 0.356  -0.491 0.132  -0.557 -0.091  -0.628 -0.312  -0.727 -0.523  -0.819 -0.736  -0.899 -0.955  -0.953 -1.181  -0.980 -1.407  -0.892 -1.494  -0.791 -1.284  -0.690 -1.074  -0.589 -0.865  -0.488 -0.655  -0.387 -0.446  -0.286 -0.236  -0.185 -0.027  -0.083 0.183  0.018 0.393  0.119 0.602  0.191 0.812  0.060 0.915  0.097 1.115  0.246 1.286  0.420 1.439  0.633 1.416  0.802 1.260  0.953 1.086  1.046 0.873  1.092 0.645  0.981 0.450  0.804 0.300  0.597 0.197  0.364 0.197  0.140 0.249  0.008 0.208  0.173 0.043  0.348 -0.098  0.512 -0.231  0.593 -0.449  0.629 -0.677  0.635 -0.887  0.432 -1.000  0.202 -1.011  -0.021 -0.964  -0.244 -0.906
2#apb#apb13#app1356/C  1.031 0.509  1.054 0.609  1.092 0.682  1.092 0.786  1.069 0.887  0.993 0.939  0.888 0.939  0.784 0.932  0.680 0.919  0.577 0.902  0.477 0.875  0.376 0.847  0.275 0.820  0.179 0.779  0.084 0.736  -0.011 0.692  -0.106 0.649  -0.202 0.607  -0.297 0.564  -0.388 0.515  -0.473 0.454  -0.558 0.393  -0.651 0.345  -0.744 0.298  -0.815 0.222  -0.883 0.143  -0.941 0.059  -0.958 -0.044  -0.969 -0.148  -0.952 -0.250  -0.919 -0.349  -0.859 -0.431  -0.785 -0.505  -0.702 -0.568  -0.615 -0.626  -0.526 -0.680  -0.438 -0.737  -0.351 -0.795  -0.255 -0.833  -0.155 -0.862  -0.057 -0.897  0.039 -0.938  0.137 -0.972  0.241 -0.987  0.343 -1.007  0.439 -1.048  0.535 -1.089  0.638 -1.101  0.742 -1.111  0.846 -1.122
2#apb#apb13#app1356/D  -0.320 0.704  -0.201 0.871  -0.066 1.023  -0.026 1.161  -0.075 1.210  -0.183 1.034  -0.268 0.843  -0.318 0.641  -0.363 0.437  -0.441 0.243  -0.510 0.046  -0.576 -0.152  -0.660 -0.344  -0.750 -0.532  -0.847 -0.717  -0.948 -0.900  -1.058 -1.076  -1.127 -1.242  -1.008 -1.174  -0.879 -1.009  -0.750 -0.845  -0.621 -0.680  -0.492 -0.516  -0.363 -0.351  -0.234 -0.187  -0.105 -0.022  0.024 0.142  0.153 0.307  0.282 0.472  0.411 0.636  0.540 0.801  0.520 0.939  0.520 1.008  0.618 1.009  0.820 0.958  0.998 0.849  1.127 0.692  1.157 0.489  1.120 0.285  1.062 0.084  0.999 -0.115  0.921 -0.308  0.813 -0.487  0.697 -0.660  0.548 -0.802  0.369 -0.902  0.164 -0.917  -0.045 -0.917  -0.252 -0.936  -0.378 -1.091
2#apb#apb13#app1356/E  -0.062 1.345  -0.131 1.042  -0.200 0.730  -0.252 0.417  -0.418 0.144  -0.597 -0.121  -0.788 -0.377  -1.014 -0.600  -1.260 -0.767  -1.139 -0.489  -0.981 -0.212  -0.823 0.066  -0.664 0.344  -0.506 0.621  -0.348 0.899  -0.190 1.177  -0.350 1.269  -0.237 1.169  0.073 1.247  0.391 1.277  0.708 1.312  1.008 1.230  1.094 0.938  0.913 0.679  0.719 0.425  0.526 0.171  0.332 -0.083  0.138 -0.337  -0.055 -0.592  -0.249 -0.846  -0.443 -1.100  -0.370 -1.114  -0.061 -1.034  0.245 -0.941  0.556 -0.877  0.874 -0.847  1.190 -0.886  1.259 -0.924  0.961 -0.808  0.663 -0.692  0.366 -0.576  0.068 -0.460  -0.230 -0.344  -0.528 -0.228  -0.791 -0.307  -0.489 -0.289  -0.185 -0.208  0.120 -0.113  0.439 -0.113  0.717 -0.214
2#apb#apb13#app1356/F  -0.489 0.765  -0.419 0.785  -0.480 0.578  -0.597 0.394  -0.680 0.193  -0.744 -0.016  -0.791 -0.229  -0.803 -0.446  -0.792 -0.663  -0.725 -0.871  -0.719 -1.084  -0.644 -1.271  -0.492 -1.428  -0.317 -1.536  -0.280 -1.673  -0.267 -1.599  -0.247 -1.382  -0.228 -1.164  -0.209 -0.947  -0.190 -0.729  -0.170 -0.511  -0.151 -0.294  -0.132 -0.076  -0.112 0.142  -0.093 0.359  -0.074 0.577  -0.055 0.795  -0.036 1.012  0.038 1.185  0.246 1.254  0.447 1.238  0.661 1.218  0.867 1.161  1.073 1.087  1.238 0.996  1.069 0.858  0.900 0.719  0.731 0.581  0.562 0.442  0.393 0.304  0.224 0.166  0.054 0.027  -0.115 -0.111  -0.274 -0.246  -0.061 -0.208  0.147 -0.139  0.359 -0.086  0.574 -0.052  0.792 -0.037  1.010 -0.037
2#apb#apb13#app1356/G  0.945 0.755  0.969 0.854  0.916 0.988  0.793 1.055  0.651 1.079  0.508 1.079  0.373 1.036  0.240 0.981  0.105 0.931  -0.027 0.874  -0.155 0.810  -0.286 0.750  -0.419 0.695  -0.561 0.675  -0.695 0.628  -0.817 0.553  -0.930 0.466  -1.017 0.352  -1.107 0.240  -1.119 0.100  -1.092 -0.037  -1.027 -0.166  -0.974 -0.299  -0.929 -0.435  -0.883 -0.572  -0.822 -0.700  -0.731 -0.811  -0.612 -0.890  -0.478 -0.925  -0.340 -0.897  -0.220 -0.823  -0.127 -0.715  -0.056 -0.590  -0.000 -0.458  0.045 -0.321  0.028 -0.187  -0.110 -0.159  -0.046 -0.183  0.079 -0.254  0.214 -0.300  0.354 -0.335  0.493 -0.371  0.632 -0.408  0.770 -0.446  0.905 -0.497  1.038 -0.550  1.172 -0.602  1.307 -0.652  1.449 -0.660  1.593 -0.660
2#apb#apb13#app1356/H  -1.090 0.419  -0.916 0.593  -0.786 0.797  -0.810 1.040  -0.869 1.279  -0.864 1.228  -0.841 0.984  -0.841 0.738  -0.884 0.498  -0.931 0.257  -0.951 0.012  -0.973 -0.232  -0.999 -0.477  -1.062 -0.713  -1.020 -0.932  -0.830 -1.078  -0.599 -1.110  -0.421 -0.941  -0.244 -0.771  -0.066 -0.601  0.111 -0.431  0.289 -0.261  0.466 -0.091  0.644 0.079  0.821 0.249  0.999 0.419  1.176 0.589  1.290 0.766  1.235 0.970  1.100 0.798  0.985 0.581  0.883 0.357  0.764 0.143  0.657 -0.077  0.578 -0.308  0.467 -0.527  0.372 -0.753  0.254 -0.968  0.242 -1.158  0.219 -0.980  0.123 -0.753  0.028 -0.527  -0.068 -0.300  -0.181 -0.091  -0.104 0.105  0.091 0.249  0.302 0.364  0.536 0.308  0.757 0.201  0.958 0.059
2#apb#apb13#app1356/I  0.371 1.107  0.413 1.169  0.454 1.231  0.504 1.285  0.552 1.340  0.552 1.341  0.552 1.267  0.519 1.204  0.471 1.148  0.423 1.091  0.374 1.035  0.326 0.979  0.279 0.921  0.252 0.852  0.226 0.782  0.199 0.713  0.172 0.644  0.146 0.574  0.119 0.505  0.092 0.436  0.066 0.366  0.038 0.297  0.011 0.228  -0.017 0.159  -0.044 0.090  -0.072 0.021  -0.100 -0.048  -0.126 -0.117  -0.143 -0.190  -0.160 -0.262  -0.176 -0.335  -0.193 -0.407  -0.210 -0.479  -0.226 -0.552  -0.243 -0.624  -0.260 -0.697  -0.280 -0.768  -0.301 -0.840  -0.321 -0.911  -0.342 -0.983  -0.364 -1.053  -0.387 -1.124  -0.411 -1.195  -0.434 -1.265  -0.440 -1.338  -0.440 -1.413  -0.440 -1.487  -0.393 -1.532  -0.326 -1.565  -0.260 -1.599
2#apb#apb13#app1356/J  0.445 0.709  0.385 0.788  0.354 0.877  0.354 0.976  0.334 1.071  0.345 1.165  0.332 1.229  0.361 1.312  0.455 1.302  0.518 1.226  0.562 1.138  0.630 1.067  0.668 0.980  0.684 0.883  0.665 0.786  0.642 0.690  0.614 0.595  0.582 0.502  0.538 0.414  0.499 0.323  0.475 0.228  0.451 0.132  0.399 0.050  0.337 -0.027  0.294 -0.115  0.255 -0.206  0.208 -0.293  0.156 -0.377  0.107 -0.462  0.058 -0.548  -0.004 -0.625  -0.068 -0.701  -0.134 -0.774  -0.204 -0.844  -0.253 -0.928  -0.298 -1.017  -0.370 -1.069  -0.469 -1.069  -0.568 -1.069  -0.667 -1.069  -0.727 -0.992  -0.795 -0.922  -0.875 -0.863  -0.945 -0.794  -1.012 -0.721  -1.062 -0.638  -1.079 -0.556  -1.092 -0.531  -1.081 -0.587  -1.002 -0.647
2#apb#apb13#app1356/K  -0.534 0.763  -0.534 0.974  -0.589 1.050  -0.643 0.856  -0.645 0.646  -0.689 0.440  -0.741 0.237  -0.827 0.044  -0.912 -0.148  -0.943 -0.352  -0.987 -0.549  -0.988 -0.754  -1.086 -0.939  -1.133 -1.139  -1.010 -1.273  -0.832 -1.186  -0.696 -1.025  -0.561 -0.864  -0.425 -0.703  -0.289 -0.542  -0.153 -0.381  -0.018 -0.220  0.118 -0.059  0.254 0.102  0.390 0.263  0.526 0.424  0.661 0.585  0.797 0.746  0.933 0.907  0.954 1.029  0.792 0.973  0.650 0.819  0.542 0.638  0.402 0.482  0.219 0.382  0.049 0.488  -0.090 0.646  -0.230 0.648  -0.112 0.473  0.037 0.328  0.181 0.181  0.312 0.016  0.452 -0.141  0.601 -0.290  0.735 -0.452  0.870 -0.613  1.019 -0.762  1.201 -0.867  1.383 -0.953  1.591 -0.926
